setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Brighter Days,114GXUgTtjmq5f95HIvxzQ,0.677,0.303,10,-15.345,1,0.0885,0.128,0.728,0.124,0.818,168.042
2,moonlights,2aH7PYX1vdr96PNXdBqmJs,0.628,0.253,0,-14.122,1,0.0307,0.0485,0.441,0.065,0.428,78.018
3,On My Way,0xr8vqzuCvfOWQvkl2b0T4,0.83,0.349,9,-10.128,1,0.109,0.399,0.45,0.121,0.638,87.064
4,Stardust,3D1ocQJ4eaN4BPGVPaON7H,0.702,0.323,4,-12.437,0,0.0481,0.228,0.87,0.111,0.35,139.995
5,what (it's precious),7Gj3Z2Z6AyzgAAPw3wsGrR,0.61,0.455,1,-9.221,1,0.0445,0.0577,0.908,0.115,0.113,87.019
6,Sweet Sunset,22TqEu9zWwmzAerQAAqyk7,0.788,0.558,1,-9.918,1,0.212,0.463,0.883,0.12,0.463,77.994
7,Space Maneuvers,0qHWLH1msM5dfrwcYtCq4Y,0.846,0.255,10,-14.348,1,0.161,0.256,0.571,0.113,0.443,85.103
8,Epoch,3i1QDnpInuZUfTmnauuEbu,0.837,0.223,1,-11.476,0,0.0488,0.801,0.915,0.113,0.421,82.066
9,Coyote's Trail,3eQI51RWRklAXDJvJHGDqm,0.776,0.569,10,-10.43,0,0.0629,0.0761,0.926,0.11,0.962,151.609
10,Morning Coffee,00Hu8Pj6lWEofoPF8UpG0T,0.941,0.204,11,-19.549,0,0.243,0.106,0.857,0.376,0.965,120.026
11,Oasis,20MymF25fDU1jGD1kxDpca,0.662,0.309,9,-10.701,0,0.0665,0.644,0.868,0.13,0.308,81.991
12,5th Avenue,3HQmaWbeIqFZNzs4oASYMv,0.687,0.585,3,-8.538,1,0.038,0.395,0.468,0.129,0.334,81.959
13,Something Between Us,5xfu1WRNdHvRorPYhASgMK,0.651,0.365,8,-15.675,1,0.0451,0.262,0.867,0.114,0.33,78.008
14,Inner Child,1vMoDz369AFQ9bz7uTPGqY,0.637,0.415,4,-12.521,0,0.0561,0.204,0.8,0.11,0.562,178.128
15,Sin Gas,2Ks8UmpDIeg2p8TjBEFCIq,0.828,0.519,4,-6.855,0,0.126,0.607,0.568,0.105,0.496,166.959
16,Tbilisi East Side,1enpvwvZKLFUx4dBcRpQiY,0.722,0.738,4,-6.478,0,0.0537,0.322,0.479,0.638,0.443,92.971
17,Sun Touch,4UwLr7EgawoWfBO30za5Xz,0.66,0.355,7,-15.294,0,0.135,0.828,0.894,0.0964,0.55,85.049
18,Suave Park,2npdD0HQaiAgneU6uilsx5,0.885,0.674,6,-9.996,0,0.0784,0.451,0.591,0.213,0.933,145.9
19,effervescent,4J5cgA2Fmjf5tAP44UTZ8k,0.802,0.652,11,-10.983,0,0.0885,0.149,0.781,0.0991,0.341,93.034
20,Blossoms,0GtDUjBoDAqaJbJJlDWvvM,0.746,0.666,10,-6.08,1,0.113,0.213,0.189,0.114,0.0874,160.056
21,Warm Flicker,6dnRbWuRHTv3sMKbp2ipW9,0.784,0.442,4,-13.347,1,0.248,0.133,0.635,0.0801,0.205,87.908
22,Getting Drxnk,2jmYQJQ7DmWPxddCjJljy3,0.564,0.485,9,-10.788,0,0.0551,0.269,0.788,0.122,0.323,79.992
23,Taribo,0h55WRT1meR6qBHYgNGoH8,0.514,0.567,10,-11.811,1,0.0455,0.453,0.917,0.0935,0.638,76.787
24,Memories,0M1An0xZ28CKccUD6YM2Rt,0.717,0.657,11,-8.741,0,0.0626,0.0566,0.832,0.66,0.599,79.999
25,Daylit,41tPCwnxZelcIIdGbz9lRk,0.791,0.409,3,-14.884,0,0.0679,0.437,0.808,0.177,0.737,93.003
26,Coffeemaker,3Lz53wcrXWj1jnjHkWYEL7,0.816,0.543,10,-7.66,0,0.0689,0.542,0.658,0.201,0.377,89.983
27,Windows,7tfWZc7YAb3N55dXyZnOcv,0.732,0.302,7,-9.444,1,0.179,0.312,0.423,0.157,0.368,164.002
28,Quiet Times,1jJ8KfVB4WDhvXZIDGn7YN,0.668,0.156,1,-11.597,0,0.0815,0.85,0.916,0.0861,0.29,79.205
29,Djeep,2yJ3fxhiFlENd5Sfqm3fjQ,0.711,0.384,11,-11.245,0,0.0691,0.0441,0.848,0.281,0.621,93.995
30,Arpoador,5PVJi0Z0PPqda1tneSNPnD,0.695,0.324,8,-12.577,1,0.0396,0.703,0.905,0.394,0.312,77.979
31,Perpetual,1V7S0owBfvZjpQcwkKukIA,0.428,0.152,7,-13.096,0,0.0547,0.864,0.917,0.108,0.177,86.902
32,Underground,7lL3BDrOSvXep6OhMhTC85,0.577,0.264,3,-12.642,0,0.0384,0.831,0.86,0.204,0.594,84.997
33,Golden Hour Jazz,384y9pHZhzhRW5umBn2Fnb,0.764,0.36,1,-11.866,1,0.0628,0.103,0.854,0.118,0.552,87.083
34,Bliss,7rqoz1dJdmWNQzQIjcH1G1,0.703,0.529,1,-10.99,1,0.0436,0.603,0.746,0.113,0.857,159.971
35,Souvient Toi,5ljZe0fx2jvBzkllnY8o0j,0.69,0.186,8,-12.782,0,0.109,0.0163,0.771,0.111,0.478,170.185
36,Love Heals,04f1UBAxHbq95fCMqNnMhC,0.741,0.507,10,-11.025,0,0.0344,0.574,0.699,0.11,0.395,130.029
