setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,FOR A NUT (feat. Gunna & Young Thug),7HCX1Ch3mklJyEdpwPZBFW,0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-06,0.0956,0.305,82.037
2,Frozen,19n0UZuW8AArMVWNztoXu9,0.516,0.639,6,-8.716,1,0.5,0.141,0.0,0.101,0.252,126.073
3,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045
4,Certified (feat. Gunna),31xA2Iti4kb3aMiX75e8Y5,0.664,0.559,6,-7.568,0,0.075,0.139,0.0,0.303,0.548,153.95
5,Let's Get It (Remix) [feat. 21 Savage],1NVp7VnSVUJalgIBCIkh0w,0.863,0.499,7,-8.602,0,0.514,0.0758,0.0,0.104,0.76,80.073
6,Krazy Krazy,6ZjP85QdIaiTojLrKixvbT,0.593,0.818,11,-5.332,1,0.306,0.00207,7.57e-06,0.291,0.385,162.036
7,Right On,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991
8,Plenty,2ss1LPi7nbrzUKjxsRxkWH,0.759,0.493,1,-5.526,0,0.209,0.178,0.0,0.105,0.255,76.985
9,I'M DAT N****,0AAVJIN4plafvmNKqRCltG,0.911,0.573,2,-5.573,1,0.163,0.0112,5.83e-05,0.131,0.145,144.026
10,I Be,3p4YmRsO7aOu8PUbwdN3OB,0.905,0.724,0,-6.255,1,0.237,0.00813,0.0,0.329,0.361,136.982
11,Bestie,6r9xnueU24r4eoG3HXC87E,0.807,0.625,0,-6.67,1,0.351,0.0741,0.0,0.487,0.871,146.031
12,Rockin A Cardigan In Atlanta - Remix,62eyQ0C0IbRBplVsU1C3rL,0.908,0.67,1,-3.668,1,0.105,0.564,0.0,0.283,0.823,139.891
13,Fantasy (feat. Offset),2Hl9mZVT3fXMq4NwDa16sM,0.934,0.323,2,-11.125,1,0.552,0.0124,0.0,0.109,0.238,132.95
14,Serial Killers,5KcZNsrl7PMIxJ2xBbTwH3,0.752,0.617,7,-5.68,1,0.0544,0.0319,0.0,0.261,0.137,144.006
15,Thump Shit,5tLdDm1cVYAH2kk7TyjmdW,0.718,0.607,5,-7.307,0,0.185,0.00227,1.32e-06,0.299,0.499,144.93
16,Yak Flow,0PP7bQ2n8pnTrHT81t3GPd,0.706,0.513,8,-6.992,0,0.368,0.32,0.0,0.115,0.517,167.973
17,The World Is Yours,5GOScDxUt3v3UP0SqfFwXJ,0.638,0.666,7,-4.02,0,0.0714,0.0877,0.0,0.325,0.23,83.941
18,In A Minute,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216
19,Lights Off (feat. Gunna & Lil Durk),2pqu2XTbal0GehjBj2BDkv,0.776,0.671,9,-5.791,0,0.255,0.123,0.0,0.0913,0.456,147.06
20,Duntsane,3xySxvtSaRaxQ4nr2VCWEc,0.63,0.551,11,-6.504,1,0.417,0.0558,0.0,0.126,0.363,149.894
21,Plan B,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439
22,Pickin’ Sides (feat. Icewear Vezzo),0uX7dGC07Dd8mpvnCcWzH0,0.849,0.713,0,-5.633,1,0.293,0.0232,0.0,0.107,0.462,160.049
23,Banking On Me,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143
24,WAIT FOR U (feat. Drake & Tems),59nOXPmaKlBfGMDeOVGrIK,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389
25,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
26,Brazy (with YNW Melly),6wVUIV8RvwlLJlK1DsgVdj,0.758,0.623,4,-5.853,0,0.258,0.00934,0.0,0.0765,0.514,147.911
27,Flags To The Sky (feat. YoungBoy Never Broke Again),34nGTjKinQV46a8C8T2HfY,0.609,0.528,6,-7.385,0,0.401,0.182,0.0,0.239,0.605,141.966
28,We Not Humping - Remix,4ue41gFbAjoU0P1EberJWm,0.971,0.851,11,-5.586,0,0.269,0.0344,0.0,0.092,0.81,120.008
29,Wheelie (feat. 21 Savage),2BxboWjnfktO1E9HGfPXq1,0.911,0.667,1,-6.606,1,0.277,0.0313,0.0,0.0854,0.78,147.976
30,Rumors (feat. Lil Durk),0P2P1AxcRYhiZvoF5MyRmM,0.688,0.842,2,-4.211,1,0.264,0.0499,0.0,0.241,0.416,159.897
31,HOME,2WnPietHTd9hrIPbZnpoHL,0.895,0.468,0,-5.777,0,0.378,0.342,0.0,0.213,0.428,118.019
32,Voodoo,7k57GqXkbiHWEzZ1FwVGv7,0.724,0.418,4,-13.223,0,0.146,0.459,0.0,0.0758,0.696,132.159
