setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
2,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
3,STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928
4,positions,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015
5,good 4 u,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928
6,Hold On,4u4NyuceXP7Uzh7XFJKCr1,0.658,0.634,1,-5.797,0,0.0413,0.0106,0.0,0.132,0.29,139.98
7,Kiss My (Uh Oh),0MWiSBKm8Avs8iDIxcertp,0.638,0.878,5,-3.639,0,0.0484,0.0151,0.000223,0.308,0.481,103.948
8,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
9,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
10,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001
11,Prisoner (feat. Dua Lipa),2Oycxb8QbPkpHTo8ZrmG0B,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99
12,Sweet Melody,28xX6K8LnkZve4RiuEB3iK,0.448,0.824,5,-4.249,0,0.057,0.0739,0.0,0.113,0.419,119.965
13,Floating Through Space,2AceGjiX9isUbXmMZa0Dl1,0.575,0.844,6,-4.89,0,0.072,0.00172,0.0,0.114,0.277,104.914
14,At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,0.794,0.706,5,-6.066,0,0.0382,0.198,0.0,0.0536,0.908,116.032
15,WOW (feat. Sabrina Carpenter) - Remix,5WokFKscrfGEGGLPTu3jgO,0.702,0.744,6,-4.063,0,0.0861,0.469,0.0,0.0915,0.305,77.486
16,Run,2UbVnbE5FH6008mAm6Mmgw,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003
17,Lifestyle (feat. Adam Levine),0osvOdeD3YXZiWkT8MKolJ,0.749,0.674,10,-5.128,0,0.0366,0.0209,0.0,0.169,0.711,123.055
18,I Don't Know Why,0ZXdzaT1k688dkpNeEgQiV,0.499,0.898,8,-4.181,0,0.124,0.124,7.2e-06,0.0832,0.618,120.04
19,Prosecco,2E7R8kXD7qZpvfW25F7gUW,0.806,0.638,8,-5.698,1,0.0424,0.149,1.37e-05,0.119,0.858,104.976
20,Love You Better,4UuGBDjt8gLXsANZqZxMBz,0.733,0.786,11,-7.494,1,0.0422,0.0931,0.0013,0.1,0.786,102.999
21,Call On Me,1gX4wETtMGvOB7u1proVfj,0.582,0.889,0,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977
22,Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056
23,Tick Tock (feat. 24kGoldn),27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022
24,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857
25,Electric - Pokemon 25 Version,63eV5hreY9feQP2CmYavpj,0.615,0.701,0,-4.257,1,0.0472,0.00302,0.0,0.0471,0.251,98.073
26,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
27,Jalebi Baby (Tesher x Jason Derulo),6FvSS3Goz7OC8oCC2eWqe8,0.691,0.829,0,-7.179,1,0.0412,0.0289,0.0,0.254,0.866,93.059
28,Body Back (feat. Maia Wright),1z1XegUChLLQfcbtIK8ABn,0.686,0.83,8,-4.437,1,0.0369,0.0948,1.33e-06,0.182,0.486,123.032
29,Break Up Song - Steve Void Remix,1pcscaV1UUZxe6cRdxRaSp,0.768,0.758,0,-4.419,1,0.167,0.296,0.0,0.591,0.546,109.99
30,Slow Dance (feat. Ava Max) - Sam Feldt Remix,2wenGTypSYHXl1sN1pNC7X,0.732,0.85,1,-5.999,1,0.0444,0.114,2.02e-06,0.0388,0.372,124.024
31,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,1,0.0478,0.197,0.0,0.0943,0.483,125.983
32,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781
33,34+35,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978
34,My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04
