setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,I'M ON ONE (feat. Drake),6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
2,Frozen,19n0UZuW8AArMVWNztoXu9,0.514,0.65,6,-8.867,1,0.499,0.138,0.0,0.103,0.236,127.428
3,Goin Up,1wNdGz7BlB9kH5lDc1eLLb,0.732,0.672,10,-8.462,0,0.148,0.0642,0.0,0.121,0.16,137.03
4,Certified (feat. Gunna),31xA2Iti4kb3aMiX75e8Y5,0.664,0.559,6,-7.568,0,0.075,0.139,0.0,0.303,0.548,153.95
5,Right On,6ws54n2IzyrIxxyzlG2bVJ,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991
6,I'M DAT N****,0AAVJIN4plafvmNKqRCltG,0.911,0.573,2,-5.573,1,0.163,0.0112,5.83e-05,0.131,0.145,144.026
7,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
8,What Happened To Virgil (feat. Gunna),7ohROa13QK43JBRqfCmz4P,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037
9,Scrape It Off (feat. Lil Uzi Vert & Don Toliver),1dp8aQANyTRKssDeAYPiZe,0.594,0.679,7,-3.702,1,0.345,0.484,7.83e-06,0.114,0.66,106.726
10,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045
11,In A Minute,3ihIZrJreMJPjQdNLrEXnP,0.643,0.605,4,-5.968,0,0.297,0.0336,0.0,0.112,0.145,84.216
12,Let's Get It (Remix) [feat. 21 Savage],1NVp7VnSVUJalgIBCIkh0w,0.863,0.499,7,-8.602,0,0.514,0.0758,0.0,0.104,0.76,80.073
13,Sleazy Flow,5mt882Eqx22RwFOTE01jS8,0.825,0.234,9,-14.202,1,0.495,0.235,9.54e-06,0.0696,0.18,77.487
14,FOR A NUT (feat. Gunna & Young Thug),7HCX1Ch3mklJyEdpwPZBFW,0.824,0.667,10,-6.603,0,0.0814,0.00321,2.65e-06,0.0956,0.305,82.037
15,Banking On Me,7Fege3yv4dvehB3NdRBGwI,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143
16,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
17,Serial Killers,5KcZNsrl7PMIxJ2xBbTwH3,0.752,0.617,7,-5.68,1,0.0544,0.0319,0.0,0.261,0.137,144.006
18,In My Head,1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049
19,Krazy Krazy,6ZjP85QdIaiTojLrKixvbT,0.593,0.818,11,-5.332,1,0.306,0.00207,7.57e-06,0.291,0.385,162.036
20,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993
21,No Handoutz (feat. Yeat),1jkHLTFc1j6HMHnaGq8QCH,0.694,0.622,8,-6.739,1,0.237,0.00603,0.0,0.208,0.339,133.914
22,Rumors (feat. Lil Durk),0P2P1AxcRYhiZvoF5MyRmM,0.688,0.842,2,-4.211,1,0.264,0.0499,0.0,0.241,0.416,159.897
23,I Be,3p4YmRsO7aOu8PUbwdN3OB,0.905,0.724,0,-6.255,1,0.237,0.00813,0.0,0.329,0.361,136.982
24,Elon Musk (feat. Gunna),6g6FfeozIEkVUXecpSq16Q,0.826,0.583,2,-5.186,0,0.0626,0.441,0.0,0.155,0.539,140.039
25,Bestie,6r9xnueU24r4eoG3HXC87E,0.807,0.625,0,-6.67,1,0.351,0.0741,0.0,0.487,0.871,146.031
26,Changed On Me (feat. Vory & Polo G),0aJMggmjMva3QFnAbmM2U9,0.6,0.617,3,-6.794,0,0.117,0.0277,0.0,0.253,0.168,145.805
27,Heavy (with Lil Uzi Vert),02WDt2eCNOU2mt0DF5w678,0.677,0.558,8,-7.681,1,0.177,0.167,0.0,0.365,0.384,144.485
28,Petty Too (feat. Future),0VlpgNPHWCyh8xxLcaK2fp,0.824,0.577,2,-9.443,1,0.357,0.0109,0.0,0.107,0.442,154.081
29,Head Off,4CJbchKHZEboLnqQqPszoN,0.711,0.64,6,-6.605,0,0.173,0.133,0.0,0.125,0.579,138.114
30,Go Hard 2.0,6LhB5o2iWjJgNHqock5H3b,0.616,0.463,7,-7.666,0,0.18,0.611,4.65e-06,0.163,0.0682,145.289
