setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Love Me More,16MQETUgqXwY4lZcyRafU3,0.791,0.439,10,-5.62,1,0.0645,0.302,1.85e-05,0.126,0.559,85.004
2,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966
3,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19
4,Drunk (And I Don't Wanna Go Home),0QULNNd9z5s35entfiiXoa,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991
5,Tom's Diner,0oA9wBGDY4uyILLg4GymWP,0.68,0.428,6,-8.107,0,0.135,0.376,0.000344,0.355,0.334,98.222
6,FREEDOM,2QOB5UiRKggr2j9uMD3GYK,0.873,0.651,1,-4.179,1,0.0374,0.0251,0.000107,0.213,0.828,115.002
7,Treat You Right,2Iw4aBRgNgk1iBOvVCDNHJ,0.531,0.69,4,-4.631,0,0.0273,0.172,0.0,0.128,0.168,139.872
8,Clarity,5c6lM2zjAF6MFoD8C1hiBr,0.552,0.873,0,-6.065,1,0.0464,0.00137,0.000273,0.0966,0.62,125.059
9,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185
10,Love Like That,5FkMAjNnp34RGJJj9TTY2A,0.58,0.879,10,-3.579,1,0.0539,0.299,0.0,0.155,0.818,154.903
11,Can't Stop Us Now,6SOuxyJH5glKeDSFUJJ5tX,0.654,0.877,6,-4.818,0,0.0996,0.00837,1.1e-06,0.371,0.909,126.082
12,Where We Started,2yBWKK84uebv35lGajIMhc,0.6,0.533,2,-6.555,1,0.0256,0.272,0.0,0.0927,0.626,139.94
13,Levitating,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014
14,Skyline,1QxIFMs4M8qd5cbJJu80v4,0.733,0.653,11,-6.094,1,0.0391,0.0179,0.0218,0.184,0.752,119.996
15,dose,4KGTM5EQEWR1QMDvo8dzaZ,0.75,0.581,4,-5.011,1,0.0437,0.302,0.0,0.153,0.612,119.995
16,AM Gold - Tobtok Remix,7Bu6XaIeytnFdLrpMEpdug,0.669,0.826,1,-4.829,0,0.0538,0.00322,0.0,0.0449,0.878,124.995
17,2step,2SUxn2O9NHL6GHGQFgwCY0,0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002
18,Songs About You,7qox7CiK5Kf25oBxCA0rY5,0.649,0.558,8,-4.863,1,0.0253,0.147,0.0,0.172,0.635,89.988
19,I Burned LA Down,34Mg7rSCT7nRsf1kVCAvgz,0.666,0.547,11,-8.706,1,0.0643,0.145,0.000274,0.0987,0.165,117.991
20,Face The River,4ESI02gRSgi4HlZMH0JDyF,0.43,0.467,3,-8.176,1,0.0468,0.013,0.0,0.0785,0.157,124.877
21,i don't wanna lose again,7i486TulfhsAzMItM2zChQ,0.508,0.587,1,-7.588,1,0.118,0.391,0.0,0.311,0.305,171.827
22,Heaven,4hpGHoJuJTtAqq9pkevLp6,0.47,0.344,2,-7.596,1,0.0365,0.521,0.0,0.111,0.404,128.458
23,When You're Gone,0U1W2LZVUX7qTm7dDpqxh6,0.603,0.691,5,-5.805,1,0.0372,0.0248,0.0,0.583,0.577,147.148
24,Fall Into Me,7Lv78wiIJcKgND9Zi7AIOt,0.45,0.483,2,-6.754,1,0.0572,0.179,0.0,0.127,0.206,118.305
25,Everything I Know About Love,0jG5hLQSYrNnzApAjE0uIw,0.659,0.329,7,-7.438,1,0.0433,0.614,0.0,0.325,0.511,68.046
26,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
27,Good Person,4CtqJnvxzV1638eK7xts3V,0.442,0.592,10,-8.314,1,0.0476,0.276,2.21e-06,0.151,0.228,162.112
28,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.974
29,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
30,Humble Quest,2kxytjpDPwjZGqVLH8eWkr,0.623,0.727,3,-6.585,1,0.037,0.0721,0.000318,0.117,0.349,113.902
31,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007
32,Fancy Like,58UKC45GPNTflCN6nwCUeF,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994
33,Higher,1a5KFrCyfZLa6EeOU6kr7S,0.684,0.821,10,-5.497,0,0.0477,0.0314,6.65e-05,0.265,0.883,126.029
34,A Little Bit of Love,0eLXFaZoGjVbzNmMd4LpmA,0.586,0.83,2,-6.088,1,0.0265,0.0135,0.0,0.0993,0.337,92.328
35,Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
36,Dancing Feet (feat. DNCE),4RAR8g8fZNB106ezUurnE0,0.75,0.797,0,-4.826,1,0.118,0.293,0.0,0.392,0.523,105.949
37,Texas Girl,33ADzejAdZCu13hAcnzkIC,0.703,0.549,6,-7.011,0,0.026,0.0801,0.0,0.159,0.746,104.002
38,You Were Loved (with OneRepublic),4W1JavoraGzh83nluQHY6C,0.636,0.69,10,-5.011,1,0.0484,0.0947,0.0,0.169,0.444,123.994
39,COMPLETE MESS,1Y8COP6Oqef3UxIONvzx6I,0.398,0.519,7,-6.926,1,0.0315,0.0573,1.86e-05,0.191,0.133,81.377
40,Leave The Door Open,02VBYrHfVwfEWXk5DXyf0T,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088
41,My Love - Edit,0vQYe6g8bNbdUKnUnXdQQV,0.534,0.87,9,-4.428,0,0.075,0.00127,0.0,0.355,0.328,121.841
42,Hurtless,6HJizCbaqaEQG1eLjn341Z,0.37,0.559,0,-5.589,1,0.0526,0.186,0.0,0.121,0.316,162.816
43,Weatherman,5CmIIBRVQWLX2uXAkuBlS8,0.772,0.437,6,-6.877,1,0.0298,0.183,0.0,0.243,0.814,96.971
44,Speakers,1620rCO9xoE7kug77sS4AJ,0.416,0.55,6,-5.78,1,0.0493,0.802,0.0,0.319,0.529,99.383
45,Eyes Don’t Lie,2RSqIGxbnTQQjZIS5Iyakn,0.649,0.73,9,-4.742,0,0.0318,0.0452,0.0,0.497,0.399,94.979
46,West Coast,0sBJA2OCEECMs0HsdIQhvR,0.685,0.699,6,-7.803,0,0.0349,0.317,0.0,0.0895,0.884,134.057
47,Nervous,3AMUgKRaujIuutpMw4K7Zn,0.414,0.69,7,-6.917,1,0.0355,0.00459,0.0,0.0761,0.186,171.981
