setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Within The Boundaries,7K4zLYMA1snaoHKUpMCRTe,0.601,0.831,7,-4.59,1,0.0623,0.00176,0.659,0.624,0.22,100.035
2,Bloodbath,7z35ELbZv0zResMSqwsoKa,0.657,0.996,1,-1.08,1,0.318,0.00696,0.00154,0.484,0.175,150.084
3,Shady Intentions (feat. Tori Levett),7zN7l6yep9kPdBJeevfPvY,0.592,0.738,10,-5.975,0,0.0367,0.0645,0.092,0.109,0.319,158.051
4,Think Of You,1zqWDQbUlHWxjsXKe7KAr4,0.615,0.89,6,-4.182,1,0.059,0.0194,0.647,0.161,0.314,140.017
5,Fall Into Me (feat. Dylan Matthew),5jwPoLlVOLcawSpvDpwlty,0.441,0.834,7,-3.029,0,0.0641,0.0721,0.0,0.114,0.245,139.96
6,Puzzle Box,5EhnuLMer8qAXEDwmLtyrW,0.696,0.488,1,-7.508,1,0.0403,0.196,0.836,0.2,0.202,95.064
7,CRY,1xeOJfKycH2GR5UDwDNjzu,0.626,0.672,1,-6.806,1,0.0689,0.0704,0.463,0.131,0.0389,173.958
8,Seduce / Destroy,1eG6ogBMDCT36ciEocKV8V,0.625,0.808,8,-3.321,1,0.0333,0.000478,0.28,0.163,0.27,105.005
9,Open Your Mind,1ztnDy21iJOc5eH7wvbEeV,0.75,0.912,5,-2.17,0,0.176,0.0354,0.000377,0.766,0.612,146.179
10,Deja Reve,1nkpXkr1Qacmp2BPd6mgct,0.611,0.618,9,-6.573,0,0.0655,0.0029,0.000757,0.24,0.515,99.999
11,demolition (Ruined by Glass Petals),5ylMA5GG8VDjcYUGts2QNt,0.773,0.843,8,-5.733,1,0.0516,0.0074,0.428,0.0696,0.399,125.02
12,Light of Mine,3jMeoTAxDrZfkVxMmWcWCg,0.56,0.973,4,-2.389,1,0.086,0.000529,0.53,0.155,0.0749,159.976
13,Color Of Your Soul,71LZ7lwCisTG3H9UXKraTe,0.486,0.964,9,-3.615,1,0.0548,0.00147,0.0628,0.101,0.177,139.958
14,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]",7gCuKTyBb5nurNalzs0Hvp,0.487,0.669,9,-6.473,1,0.232,0.0145,0.00349,0.102,0.0573,172.026
15,Pathway,0au2fnq9tGdAGyNWuthEew,0.602,0.948,1,-4.418,1,0.07,0.00135,0.796,0.403,0.394,128.062
16,Gassed Up,6uwjDA0Qi6hk8C6lPJIMc9,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029
17,Nova,5d6jheZrGY0xNFNDeIGDrY,0.617,0.695,1,-5.881,1,0.0621,0.0108,0.658,0.138,0.241,120.048
18,Away From Myself,1MTHQrIE43p9HnjtC5kBDP,0.479,0.923,9,-2.41,0,0.0476,0.0026,0.0,0.154,0.328,149.999
19,Save Me,6VkomiRtWhCiFs4nzrzNUc,0.588,0.725,2,-7.635,1,0.0525,0.00705,0.297,0.183,0.278,150.072
20,Chemical Bond,5kn2FMZoBVClbA9CV7w3k5,0.635,0.93,2,-2.061,1,0.0583,0.000241,0.775,0.0918,0.0688,73.981
21,Spacetime (feat. NEVVE),39Hpybgua0RgOciVl1C4Sy,0.709,0.802,4,-1.146,0,0.137,0.0877,1.43e-05,0.323,0.546,140.072
22,Without You,1gs7LWmkKWpJ8M6cnWkK5e,0.564,0.887,9,-4.56,0,0.046,0.00443,0.00207,0.368,0.0658,127.952
23,Welcome to the Playhouse,1qXTtWP0sNcePb3tT2eHWL,0.784,0.969,11,-3.588,0,0.251,0.00369,0.000144,0.107,0.212,125.996
24,Losing My Mind (with Elohim),4uklTQyZiktk2DExXMRHZk,0.66,0.927,8,-6.915,0,0.0788,0.0851,0.375,0.308,0.613,113.015
25,Alive - 12th Planet Remix,70GVGpU0PCNX5op7l3qYTp,0.313,0.916,8,-4.218,1,0.0571,0.00639,1.39e-05,0.14,0.117,75.405
26,Griztronics II (Another Level),2il9NDpW87Hk2L9AjeDf8r,0.579,0.978,0,0.352,1,0.211,0.0205,0.00829,0.326,0.58,145.054
27,Ghost,5Y6LspDMKmZsFf6D5zhWoY,0.77,0.656,11,-3.73,1,0.264,0.272,6.28e-05,0.0937,0.856,91.97
28,Pain,5kiTsfqM10sKjL5FxwKHKn,0.638,0.778,10,-8.088,0,0.0631,0.0366,0.0929,0.11,0.156,105.092
29,New Day,0B9aBa926M7kus4kDZyLEd,0.493,0.68,10,-5.87,1,0.0365,0.165,0.00247,0.11,0.103,94.082
30,Out of Order,4WVQXOAV6OzmI475ZMpbSa,0.723,0.539,10,-7.265,0,0.224,0.0521,0.67,0.109,0.218,145.78
31,Deathstalker,3jToiObyGXOLaK5Xo15GZc,0.65,0.887,10,-3.944,0,0.0772,0.00088,0.866,0.163,0.111,129.978
32,PEACE LOVE & WUBZ,776eASGwFLhvAUYmWZvwrL,0.659,0.802,8,-3.597,0,0.0518,0.0018,0.00308,0.101,0.371,90.01
33,As Above So Below,5ZYi0t2DmjYEIvANnvHYKN,0.505,0.795,10,-5.976,0,0.046,0.129,0.00438,0.139,0.219,115.876
34,Guest List,4wu8x5GMH1GTZEAbDaMHz8,0.666,0.905,6,-2.756,0,0.116,0.0236,0.0296,0.067,0.487,135.101
35,Emptiness,4TPzn1tHoa186Nu2wb68r0,0.494,0.746,2,-4.775,1,0.0397,0.0012,0.0291,0.106,0.0398,194.043
36,Fear Of Dying,3lVaRWkDwUkHveuSbilYdE,0.503,0.494,9,-7.546,1,0.0412,0.326,0.000481,0.0954,0.113,70.035
37,Cheatcode,3iDtphWASBHIjVEB8lWBqs,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967
38,Miss You,2lxoIZS8tpFwbiJyrDYguI,0.392,0.472,1,-7.225,0,0.0481,0.0883,1.42e-06,0.0954,0.0526,74.473
39,Valley Of Violence,1jz6nNE00KCKqVXCzBr5JW,0.378,0.967,8,-2.649,1,0.131,0.00149,0.758,0.08,0.139,95.066
40,Sweetest Thing,4BCda1bJa57fTMB2laaOeX,0.544,0.591,0,-6.757,1,0.0407,0.00711,0.0,0.109,0.188,151.756
41,Turn It Up,64c7I8GWjcOqK8guyLmN8u,0.605,0.907,1,-2.818,1,0.0445,0.00193,0.438,0.11,0.196,145.015
42,Shadows,3j3PX04rM6SI8oNOl1T3n3,0.748,0.872,2,-5.01,1,0.0495,0.209,0.227,0.0392,0.134,124.01
43,Fearless,7pDUFFF3J4WEu1aZMW4M4b,0.696,0.978,4,-0.72,0,0.043,0.000446,0.000474,0.105,0.762,107.971
44,Trip To Mars,3jMtndFPgcjtKHuUnGHf9E,0.455,0.755,7,-6.888,1,0.25,0.0439,0.0178,0.245,0.352,140.797
45,Mitosis,1F1yF2KSilU2YLOMuYYf71,0.582,0.78,7,-4.519,1,0.0506,0.00365,0.0447,0.111,0.227,142.022
46,Gravity,5qCpcgqwL1Hum85sAQz3W7,0.631,0.862,2,-3.642,0,0.0999,0.153,0.00109,0.107,0.39,149.939
47,myyyy medssss,6eLn8mebeYCnCoFOaSPXhg,0.731,0.681,6,-5.755,0,0.0483,0.0858,0.00638,0.0803,0.258,100.001
48,Dimension,3IWkjBkiR4pHOkaHV52OMl,0.398,0.928,2,-1.203,1,0.436,0.00261,0.348,0.31,0.227,149.855
49,Carousel,2vP8axvS6mqgnPwwxMARPs,0.626,0.915,10,-2.466,0,0.0528,0.0342,0.00238,0.0893,0.123,150.055
50,Catharsis X,7ktbuWqGUsNmAS9OoNwgWk,0.471,0.964,9,0.385,0,0.0427,0.00122,7.33e-05,0.0656,0.118,175.02
51,Ur Body,4KD6CYSCX2m3rxYdQQuyYP,0.428,0.989,9,-2.064,0,0.189,7.69e-05,0.61,0.0868,0.103,142.066
52,Call Of The Unicorn,2KeKdCw71RYkItxXeW0UyQ,0.566,0.885,1,-3.973,1,0.144,0.00365,0.00839,0.284,0.31,135.06
53,Murda,2FZgVtcQhxPTeWJw7TZy3q,0.48,0.97,11,-2.059,0,0.162,0.000348,0.858,0.379,0.417,174.096
54,Pain Killer,5LNPEJ6scc19YXfivgWPAC,0.677,0.569,2,-5.811,1,0.0425,0.191,0.0,0.0745,0.337,99.987
55,Returning To You (feat. Alison May) - Kill The Noise Remix,51wet5zvE0ctCFkfJgiBT8,0.318,0.909,3,-3.032,1,0.137,0.0792,0.0039,0.0618,0.295,144.408
56,After Midnight,5NSr0xa9Qf4J8xKzDnC0uq,0.418,0.965,10,-2.417,0,0.163,0.0477,3.88e-06,0.561,0.28,139.759
57,POTIONS,1LCFPiP7R6toCsO3AYAWBj,0.753,0.708,2,-5.668,1,0.0346,0.00108,0.0392,0.195,0.0668,129.991
58,Guilty,1ZxXGPR6WgTuUzvvExUomd,0.221,0.727,1,-3.582,0,0.0602,0.0544,6.64e-06,0.17,0.0551,159.342
59,fisticuffs (featuring tiLLie),2e85E7oztd8Mc5Z4iKGXcL,0.529,0.505,11,-7.669,0,0.296,0.0903,0.000599,0.252,0.2,99.935
60,Forever,5PT3qIw4UV403M7MgZJWmc,0.493,0.614,2,-9.007,1,0.077,0.0766,0.000184,0.135,0.169,138.052
61,Mawlee (feat. Young Buck & DJ Afterthought),0CLaGp0DMEjocSrAtvhcJl,0.917,0.505,10,-8.73,0,0.331,0.278,0.00669,0.145,0.267,139.979
62,Just A Dream,0FpXOnJP3OtKU5zGKUtrdu,0.448,0.748,1,-2.567,0,0.0416,0.0328,0.00295,0.204,0.155,144.778
63,No Limit,7IVzMMlDsh4W4mIavGdKi0,0.452,0.994,2,-2.514,1,0.0773,0.0012,0.147,0.503,0.275,149.965
64,Falling Apart,5TQDtOeQ3IU2VqKbCn6Rwq,0.406,0.692,3,-4.96,1,0.0313,0.164,1.58e-05,0.184,0.197,144.959
65,See You Again,4pXG8Q82L8WvypAm5Wo86y,0.248,0.588,8,-6.292,1,0.0459,0.0415,3.27e-05,0.123,0.0382,150.419
66,End Of The World,57Gbza8PAWUhQfoArMnEJk,0.236,0.646,3,-1.788,1,0.0338,0.0526,0.0,0.341,0.237,138.54
67,RETURN TO NOTHINGNESS,2huuvkWXprS1pR4VJ8UuG7,0.59,0.946,11,-2.834,0,0.177,0.000839,0.9,0.04,0.462,160.038
68,Oldskool,3x34JXZdyZdkfEgkHT3eNC,0.517,0.987,5,-3.365,1,0.227,0.00138,0.00553,0.222,0.0829,140.358
69,Waterfall (with RUNN),7Htpx6uYJeIwu8IIVeB975,0.261,0.71,5,-3.641,0,0.0385,0.00891,0.0,0.113,0.0991,71.168
70,INERTIA,5pqaZzkZ5AnjZs5AV3Bnvn,0.418,0.918,7,-3.814,0,0.106,0.000941,0.0903,0.103,0.258,154.951
71,Kill Me With Your Love,0wEhUkwFAAahFN2OITEy4q,0.754,0.701,10,-6.252,0,0.0398,0.192,0.364,0.0709,0.306,114.019
72,WITH U,1xuIethB7B6S14ZdQ2LxoW,0.53,0.937,4,-2.479,0,0.0687,0.0475,0.00727,0.153,0.0374,145.007
73,Not Bees,6XQoXvZzIIOsUVobKDwPtg,0.752,0.859,1,-1.693,1,0.304,0.00463,0.733,0.304,0.585,125.038
74,Takin' Over,16laBcAyTKhLY50kHQ11b2,0.432,0.936,5,-4.835,0,0.111,0.00563,0.000149,0.171,0.859,145.666
