setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Ride With Me (feat. Kid Ink) - Brennan Heart Remix,74CkeJ0vYYTdQImnaLy759,0.693,0.864,4,-4.17,0,0.0483,0.278,0.0388,0.0777,0.142,149.998
2,Infinity,4oXfq53zABX3oq2fQ7zDzj,0.152,0.932,11,-2.935,0,0.157,0.0938,0.0,0.0967,0.318,199.713
3,By The Sword,07B46HFSAMauWkHwp5n50P,0.499,0.761,10,-6.397,0,0.034,0.209,2.72e-05,0.0998,0.168,149.968
4,Side Fx's,7fwYN5u0dYRNqshCjhJWDF,0.616,0.825,9,-4.094,1,0.138,0.0078,0.00083,0.509,0.0595,105.12
5,Time Will Tell (Official Reverze Anthem 2022),5iOnaHiwl3grSPx9zNTZy8,0.499,0.908,0,-3.937,1,0.081,0.0717,0.00781,0.157,0.123,149.975
6,Paradise,3fdK0eZWK2iNOdigAxvDGr,0.319,0.861,5,-4.11,1,0.0544,0.0368,7.48e-05,0.252,0.202,149.652
7,Nobody Said It Was Easy - Sefa Remix,5qeMz1IZRziSatqOG3ZHz6,0.447,0.955,3,-5.15,1,0.0582,0.0472,0.00323,0.151,0.0762,95.008
8,HALO,2udt4wACN5ooY9ugyH5leQ,0.496,0.753,8,-6.253,0,0.0663,0.00158,0.00327,0.407,0.141,150.351
9,Sweater Weather,77y3caTFtC3n4tGgyPUF87,0.559,0.85,8,-5.276,1,0.0596,0.0118,1.57e-05,0.115,0.33,155.064
10,Rave Love,0YHL0wDP6b7ov6h0yEhorO,0.393,0.895,6,-4.935,0,0.0493,0.00259,0.000407,0.151,0.183,160.057
11,Jupiter - Brennan Heart Remix,6m04xxSJv2P5VfNbuhsdEy,0.33,0.957,6,-3.558,1,0.0473,0.0796,1.84e-06,0.176,0.217,145.382
12,Epic Sax Song,1MBCOLWlw0wXeSlCgLQCK9,0.496,0.901,5,-5.348,0,0.0709,0.00592,0.308,0.0725,0.289,150.079
13,Harder State Of Mind,3QeEf7TMugwZkmn0hPmXio,0.515,0.94,9,-2.452,0,0.0478,0.0044,1.06e-05,0.23,0.284,150.051
14,Million Dreams,0yHP5chOwBC6BUWXPIxQcc,0.524,0.709,5,-6.2,0,0.0352,0.162,0.00013,0.0809,0.209,149.949
15,Everytime We Touch - Sound Rush Remix,6HRQ2TCrIFhZpIdI9DyhEh,0.57,0.961,5,-3.913,0,0.0871,0.00236,0.00014,0.222,0.452,150.056
16,Weekend!,1lV8sXL01UVaw6g0fawtsC,0.5,0.944,8,-1.975,1,0.0373,0.0378,0.148,0.638,0.404,150.065
17,Dance With The Devil,5VCUf3CJuflyaCHf7Fa4mS,0.487,0.939,8,-3.182,0,0.268,0.0261,0.0,0.0699,0.156,155.06
18,Fight As One,4qJaSXeOW28mgxHFRQ87nF,0.406,0.884,10,-5.939,0,0.112,5.34e-05,0.0224,0.1,0.0403,153.124
19,Harder Generation,6iLMS7BoubufyLfSf2PUpy,0.273,0.949,4,-3.437,0,0.136,0.000493,0.000932,0.676,0.0911,149.837
20,Fight For Something,4v0pQjXKhn23KCOymfoSsh,0.504,0.728,11,-5.089,0,0.0334,0.00376,0.0,0.14,0.116,150.011
21,Happy Place (feat. Cathrine Lassen) - Refuzion Remix,2PMzTucvbLGxeHxoFS5giO,0.401,0.636,5,-5.882,0,0.0397,0.0431,5.08e-06,0.418,0.299,74.279
22,Survivors,2HvGzbTKJTP8WuKU1EClIw,0.475,0.884,2,-2.619,1,0.064,0.00123,0.0842,0.0871,0.224,149.941
23,Together As One,22bQ4WJUJeRRZIV1y571Vt,0.537,0.892,8,-3.613,1,0.0361,0.103,3.03e-05,0.126,0.525,150.092
24,Toss A Coin To Your Witcher,2jkoanGKXN9I3gfeYo4aph,0.268,0.867,10,-4.439,0,0.0922,0.0171,0.0,0.108,0.301,149.953
25,Surrender - Hixxy Remix,7qK0mNHVdVbnqt3Prd26Vs,0.467,0.965,7,-1.564,1,0.119,0.0155,0.00155,0.116,0.174,164.961
26,Believe,16nZM3KlpTBqdS7qyRRKei,0.568,0.939,5,-3.308,0,0.0778,0.0336,0.000293,0.335,0.231,150.031
27,Rave Culture 2022,3xeaR6dAHQHU6rtUPRK9tX,0.292,0.947,1,-4.449,1,0.0906,0.00171,0.593,0.191,0.0859,150.101
28,Moonlight Shadow,0R2KmlsyojxoYG8wxcd5XX,0.457,0.92,5,-4.309,1,0.102,0.0137,3.43e-05,0.133,0.39,145.176
29,Thunder,1P0mcQCTn85NY7I1cKFVZh,0.486,0.846,0,-3.31,1,0.0777,0.0622,0.00403,0.345,0.162,153.038
30,So Easy,2Bu8h5cBNTN3Zd6oXFMHTV,0.561,0.759,2,-5.141,1,0.0425,0.129,0.0,0.0804,0.397,150.12
31,Trip to Valhalla,2D9WT9MeG07a26kKU9IGEb,0.567,0.988,1,-2.879,1,0.187,0.0232,0.0351,0.149,0.0634,100.025
32,Fight Fire With Fire,6CfSkSgeS4qR7EucYNfpIY,0.515,0.851,8,-3.353,0,0.062,0.0608,0.0,0.209,0.274,155.022
33,Silence - Brennan Heart Remix,0cfxGRaCEFKwz66bURIYz5,0.204,0.817,9,-3.706,0,0.0505,0.0196,2.9e-05,0.0678,0.195,149.686
34,Trip To Mars (Astronauts),7kUBocchlTtTZVNplR9ZJI,0.418,0.865,2,-6.068,1,0.148,0.000647,0.000125,0.441,0.253,150.027
35,My Beautiful Fantasy,0BAsf69u0gltlMFYMADpAn,0.319,0.865,2,-2.526,0,0.0415,0.132,0.0,0.135,0.0832,155.133
36,DYSYLM,4tV6ku4jEYw9L5gZuNpCbP,0.532,0.878,7,-3.933,0,0.215,0.0102,0.201,0.169,0.385,169.962
37,Popcorn,2WEAjQeoTRm7T3leqV2YfQ,0.596,0.965,7,-5.552,1,0.227,0.0343,4.48e-05,0.0798,0.338,154.976
38,Addicted to the Bass,4UJie4npIuGkiA8rkndBS6,0.6,0.918,5,-2.909,0,0.062,0.0107,0.00118,0.104,0.267,149.999
39,Spaceman - Dr Phunk Remix,3xOMaVP3Rj9xsDKT8B8O84,0.39,0.786,4,-5.208,0,0.0578,0.00684,0.0,0.116,0.148,148.644
40,Sinners Paradise,3zpOfaD3mZDnobX66g8hx6,0.441,0.843,7,-6.342,0,0.0668,0.00111,1.54e-05,0.452,0.159,159.842
41,Drift Away (Numa Numa Yay),5FvdZ8gbPKr6qfen05303Q,0.544,0.975,0,-2.965,1,0.0799,0.00296,0.0,0.133,0.318,149.913
42,Supernova,34Bw1YNUaB58jL6dgRB3ST,0.532,0.966,2,-4.517,1,0.0727,0.00298,0.565,0.473,0.279,150.007
43,Music Of The Mind,0KoIrrbZr8rMXhFQK8T5Eg,0.366,0.871,9,-6.243,0,0.0823,0.0933,0.579,0.0693,0.19,149.745
44,Country Roads,6wwAp1Cmkcwc7tlrP9U2X9,0.37,0.824,9,-3.82,1,0.0944,0.167,3.8e-06,0.972,0.273,155.005
45,Follow Me,0i4TjNgCqT5uErNqNO8B5e,0.418,0.706,2,-4.956,1,0.035,0.0368,3.97e-06,0.226,0.226,149.867
46,A New Beginning,0Z9J2O5kjOoZi53ZB8krgJ,0.33,0.881,3,-6.401,0,0.139,0.000767,0.0,0.0746,0.256,159.964
47,Lose It All,5u6MUAawmhnFHVGaAGDj2v,0.362,0.752,0,-4.449,0,0.0384,0.161,0.0,0.135,0.282,149.548
48,Coming Down,4gobxfa0JUTV1riZfyHSqm,0.493,0.856,1,-2.561,0,0.0886,0.000426,0.161,0.207,0.462,160.082
49,Beat Of The Drum,2SfZz1PiMgma882CqeEvqf,0.511,0.862,11,-4.794,0,0.0469,0.00205,2.72e-05,0.0814,0.238,152.942
50,Enter Your Mind,7wLouWhFJrXLWtCyCIhXDZ,0.495,0.95,7,-3.941,1,0.13,0.00145,1.71e-06,0.156,0.355,150.034
51,Everything is a Lie,5wnp6uV25Z92zoQh8NuMKj,0.479,0.998,1,-1.378,1,0.252,0.0019,0.192,0.301,0.0584,99.98
52,All Night (feat. Ally Brooke) - Zero Days Remix,2afCjVAtVunsZMXlC4O6Ck,0.475,0.838,0,-6.081,0,0.059,0.00213,0.0,0.105,0.419,149.88
53,Renaissance Of Rave,4Pz8GNHkByRlPSnhBK0Qj9,0.24,0.657,2,-5.781,0,0.044,0.000389,0.000717,0.256,0.112,157.103
54,Awaken,1BRMT9ruyij1tKK1YqAf4S,0.368,0.842,9,-3.998,0,0.0707,0.0509,8.63e-05,0.483,0.0874,75.616
55,All Or Nothing,2ybm6gECxGAXmmsoNUtgLc,0.518,0.846,11,-3.717,0,0.0494,0.00904,1.18e-06,0.12,0.249,149.947
56,Legend,05EG9LwFCVjkoYEWzsrHHO,0.294,0.707,2,-5.418,1,0.0389,0.0408,0.106,0.0705,0.0395,149.94
57,Feel Inside,52173U8Lw9eFYIQUGZUpQT,0.549,0.921,0,-1.185,0,0.0636,0.00734,7.37e-05,0.184,0.261,149.955
58,F.O.O.L. - Hard Mix,5PaX3RxYZKeqIZzuC2vtOH,0.522,0.743,1,-4.62,0,0.0429,0.0791,4.35e-05,0.428,0.0716,155.085
59,Invincible,6GXB5IyqwhZMdyYqpPkW1X,0.506,0.929,2,-4.026,1,0.0595,0.0429,0.602,0.1,0.139,150.064
60,Rave Into Space,2fR4NdUZJditzpS2iBWxiY,0.36,0.896,10,-4.2,0,0.0958,0.0185,0.000895,0.579,0.119,150.127
61,Cambodia - Denox Remix,13iggCttHe1aj0O9wVQxC7,0.302,0.808,5,-3.598,0,0.0429,0.000191,1.1e-06,0.201,0.326,150.026
62,Project X,7q2EWEolm4VaE1qAnl7c1W,0.401,0.939,7,-4.961,0,0.0914,0.000548,0.00153,0.157,0.132,150.278
63,Painkiller,64Px3778pZysUszyxs2sCM,0.533,0.864,8,-5.591,0,0.0741,0.00768,8.92e-06,0.368,0.613,150.038
64,"Alone, Pt. II - Da Tweekaz Remix",22iyqD0gyzWHy6oAvPVAWk,0.555,0.91,3,-3.653,0,0.0628,0.137,0.0,0.335,0.55,154.932
65,Moonlight Shadow - Stereo Faces Remix,4tjJ8HNYrI3msWoD9ZCIa3,0.433,0.727,11,-7.7,0,0.054,0.00245,0.0,0.0685,0.483,150.052
66,Shape Of The Heart,6IidPTVxKDP61LOxVwVhOu,0.534,0.954,2,-3.219,0,0.153,0.043,0.00481,0.0601,0.378,74.982
67,Hunters Lullaby 2020,0ZvKkulRYWDCheU3Wb9yFY,0.443,0.844,8,-5.873,1,0.0626,0.0015,0.000615,0.141,0.238,170.141
68,Walk Away,5hEsHqgfsjKNwManuyyIup,0.501,0.938,6,-2.854,0,0.0518,0.00252,0.0,0.175,0.102,150.048
69,Us Against The World (Da Tweekaz Remix),3uJnYKR844kT7MLpm0cquz,0.478,0.878,1,-3.431,0,0.0403,0.0431,1.93e-05,0.0719,0.289,149.671
70,Time Machine (ft. MC Stretch),5WETmx6UGJQq4un9JquKsk,0.327,0.953,1,-5.657,1,0.462,0.000585,6.45e-05,0.0813,0.143,144.415
71,The Master,0zP1BZps3Or5ukfRZDwTjt,0.356,0.779,10,-4.121,1,0.0359,0.0371,0.0,0.323,0.166,77.992
72,Deep End - Maxtreme Remix,3eKF84e3XvQjaKoPYMbBk1,0.666,0.943,4,-3.633,0,0.0664,0.04,1.49e-05,0.277,0.185,155.014
73,Garden Of Magic,4SadIiJGMYMFltjEbqG3Ik,0.189,0.803,11,-4.536,1,0.0738,0.00826,1.28e-06,0.101,0.102,155.207
74,Superstring - Aftershock Remix,7qyFlRMfN3B1eUXzKoVRw2,0.303,0.983,11,-6.266,0,0.267,0.00075,0.909,0.432,0.126,155.103
75,Fiyah,63ZeusTUWqJAlKi799WFjO,0.598,0.931,1,-5.891,1,0.0581,0.00151,0.0146,0.333,0.288,159.959
76,Masquerade,6dY252zE6zlcsVk0ozMsmh,0.43,0.942,11,-0.795,0,0.0349,0.00194,0.0,0.109,0.394,154.94
77,Fiyaaah!,1gWAtvmMbhH6WPLes1swNh,0.614,0.864,7,-2.242,1,0.0572,0.0184,0.00016,0.292,0.392,149.985
78,Feel It!,01xdiGuSuIf5qZulm1uqkY,0.459,0.941,9,-2.053,0,0.0777,0.0191,0.0,0.371,0.399,155.023
79,Dragonborn part 3 (Oceans Apart),6c0vdY5EZOx8g95uWcp3uI,0.244,0.692,9,-6.225,0,0.0536,0.00356,8.75e-06,0.12,0.0993,149.673
80,Liberté - Sefa & Outsiders Remix,3oNDynp3Y6F9NvCMqvoxYI,0.425,0.997,7,-1.608,1,0.214,0.233,0.338,0.294,0.435,92.479
81,Fired Up - Hard Mix,6PRSyJAQ1uXvum4oKLZk7I,0.496,0.955,10,-1.27,0,0.107,0.00743,0.0,0.308,0.208,76.483
82,Paper Thin - Headhunterz Remix,0OKHUom3gY9xWago6Y1BKk,0.398,0.799,1,-4.424,1,0.0484,0.031,6.59e-06,0.19,0.288,154.046
83,Here To Stay,4bidbyOK1pdyHM3Hu0cvKO,0.482,0.935,8,-5.081,0,0.108,0.0113,0.00065,0.118,0.331,150.036
84,No Paradise,0N4QGYBSaeRwmo4pxuEG0x,0.498,0.936,11,-4.479,0,0.0766,0.00507,2.84e-06,0.12,0.334,154.872
85,Summer Is Magic,4fGMjp3k7d7OAx6y9zAIDN,0.465,0.964,8,-5.821,0,0.0557,0.0106,0.0134,0.471,0.305,149.962
86,Run From Reality,6XAjjeQkt52pLVFaIk6gNi,0.437,0.931,3,-1.232,0,0.0639,0.057,0.0,0.347,0.315,77.496
87,Underworld,1ETYrKbemhUqMukP04fxe2,0.433,0.564,9,-5.855,1,0.058,0.0539,6.31e-06,0.34,0.165,155.196
88,Fine Day,7aKme0bvekUFoMI0cHGIRk,0.502,0.956,1,-4.445,0,0.0874,0.0772,0.00194,0.0455,0.266,150.018
89,Demons - Restrained Remix,4cN1uno0iSzRsOOSE4NvF9,0.453,0.96,6,-2.07,0,0.105,0.0357,0.0,0.103,0.0816,175.003
90,Muzika - Sefa Remix,4mALGoOhRMFVfphsMppSb2,0.447,0.993,5,-0.77,1,0.0431,0.000505,0.981,0.517,0.0389,100.005
91,Hammertime,5KgReCVMtv4Tsmt0Hb0Tyu,0.555,0.939,1,-2.746,1,0.413,0.12,7.88e-06,0.0726,0.229,160.06
92,Defend The Hard,322CxP5qqwIpfLzuOjWZOh,0.294,0.855,1,-4.869,0,0.106,0.000696,0.0516,0.062,0.159,149.007
93,The Unknown,4nGo5AabSgVXsFCCad8cnb,0.406,0.686,2,-7.872,1,0.0734,0.00153,1.59e-05,0.131,0.137,74.967
94,Watch Us Die,74as9DvHT2hAWpbbw4ewWA,0.544,0.92,6,-4.186,0,0.22,0.00473,3.77e-06,0.271,0.237,154.92
95,Until We Meet Again,1XbRJOe3vF3uevpkEAinIa,0.48,0.574,5,-7.539,1,0.025,0.588,0.00982,0.118,0.322,155.026
96,Stereo Love - Dark Rehab Remix,7y6r9UBkaWSproYktbdPkz,0.535,0.852,1,-4.881,0,0.0366,0.00741,0.0,0.097,0.295,150.01
97,You Spin Me Round (Like a Record) - Earsquaker Edit,74LLvj0QShtvR5fpufIDtx,0.563,0.909,10,-3.965,1,0.0433,0.0811,1.5e-06,0.0943,0.774,149.925
98,Freaky,2fd3xKY5HZZKaS9Ynvynb1,0.522,0.807,5,-5.338,0,0.0455,0.0259,8.7e-06,0.474,0.11,149.985
99,TMY,3bVYgzFGeFpgX3kMeGjIEc,0.194,0.655,11,-4.905,0,0.0382,0.00885,0.0,0.122,0.242,146.523
100,Das Boot,0iNIsiJLxEBeqCcKzvBT9A,0.352,0.844,11,-5.711,0,0.0701,0.297,0.422,0.0951,0.0445,74.851
100,Das Boot,0iNIsiJLxEBeqCcKzvBT9A,0.352,0.844,11,-5.711,0,0.0701,0.297,0.422,0.0951,0.0445,74.851
101,Home,0zolxiS5uiL5towOJrsJi4,0.552,0.829,6,-4.988,0,0.0845,0.187,5.44e-05,0.283,0.367,150.039
102,Living For The Moment - 2020 Remix,4gZNHeY0uBX0f9VTV1VA3Y,0.323,0.791,1,-4.943,0,0.0527,0.0579,0.0,0.321,0.0546,113.959
103,Checkmate,4P9NGUErZYU2SGWll3lCCS,0.458,0.935,2,-4.032,1,0.168,0.0252,0.000201,0.108,0.227,170.015
104,Hard 2 Hire,1OB78PnhUrUSmzDHgitVSD,0.433,0.979,2,-2.32,1,0.108,0.0508,6.17e-05,0.119,0.159,180.078
