setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Come As You Are,4P5KoWXOxwuobLmHXLMobV,0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125
2,Yellow Ledbetter,3bE5slaVEfaDreqARl6k4M,0.504,0.354,4,-11.3,1,0.0339,0.29,4.71e-06,0.157,0.292,140.87
3,Black Hole Sun,2EoOZnxNgtmZaD8uUmz2nD,0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435
4,Would?,5sFDReWLrZHLFZFjHsjUTS,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675
5,Interstate Love Song - 2019 Remaster,6qLEOZvf5gI7kWE63JE7p3,0.215,0.927,9,-7.327,1,0.0452,0.000273,0.00661,0.126,0.49,170.814
6,All Apologies,1Ic9pKxGSJGM0LKeqf6lGe,0.446,0.632,1,-12.197,1,0.034,0.0793,0.000266,0.0881,0.359,113.176
7,Man in the Box,6gZVQvQZOFpzIy3HblJ20F,0.355,0.791,8,-7.565,1,0.0453,0.00045,0.0,0.0969,0.758,106.392
8,Alive,1L94M3KIu7QluZe63g64rv,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009
9,Fell On Black Days,1wlKw9NAWVWpx7OIAyg9EA,0.574,0.739,4,-5.745,0,0.0271,0.00152,0.000328,0.141,0.514,101.069
10,Plush - 2017 Remaster,0CkspLl535ZxdwCRs8AdZ4,0.426,0.94,7,-5.279,0,0.0423,0.00671,1.72e-06,0.14,0.466,144.49
11,Hunger Strike - 25th Anniversary Mix,3CtphwpjC0XjIVpLFvGiQR,0.384,0.735,7,-6.522,1,0.0317,0.0252,2.76e-05,0.114,0.312,137.834
12,Nutshell,2JuasWPUodaUxf5nwNpciQ,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136
13,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006
14,Jeremy,62nQ8UZVqR2RMvkJHkcO2o,0.285,0.846,2,-6.472,1,0.0438,0.0404,0.0,0.182,0.287,108.808
15,Rooster,0wvIGFIgbyz4JNwQhZgTv2,0.271,0.551,3,-8.46,1,0.0272,0.0307,0.000581,0.118,0.2,143.899
16,About A Girl,55yvzYuvJYG2RUEnMK78tr,0.409,0.932,11,-4.538,0,0.0339,1.87e-05,1.6e-06,0.31,0.591,131.761
17,Outshined - Remastered,4VwPsMcRt1HPVKIdcwY9Uj,0.485,0.841,2,-6.068,0,0.0307,0.000173,0.00686,0.125,0.551,94.867
18,Creep - 2017 Remaster,6dmueYtoihUhlQZlImBCmm,0.662,0.485,4,-9.161,0,0.0304,0.00483,0.000295,0.086,0.171,107.767
19,Daughter - Remastered,53eJFr4Mfbw5PXJ01K6cFw,0.615,0.702,7,-9.686,1,0.0278,0.00746,0.00431,0.0608,0.734,96.987
20,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761
21,Down In A Hole,7FRfYOql61DGDp9VPPe2qA,0.357,0.795,6,-5.909,1,0.0337,0.0134,0.00013,0.111,0.416,97.171
22,Far Behind,3mhOmh4tRKsMfnRmgZfeBm,0.552,0.645,7,-6.595,1,0.0268,0.00187,1.38e-06,0.0424,0.588,89.518
23,Alone + Easy Target,5XUpAb2zC8G404RPkwb09H,0.226,0.978,7,-7.27,1,0.107,0.00424,1.47e-06,0.109,0.137,131.586
24,Glycerine,7wpYSigAhQeZp3cdsMQ3Af,0.437,0.337,5,-11.439,1,0.0326,0.0371,0.000946,0.0981,0.0784,114.239
25,Even Flow,6QewNVIDKdSl8Y3ycuHIei,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338
26,Spoonman,1jMaB19DiVR8OihLSuYFOt,0.457,0.902,7,-5.624,1,0.0313,2.17e-05,0.196,0.258,0.834,92.711
27,Something In The Way,1nFtiJxYdhtFfFtfXBv06s,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218
28,River Of Deceit,3e2fDgC93LGc9Lbdvr6I9k,0.461,0.246,0,-13.487,1,0.0298,0.111,0.000374,0.0963,0.178,88.446
29,Seasons,4QglwXpVgc088RhQOp42vx,0.48,0.384,10,-12.705,1,0.0304,0.181,0.105,0.124,0.194,152.184
30,No Rain,6txWz9UapYHVxEd7dDIHXT,0.389,0.476,9,-9.342,1,0.0316,0.619,5.09e-05,0.255,0.566,148.117
31,Say Hello 2 Heaven - 25th Anniversary Mix,6gpai6xL08vD5mQ4fXTwxL,0.304,0.769,0,-6.672,1,0.0334,0.0576,9.14e-06,0.373,0.285,148.736
32,Rusty Cage - Remastered,6hqIXyo6GxydAnoI8XeIrV,0.307,0.917,9,-7.599,1,0.0977,1.65e-05,0.00044,0.0566,0.266,101.879
33,Sex Type Thing - 2017 Remaster,6skC0VsaOZE1kG4CwXI2Zj,0.404,0.925,9,-7.336,1,0.041,1.39e-06,0.628,0.0418,0.773,134.177
34,Nearly Lost You,4EiLHuUSKTlaGmdR17J2tc,0.192,0.908,7,-9.127,1,0.072,3.37e-05,0.000162,0.279,0.481,201.254
35,I Don't Know Anything,5DRUgJmwLvCHQjiFzb4LSQ,0.341,0.912,6,-4.03,0,0.0393,0.000577,0.0,0.428,0.416,177.051
36,I'll Stick Around,4LGKzrdEeBwR9UHCGlDT0W,0.306,0.985,0,-6.687,1,0.0822,0.00254,0.626,0.13,0.255,133.963
37,Possum Kingdom,7geL2YhrXDr9tFjoNJMaSZ,0.564,0.654,11,-7.507,0,0.0251,0.0742,0.148,0.131,0.446,181.081
38,Cut You In,0ecuZefr04QYl0cGpT53Nz,0.632,0.742,10,-6.785,1,0.0342,0.225,0.00115,0.138,0.725,119.509
39,Crown Of Thorns,3UhOnJHr4XYGgFLoQE9JFt,0.364,0.414,4,-14.011,0,0.0298,0.146,1.15e-06,0.0975,0.458,139.116
40,Between The Eyes,3XTTk5s0RTsiie4fkPTcdU,0.634,0.909,2,-8.332,1,0.0289,0.171,0.00318,0.102,0.816,103.398
41,Plowed,3vaONhSGEscyYeYoGpMLW4,0.412,0.88,1,-9.001,1,0.045,0.00252,4.39e-05,0.09,0.234,105.241
42,Pretend We're Dead,3z5ggGtcs4t8pizW521gW9,0.569,0.789,4,-8.559,1,0.0309,5.62e-06,0.642,0.0811,0.911,115.152
43,Revolve,09hctAvAEUpm7MKl1RBK2j,0.448,0.796,2,-7.896,1,0.0283,0.000274,0.443,0.171,0.565,97.178
44,Violet,6CHENx8iqzMwavTIz8s0gm,0.287,0.78,7,-6.493,1,0.0469,0.049,3.71e-05,0.184,0.383,167.278
45,This Is a Call,2wO8aOvN1ogLy1N8XT1WJE,0.261,0.964,9,-6.654,1,0.0638,0.00141,2.87e-05,0.183,0.326,162.902
46,Burn a Hole,7fJZisLc35j8EbIQxTFx8b,0.232,0.876,2,-8.287,1,0.0415,1.38e-05,0.258,0.255,0.133,103.556
47,This Is Shangrila,7lznzPjPyRFdcYaD9gN7a3,0.467,0.774,4,-10.617,0,0.0515,0.00428,0.00134,0.158,0.324,109.529
48,Shitlist,7fxpqs4G8vj3rFYbJnsG7w,0.419,0.916,1,-8.373,1,0.0604,9.2e-06,0.184,0.0751,0.495,128.981
49,Shadow of the Season,0donjzZGsCA2PfPUA4EdMN,0.163,0.937,0,-5.502,1,0.0882,4.63e-05,0.00297,0.372,0.413,184.482
50,Crazy Love,50f5BoytJN3FrlUtDgltO5,0.43,0.885,0,-6.418,1,0.0354,2.11e-05,6.97e-05,0.447,0.56,106.096
51,Leafy Incline,3YsG8BwqrJzM3DOqYpFLp0,0.24,0.863,11,-8.046,0,0.0402,1.58e-05,0.416,0.0944,0.331,75.591
52,Start Choppin',7yThIhNzpgDBIGoL2y1y6u,0.373,0.755,2,-7.574,1,0.103,0.00411,0.000799,0.0635,0.57,111.813
53,Doll Parts,49t1GWE6ZiEoBgN92oMDdM,0.245,0.542,7,-7.159,1,0.0324,0.147,4.05e-06,0.102,0.365,204.824
54,Jezebel Woman,5eXJylmFFCqixTxJGYKny8,0.217,0.736,9,-7.309,0,0.0409,0.000689,2.46e-06,0.0821,0.246,130.404
55,Volcano Girls,3cMliO9emUSa4d1Ap2MbfW,0.543,0.961,4,-2.749,1,0.0373,0.000789,1.29e-06,0.431,0.567,131.463
56,Touch Me I'm Sick,2x5FYXo5rL4Phmn3UPdkK3,0.354,0.941,1,-6.984,1,0.0737,4.79e-05,0.66,0.331,0.569,131.442
57,Losing Skin,36CTxkvfEPmhZ95y2le5F2,0.209,0.951,0,-6.326,1,0.0609,6.51e-06,0.00619,0.0829,0.471,100.945
58,Swallow My Pride,1LvJ1PFobtIm5DwzRrK0jG,0.349,0.869,4,-11.481,1,0.0934,0.423,0.0,0.76,0.193,127.44
59,Suck You Dry - 2008 Remaster,3Fg4SlOiqKDodVJbAM2Gut,0.248,0.98,6,-7.1,1,0.0878,3.19e-06,0.795,0.0688,0.513,152.956
60,Six Foot Under,6AZFTXEbrftYn5Ca0PaKru,0.473,0.918,2,-5.009,1,0.0441,0.00784,0.00011,0.128,0.481,104.558
