setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,High Like This,3Ukb1tpAsQOdUSVKAW94Cj,0.473,0.862,8,-4.156,1,0.0803,0.0798,3.87e-06,0.111,0.233,150.031
2,Neck And Neck - DNMO Remix,2bCjaF7cRm53Wdq9RtkYJu,0.601,0.591,5,-7.407,0,0.0337,0.0188,0.0766,0.126,0.37,150.044
3,UCLA,3OaunNUlXXs5e2PXtNAzzG,0.536,0.879,1,-3.019,1,0.0621,0.0742,0.0,0.0847,0.334,140.137
4,Do You?,0tAFy8LVdMQgW6A6Nq7olS,0.827,0.518,10,-8.156,0,0.343,0.164,0.375,0.61,0.584,80.729
5,High You Are (Branchez Remix),4YIoQqE50AdyG4BQafCi3u,0.691,0.856,10,-5.614,1,0.0407,0.0614,0.119,0.034,0.414,136.98
6,I Admit It (feat. 24kGoldn),5QUbOFOkbDlt4ZY7bdL4Am,0.746,0.576,11,-4.796,0,0.0345,0.0204,0.0811,0.0959,0.0769,123.036
7,FEELING GUD,0suLmBuEbatdochI4tHduq,0.484,0.94,5,-3.682,0,0.257,0.0145,0.000323,0.266,0.334,173.741
8,Light,6jq6rcOikCZAmjliAgAmfT,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088
9,Thief - Flux Pavilion Remix,6btkdvumrTmcFzy3oFpZqS,0.55,0.858,6,-2.58,1,0.0357,0.041,0.199,0.0562,0.577,145.169
10,Fatal Attraction (feat. Reese LAFLARE),6hJrZxgi6Cld2vIs3zgqRr,0.453,0.736,11,-6.269,0,0.229,0.204,4.18e-06,0.105,0.288,160.018
11,In Motion (feat. Reo Cragun),53d5dxYPtRLPmqPe9VpZ67,0.649,0.752,6,-6.301,0,0.0915,0.14,3.67e-05,0.364,0.331,143.995
12,Rumor,2QC2PTvF3yONXlvih301aR,0.633,0.644,10,-4.579,0,0.113,0.191,0.000762,0.137,0.48,127.95
13,GUD VIBRATIONS,2BVUOGciUUUqOPSLtHwLGp,0.514,0.924,8,-5.417,1,0.052,0.000208,0.805,0.0684,0.0675,151.994
14,Red Ish,6O8U8Biv6ztOLUcQPBEW1P,0.788,0.308,8,-10.109,0,0.234,0.217,0.806,0.117,0.185,134.18
15,Out of Order,4WVQXOAV6OzmI475ZMpbSa,0.723,0.539,10,-7.265,0,0.224,0.0521,0.67,0.109,0.218,145.78
16,Birdz (with Smokepurpp),0Uhbn8GeomTRkkVAapjM4Z,0.709,0.7,1,-4.834,1,0.0746,0.00171,0.0155,0.711,0.397,145.04
17,Save Me,6VkomiRtWhCiFs4nzrzNUc,0.588,0.725,2,-7.635,1,0.0525,0.00705,0.297,0.183,0.278,150.072
18,DAMN - Bonus Track,3sGJmCUfZKbbjtZ24eaepn,0.715,0.962,4,-4.416,0,0.261,0.0233,6.23e-05,0.381,0.517,149.981
19,Anything,48fPdAwGVoSkGK8GSez9yx,0.768,0.908,5,-5.014,0,0.0486,0.184,0.546,0.0583,0.423,120.042
20,Harlem Shake,01XFgRZfZI7oBagNf1Loml,0.452,0.794,0,-5.151,1,0.0483,0.0111,0.00182,0.416,0.282,137.825
21,Shadow (feat. Calivania),3sQEGlBQsZQesOboMHDLqn,0.675,0.791,2,-4.51,1,0.196,0.212,0.0,0.153,0.0593,124.997
22,Got Me Like,4JPG8zY4MKIrchfyFGOEPU,0.609,0.847,7,-3.984,1,0.0514,0.0203,0.0461,0.375,0.418,147.966
23,Fresh Outta Japan,0eGiT6tI2kdeAuYEUpA57a,0.778,0.623,1,-3.596,1,0.299,0.168,0.128,0.332,0.277,91.026
24,Sad B*tch (Tisoki Remix),0tWgUaqAz1g9RoKbYYfUTG,0.831,0.714,5,-3.104,0,0.14,0.0952,2.17e-05,0.146,0.525,149.985
25,Pour All Night,3SgNqKp4pugZ4k1vuyRcew,0.653,0.839,10,-3.513,0,0.189,0.0818,0.000526,0.0958,0.451,122.055
26,Reaper (feat. JID),1KzGwlHu27TUfH3gF1RFAa,0.601,0.815,1,-3.741,1,0.328,0.0113,0.0,0.0933,0.265,149.973
27,Stinger,0yrSc38VgNvTRVfzD01oDE,0.499,0.991,1,-1.59,0,0.103,0.00778,0.794,0.438,0.0385,146.985
28,The One - NGHTMRE Remix,0z6BBM8lek2dzvnuIOX1Wx,0.504,0.945,2,-4.585,1,0.175,0.00437,0.000636,0.158,0.37,149.958
29,Spanish Moss,1z1io5H0gfutwUNILCDshn,0.489,0.672,11,-6.312,0,0.191,0.0439,0.00146,0.579,0.271,153.793
30,Blinker,0KrMPgjnEpeV19n7liI59i,0.846,0.442,5,-8.179,0,0.039,0.354,0.0981,0.125,0.558,123.034
31,SUB ZERO,72VyFG8WRK6CeV3ToXccOm,0.795,0.902,11,-5.85,0,0.101,0.0479,0.662,0.271,0.15,130.023
32,NO TOMORROW,3m96VahLg3dM9zR0GCQeob,0.685,0.657,8,-3.291,0,0.0539,0.218,5.06e-06,0.113,0.234,124.01
33,Me and You,707qqokrSYnzJO5FoGIvFL,0.498,0.756,0,-4.921,1,0.0299,0.00423,0.00313,0.195,0.138,139.93
34,Sober,3XlHlWFhlI4OZiguOMcuuc,0.518,0.847,8,-5.489,0,0.274,0.0517,0.000283,0.159,0.341,150.037
35,Go My Way,5y0X2gA8jlovyL5YmFamIv,0.571,0.713,9,-3.324,0,0.0868,0.00477,2.7e-05,0.0879,0.34,75.179
36,Flourish,3SYoswG9FXQGGMFphwNNgq,0.447,0.867,5,-0.646,0,0.0953,0.0274,0.203,0.137,0.189,74.821
37,Issa Bounce,7zeL5uEA13GJ6VN732HYyS,0.883,0.503,8,-6.454,0,0.137,0.0352,0.815,0.0631,0.354,100.015
38,All Through the Night,5MLNm8nsvpCWJ2YpurIGLp,0.524,0.913,6,-2.64,0,0.0549,0.0522,0.196,0.576,0.277,127.066
39,I Love You.,3TmTEN2zy0cyYMjiviWbMK,0.56,0.746,2,-2.566,0,0.0486,0.0112,0.0776,0.0999,0.0387,113.966
40,Redo,6NZunfz5wbY8pYeDDlJUas,0.62,0.935,9,-2.501,0,0.0465,0.146,0.0,0.898,0.386,145.963
41,Tums,00HG0BYPrRQQ5S7HVhVNSy,0.621,0.628,8,-4.687,0,0.0842,0.00347,0.546,0.704,0.542,166.084
42,Active,7jcP7f7Gol3IS01nfj7zbG,0.759,0.701,6,-6.909,0,0.0648,0.0172,0.645,0.112,0.72,160.037
43,Jungle Juice,1VxQboO0KAsIm8MjSShBJv,0.645,0.662,10,-5.899,0,0.0446,0.0208,0.227,0.109,0.231,72.533
44,Bellz,753DZsGGXlasRCp48FmOhH,0.817,0.732,7,-7.23,0,0.068,0.0254,0.806,0.811,0.963,132.019
45,People I Know,2pvS2qIkOSFlvLkGBAgQ2o,0.64,0.799,4,-3.998,0,0.045,0.0848,5.4e-06,0.129,0.0974,111.992
46,q-edits #2,13YU8o2EdM9XZk8EU35YHQ,0.795,0.703,1,-4.599,1,0.233,0.216,0.00232,0.115,0.348,81.645
47,STAY STRONG,0zQEGtey6NFC8f8rKUAAf9,0.745,0.714,7,-2.921,0,0.0432,0.324,8.16e-05,0.119,0.208,149.996
48,Stars Tonight,0ZKOjWGqV7vHl9WKOtDb5V,0.64,0.877,8,-5.486,0,0.0781,0.139,0.764,0.186,0.477,155.054
49,Mumbai Mode,2qmbvhG8hWX0FVN87sh3TW,0.67,0.743,2,-5.351,1,0.0343,0.0377,0.00328,0.223,0.328,82.015
50,No Chill,46VgwcEKnjPCcSEsJ5fWY2,0.593,0.937,1,-6.703,0,0.0566,0.000397,0.628,0.302,0.0333,139.933
51,Dojo (feat. TroyBoi),4u4qWIezCZStrTvpQJGIBM,0.757,0.641,0,-6.81,0,0.0378,0.17,0.888,0.234,0.184,134.998
52,TRIBAL HIT,38baA0WZfWLpm3lyyr3IIs,0.735,0.807,1,-5.346,1,0.0871,0.0366,0.803,0.155,0.298,142.067
53,Ur Body,4KD6CYSCX2m3rxYdQQuyYP,0.428,0.989,9,-2.064,0,0.189,7.69e-05,0.61,0.0868,0.103,142.066
54,It's Our Destiny,0OijABrqIE3h6iDcDjLagm,0.502,0.803,3,-3.223,0,0.087,0.659,0.00172,0.102,0.24,150.453
55,enough,4uoVYbhitSNdQoqnJneYTg,0.465,0.777,5,-6.627,1,0.131,0.132,0.493,0.613,0.0785,128.952
56,Touch,2a7kFbxMwmmZWDvH0JbZFU,0.742,0.644,0,-7.284,1,0.0577,0.221,0.0391,0.105,0.614,104.027
57,Kaleidoscope (Feat. Crystalline),10dLRZ7GCIXEuUuONkNcxI,0.613,0.685,0,-6.054,1,0.0408,0.00701,0.00543,0.0907,0.122,127.991
58,Slow Burn,1AfA0K7BLxceH7PjzcZdZc,0.633,0.651,7,-6.814,0,0.0574,0.0632,0.00358,0.141,0.202,119.978
59,Casper,3EE7zRmVsiY5HHcK5fJ2H8,0.917,0.567,8,-6.0,1,0.117,0.0623,0.519,0.062,0.398,125.025
60,"All of Me (feat. Logic, ROZES)",3ISiZ0GzocM9ssIwqRn1AW,0.627,0.878,10,-3.014,0,0.0409,0.00188,0.0,0.228,0.208,142.043
61,Run Around,1RXh1aAInzM41tTIMwLMxX,0.761,0.807,11,-6.873,0,0.36,0.0517,0.901,0.0517,0.599,138.016
62,Braincase,3AawFHorBGEDdM9ngI8ofa,0.813,0.8,11,-2.818,0,0.335,0.00654,0.424,0.194,0.366,145.03
63,Twitter,45NRSkN11nKunCO8gwswug,0.449,0.958,5,-2.473,0,0.0378,0.000275,0.00262,0.212,0.37,159.97
64,SABER TOOTH,4bKqAcgrla5I0xYiAuYSBC,0.654,0.892,2,-4.459,1,0.0586,0.00575,0.233,0.94,0.503,129.98
65,Lions - Doctor P Remix,6exH1RP0wkEQgfHJ3rd2mP,0.603,0.964,2,-1.987,0,0.123,0.00265,0.23,0.173,0.399,150.125
66,Us,5f4l3uDDTNNGEtWaXHOIB9,0.584,0.888,4,-2.571,0,0.0385,0.0115,0.000113,0.341,0.331,150.042
67,Like That,7MFahU9vl5TWlei936k7n6,0.567,0.84,4,-4.98,1,0.0528,0.00407,0.0174,0.292,0.46,104.976
68,Nothing Less,2Z1qVWjEyUipTbgUKOKuGo,0.579,0.754,7,-3.932,1,0.432,0.121,0.000623,0.309,0.448,147.724
69,Lights Go Down - Peekaboo Remix,0RJgmCUXLIDQ2kMMAD5cGs,0.596,0.763,10,-5.819,0,0.0525,0.0363,0.129,0.107,0.0658,140.208
70,Only Be Me,6WXZyYSwlXS5qXISwsKYXE,0.7,0.581,1,-8.493,0,0.0779,0.118,0.00196,0.135,0.165,140.019
71,ili,59QmjU5K8XQTfj9JjFNb4Z,0.634,0.588,9,-6.753,1,0.106,0.0575,0.00231,0.441,0.77,174.006
72,Limelight (NGHTMRE Remix),3mof6Z6vz6gonsuIEQXank,0.574,0.576,1,-8.267,1,0.0446,0.0579,0.00147,0.208,0.287,145.094
73,Apocalyptic,3E5Go2swucT0A6NmqOEChM,0.577,0.978,1,-4.002,1,0.0466,0.000355,0.391,0.335,0.143,124.997
74,Feel It (feat. Tunji Ige),3Vad9kkHv0DZZ0ioJdRrYV,0.529,0.72,9,-6.226,0,0.0462,0.0245,0.000146,0.195,0.105,105.015
75,Wobble,68Gszh9enogLwJUbTcjjWe,0.623,0.985,1,-0.319,1,0.111,0.018,0.0973,0.354,0.561,150.01
76,The Buzz - Bonus Track,6HDUnr41uGjxhMTzI1Hjmt,0.575,0.602,0,-6.591,0,0.318,0.249,0.00062,0.144,0.561,141.506
77,Eternity,1apKTl69lh4dXHcUOZer8l,0.622,0.77,4,-5.497,0,0.38,0.243,0.0111,0.218,0.171,90.111
78,I Want U,6wb61u8ayuanWSHZzle5od,0.606,0.829,1,-3.455,0,0.036,0.00172,5.43e-05,0.276,0.384,140.033
79,Crash 2.0,3NAGKEkJN7cUTaIYqFnF8l,0.66,0.652,8,-4.747,1,0.0582,0.00259,0.0,0.0673,0.167,127.977
80,Lone Wolf,76I3PmbGZazzNlEwlp1y85,0.502,0.981,1,-1.573,1,0.0616,0.00177,0.4,0.154,0.208,150.013
81,Breath,0peDcDwrKV0LEeoQuSQVLG,0.577,0.789,6,-7.537,1,0.114,0.00757,0.0264,0.17,0.624,160.1
82,Came Up,7f4Pjqs3XHSfV1UwX5vjxo,0.613,0.879,6,-4.649,1,0.0729,0.00908,1.66e-06,0.108,0.497,76.966
83,"Hmu (feat. Clay Parnell & Rory ""Sweet Boy"" Dolan)",5F3t5WgLyBX2W7un8IXiLD,0.732,0.726,0,-8.074,1,0.261,0.0574,0.00829,0.382,0.45,172.039
84,Bap U,4Ijr3J0lnLCGZvpXBiqCjU,0.668,0.953,8,-1.784,0,0.0386,0.0193,0.000118,0.0834,0.254,100.001
85,"Chicken Wang (feat. Diplo, Snappy Jit)",0cl5BEHLkh9BmJG2ElaUPK,0.817,0.859,2,-2.595,1,0.101,0.000359,0.758,0.0995,0.382,148.025
86,Forget It (feat. Oliver Tree),2xo44UuPdAFzaVMSX95suy,0.681,0.616,1,-9.173,1,0.0366,0.00539,0.00403,0.0635,0.121,113.995
87,Shiawase,4hAb4pbqgfgwraiHongYZR,0.606,0.952,8,-2.004,1,0.217,0.0403,0.000252,0.665,0.351,74.98
