setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,I.Crawl,0ccmrEgpKa5iFvijTxIrGf,0.588,0.539,6,-8.816,1,0.0396,0.0445,4.82e-06,0.121,0.343,132.976
2,The Spins,51pshtuYkgUQnt5huMPbKL,0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,127.007
3,Out of Time - KAYTRANADA Remix,4Rrj1QxDqsj28gv9SiHQRA,0.742,0.599,1,-8.796,1,0.297,0.0962,0.000578,0.0981,0.573,108.283
4,Lovers Rock,1H7zdcRD0gLGQY0w5ejGgX,0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,0.573,104.976
5,We Don't Care,0IW0qaeyxL5Et4UG2MrJKB,0.595,0.754,11,-5.827,0,0.181,0.0142,0.0,0.247,0.647,83.155
6,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),5B0kgjHULYJhAQkK5XsMoC,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347
7,Jealous,1aXV8GrmQLvgoFtBPERP7E,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01
8,Frontin' (feat. Jay-Z) - Club Mix,0iFOG4Ki9aDmJUYUFHQlPG,0.894,0.404,9,-5.913,0,0.13,0.453,1.57e-06,0.0801,0.759,102.009
9,Kids,3pyyGVqWvRMq43qtJBzxe0,0.828,0.66,6,-9.669,1,0.0337,0.508,0.403,0.0755,0.904,113.45
10,help herself (with BENEE),7bhpOnHyttMaBCg6WGCRzi,0.592,0.837,4,-6.987,0,0.0375,0.45,0.0222,0.145,0.67,167.992
11,Them Changes,7CH99b2i1TXS5P8UUyWtnM,0.657,0.562,8,-8.6,1,0.0601,0.54,0.00143,0.101,0.704,81.657
12,I Feel Fantastic,2CMq2UImv0YssAzKb95YBH,0.771,0.536,11,-16.116,0,0.109,0.194,0.00919,0.153,0.688,135.684
13,Sensitive,0oHEteATZnAZuA9dl1dXF3,0.601,0.649,7,-6.979,1,0.133,0.166,3.35e-05,0.165,0.351,89.73
14,Softcore,2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986
15,Shimmy Shimmy Ya,3ABG1UQTk0eLYUAeWkmfMi,0.814,0.481,0,-5.183,1,0.245,0.097,3.83e-05,0.0495,0.193,96.252
