setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Heaven Takes You Home (feat. Connie Constance),3nEHrvNNtgLv9rneTAYVr4,0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037
2,Wish It Was You,3Dr0xDJwXy6JkiHNJfv5zd,0.644,0.616,1,-3.928,0,0.0391,0.0927,0.0,0.105,0.467,124.957
3,Escape (feat. Hayla),10oKSzRcwbZsog2uq2gb4b,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08
4,Superhuman,2TlhOVwPyMJ0CbdgHS34JQ,0.532,0.608,11,-9.452,1,0.0358,0.0808,0.000881,0.113,0.132,127.934
5,Follow,5aXTfpNOqLj35ydEiLio67,0.588,0.78,11,-6.102,0,0.0432,0.0333,0.193,0.0728,0.201,127.085
6,Sideways,0PMNxtgeNSmPPp4aiA4T8F,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09e-06,0.277,0.31,141.926
7,Savage,76A1RRDEyHKtmV3Vh6PeVN,0.694,0.7,0,-5.53,0,0.0488,0.191,0.0,0.0719,0.261,127.965
8,Coming Over - VIP,1p04Tm0c2tnIdgOYIpcioh,0.566,0.804,8,-5.125,1,0.246,0.0914,0.000221,0.0912,0.581,173.928
9,Melody,1rSUNzMXSxspf02RRQ3p5m,0.558,0.955,8,-5.723,1,0.0379,0.00207,0.879,0.0748,0.153,130.011
10,Take Your Time,3AygCrAj6TZZ6mGkcvD9To,0.583,0.94,7,-3.05,1,0.0551,0.0476,0.000206,0.0524,0.378,127.009
11,This Feeling,3hQpBuFdNnFM38NjTeg0XQ,0.696,0.685,8,-6.64,0,0.0376,0.0156,0.406,0.205,0.206,124.985
12,Learn To Love Again,4548LyFomXQmDAINcFizEq,0.53,0.81,1,-3.335,1,0.0487,0.0417,2.89e-06,0.0759,0.415,167.842
13,Move It,2YUVIkvZ2tPEZYTepX6oT9,0.796,0.894,0,-1.883,1,0.0502,0.000671,0.859,0.0685,0.619,127.009
14,Best Is Yet To Come (with Kyle Reynolds),2gZwBmkSmsVfEPFWGuWTDk,0.569,0.85,4,-3.914,1,0.0369,0.0148,0.0,0.245,0.551,122.042
15,Love You Back,5wM6LOw2U6XeIFHfsgI6wU,0.51,0.715,11,-7.462,1,0.0366,0.00485,0.000115,0.0918,0.238,106.029
16,Getting Late (feat. Danni Carra),2wG7MgpfXMCzQcTPCt78Tb,0.43,0.811,3,-2.712,1,0.0621,0.0315,0.0,0.315,0.238,159.988
17,Tonight We Dance,0WCEclDlYBnZXxpqaCbPIv,0.646,0.889,7,-3.307,0,0.0336,0.371,0.0225,0.167,0.641,123.006
18,The Best,1OU3OPHczBcfFU8cDzSzKT,0.813,0.848,0,-4.582,1,0.0534,0.0453,1.51e-05,0.0696,0.603,123.978
19,Pressure,5pF92bDyufEHqAOEf2Dtuu,0.627,0.972,6,-4.924,1,0.0523,5.42e-05,0.797,0.376,0.186,126.982
20,Hurts Like This,0jitsmziKMI9MpzENnB0Tc,0.617,0.795,1,-4.567,0,0.0955,0.0411,0.0,0.0898,0.415,126.06
21,One Night Away,0g8YU2bR0QlBv7G9L9nDXU,0.637,0.896,5,-2.569,0,0.0363,0.091,1.19e-05,0.0996,0.713,128.017
22,Losing My Mind,3DKWSWJsNtRQil4FsytGHD,0.445,0.79,4,-5.641,1,0.0528,0.335,0.0412,0.12,0.0737,127.984
23,Set Me Free (feat. Aloe Blacc),1uGsxm2hkpBHiPvn8g2zwH,0.45,0.865,7,-5.345,1,0.069,0.0181,1.37e-06,0.418,0.209,122.565
24,Shadows,3UTnoLehZjISbFueAmhGvY,0.57,0.892,11,-3.471,0,0.0509,0.0183,1.16e-05,0.108,0.301,127.052
25,Love Is Gone (Tiësto Remix),4AoUdMZGoPZZQxVFnoVQEl,0.414,0.765,6,-3.578,1,0.0479,0.00264,0.0,0.438,0.0398,130.105
26,Everything,2cGnOx17iac6m7R5YDUZac,0.574,0.955,10,-4.929,0,0.0385,0.00893,0.016,0.23,0.148,120.037
27,Colorblind (feat. Dayseeker),45CwQAnBujkKzbDKX5wJmv,0.492,0.57,5,-5.123,1,0.032,0.169,0.0,0.271,0.266,140.037
28,Silver Lining,6D9pncRlZZoq4oc1tzAC1y,0.633,0.844,5,-3.815,0,0.0461,0.0451,0.0,0.097,0.637,125.032
29,Blame Myself,1suqXPrYygZ7BYiSfaVZE4,0.392,0.737,8,-3.882,1,0.0857,0.0523,0.000141,0.244,0.402,139.956
30,Ready To Love,0cvMWzztDy1wNQkBqae8w4,0.598,0.815,11,-4.481,1,0.0858,0.0606,0.0,0.176,0.383,121.986
31,Without You,1gs7LWmkKWpJ8M6cnWkK5e,0.564,0.887,9,-4.56,0,0.046,0.00443,0.00207,0.368,0.0658,127.952
32,Love Is Gone - Kaskade Remix,6UMbXtJQL8dRQfiLdFh63O,0.559,0.953,3,-3.786,0,0.135,0.044,0.0144,0.525,0.0848,125.964
33,Breathe (feat. kaspara),7pDdE5FLqcNCvjxzRzm80r,0.753,0.749,6,-5.214,1,0.0314,0.0546,4.39e-06,0.166,0.589,121.988
34,Only You,7mXNYEVh9FW72c12qBaO3p,0.483,0.917,3,-2.528,1,0.0438,0.00235,0.000347,0.119,0.323,129.035
35,Revolving (feat. Marc E. Bassy) [MOTi Remix],7Jhhj33A2qNRpLuo51Aqwt,0.684,0.866,9,-5.855,0,0.055,0.314,0.0,0.491,0.685,125.898
36,Problems,2dyrLrVopYKGc3H9oOYSmZ,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076
37,See You Again,4pXG8Q82L8WvypAm5Wo86y,0.248,0.588,8,-6.292,1,0.0459,0.0415,3.27e-05,0.123,0.0382,150.419
38,Nobody,7GiozRoMk95aFl1WbrDdjX,0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016
39,That Feeling (feat. Hayley May),7clsGP3ea7rhBaEK9ga898,0.665,0.846,2,-5.563,1,0.031,0.00559,0.007,0.134,0.78,123.988
40,Live For,0F9fZwEu2cWSgqoRWzAtAS,0.552,0.91,0,-3.226,1,0.0385,0.224,1.39e-05,0.134,0.369,126.007
41,We're Still Young,0ha2skoePlU0BDDySj8qf2,0.521,0.831,1,-3.184,0,0.0558,0.029,0.0,0.349,0.0868,127.962
42,Sometimes,5PbOUQpnc8NTn24KdpWaIA,0.65,0.8,0,-5.249,1,0.0532,0.0581,1.38e-05,0.189,0.564,125.02
43,Returning To You (feat. Alison May),6IzwNz9jjHpvEqWmyLYUXa,0.439,0.761,3,-7.414,1,0.0399,0.488,0.0116,0.147,0.08,109.98
44,Saving Lives,6OK7OQyyvNPd2XQIHCB1wz,0.405,0.646,0,-4.467,1,0.0307,0.349,9.41e-05,0.339,0.149,141.985
45,On A Mountain - Flume Remix,0lrIwNdTiHaOlw8gqwXk6L,0.427,0.685,5,-3.7,0,0.0791,0.0122,0.00164,0.115,0.253,154.87
46,42 (feat. J.Lauryn),0jpY96JxnwUtXCTtvOWWZG,0.698,0.847,4,-4.372,0,0.0366,0.0499,0.0,0.338,0.508,119.985
47,Gold - DubVision Remix,6cZk2cg2H9XgWUcRaeRStT,0.528,0.946,0,-4.233,0,0.0464,0.0203,0.0652,0.202,0.0658,124.991
48,Fight For,6F3htwbMYqes3xVs5Vorkm,0.581,0.822,5,-3.55,0,0.0577,0.173,0.0,0.153,0.188,126.96
49,Afterglow,4oDm90OxoKSOSoJIL9eYVc,0.573,0.751,6,-4.527,1,0.038,0.0301,0.0,0.523,0.418,126.012
50,Heartless,3S2ArNKZEcb9JiBX9WAv4z,0.616,0.869,1,-4.032,1,0.0431,0.0187,0.0,0.063,0.572,125.935
