setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Paradise City,6eN1f9KNmiWEhpE2RhQqB5,0.268,0.98,11,-5.958,1,0.103,0.0192,0.00709,0.182,0.395,100.315
2,Wanted Dead Or Alive,0oerlffJSzhRVvtDfLcp3N,0.252,0.802,7,-3.976,1,0.0391,0.13,0.0146,0.309,0.253,150.056
3,Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697
4,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh,0.502,0.924,4,-6.299,1,0.0503,0.0127,0.0,0.162,0.922,149.186
5,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW,0.446,0.952,6,-5.321,1,0.0523,0.0901,0.0857,0.112,0.624,125.303
6,Dr. Feelgood,2cc9k15AifO7RfxxuEExkS,0.535,0.967,2,-4.082,1,0.0678,0.000885,0.0181,0.233,0.353,110.975
7,Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167
8,Cum on Feel the Noize,3vV3cr2TpPqFk07zxYUbla,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085
9,Nothin' But A Good Time,6G09JrmKdDAe29eSH8ZQmR,0.468,0.969,1,-3.4,1,0.109,0.0434,0.0,0.329,0.504,129.171
10,Turn up the Radio,7u0b4DthVvd2F2EzCiOx0Z,0.629,0.79,2,-13.496,1,0.0429,0.0375,0.00034,0.13,0.428,110.295
11,Pour Some Sugar On Me,1aZLIbKEdsyqxyD6iNcrbA,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989
12,18 and Life,0qgrrDnUUhyxpxbBznUnzg,0.466,0.648,1,-11.101,0,0.028,0.0023,1.49e-05,0.112,0.305,90.435
13,Why Can't This Be Love,0TaT50ZZxT4ytZxuqkE3A9,0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236
14,"Girls, Girls, Girls",549Go7a66CX6k523uK9kUv,0.599,0.931,7,-4.653,1,0.0735,0.0302,6.69e-05,0.392,0.536,140.123
15,Dude (Looks Like A Lady),6gQUbFwwdYXlKdmqRoWKJe,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294
16,Round and Round,5B6Z7NwVqA7W3UFiqBdEJC,0.628,0.934,11,-6.026,1,0.0527,0.00682,1.11e-05,0.0852,0.491,126.538
17,I Wanna Rock,70Z9t1qhytWtG4cCmmi7mU,0.504,0.911,2,-2.97,1,0.0738,0.00512,0.0123,0.355,0.671,106.244
18,You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc,0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803
19,Jump,6Fba9RZtC6vTY814JToDtP,0.542,0.822,0,-7.201,1,0.0291,0.0745,0.00947,0.0645,0.772,130.011
20,Kickstart My Heart,6imjJij6aCM0IbbODUzJQn,0.465,0.977,7,-3.839,0,0.175,0.00111,0.00298,0.201,0.233,89.535
21,Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544
22,Photograph,18URo35acNKRTHfEdjTcGn,0.602,0.877,4,-6.606,1,0.0515,0.000343,0.635,0.0551,0.617,123.679
23,Every Rose Has Its Thorn,5qaSekPPKHIEA1Yn0qkCaC,0.459,0.704,6,-5.564,1,0.0356,0.233,1.66e-06,0.374,0.342,140.367
24,Here I Go Again - Radio Mix,6m8FEpCFkSrzhH1W3R2yKU,0.48,0.887,7,-4.91,1,0.0319,0.147,0.00011,0.33,0.69,92.971
25,Rainbow in the Dark,2PpNgmrS9mAyrkRAwn6YPq,0.512,0.947,9,-5.659,0,0.0401,0.000692,0.114,0.0283,0.612,117.461
26,Juke Box Hero,00qOE7OjRl0BpYiCiweZB2,0.357,0.653,9,-5.554,1,0.0654,0.0828,0.0,0.0844,0.522,176.647
27,Livin' On A Prayer,37ZJ0p5Jm13JPevGcx4SkF,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511
28,Hot for Teacher - 2015 Remaster,6QDbGdbJ57Mtkflsg42WV5,0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631
