setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Eventually,5M4yti0QxgqJieUYaEXcpw,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935
2,Motion Sickness,25Syi9wnfn6ZGAmiOBypPq,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021
3,Sanctuary,5F1ZmucV0uJY14y2dYKePa,0.552,0.638,1,-7.474,1,0.11,0.387,0.00014,0.374,0.332,167.834
4,Ode to a Conversation Stuck in Your Throat,51Lf3l6wx008NdBxCQnD6B,0.57,0.804,11,-6.782,1,0.0701,0.0598,8.96e-05,0.187,0.624,87.533
5,Retrograde,2IqjKEBiz0CdLKdkXhxw84,0.533,0.251,7,-11.283,0,0.0372,0.873,0.104,0.134,0.186,77.503
6,Real Love Baby,0Z57YWES04xGh3AImDz6Qr,0.417,0.686,7,-6.484,1,0.0373,0.0955,0.0287,0.0989,0.625,204.113
7,we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959
8,What Once Was,1XrSjpNe49IiygZfzb74pk,0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568
9,Two Weeks,0iTpQYzJnYgh7kIxyq8A2O,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871
10,Homage,7DcJ6fEBb7BaKuYKTwiDxK,0.546,0.465,5,-8.167,1,0.0287,0.153,0.00259,0.321,0.415,73.369
11,Kyoto,4vjvx7Zxkb4AltGcZ0BBvI,0.6,0.749,11,-6.889,1,0.0419,0.0467,0.295,0.0915,0.485,131.024
12,"Archie, Marry Me",5HLes17mwCwKt81mi0Tk35,0.27,0.83,7,-4.592,1,0.0741,0.00956,0.434,0.142,0.205,117.314
13,Silver Soul,2LZ2CNbcbJrwh53pitRgom,0.356,0.67,2,-5.825,1,0.0324,0.467,0.000106,0.288,0.117,135.032
14,This Must Be the Place (Naive Melody) - 2005 Remaster,6aBUnkXuCEQQHAlTokv9or,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443
15,The Breeze,2nkPVfTBJrDkLJnA8JJKcO,0.61,0.547,9,-7.796,1,0.0338,0.774,2.05e-05,0.635,0.318,90.136
16,Inside Out,7qCZgvV98j6RjUULW1s1it,0.621,0.62,0,-4.721,1,0.0293,0.459,0.162,0.0771,0.515,176.016
17,Shampoo Bottles,2INUkDPCO1eQlOFmIN5VAC,0.648,0.436,8,-9.578,1,0.0275,0.0232,0.0,0.0944,0.333,107.019
18,The Start Of Something,6K5GAopLZzzg0ZX8k5GWwh,0.632,0.733,8,-6.924,1,0.0293,0.179,1.04e-05,0.0988,0.707,107.056
19,So Good At Being in Trouble,2lwi35A2ym3FAmSlvOGnQp,0.829,0.435,0,-10.136,1,0.0515,0.0363,0.881,0.119,0.594,103.817
20,The Night We Met,0QZ5yyl6B6utIWkxeBDxQN,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997
21,Kingston,5WbfFTuIldjL9x7W6y5l7R,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143
22,Chateau Lobby #4 (in C for Two Virgins),3wfF0Nw234zHY1vdIWIc2g,0.446,0.807,0,-5.222,1,0.041,0.215,0.0,0.226,0.8,188.094
23,Brazil,5ftdTvmQjjsL23t7jxADfI,0.689,0.617,4,-5.196,1,0.029,0.0918,2.08e-05,0.0816,0.682,121.062
24,Sedona,2MQhTbX792AT6YyzwLz9dt,0.394,0.654,3,-8.243,1,0.0346,0.0404,6.96e-05,0.112,0.264,135.188
25,My Body Is a Cage,1rOlTL4pKQ9Y1fURua4AJR,0.296,0.502,0,-8.653,0,0.0336,0.315,0.0551,0.229,0.313,81.045
26,Roddy,1hCOjy8lilEMrFGR0F9mgJ,0.559,0.521,0,-9.161,1,0.0279,0.112,0.0243,0.0686,0.677,179.991
27,In the Aeroplane Over the Sea,5rfT032kGmLvbxZzfHlu5D,0.271,0.714,7,-5.124,1,0.0329,0.392,0.0,0.115,0.239,94.158
28,Giving Up,0iJe81g5tUhKEjpc7Rfcq9,0.643,0.604,6,-7.273,1,0.0325,0.596,0.528,0.109,0.162,90.636
29,Tenderness,2HsKkeVWys5Ts20z3e5lT0,0.543,0.498,9,-10.152,1,0.0678,0.692,0.433,0.078,0.815,113.394
30,Alaska,4HfLQJtVT1KiX1eVedDyTm,0.847,0.386,9,-10.668,0,0.0507,0.411,0.00176,0.108,0.178,104.001
31,White Winter Hymnal,0GegHVxeozw3rdjte45Bfx,0.628,0.5,6,-9.66,0,0.0268,0.44,0.0,0.244,0.68,124.932
32,Eugene,4S6PolgPZ5OLph314ww8Fg,0.606,0.589,7,-7.194,0,0.0456,0.75,0.0102,0.0922,0.889,174.285
33,Weird Fishes/ Arpeggi,4wajJ1o7jWIg62YqpkHC7S,0.531,0.61,11,-8.025,0,0.0387,0.772,0.756,0.0908,0.199,152.958
34,Wraith Pinned to the Mist and Other Games,24HPkbkXJsIFC4eyg63zgQ,0.873,0.582,5,-9.901,1,0.047,0.0282,0.0699,0.182,0.77,122.005
35,Rawnald Gregory Erickson the Second,4j4pPKE3xAblPIbhxScC1j,0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508
36,Dark Days,7LZN7FkxHZk6maiN6NdI2i,0.604,0.655,9,-7.088,1,0.0273,0.109,0.0019,0.125,0.59,115.038
37,Alemania,68xEc9xb0TvJpdbSyDGtNu,0.533,0.686,1,-5.686,0,0.069,0.0885,5.2e-05,0.105,0.804,173.938
38,Gooey,1gk3FhAV07q9Jg77UxnVjX,0.487,0.369,11,-13.424,0,0.0406,0.736,3.75e-05,0.0925,0.106,183.114
39,Myth,2NfxtzCIrpCmJX5Z2KMdD5,0.445,0.708,3,-6.268,1,0.0293,0.032,0.0908,0.171,0.414,141.965
40,Goodie Bag,4vHNeBWDQpVCmGbaccrRzi,0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263
41,Sound & Color,26HaY4D7AV0gVxmkz11bIz,0.547,0.43,2,-7.393,1,0.0667,0.848,0.615,0.0825,0.175,114.732
42,The Suburbs,5iItYl3Q6wCnKVfpK1uNVf,0.619,0.686,6,-6.125,0,0.0265,0.0565,0.0237,0.142,0.538,117.777
43,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303
44,Amoeba,0HAqq2GcQKyi3s87GuN7jU,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008
45,Lovers Rock,1H7zdcRD0gLGQY0w5ejGgX,0.559,0.871,5,-5.338,0,0.0392,7.53e-06,0.00524,0.096,0.573,104.976
