setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923
2,The Sweetest Meditation,6Ds341awJUTMJ7Zmx3Gl1i,0.775,0.804,11,-8.595,0,0.0519,0.198,0.103,0.0912,0.718,114.884
3,Rich Girl,4ehS4c6As9l5slahfk0S8F,0.679,0.592,6,-6.915,0,0.179,0.172,3.07e-05,0.164,0.595,85.851
4,Bad News,3uRggMbe2X8gD5KdwTlKrw,0.558,0.573,9,-7.43,0,0.0571,0.223,0.0782,0.0692,0.95,185.602
5,M.P.B.,0w4QlIOtXEJEPvftQo9VSe,0.805,0.406,1,-14.551,0,0.0451,0.0998,0.00312,0.0851,0.961,99.355
6,Everlasting,7qeZlLUOEwoWAiNKHNo6Sw,0.621,0.479,9,-7.42,0,0.0479,0.39,0.0,0.0596,0.705,153.91
7,Over You,64WxLGjquEiDypddXZgggY,0.584,0.839,0,-5.173,1,0.169,0.159,0.000221,0.177,0.808,187.937
8,Closer,6XaV2S7rtFLMw2YBXcIhvv,0.625,0.467,5,-9.833,0,0.144,0.73,0.0,0.105,0.75,143.32
9,Beyond,1Omt5bfz1tZUCqd26HxbS0,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014
10,How Deep Is Your Love (feat. Yebba) - Live,3SjAiqAQ6sMmsJBeVw0nMf,0.424,0.484,11,-10.853,1,0.097,0.346,0.0,0.588,0.523,92.514
11,Alone In Kenzo,6H5DZBYLOJ8pbmYy6JdTfq,0.754,0.333,7,-9.791,0,0.0296,0.444,0.0164,0.108,0.157,108.021
12,It Runs Through Me,02CygBCQOIyEuhNZqHHcNx,0.802,0.607,11,-11.028,0,0.289,0.205,0.000748,0.246,0.274,96.916
13,Love And Happiness,5fMInRpERS8jP2zPz6QyUI,0.884,0.469,1,-9.852,0,0.0372,0.0269,0.00111,0.073,0.897,94.345
14,My God Has A Telephone,0vOHWx4itwA0pQeWromAAx,0.584,0.404,11,-8.598,1,0.0456,0.863,0.00579,0.103,0.635,197.878
15,Video,3H5pp4f0rvJ72AB7UHswY8,0.644,0.601,9,-9.744,0,0.213,0.101,1.8e-05,0.0619,0.65,169.972
16,Conexão,4vvFklYoPTicMqbYUo7qyG,0.855,0.659,0,-6.451,1,0.0642,0.0216,0.156,0.075,0.286,130.967
17,Where is the love ?,1JPOZzPzvTzVoHixqI8pWs,0.658,0.528,8,-6.516,1,0.0429,0.424,6.26e-05,0.195,0.531,85.996
18,Keep On Walking,7hNVGX1nWWidgwD7pX5UL7,0.729,0.575,6,-9.11,0,0.138,0.504,1.18e-05,0.104,0.924,172.012
19,Bad Bad News,7FxzgizJRGTQ3fxUqfvljg,0.783,0.629,5,-6.152,0,0.0607,0.231,0.000536,0.0881,0.7,111.978
20,Got 'Til It's Gone,6jUyYHDikmw9WltPojSR37,0.789,0.412,7,-7.518,1,0.243,0.0218,0.000312,0.3,0.518,89.914
21,Golden,0bHs3ly4Bv5BlzE3KrePfX,0.769,0.558,10,-6.232,0,0.0828,0.275,1.06e-06,0.0758,0.593,100.007
22,Hell N Back,3NRql0A1Ef4RCvT473iqgD,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164
23,Soulmate (Heartstrings),7tC8VI0VlMv4ZyNssmKpJG,0.712,0.394,0,-7.591,1,0.261,0.368,0.0251,0.178,0.524,119.866
24,Never Too Much,3nFJbZCHP4d9vduKjJLdBL,0.734,0.586,2,-11.866,1,0.129,0.125,0.0,0.0367,0.762,109.933
25,Jeri Curl,6452rfXGmvPslUbp9NX7Cw,0.938,0.405,5,-10.509,1,0.354,0.249,1.09e-06,0.147,0.493,105.932
26,Boys Don't Cry,3LgPy7zNzoSl2VKjx1o0Pp,0.665,0.456,5,-8.267,0,0.199,0.0846,5.91e-05,0.308,0.445,86.04
27,Loose Tonight,3PE4AQbEvRXZf8Vdj1ph1V,0.783,0.633,6,-4.017,1,0.0368,0.0136,0.000458,0.143,0.913,107.989
28,So Fine,2cIcOEMjo8uqi4eXjiJpdr,0.694,0.672,11,-5.572,0,0.247,0.108,1.01e-06,0.0771,0.567,202.132
29,Lost in Paris,6lxcWIvMQK3yezxwFfZcKZ,0.788,0.711,1,-7.811,0,0.0597,0.364,2.07e-05,0.0838,0.802,104.149
30,The Million Dollar Song,1UrEvrgnY0kl2hsHC8p5xm,0.673,0.53,7,-7.801,0,0.0343,0.126,0.00201,0.0991,0.511,96.269
31,Petit Prince Du Macadam,3cCLvbMCHMgX7DLXPr1ALv,0.655,0.794,10,-5.872,0,0.25,0.082,0.0791,0.0457,0.667,187.007
32,You Ain't The Problem,0QDe6nlExlt3AM1NHTh4nn,0.643,0.773,1,-7.998,1,0.0414,0.188,0.000412,0.0986,0.653,124.538
33,Holding On,0NnM0CgQaifZmhDquugyZV,0.503,0.33,8,-8.651,1,0.0862,0.135,3.21e-05,0.0731,0.124,195.914
34,Turnin' Me Up,5MjAFPcmrR1DYCgZrXCN4d,0.734,0.776,2,-4.193,1,0.0826,0.0406,0.193,0.0547,0.843,78.542
35,Morning Light (feat. Alicia Keys),3KnLHwhRhJGuQM822JVSoI,0.62,0.497,9,-9.585,0,0.119,0.382,0.0482,0.193,0.55,155.908
