setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Ur Mum,7CLIr0lZ4GWeHTaj9lNkXM,0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016
2,Lemon Tree,0SnCZci0wyVj0RZXknNaWq,0.365,0.748,10,-9.145,1,0.0881,0.55,0.503,0.303,0.475,121.285
3,Work Out,1wQhpsuVJFxrvESjqUvlkt,0.645,0.591,2,-10.591,1,0.0483,0.679,0.00295,0.136,0.232,129.993
4,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
5,Mariella,3dvXRk7TZ929m21p49RR5P,0.593,0.576,2,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935
6,Chaise Longue,7iqAuZe5yS0suLQcFfVK39,0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021
7,Lady in the Darkest Hour,0vx0HNWpitK8Y5L53ZY1C1,0.673,0.409,0,-8.544,1,0.0373,0.579,0.0222,0.103,0.374,77.016
8,All The Good Times,1muz3TRXxuub3ERDZbNvQE,0.595,0.473,4,-8.721,1,0.026,0.37,0.00147,0.0949,0.319,81.004
9,Petrified,0G41EUi3xiwUR6iOtXAQCz,0.343,0.331,2,-9.528,1,0.035,0.313,1.7e-05,0.512,0.343,203.852
10,Magenta Mountain,1mTZgUSvyG3I3O9onu3p5V,0.666,0.657,1,-8.726,1,0.0318,0.0317,0.819,0.0981,0.434,92.747
11,Lullaby,1fTvkU6kdBi5PIvljWboKt,0.791,0.791,8,-3.639,1,0.0397,0.0245,3.72e-05,0.112,0.876,120.01
12,Boys,7yfLvK7r1w5bql3G0Uha5w,0.515,0.771,2,-5.081,1,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995
13,Sidelines,4SKvKJaqkRl1bUZWEqTYzl,0.405,0.544,10,-9.451,1,0.0327,0.524,0.391,0.141,0.0412,179.863
14,Sugar,3Tuz3Ec6n03nPTAa5knMm8,0.606,0.696,6,-5.153,1,0.0613,0.122,0.000188,0.157,0.68,121.347
15,Better Than I Know Myself,0xg79a3ac7iAOILS1QQbPa,0.571,0.691,3,-7.027,0,0.0312,0.0873,0.0721,0.124,0.617,110.004
16,Vickie,57U1PB3FAleLul5wMj5dEZ,0.697,0.464,0,-6.019,1,0.0259,0.147,4.51e-06,0.139,0.667,89.293
17,Kenny,6FmnMoph4yx7zjhuBcrHDv,0.743,0.49,1,-10.845,1,0.0377,0.307,0.0393,0.108,0.394,120.028
18,HEADSTART,4au9zOGq4UoV03sLuXFZZI,0.687,0.436,5,-7.505,1,0.0378,0.73,0.0,0.0853,0.281,94.968
19,Kyoto,4vjvx7Zxkb4AltGcZ0BBvI,0.6,0.749,11,-6.889,1,0.0419,0.0467,0.295,0.0915,0.485,131.024
20,What Once Was,1XrSjpNe49IiygZfzb74pk,0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568
21,Street You Live On,0Rg7gsv3kLviC7jW6Jemv3,0.542,0.667,4,-7.001,1,0.0581,0.00194,0.002,0.125,0.563,155.984
22,Amoeba,0HAqq2GcQKyi3s87GuN7jU,0.739,0.491,6,-11.515,1,0.027,0.791,0.0366,0.1,0.707,111.008
23,Be Sweet,0dpyzcT3RMNNSd2xKBf35I,0.653,0.877,2,-5.82,0,0.0275,0.0102,1.04e-05,0.32,0.62,109.985
24,I Think I Met You In A Dream,09MZIpr7ciaUZyxHKb37Mz,0.652,0.764,2,-6.082,1,0.0502,0.0862,0.0493,0.103,0.734,74.993
25,Up Granville,38SpxensPT9J0iNbMmQIjd,0.647,0.614,0,-6.509,1,0.027,0.177,0.0,0.0617,0.262,109.039
26,KEEP IT UP,0ioTTk5l0Zz7Oh48qEocgj,0.708,0.477,8,-7.297,1,0.0565,0.292,1.75e-06,0.255,0.733,149.929
27,Silk Chiffon,0BLY78hYpsH9NqP6X0N8CX,0.622,0.736,8,-6.219,1,0.0444,0.0156,0.0,0.112,0.432,97.006
28,Pretty Pictures,330fmJp9kvEMPjLhoc29Zl,0.725,0.355,2,-10.453,1,0.037,0.0495,0.00081,0.103,0.739,170.015
29,Many Times,3PJiE71oOxVPzMYYt6MI7G,0.753,0.868,7,-2.318,1,0.097,0.173,0.0,0.268,0.709,130.081
30,Bad Love,3MEYOBGJlvDgG99hSKIDQH,0.623,0.766,4,-7.445,1,0.0531,0.103,0.0193,0.158,0.55,153.15
31,Rocky,5uDohC8URXwbGiHAMuKGoa,0.734,0.518,11,-9.514,0,0.0813,0.556,0.00282,0.111,0.555,101.083
32,Look Out!,4N1zjRwfeYAfKVIjjYbDRX,0.462,0.394,10,-8.402,1,0.0271,0.669,5.5e-06,0.134,0.286,100.692
33,Summer's Over,20pi3c6HXmaEeElCswISpD,0.752,0.793,11,-8.358,0,0.109,0.371,0.00565,0.268,0.938,80.702
34,I Don't Want to Talk,1KO4aiGkvF1eMTBrzL4vAd,0.461,0.908,7,-3.222,1,0.0768,0.0133,1.4e-06,0.309,0.636,162.042
35,concussion,1h1w9olosnfBLzkRGsceCe,0.554,0.477,11,-8.335,1,0.0247,0.801,0.00552,0.0944,0.195,167.973
36,That Funny Feeling,30y5OpD8TPAru2wsyZDD4S,0.515,0.298,4,-11.499,1,0.0311,0.718,9.17e-06,0.365,0.462,116.761
37,Medicine,0CWvHfEwbeBVN0RViTybvL,0.866,0.754,0,-5.531,1,0.0356,0.0364,0.00181,0.0801,0.962,115.034
38,So Hot You're Hurting My Feelings,5B6Kjha6RRIMWGN7zGsAaT,0.795,0.576,6,-4.971,1,0.0289,0.0787,1.01e-05,0.121,0.847,111.975
