setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,No Handoutz (feat. Yeat),1jkHLTFc1j6HMHnaGq8QCH,0.7,0.616,5,-6.677,0,0.228,0.00801,0.0,0.215,0.349,133.85
2,Sleazy Flow,5mt882Eqx22RwFOTE01jS8,0.825,0.234,9,-14.202,1,0.495,0.235,9.54e-06,0.0696,0.18,77.487
3,Waddup (feat. Polo G),5teSgJfTCFK0ngDASJb99U,0.706,0.637,1,-7.261,1,0.35,0.187,0.0,0.199,0.289,76.062
4,Let's Get It (Remix) [feat. 21 Savage],1NVp7VnSVUJalgIBCIkh0w,0.863,0.499,7,-8.602,0,0.514,0.0758,0.0,0.104,0.76,80.073
5,Thump Shit,5tLdDm1cVYAH2kk7TyjmdW,0.718,0.607,5,-7.307,0,0.185,0.00227,1.32e-06,0.299,0.499,144.93
7,Oh Oh,0aA3U4en3uNGEE3lQX3gfu,0.783,0.419,1,-9.778,1,0.0677,0.204,0.0,0.108,0.445,144.971
8,Brazy (with YNW Melly),6wVUIV8RvwlLJlK1DsgVdj,0.758,0.623,4,-5.853,0,0.258,0.00934,0.0,0.0765,0.514,147.911
9,Rockin A Cardigan In Atlanta - Remix,62eyQ0C0IbRBplVsU1C3rL,0.908,0.67,1,-3.668,1,0.105,0.564,0.0,0.283,0.823,139.891
10,Creep When I Step,6Zux418oVWYlV5TqxdWinN,0.823,0.676,4,-7.359,1,0.102,0.337,0.0,0.145,0.833,130.061
11,No Switches (feat. Tory Lanez),7vL3sCFyF9g0koygb5eTi7,0.798,0.716,0,-6.087,1,0.244,0.0572,0.0,0.0947,0.289,103.567
12,Dancing Queen,65HXJWOYBX2pFpdtusWRiV,0.908,0.559,11,-6.329,1,0.333,0.00656,0.0,0.234,0.616,143.993
13,Here We Go Again,6VedgheUzpD7cVQD4Zy1Ge,0.63,0.445,11,-9.219,1,0.0577,0.00399,2.33e-05,0.323,0.159,144.216
