setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Kilby Girl,1170VohRSx6GwE6QDCHPPH,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279
2,The Kiss Of Venus (Dominic Fike),3gCYle76USfbHa7VDTDg5V,0.715,0.374,8,-6.665,1,0.0399,0.627,0.0,0.11,0.633,89.982
3,Ode to a Conversation Stuck in Your Throat,51Lf3l6wx008NdBxCQnD6B,0.57,0.804,11,-6.782,1,0.0701,0.0598,8.96e-05,0.187,0.624,87.533
4,Rawnald Gregory Erickson the Second,4j4pPKE3xAblPIbhxScC1j,0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508
5,Sagittarius Superstar (feat. Faye Webster),4j8Dz7TdDXoJ2z5zhqEwYX,0.552,0.653,5,-8.632,1,0.0523,0.29,0.00124,0.247,0.647,119.672
6,Kyoto,4vjvx7Zxkb4AltGcZ0BBvI,0.6,0.749,11,-6.889,1,0.0419,0.0467,0.295,0.0915,0.485,131.024
7,Slow Dances,0J8x2FryJyw7OVnEGYNFQE,0.595,0.77,11,-5.392,1,0.0359,0.0129,0.00254,0.152,0.755,133.961
8,Brazil,5ftdTvmQjjsL23t7jxADfI,0.689,0.617,4,-5.196,1,0.029,0.0918,2.08e-05,0.0816,0.682,121.062
9,Remember When,5naar7XewEOAjOywIp6Jjq,0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009
10,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
11,Ride or Die,7c0se2w4QXZ9V4MoHWhshC,0.544,0.716,9,-6.182,1,0.0458,0.214,1.62e-06,0.114,0.784,183.977
12,Maple Syrup,4MXE6VCvTsQitHWrAxj7Kg,0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153.0
13,Freakin' Out On the Interstate,0awZwmlC6pxH65KTZpadmX,0.45,0.794,4,-5.015,1,0.0538,0.388,0.0,0.303,0.362,143.861
14,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021
15,Money,5Q1H7ASDiJpACNx5ziyhuN,0.603,0.918,4,-6.652,0,0.0642,0.213,0.146,0.287,0.453,102.473
16,Pretty Face,07tbYac108weqzeP7Bhwon,0.538,0.89,11,-3.193,1,0.0489,0.00235,0.0,0.354,0.628,143.022
17,When Am I Gonna Lose You,5wCVLW9qMtIY9IkBeyYnh6,0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088
18,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879
19,I'm On Fire,0lhcKPk0fppMAnFUt3QNy7,0.5,0.854,1,-6.363,0,0.0374,0.135,0.66,0.161,0.491,173.95
20,Tek It,751srcHf5tUqcEa9pRCQwP,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995
21,I Don't Know,56PgQIFxAvXcEtXNYrsB0w,0.673,0.739,1,-7.529,1,0.0266,0.0115,0.0162,0.371,0.961,111.968
22,Young,1KIJclzEbNhSVw8tiHPWwE,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935
23,Always Forever,2enPRFda84VE2wtI8c86Uf,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378
24,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99
25,Buttons,1pZ9xYDzyq9KHTVrqBUEsn,0.688,0.61,1,-7.332,1,0.0386,0.542,0.000163,0.0983,0.66,84.01
26,Chamber Of Reflection,7H7NyZ3G075GqPx2evsfeb,0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03
27,Tightrope,5kzsfmg5XrlG2cxnHbBNC5,0.676,0.677,2,-5.369,1,0.0397,0.00142,0.000164,0.32,0.693,140.963
