setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Slippers and Cocoa,2TctbR1zGHbhjFgvnoXcl1,0.414,0.241,8,-17.379,1,0.0304,0.894,0.0346,0.123,0.175,103.632
2,All the Stars,3lNR1Rzlvew7A6lyPEKDEk,0.311,0.116,11,-18.167,1,0.0292,0.935,0.496,0.119,0.0723,85.999
3,The Masquerade Is Over,3Sg76cvYesfYDtHcMQ2fxn,0.628,0.191,5,-16.865,0,0.0403,0.966,0.924,0.0897,0.102,112.496
4,Spring Is in the Air,0c6PEeFIX4PQ20yyjwW1SE,0.459,0.214,9,-18.102,0,0.0379,0.848,0.865,0.274,0.0793,109.113
5,The Law of Attraction,5f2btCjcN87enR8OBijRBz,0.461,0.0727,7,-23.646,1,0.0367,0.972,0.88,0.126,0.193,114.931
6,The More I See You,4dvn4VXmnKlVHByYTK2WFP,0.542,0.122,5,-18.411,0,0.0361,0.976,0.856,0.116,0.164,108.286
7,Akaishi,5npOIRaqGTVT5Ur8cf4i4K,0.345,0.133,2,-18.314,0,0.0331,0.949,0.559,0.0804,0.0744,79.078
8,Some Other Time,00XUUci0jcUyCtVgMk8AxB,0.562,0.0329,0,-23.343,1,0.0408,0.951,0.906,0.105,0.306,98.838
9,Georgia On My Mind,15c6okmVGsMQYb7PkKi5v3,0.508,0.173,9,-16.946,0,0.041,0.928,0.951,0.122,0.197,62.343
10,For All We Know,6GE5NlqY4yH8IRNR9lI713,0.316,0.085,5,-20.584,0,0.0355,0.971,0.821,0.106,0.116,59.622
11,It Might As Well Be Spring,62sqdTmnNpWcJtxtJXmKzy,0.331,0.169,9,-18.095,0,0.0373,0.956,0.951,0.121,0.114,171.169
12,The Party's Over,3bCDBqVpu1lDbRGEV0El1J,0.367,0.0749,8,-18.779,1,0.0358,0.988,0.968,0.113,0.315,101.117
13,Out of a misty dream,487y37ICkH10Ve0u0kvia1,0.609,0.0756,5,-20.404,0,0.0377,0.982,0.819,0.115,0.154,107.167
14,Sea Smoke,0eZ6EQ8ekEGV8URaCmS7ah,0.602,0.224,9,-14.494,1,0.0344,0.968,0.472,0.108,0.127,110.366
15,In Another Universe,04OlOJOsWy6RUWgyhixoqk,0.453,0.142,8,-19.092,0,0.0297,0.849,0.0316,0.171,0.0859,82.818
16,You Left With My Heart Still Yours,5WAnt7GslqsKZOEUZ5SORP,0.369,0.0576,11,-21.441,1,0.0457,0.925,0.143,0.118,0.104,183.354
17,A Time For Love,1lj6MFAyOG9mlwmp0EkBAF,0.413,0.216,7,-18.276,0,0.0323,0.972,0.933,0.366,0.12,121.925
18,Everything To Me,1D7BVIjNGLW0dBlD5NEmev,0.375,0.162,3,-17.787,1,0.0437,0.943,0.897,0.178,0.153,178.721
19,Litania,0ou3UbT1V1FaGU5oz6Q8Bo,0.531,0.0282,8,-20.689,1,0.0337,0.596,0.314,0.114,0.157,94.739
20,Caerulea,05IRllaVkCLy5Iyz3JUXNC,0.475,0.105,9,-18.046,0,0.0351,0.962,0.695,0.115,0.0563,54.727
21,September Song,5K9W2clr01zZZVu80avRLA,0.361,0.129,10,-18.229,1,0.0341,0.848,0.529,0.128,0.299,180.64
22,Eternity,3AxL4mOBBcz5vse4V7o7es,0.521,0.0568,10,-18.52,0,0.0313,0.952,0.229,0.104,0.0685,80.391
23,Quiet Now,42Z4Egilt6kqyDKDugV9v3,0.567,0.0839,4,-21.322,0,0.0368,0.966,0.904,0.144,0.0777,118.54
24,New Hampshire,0Z8auoHguIXLgSMzqT3kZr,0.403,0.0273,1,-26.497,1,0.043,0.956,0.948,0.158,0.135,84.169
25,Con Alba,0f0MxPmuo6W577AUYozNVr,0.462,0.0298,0,-25.49,1,0.0381,0.974,0.93,0.107,0.0877,90.083
26,No Matter What,23ftImdUHey1ZDYVL1t0VP,0.362,0.185,5,-19.244,0,0.0412,0.97,0.76,0.339,0.0666,98.651
27,Hoppet,50QdRhmKuE8C2z1NGkiKxB,0.518,0.144,0,-14.734,1,0.0316,0.914,0.888,0.114,0.206,90.651
28,Try To Remember,4q86fROSuJgs5J8pX8YBZM,0.47,0.174,7,-18.095,1,0.0316,0.895,0.934,0.104,0.307,87.75
29,Intangible,5jU0M5C3puyWnDvrd27RSP,0.423,0.116,7,-17.882,1,0.0326,0.972,0.433,0.111,0.1,81.501
30,Nublu,7I3dKt5y4dlS0y8Kg0uOdK,0.275,0.115,2,-19.401,1,0.0347,0.933,0.621,0.123,0.0838,77.001
31,Pink Balloons,328IUKlFSM9s4PtJHkrFir,0.388,0.129,7,-18.276,1,0.036,0.955,0.783,0.135,0.191,90.873
32,Don't Go To Strangers,5n3Fi4f7VJyQQrFlfA9F9f,0.51,0.134,7,-19.383,1,0.0334,0.932,0.956,0.375,0.182,98.751
33,When You Are Around,3WUrXHDowLk25UtALiohVD,0.559,0.194,8,-16.927,1,0.0412,0.909,0.852,0.132,0.169,84.095
34,Open Mind,3ODKzLgzGnXzng8SCTadRc,0.517,0.15,8,-9.638,1,0.0391,0.981,0.541,0.104,0.143,79.917
35,Our Best Year Yet,628mswwaHdp8bFEKsOCwCa,0.38,0.0953,6,-17.801,1,0.0291,0.97,0.679,0.1,0.0811,85.91
36,La part des anges,5QJNVrABmfDW0g4EDVAR89,0.442,0.075,11,-17.055,1,0.0451,0.654,0.133,0.367,0.0467,95.149
37,Lady in the Blue Dress,4PtCTyed2hD6brWYYBZSQj,0.432,0.184,0,-17.376,1,0.0308,0.881,0.0372,0.126,0.0746,99.062
38,These Foolish Things,2GkEZi94MfDIxjp36MAFuj,0.504,0.156,3,-15.791,1,0.0354,0.951,0.643,0.118,0.208,112.687
