setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Awake,5XMtZsNkezcv695DQSZo0L,0.519,0.58,0,-7.439,0,0.0439,0.33,0.0575,0.113,0.692,83.978
2,Blessed,21EWgcbSOPGQ9hRvMOlLCi,0.667,0.355,7,-10.013,0,0.0479,0.547,8.67e-05,0.134,0.241,141.876
3,lived to love,2m9N5pZkg7wkgLadlvWcpj,0.714,0.798,9,-10.997,0,0.0532,0.835,0.0133,0.0969,0.562,115.972
4,dirty dancer,1ciQU7ZQGHq129m3njp9en,0.702,0.525,7,-5.028,0,0.0313,0.376,0.0667,0.119,0.515,113.856
5,Scrimmage - Remix,4RLpPmjpcuXdOVqizQVnc5,0.661,0.55,9,-9.996,0,0.0764,0.565,7.01e-06,0.0611,0.428,124.63
6,Bound (with Blood Orange),7fjNxhYa8qXGhrrJhY3hZL,0.629,0.515,10,-10.128,0,0.0785,0.172,0.133,0.144,0.27,191.706
7,Verbs,4yurN9uKsooqpAjMhfPfRh,0.66,0.735,1,-7.571,1,0.0987,0.265,0.0378,0.559,0.458,98.972
8,Where U Goin' Tonight?,4Z5Bwienk09FUgwsMlsPwJ,0.67,0.721,10,-4.039,0,0.307,0.041,0.0,0.066,0.787,102.17
9,Party On Mars,71Z9IsCkGbbMmVMatELPXa,0.74,0.336,0,-7.824,1,0.104,0.845,5.26e-06,0.522,0.13,98.996
10,I Got It,7v7A2gqJVvSrSl5xOjJaOf,0.724,0.711,6,-6.938,0,0.242,0.594,2.86e-06,0.135,0.407,139.914
11,I Know I Know I Know,1dpGE0PERvAOk0kSpzcBzN,0.736,0.133,2,-14.233,1,0.0306,0.737,0.27,0.354,0.406,97.057
12,Baby Powder,4Nw7kywWurWS6ceinn1cHK,0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461
13,Intense,5UGuFkPQl7p6dmhZuPPaT9,0.957,0.233,5,-11.533,1,0.111,0.657,3.56e-05,0.144,0.338,113.943
14,Found (feat. Brent Faiyaz),0GGfGINoVYiSFXPOjg3RHj,0.821,0.412,7,-7.795,1,0.0341,0.625,1.64e-05,0.0985,0.333,109.977
15,Shibari Moon,5s4uHZwSbk8XbjARwTzIw4,0.584,0.141,2,-13.48,1,0.0826,0.909,0.0,0.0671,0.424,136.606
16,Dying in the Subtlety,5k9BcVWNFpsU35Ojv7LjGQ,0.721,0.559,9,-8.152,1,0.0309,0.00256,5.08e-05,0.223,0.397,91.015
17,Kimmi,4PICq5Ndi0cEWsyRAEWED6,0.724,0.523,0,-7.063,1,0.0572,0.0012,0.0161,0.122,0.568,90.994
18,Golden pt. 2 (feat. Mereba),6FwuRS7LLtemBSw18PK2fz,0.64,0.459,11,-8.012,0,0.116,0.254,0.000251,0.153,0.493,84.95
19,Buying Time,3Yt0liwMgB3I0xv3FQBDzI,0.765,0.437,5,-8.994,0,0.0372,0.732,0.00331,0.167,0.667,117.99
