setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Ur Mum,7CLIr0lZ4GWeHTaj9lNkXM,0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016
2,Sugar,3Tuz3Ec6n03nPTAa5knMm8,0.606,0.696,6,-5.153,1,0.0613,0.122,0.000188,0.157,0.68,121.347
3,Stress Relief,7xLfmCx9jcZNgzlIK7NupN,0.519,0.666,8,-7.576,1,0.0318,0.0108,0.000623,0.0781,0.603,139.94
4,90s American Superstar,7sAgUakvHMLtLlTSZqU7i5,0.536,0.857,4,-4.358,0,0.0677,0.0214,1.06e-05,0.154,0.508,171.977
5,Fire Escape,5ekucJquBlWaZojC2oNZHU,0.581,0.869,11,-5.533,1,0.0436,0.0131,4.44e-06,0.0801,0.779,112.902
6,u dont kno me,1jbbnDJ54AGBRswmNm5PAw,0.624,0.886,4,-6.046,1,0.0351,0.1,0.941,0.0943,0.772,155.249
7,I Don't Want to Talk,1KO4aiGkvF1eMTBrzL4vAd,0.461,0.908,7,-3.222,1,0.0768,0.0133,1.4e-06,0.309,0.636,162.042
8,Stargazing,0VF7YLIxSQKyNiFL3X6MmN,0.512,0.483,0,-7.798,1,0.0298,0.00304,0.0011,0.12,0.367,160.009
9,bad idea!,1M4Ud66z18wuIq3oOxqVHa,0.511,0.806,1,-6.093,1,0.0481,0.03,0.0465,0.252,0.41,162.04
10,Give Up Baby Go,6DIMM15oo3kxnCuVypaYGy,0.683,0.697,9,-6.703,1,0.025,0.169,2.46e-06,0.0527,0.591,96.729
11,THE SHADE,1gH1h30wkQdd9zhY3j7a8T,0.898,0.509,5,-7.973,1,0.062,0.391,0.0,0.0876,0.727,119.869
12,t r a n s p a r e n t s o u l feat. Travis Barker,1QL7nSDZCwZMnbisV4KOXt,0.39,0.83,11,-5.201,0,0.0563,0.0021,0.0,0.156,0.191,90.021
13,Leaving Today,63tDRyYBftYrwURgtR42Zc,0.48,0.918,4,-4.068,0,0.0425,0.00513,0.0333,0.367,0.602,100.102
14,Remember When,5naar7XewEOAjOywIp6Jjq,0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009
15,Sports,77G0k1La0c5Dw8bAFANcyp,0.231,0.877,9,-5.278,1,0.0574,0.000653,0.026,0.0694,0.524,186.142
16,10 Steps,4U2GQlVHIerwX78jHpkOYN,0.248,0.837,7,-6.534,1,0.0515,0.102,0.00214,0.338,0.66,122.878
17,Off My Mind,7n6QMW76A5qgfn0Mb4aL7i,0.574,0.664,0,-7.713,1,0.0334,0.305,2.29e-05,0.143,0.727,111.933
18,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721
19,Alien Blues,11iIikXxC6NP0Ma8vMD27x,0.467,0.757,3,-5.093,1,0.033,0.0807,0.908,0.0876,0.433,82.282
20,23,23KrCGwx1EedHUaZsQe6H5,0.576,0.597,5,-4.974,1,0.0391,0.22,0.0,0.0914,0.614,133.686
21,Especially You,1prCMVGhgKF805LZJhFIHe,0.546,0.95,2,-3.386,1,0.133,0.0375,6.3e-05,0.0942,0.757,94.923
22,Ode to a Conversation Stuck in Your Throat,51Lf3l6wx008NdBxCQnD6B,0.57,0.804,11,-6.782,1,0.0701,0.0598,8.96e-05,0.187,0.624,87.533
23,Come Over (Again),4PDJDIdWxNN1AlnbrKkoPf,0.498,0.713,2,-7.738,1,0.0278,0.00393,0.0,0.0675,0.235,93.018
24,Boys,7yfLvK7r1w5bql3G0Uha5w,0.515,0.771,2,-5.081,1,0.0394,0.0339,1.81e-05,0.0945,0.552,104.995
25,Freakin' Out On the Interstate,0awZwmlC6pxH65KTZpadmX,0.45,0.794,4,-5.015,1,0.0538,0.388,0.0,0.303,0.362,143.861
26,Up Granville,38SpxensPT9J0iNbMmQIjd,0.647,0.614,0,-6.509,1,0.027,0.177,0.0,0.0617,0.262,109.039
27,Oysters In My Pocket,2B664ulJSVBd6B8SAY3Wux,0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017
28,Romeo & Juliet,1VyA8mbSyXOdJx2lguR8Uu,0.318,0.476,0,-7.108,1,0.0441,0.454,1.57e-05,0.503,0.0807,160.737
29,Japanese Posters,19mIMQ8rNN4jmfR1UXVNBQ,0.673,0.631,6,-6.634,0,0.0281,0.00732,7.34e-06,0.253,0.796,95.009
30,Medicine,0CWvHfEwbeBVN0RViTybvL,0.866,0.754,0,-5.531,1,0.0356,0.0364,0.00181,0.0801,0.962,115.034
31,Oxygen,0vu3XfUitueA4S7l93kNU3,0.42,0.943,6,-5.436,1,0.0808,0.00105,0.0,0.276,0.484,163.946
32,Dance In Room Song,52sDdbKEy6OQbv36sU2lSD,0.583,0.82,11,-6.774,1,0.0622,0.0293,0.00119,0.608,0.759,90.611
33,Cologne,1NaDK3atogQEn9glK5fYuy,0.55,0.803,2,-3.608,1,0.0347,0.000561,0.000523,0.0266,0.877,130.015
34,Pool House,74f0dpqHhTeTJzs4pmZ1yq,0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097
35,HIDE,1ZK4x9YUytJSgdu2yC39z7,0.798,0.684,2,-4.424,1,0.298,0.673,8.06e-06,0.19,0.717,159.862
36,Vickie,57U1PB3FAleLul5wMj5dEZ,0.697,0.464,0,-6.019,1,0.0259,0.147,4.51e-06,0.139,0.667,89.293
37,The Kiss Of Venus (Dominic Fike),3gCYle76USfbHa7VDTDg5V,0.715,0.374,8,-6.665,1,0.0399,0.627,0.0,0.11,0.633,89.982
38,At the End of the Day,0BbvSCBpxz2yjPXINwFWOw,0.562,0.881,9,-5.168,1,0.0464,0.0383,1.26e-05,0.141,0.575,117.29
39,Freaks,7EkWXAI1wn8Ii883ecd9xr,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626
40,Days Like Lost Dogs,6oSEQDTq66SDlyNTrwvzbN,0.408,0.8,11,-6.614,1,0.0801,0.343,0.0738,0.593,0.474,169.98
41,Marigold,0xtRShSDM9MNsaARH6hJkF,0.788,0.533,4,-8.81,1,0.0573,0.119,1.29e-05,0.212,0.633,131.047
42,Perfume,3Fn9orcpHw3TuqfB2NmZGC,0.623,0.788,8,-7.777,1,0.0415,0.000247,0.271,0.0978,0.955,121.974
43,Cuff Your Jeans,7lqkXzBuVcPWjtyjaVCrEc,0.664,0.762,2,-6.148,1,0.0282,0.0156,0.0815,0.187,0.963,113.016
44,Devil Town,0vf2eBw2inhl8y61cYQMv2,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969
45,Baby Tonight,6iQNowW9ulIf5rQuMCSLFt,0.421,0.768,10,-6.729,1,0.0341,0.000232,0.000114,0.113,0.138,189.967
46,space girl,7FjIYiD53wxlQmzTT6Wdpf,0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,0.37,0.196,125.979
47,Frankenstein,1xSmjB0t19q4CSJ0X0ymGB,0.826,0.745,2,-6.091,1,0.141,0.13,1.32e-05,0.178,0.883,119.92
48,Better Than I Know Myself,0xg79a3ac7iAOILS1QQbPa,0.571,0.691,3,-7.027,0,0.0312,0.0873,0.0721,0.124,0.617,110.004
49,friendship,3JvXtgeeIfN4MQaew28CLV,0.515,0.494,1,-5.916,0,0.0276,0.16,0.0627,0.127,0.328,77.498
50,Sex Sells,6ShHxD0hoJSXajmcpQ5Ri8,0.468,0.721,0,-9.175,1,0.0343,0.00574,0.0,0.111,0.69,145.989
51,I Can't Handle Change,0I1eFRytp4XRhLCjT6tZm7,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711
52,Virtual Aerobics,2ph2geNwNtdvIkA1Nvpybp,0.775,0.55,9,-3.765,1,0.0345,0.183,0.0,0.0434,0.72,109.952
53,Notion,0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488
54,bed head fever,4zq2Yo2ry2y2f7sSeq4EFf,0.665,0.88,0,-4.828,0,0.0406,0.0464,0.0,0.282,0.419,102.967
55,Westside,5K1is8joaUpZJHuNkEoSfC,0.664,0.751,4,-9.227,0,0.0478,0.00834,0.801,0.0569,0.97,81.16
56,Sagittarius Superstar (feat. Faye Webster),4j8Dz7TdDXoJ2z5zhqEwYX,0.552,0.653,5,-8.632,1,0.0523,0.29,0.00124,0.247,0.647,119.672
57,I'm So Bored,1SAF9h8xdE1YV02Dbgrn2L,0.49,0.746,10,-5.458,1,0.042,0.00972,1.58e-05,0.0235,0.948,165.056
58,Pretty Pictures,330fmJp9kvEMPjLhoc29Zl,0.725,0.355,2,-10.453,1,0.037,0.0495,0.00081,0.103,0.739,170.015
59,Taunt,0r3QJbwBuR9UL0ai5qDTw7,0.476,0.834,7,-9.343,1,0.0951,0.0157,3.4e-05,0.263,0.895,186.844
60,Cloud 9 (feat. Tegan and Sara),2pGXCabl4UlMiskwh7evDq,0.585,0.892,9,-4.466,1,0.0424,0.00108,0.0,0.281,0.878,161.985
61,Fool,18wWSj6ydP6E8oSkgw5vrM,0.679,0.586,11,-9.207,1,0.0361,0.662,0.000474,0.161,0.582,136.938
62,Marvelous,5wkEdciZkVGiasumRPReSV,0.635,0.921,9,-3.269,1,0.162,0.22,0.0,0.0785,0.673,124.037
63,Holly Holly,609PjstZKFBH2ryWbJFzev,0.564,0.683,11,-7.169,1,0.0294,0.0594,0.0,0.102,0.382,80.959
64,Tombstone Grey,6CVBXF8MOp8nLqnAnsPyNg,0.569,0.465,0,-6.75,1,0.0835,0.315,0.0,0.104,0.248,77.585
65,Make Out,6haLtXSts5wuG97Nyq4jI5,0.525,0.77,1,-4.926,1,0.0473,0.000403,0.00108,0.0368,0.626,164.089
66,Disco,2Lumsra3kuU61wXkEKzKaK,0.473,0.621,11,-8.698,0,0.0291,0.0253,0.000366,0.19,0.782,173.083
67,Bad Dream Baby,4S7misxIYuUVypO0NwDwuW,0.654,0.717,4,-6.564,1,0.0416,0.089,0.00148,0.0596,0.961,159.963
68,Juliette,1Po2n7GxUAf6snaUxYekd5,0.463,0.473,2,-9.581,1,0.0493,0.0302,0.0,0.213,0.499,165.305
69,Vices,3WeoM8LvxOeabU83YK5WAL,0.556,0.816,0,-6.659,0,0.0681,0.0491,6.96e-06,0.181,0.606,149.893
70,Set The Table (feat. Claud),4KKfz33BvPygaynUJyeyC2,0.543,0.749,5,-5.622,1,0.0259,0.567,0.0012,0.121,0.253,137.511
71,Winona,50CrMqvVH178XRNNhhXfTy,0.65,0.621,5,-6.6,1,0.0262,0.0651,0.168,0.107,0.76,106.005
72,One Day,0IUprcNjE2hDtlvY8rq2W9,0.332,0.737,10,-8.572,0,0.0349,0.00696,0.0,0.0519,0.761,183.333
73,Jealous,1aXV8GrmQLvgoFtBPERP7E,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01
74,Polly,0AaJgZIw1lJjc4QejCEpAu,0.746,0.912,2,-6.178,1,0.0504,0.138,0.245,0.115,0.756,90.011
75,Get Down,4kcuzPfVaPlElWRv9jNGHi,0.761,0.553,1,-8.318,0,0.156,0.296,1.74e-05,0.194,0.367,87.487
76,"boyfriend, girlfriend",4IK173MxzuvTXczWL6OHZn,0.549,0.657,2,-8.296,1,0.0317,0.000993,0.0182,0.32,0.574,104.962
77,brutal,6SRsiMl7w1USE4mFqrOhHC,0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,123.999
78,I Hope You Understand,2IyWpZBEqy0kfZl0XRCNrB,0.552,0.532,4,-6.269,1,0.0487,0.237,0.00459,0.097,0.703,140.792
79,Smello Coffee,7I0f1ZuxL5hj4zAMhYfhVR,0.338,0.396,4,-12.177,1,0.0287,0.0252,0.255,0.104,0.359,83.076
80,Hatch,5McjD7rGbob7zDr8k0xnO1,0.518,0.744,2,-10.177,1,0.035,0.485,0.542,0.31,0.659,92.839
81,Puppy Princess,7dyi7AorhfCTJvGFjXwpyU,0.642,0.702,1,-4.342,1,0.0551,0.162,0.0,0.289,0.693,121.971
82,Michelle,48rZVgAGm0OlbbxjikCpqm,0.366,0.439,4,-5.238,1,0.0298,0.0781,1.92e-05,0.108,0.11,115.94
83,Hurting Kind,3uppnQKDEQkNUqRSSEXKfM,0.59,0.598,9,-7.542,1,0.0555,0.202,1.29e-06,0.0553,0.794,154.951
84,From These Heights,26tMEDbutzryy8RyHX8HX4,0.758,0.903,4,-3.909,1,0.0314,0.00949,7.43e-06,0.628,0.749,125.002
85,It's Still Cool If You Don't,1WfnPoIGJ4ea2O8JlbGQkp,0.597,0.655,9,-6.188,1,0.0299,0.00473,5.15e-05,0.607,0.36,121.06
86,"If You Ever Leave, I'm Coming with You",1BiRaCcUqWpLLb4LZpvRMF,0.514,0.875,9,-5.472,0,0.075,0.000247,1.14e-05,0.505,0.591,152.005
87,Did You Sleep Last Night?,3mOf4VKJR7S8fHXlMakRK1,0.536,0.887,1,-6.719,0,0.0719,0.0639,0.0,0.129,0.439,99.912
88,Kissing Lessons,3KRdLDjxlAY7ku93tOG0b1,0.546,0.866,1,-7.073,1,0.0576,0.000909,0.0147,0.16,0.652,140.014
89,Woah Man,0PGnwDPPMoJ1s49hQQXHFR,0.497,0.675,2,-7.442,1,0.0332,0.0035,0.000367,0.219,0.338,79.965
90,Take It Back,6ki18nBsMcYALDdab7CIIE,0.62,0.807,6,-4.2,0,0.0718,0.00825,6.86e-05,0.0998,0.599,130.101
91,Mercy,5vWAgdYgGN5WXzKvfNwx2E,0.549,0.324,8,-9.406,1,0.0307,0.0717,0.0,0.0832,0.199,161.881
92,half alive,4impZnrNgbel1s7u5eV4lE,0.54,0.863,9,-9.671,1,0.0309,0.0107,0.0304,0.313,0.927,146.89
93,Yeah!,3XNWfquRRvnaCSU2low3ez,0.616,0.833,10,-4.362,0,0.129,0.000896,4.69e-06,0.0566,0.567,99.005
94,Marlboro Nights,755inykyaG4w22GWAsA3MX,0.466,0.823,2,-6.635,1,0.311,0.00237,0.000321,0.332,0.782,175.797
95,concussion,1h1w9olosnfBLzkRGsceCe,0.554,0.477,11,-8.335,1,0.0247,0.801,0.00552,0.0944,0.195,167.973
96,Ada,2vDQzwgwucNg6Iyts3okJ8,0.367,0.828,0,-5.92,1,0.0524,0.00302,0.000812,0.104,0.113,116.9
97,Hey Michael,7sUTbNjYpJkUhICiLEoYdf,0.759,0.636,4,-6.387,1,0.0473,0.0386,0.000117,0.643,0.921,120.019
98,Sprite,3D3OHfOAquHu006w1ovJpX,0.563,0.691,2,-8.006,1,0.0357,0.0129,0.000404,0.0744,0.425,157.034
99,American Honey,4HOsVv1uK6DS0gYKBCWMGv,0.433,0.501,3,-8.89,1,0.0346,0.503,0.0177,0.0945,0.252,204.06
100,bullet train,0l1ssbMoKPQWtm5JQOQCVz,0.527,0.928,10,-6.866,1,0.0424,9.48e-06,0.798,0.135,0.557,109.993
100,bullet train,0l1ssbMoKPQWtm5JQOQCVz,0.527,0.928,10,-6.866,1,0.0424,9.48e-06,0.798,0.135,0.557,109.993
