setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Spring,6UYEmhFrHSpWNyVRgJxjKf,0.395,0.0103,9,-33.671,1,0.0448,0.994,0.883,0.0902,0.0499,67.787
2,Jupiter Rising,09GXY43KLwv7zNdI2LREhx,0.478,0.138,2,-16.85,0,0.0666,0.984,0.942,0.0851,0.282,116.594
3,In The Mood For Dreaming,163EpITIjkN1ky0odOKy1b,0.364,0.0107,3,-30.661,1,0.07,0.996,0.964,0.113,0.198,66.759
4,Beginning,0xfBAFqqp2bMbtRV2AIWRe,0.546,0.062,7,-22.592,1,0.0366,0.989,0.952,0.0853,0.175,140.134
5,Time Will Tell,6G0iS7Lf08bZgjrdV1aRZ2,0.42,0.0452,8,-28.208,1,0.0325,0.994,0.932,0.105,0.26,126.416
6,We Will Make It,7yVh5SkxIS6OpNlL8gf2Qx,0.448,0.0278,7,-30.025,1,0.0708,0.995,0.928,0.101,0.353,138.658
7,Like A Whisper,4C4B9L1O7JCiDSniF64rbJ,0.419,0.00988,6,-28.722,1,0.0395,0.991,0.854,0.0888,0.249,95.894
8,Reflection,7atZZz7sWJxeHpKLFof03X,0.429,0.054,9,-26.181,1,0.0434,0.993,0.937,0.105,0.115,80.029
9,Heartland,0M3DaTZsuttjClg5VG8exA,0.325,0.0762,4,-28.507,0,0.0367,0.974,0.933,0.097,0.141,123.907
10,Hallelujah,3OIuwKMMuO3tVZ9futeIfb,0.378,0.0416,7,-24.836,0,0.048,0.984,0.942,0.106,0.28,71.166
11,In The Stars,2hxaiA9EtXjMlXhG6SCoW8,0.397,0.00375,9,-38.226,1,0.0393,0.988,0.957,0.115,0.11,64.443
12,Chair,3lJdgFLbcFKLYWWBMCGjES,0.335,0.00931,11,-36.416,0,0.0576,0.994,0.934,0.106,0.18,67.766
13,Maurice,7l92bhAAWWCnRrbmekFSor,0.398,0.0427,7,-25.052,1,0.0454,0.991,0.805,0.109,0.275,122.15
14,Humbly,6MeOCVIU94xMVgr1kTMKRT,0.27,0.0027,5,-26.207,1,0.045,0.993,0.913,0.127,0.4,168.958
15,Notes in the Stars,7tVXn05UnymHBVTXISx3sv,0.419,0.00546,2,-22.497,1,0.0524,0.969,0.956,0.107,0.15,70.361
16,When We Dance,1XkTvyqh9ECRpqwbnxoZCv,0.442,0.0837,5,-28.286,1,0.0405,0.987,0.947,0.109,0.147,150.64
17,Now and Then,3flrE9SDAQj4hP2kKzcHOG,0.267,0.0338,5,-28.036,1,0.0481,0.993,0.879,0.0979,0.321,74.461
18,Moonlight,3uFDsOUgxcEV2PvBxf9B2Z,0.55,0.0655,9,-21.791,1,0.0463,0.938,0.913,0.0852,0.255,79.576
19,It's Only a Paper Moon,46Y5QXZldCGdmbhZGMXDWr,0.471,0.164,7,-19.898,1,0.0468,0.992,0.962,0.126,0.22,105.538
20,Goodnight,2rro7SoKEWIrhUl1xcXOIT,0.49,0.04,5,-24.551,1,0.0545,0.994,0.96,0.132,0.109,126.591
21,Heartbeat,5gYcfdwdwQ7eowE3ycuXaW,0.252,0.0169,0,-27.278,1,0.0422,0.988,0.913,0.116,0.318,167.09
22,Moving Towards Fine,2apnPHVAbn0ny2K8RowbpN,0.298,0.0749,7,-20.644,1,0.0341,0.986,0.911,0.117,0.268,70.604
23,Mind Wide Open,3qofUkK1Yak7mp81Lojn3L,0.394,0.014,10,-26.686,1,0.0711,0.987,0.954,0.111,0.115,87.024
24,Personne d'autre que toi,4M7jagkEBHpniJmWdntxNR,0.487,0.0357,7,-24.424,1,0.0481,0.996,0.94,0.0989,0.316,125.712
25,Palette,44OOm3Op6tXw3gePWBtiI2,0.461,0.0302,0,-28.498,1,0.0646,0.995,0.944,0.104,0.418,68.159
26,Dolce Far Niente,3FoNBTNv03Soj4XDk6FJqH,0.467,0.0326,11,-23.039,1,0.0475,0.981,0.879,0.0971,0.135,74.116
27,Circumstances,7FyzToHhKG9b9gS19kWg8a,0.453,0.0436,10,-25.912,0,0.0364,0.99,0.842,0.111,0.198,71.987
28,Fugetsu,5289GXfRrGAs7fAwiVkqzT,0.418,0.102,0,-21.265,1,0.0436,0.975,0.93,0.139,0.26,110.15
29,Ours,5CCZ8wTUbpTI0tTyxEVEy3,0.371,0.0177,5,-29.601,1,0.045,0.99,0.932,0.113,0.0777,130.573
30,Bluebird,2NW5l5VDQNbt7IIS6SAZH6,0.331,0.115,9,-29.442,0,0.0303,0.965,0.923,0.11,0.322,139.539
31,Innocence,7chUrds11BR9cV2sUv32or,0.418,0.0412,1,-19.678,1,0.0597,0.993,0.937,0.124,0.575,71.476
32,Misérable,1KVKQkKQ6pk8Hai7aKj5nx,0.454,0.0726,2,-25.57,1,0.0597,0.992,0.945,0.11,0.256,80.211
33,Dimman,0VCR5yJWXT3FQHuBFPhTm2,0.292,0.0251,3,-25.342,1,0.0398,0.992,0.94,0.111,0.168,136.0
34,Pour toujours,6vkmvL8i9sfIHoAlzJcfAO,0.227,0.0643,0,-29.419,1,0.0461,0.994,0.915,0.104,0.31,165.015
35,Minuit,7GzMpKkrr5zwsmtTIQk2EC,0.443,0.0472,5,-27.348,1,0.0386,0.993,0.94,0.124,0.446,116.125
36,Impressions,2IxfYyUQFZWoopvcfOmKnV,0.427,0.0108,4,-32.288,1,0.048,0.993,0.897,0.0878,0.419,57.486
37,supine,7IMGJM5S0YYcQhvtdeJH14,0.533,0.0608,6,-30.09,1,0.0283,0.993,0.88,0.109,0.527,95.974
38,Shizukana,63oFS9JTsvadCXUqwqA7p0,0.47,0.0593,7,-28.563,1,0.0355,0.99,0.934,0.104,0.178,113.418
39,Forelsket,4Oo0RKYm64PZSIbpFmcuK9,0.27,0.0083,5,-30.604,1,0.039,0.993,0.921,0.0984,0.234,75.139
40,Belle Vie De Tous Les Jours,3irfOZS30z0snSh5vOPs2V,0.334,0.0088,0,-25.986,1,0.0525,0.994,0.932,0.111,0.374,83.406
41,Little Memories,7yqt5FexPi4P2h8KVawKDm,0.619,0.142,7,-18.49,1,0.0503,0.992,0.942,0.109,0.733,147.909
42,To You Again,5twnmeTkgggWszBDSOX7fu,0.387,0.0302,2,-30.972,1,0.0468,0.993,0.874,0.111,0.188,91.714
43,Space,6Ux1msFzvpBSuaZuyyy0lv,0.333,0.0584,0,-21.398,1,0.0371,0.994,0.918,0.0929,0.152,75.521
44,Fiorire,1nxWCkjlOdwRwyROs99UNv,0.326,0.058,3,-26.438,1,0.037,0.991,0.946,0.107,0.179,94.49
45,Spore,1AhoOwNTxI5FEOsnMqNicv,0.287,0.0237,10,-32.946,1,0.0482,0.995,0.906,0.0658,0.053,178.096
46,I Belong Here,1sJlo3mVGO7kcbEJRKfeKy,0.515,0.0306,2,-34.997,1,0.0662,0.996,0.952,0.092,0.364,62.057
47,Before your eyes,4xugZez7zpHFNTgkf0DLV1,0.412,0.0394,3,-26.907,1,0.033,0.992,0.976,0.107,0.19,51.076
48,Quérete a ti mesmo,1LcIr9UrZgmkMGJ6U5aIIm,0.519,0.00524,5,-26.381,1,0.0513,0.992,0.962,0.111,0.198,79.054
49,Awake,4IMXgViQWKGQku8DPaF9Bm,0.524,0.172,4,-21.392,0,0.0407,0.992,0.948,0.104,0.157,109.977
50,Bluebird (Solo Piano Version),3LQwGnHo2iHiRGbLl5aPXQ,0.414,0.105,10,-22.523,1,0.0476,0.995,0.892,0.0934,0.14,150.28
51,Fairytale,0171THBJUjWNcMYH6Ls7KE,0.305,0.0305,2,-29.374,1,0.0538,0.994,0.893,0.101,0.141,170.07
52,Radiant,5WAuzGamm8rl9rY0ZxTZ5h,0.475,0.0451,0,-27.516,1,0.0296,0.96,0.94,0.11,0.342,80.874
53,At First Sight,7Ffpq66dn7HBkds2cw5UPa,0.471,0.0124,8,-28.269,1,0.0535,0.995,0.945,0.119,0.314,108.921
54,Spheroidal,1ihUUaEazz6DAxb9ZX7Thh,0.385,0.0217,2,-27.33,1,0.0502,0.996,0.951,0.0731,0.162,126.449
55,Her,1h5J39FupEgSwZn43lSqgp,0.394,0.0558,0,-25.924,0,0.0349,0.988,0.923,0.103,0.207,135.496
56,Ambiguous,5noZf2SS8GeokRdNKbocig,0.529,0.0662,6,-20.275,1,0.0788,0.991,0.934,0.103,0.0531,70.492
57,Deloris,5J715ZVsqt8q0mCB8T003B,0.36,0.0697,0,-26.286,0,0.04,0.975,0.832,0.0911,0.196,90.571
58,A Busy Day,1BIB1xG9pSf8bDX5c2Jo9d,0.138,0.185,9,-23.037,1,0.0405,0.971,0.944,0.11,0.509,93.077
59,Deriva,1XncYtwNg603tTHmYrDBwz,0.302,0.0398,2,-25.774,1,0.0422,0.986,0.914,0.156,0.364,174.296
60,Beyond Imagination,5z40PeXEmVwWes8PQI7oZq,0.372,0.0466,9,-25.773,0,0.0459,0.977,0.932,0.113,0.182,112.989
61,Alt jeg tør,6oCUME6tmQJi4LPHogLpUV,0.415,0.00179,10,-33.759,1,0.0469,0.994,0.944,0.126,0.0782,109.399
62,Serenity,2I9qjveKy0l2SqyDb1F9jj,0.271,0.00589,5,-31.293,1,0.0507,0.983,0.925,0.0994,0.0754,57.299
63,Summer Light,3d8ujibjeeCh4tgyMwz2jk,0.533,0.027,8,-29.485,1,0.0554,0.996,0.876,0.103,0.147,52.556
64,Heaven in my Heart,4Hvzc1phamhnrwQVVTR0VA,0.492,0.127,2,-19.807,0,0.0483,0.981,0.933,0.107,0.156,63.474
65,Sleepwalk,0auqJASBeDsWxuAU7PAmAn,0.297,0.0125,3,-34.228,1,0.0439,0.993,0.871,0.104,0.117,99.091
66,Simply Beautiful,4Q2qLYFIOpN6sHRjzZ0TPC,0.437,0.0534,0,-29.264,1,0.0382,0.979,0.904,0.115,0.106,72.507
67,Soft Waves and Relaxing Piano 2,1uwgFTlhVezGm03UgDZ6jX,0.42,0.0118,6,-29.922,1,0.0596,0.996,0.956,0.105,0.279,133.926
68,La Fleur,3tTr7aNFBaUkH5O7KFB1wS,0.282,0.0286,6,-24.101,1,0.0461,0.993,0.938,0.108,0.253,202.935
69,Ever Since,67mEEKBy1ViwbTybbiH2nF,0.475,0.0372,5,-23.104,1,0.0518,0.991,0.922,0.105,0.257,85.356
70,Sky,7i0brgKvOuMHlYK6yvSmA8,0.442,0.097,3,-22.813,1,0.0385,0.984,0.916,0.118,0.281,107.411
71,Wonder,0LRjR9cx8rJDYTRIHq7rxp,0.224,0.234,6,-18.905,1,0.0341,0.981,0.896,0.101,0.121,134.615
72,Hiemalis,0UcRrIl4Ti4xSdp314ZASI,0.473,0.0309,7,-30.664,1,0.0493,0.982,0.923,0.124,0.209,116.612
73,Felt Like November,5E1bhcfVKEpXhEy0uYAerK,0.586,0.0381,10,-19.741,0,0.077,0.993,0.946,0.104,0.432,115.085
74,Sunday Walk,16weBcKoT5JR4PjgFywQPO,0.433,0.0475,5,-26.004,1,0.0304,0.985,0.954,0.115,0.341,105.412
75,Sway,2Ju3X9pULxXmfvWre8o1E4,0.421,0.0366,9,-22.565,1,0.0411,0.992,0.888,0.0807,0.184,68.768
76,Tras Salomé,6amOk7q9AqwG40cUZlLyJx,0.354,0.0118,5,-24.64,1,0.0448,0.995,0.93,0.0982,0.106,81.191
77,Friend,41jpD9d8fOSzOya79B7A7K,0.504,0.0274,11,-25.223,0,0.0515,0.993,0.867,0.0911,0.105,131.24
78,Peace,1wVGlAEohNLnz29Iojl2BI,0.451,0.0662,0,-30.736,1,0.037,0.989,0.925,0.103,0.102,93.768
79,Who You Are,76agaZQuHOXaW7FoulqfD0,0.412,0.0598,10,-29.046,0,0.0399,0.995,0.971,0.11,0.464,54.351
80,Tomorrow's Dreams,2aj7eNHqMG4SeF5sBG7idE,0.32,0.0128,5,-25.426,1,0.0359,0.994,0.943,0.108,0.268,90.253
