setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,TOMBOY,0IGUXY4JbK18bu9oD4mPIm,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032
2,LOVE DIVE,0Q5VnK2DYzRyfqQRJuUtvi,0.703,0.709,1,-4.169,0,0.0433,0.00379,5.43e-05,0.333,0.538,117.941
3,Glitch,3Xzyta15TXF33ggEjA5FxN,0.758,0.696,6,-3.17,0,0.173,0.103,7.92e-06,0.101,0.459,138.045
4,O.O,3lrNsPdn98i6rxO142pLT6,0.39,0.767,11,-3.918,0,0.293,0.0354,4.26e-06,0.0601,0.285,200.263
5,Feel My Rhythm,2oBMZYteeO8DyXV9gDx6Za,0.412,0.94,1,-2.171,1,0.215,0.0648,0.0,0.358,0.423,157.964
6,Step Back,3LCwQoTrdQgHsGJE5gGVqx,0.636,0.81,1,-2.035,1,0.101,0.0205,1.04e-05,0.596,0.611,161.897
7,WA DA DA,4gdiCHNbwugojBqr5Jt3pq,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004
8,The Feels,308Ir17KlNdlrbVLHWhlLe,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044
9,LOCO,56Yxkm62GtEpnPyG7TvwLY,0.759,0.886,1,-3.067,1,0.187,0.0103,2.04e-05,0.342,0.489,102.065
10,ELEVEN,7n2FZQsaLb7ZRfRPfEeIvr,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978
11,XOXO,4r34Yi0eltsu1tp6z4lq3x,0.704,0.608,9,-6.339,1,0.0314,0.0717,0.0,0.13,0.527,144.959
12,Dreams Come True,6rVCUwfnuYTAsX4P9fIdIu,0.686,0.901,0,-0.21,1,0.0614,0.0699,0.0,0.306,0.571,98.977
13,Lovesick Girls,4Ws314Ylb27BVsvlZOy30C,0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97
14,After School,52CBUrIdyf8tbZaUY9iawE,0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007
15,INVU,7rXcCpIAoOUCydkVDMcoPV,0.599,0.816,11,-3.412,0,0.0556,0.0911,2.17e-06,0.0961,0.399,106.962
16,On The Ground,2pn8dNVSpYnAtlKFC8Q0DJ,0.311,0.607,1,-6.578,1,0.11,0.0174,0.0,0.131,0.286,188.7
17,I CAN'T STOP ME,37ZtpRBkHcaq6hHy0X98zn,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084
18,Savage,3dbLT62Cvs46Ju7a8gpr36,0.727,0.879,9,-1.167,1,0.129,0.124,1.17e-05,0.244,0.671,146.959
19,In the morning,1Wcr8zrKqbUX0zwN8Dbr16,0.846,0.814,6,-4.685,0,0.149,0.0823,0.00094,0.13,0.722,140.055
20,0X1=LOVESONG (I Know I Love You) feat. Seori,1Z8TPHiKeCUyClxV6WTTIf,0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973
21,LILAC,5xrtzzzikpG3BLbo4q1Yul,0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942
22,LALISA,7uQZVznj0uQOGC9KhV2Mg6,0.806,0.653,8,-6.283,1,0.0902,0.0282,0.000784,0.107,0.85,150.058
23,DUMB DUMB,0dnkOK5hGUCmIJ7FDF0yHz,0.851,0.749,2,-6.233,1,0.0496,0.0182,0.000149,0.0885,0.424,103.053
24,WANNABE,4pspYVQGFHLPEFgQPD1J7e,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035
