setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Ribs,2MvvoeRt8NcOXWESkxWn3g,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978
2,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
3,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067
4,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021
5,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
6,Why,1xLs8Mu1QEVbGCpyHQ2r2U,0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027
7,Kilby Girl,1170VohRSx6GwE6QDCHPPH,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279
8,Freakin' Out On the Interstate,6Fqf0OTfB9VPfYk2HfBhPn,0.452,0.79,4,-5.01,1,0.0534,0.391,0.0,0.303,0.362,143.861
9,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765
10,Romeo & Juliet,1VyA8mbSyXOdJx2lguR8Uu,0.318,0.476,0,-7.108,1,0.0441,0.454,1.57e-05,0.503,0.0807,160.737
11,Right Down the Line,2Xb6wJYGi0QXwURw5WWvI5,0.783,0.322,0,-15.091,1,0.0343,0.213,0.00243,0.114,0.77,128.226
12,Seeds,2o9rm2oxfKMJT1K4CJKkZm,0.502,0.666,2,-8.319,1,0.0505,0.33,0.00638,0.0961,0.148,171.957
13,Stoned at the Nail Salon,38Zs2b75JPNB2tS7O7JQnS,0.473,0.128,2,-12.303,1,0.0365,0.948,5.36e-05,0.101,0.0897,93.95
14,Off My Mind,7n6QMW76A5qgfn0Mb4aL7i,0.574,0.664,0,-7.713,1,0.0334,0.305,2.29e-05,0.143,0.727,111.933
15,Out of My League,5qEn8c0MBzyRKgQq91Vevi,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965
16,If I Didn't Have You,10UrwRvVbNsHiw1UGBiMjV,0.38,0.544,1,-9.754,0,0.0315,0.251,0.237,0.118,0.124,115.375
17,Happier Than Ever,4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055
18,We Belong Together,7caj6X6NMX3tlhWnu1du6V,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522
19,Beige,7uYQELhe7g6QLIzZDOlhbW,0.434,0.677,10,-7.535,1,0.119,0.384,0.0684,0.119,0.218,167.923
20,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303
21,Stuck In The Middle With You,3Vby4nGmtbDo7HDJamOWkT,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765
22,Cigarette Daydreams,2tznHmp70DxMyr2XhWLOW0,0.636,0.676,2,-3.442,1,0.0263,0.0807,0.0,0.0831,0.273,113.98
23,My Girl,745H5CctFr12Mo7cqa1BMH,0.572,0.418,0,-10.738,1,0.0349,0.635,0.0,0.0961,0.694,104.566
24,Next to You,3MwHZDGwAR8RjZZBriBqmx,0.443,0.419,7,-7.975,1,0.0321,0.633,0.00183,0.404,0.0719,132.204
25,Dream A Little Dream Of Me,27hhIs2fp6w06N5zx4Eaa5,0.413,0.313,7,-13.138,1,0.0519,0.791,1.5e-06,0.0727,0.349,92.515
26,Next To You,081hXBEkvg9ZMUmzBIFPor,0.376,0.659,9,-5.166,1,0.0264,0.358,0.0,0.357,0.392,172.044
27,Room,0qyIfrncrrZQlx2jaffhYm,0.834,0.48,7,-9.227,1,0.0309,0.689,0.0518,0.141,0.67,114.034
28,Lost,3GZD6HmiNUhxXYf8Gch723,0.913,0.603,8,-4.892,1,0.226,0.0272,0.000503,0.167,0.497,123.061
29,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023
30,Je te laisserai des mots,0V5cvmTKsYmF5FmGGEAfmS,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731
31,Kenny,6FmnMoph4yx7zjhuBcrHDv,0.743,0.49,1,-10.845,1,0.0377,0.307,0.0393,0.108,0.394,120.028
32,You Were,0TsWu7ZYypXsIEIPwl6BOi,0.642,0.57,7,-12.557,1,0.0573,0.322,0.00856,0.0626,0.611,81.997
33,deja vu,3ucQ4DLpH8RgyzqYBMnDpj,0.442,0.596,9,-7.272,1,0.109,0.584,6.62e-06,0.39,0.166,181.278
34,Look Out!,4N1zjRwfeYAfKVIjjYbDRX,0.462,0.394,10,-8.402,1,0.0271,0.669,5.5e-06,0.134,0.286,100.692
35,She's so High,7mnGQesk1TzQLzQ9bYWZPR,0.537,0.84,9,-4.626,1,0.0363,0.2,2.15e-06,0.0998,0.211,124.269
36,Hallucinogenics (feat. Lana Del Rey),4A8pBxx0of2Y8r56dT0atf,0.59,0.597,0,-7.183,1,0.0527,0.499,0.0,0.175,0.313,121.843
37,Golden,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863
38,To the Mountains,2CK9xYMVdmJMPKZyArVbt4,0.461,0.147,4,-14.022,1,0.033,0.918,0.000638,0.0846,0.267,78.809
39,Jigsaw,1WzOonguDKuWQrTTf5yR0D,0.273,0.517,9,-5.853,1,0.0313,0.0801,0.0,0.0984,0.16,168.213
40,Vienna,4U45aEWtQhrm8A5mxPaFZ7,0.532,0.495,10,-6.662,1,0.0343,0.659,0.0,0.0754,0.308,124.936
41,striptease,2g0Bmi3kYEntusDP6xlAGZ,0.693,0.572,8,-8.89,1,0.0749,0.127,0.952,0.102,0.732,130.05
42,Strangers,3wcluZHyfuTzIXHfwXVAIE,0.564,0.636,7,-8.136,1,0.0418,0.739,0.0224,0.0807,0.218,101.913
43,Like the Movies,4crdHmkZQmNd2hucSIk7dA,0.576,0.273,0,-10.216,1,0.0359,0.909,9.63e-05,0.146,0.21,87.122
44,What Once Was,1XrSjpNe49IiygZfzb74pk,0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568
