setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,everything,6pyM30WDpG70VTfwoQg4m2,0.388,0.448,8,-5.221,0,0.0341,0.851,0.0,0.302,0.397,142.342
2,Lie Again,6LL5S3DGrUJ6cZRuDefguP,0.431,0.349,7,-9.426,1,0.0325,0.434,7.02e-05,0.241,0.165,62.627
3,Honest (feat. Don Toliver),2KdKh9vHbKW0tZLqtpxxI0,0.815,0.664,8,-6.761,0,0.0637,0.133,4.9e-05,0.105,0.818,150.019
4,Insane,3pcxxaUxAMSfz2zgetHydD,0.39,0.607,3,-8.056,1,0.303,0.632,0.000162,0.138,0.347,161.625
5,Over,23CKxEwKWsLs6LD5poGOLM,0.65,0.555,6,-5.971,0,0.0719,0.502,0.0,0.104,0.352,103.081
6,Please Do Not Lean (feat. BADBADNOTGOOD),5uXO1sjZ7VbNKexKaFRna3,0.67,0.41,1,-13.444,1,0.0381,0.241,8.55e-06,0.167,0.46,127.972
7,Leave You Alone,63QC7HvgJXgH8udcfPqW7q,0.663,0.649,3,-4.524,0,0.0594,0.07,0.0,0.114,0.504,114.948
8,By My Side (feat. Kaash Paige),0OixmRL2iIbWyDH6rn77M7,0.75,0.578,2,-7.277,1,0.221,0.394,0.0,0.719,0.582,139.971
9,Every Good Girl,6VYBCG9nCZwUUImVqZQVet,0.53,0.937,0,-2.757,1,0.321,0.0457,0.0,0.151,0.46,92.916
10,In The Club,1MRvZ3PMsd86Kul6xINAze,0.59,0.622,10,-7.537,1,0.0803,0.654,0.0,0.425,0.311,89.909
11,up at night (feat. justin bieber),4WghJOMjDpGdlk3b8aJIgy,0.563,0.756,0,-3.852,0,0.0579,0.196,0.0,0.245,0.234,100.012
12,Hrs & Hrs,3M5azWqeZbfoVkGXygatlb,0.523,0.521,6,-4.746,1,0.159,0.607,0.0,0.107,0.661,133.953
13,I Hate U,5dXWFMwD7I7zXsInONVl0H,0.535,0.388,7,-9.805,0,0.155,0.507,0.0,0.11,0.412,106.703
14,Happy Hour (feat. T-Pain),39O9qxLezqqrmre1TPGRVu,0.677,0.509,1,-8.103,0,0.0706,0.155,6.43e-06,0.123,0.767,136.087
15,Fair,1SlGaBvTqX0gb24ouXonOo,0.721,0.364,5,-7.81,0,0.0483,0.673,5.4e-05,0.105,0.4,94.098
16,Yamz,0IQ3KOas5wGRregqoMb9HF,0.678,0.729,6,-6.389,1,0.0441,0.00495,2.5e-06,0.019,0.59,77.045
17,CYBAH (feat. Lucky Daye),2qEyhtx20tSCSubM3JXhxu,0.722,0.467,5,-7.519,0,0.077,0.0537,0.000557,0.122,0.68,74.968
18,WE (Warm Embrace),7rTzmiwE6lmBG8vQvBzNg7,0.698,0.603,5,-6.508,0,0.106,0.11,0.0,0.0786,0.91,86.998
19,Treat Me,2ZCu2xskiEBCV3y0eu0zJG,0.708,0.793,7,-2.518,0,0.0417,0.0442,2.62e-06,0.0362,0.503,94.005
20,Girlfriend,6vC1RB4tgLY2zgKptEYb5V,0.622,0.288,8,-13.351,0,0.0459,0.337,1.64e-06,0.137,0.259,154.967
21,No Love (with SZA & Cardi B) - Extended Version,0IMUFRaM2W3wKNM1CSQ4Zm,0.722,0.613,1,-4.996,0,0.116,0.192,0.0,0.192,0.607,133.937
22,Fake Love In LA,3JpStMOHR7ypvk1TvkF3sg,0.536,0.858,0,-4.884,1,0.298,0.453,0.0,0.123,0.456,90.405
23,Another,0R3BfnrLdW13mopXeKOTQZ,0.77,0.581,11,-5.307,0,0.0908,0.452,0.0,0.128,0.284,120.019
24,little story,4ZfwRdhHblKGWcrMYeZMex,0.24,0.376,1,-9.309,0,0.0413,0.626,1.33e-05,0.114,0.187,81.737
25,Out Loud (feat. Kehlani),0P11qKeHWhUy0rDPeY8dyB,0.565,0.364,6,-9.512,1,0.2,0.328,0.0,0.108,0.527,155.705
26,Letter To Ur Ex,2GoXtcbzgBUrvYv6ac7zA9,0.69,0.494,6,-7.41,0,0.0378,0.572,0.00068,0.129,0.283,79.955
27,Time Machine,34cf0jy2xITNugE3BT62HK,0.662,0.527,2,-5.22,0,0.0348,0.0169,0.000137,0.13,0.17,87.046
28,Bling Up,395GwdPbJqFzM7ihmlCe8Z,0.765,0.449,4,-12.537,1,0.173,0.655,0.0,0.36,0.653,120.012
29,City of Gods (Part II),33pp6wXPrz46pIwsBrG3HS,0.29,0.421,8,-6.951,0,0.034,0.784,0.0,0.0897,0.308,78.027
30,Hate Our Love (with Big Sean),3pEINn37iH5fx8TpXYNGIO,0.662,0.655,2,-5.44,1,0.26,0.462,0.0,0.124,0.356,82.079
31,DFMU,3la7i4yJUIqcXPoRoo3w8d,0.681,0.668,6,-4.171,1,0.0628,0.533,0.00021,0.104,0.301,136.759
32,Love Again,3pxplvRVhnOXT7H7C4JkAH,0.596,0.458,9,-8.556,0,0.0677,0.814,0.000125,0.0812,0.353,99.381
33,NWA (feat. Lil Durk),0a4x22Cu8ix2C0ylPLl7A7,0.87,0.636,0,-6.103,1,0.0408,0.3,0.00134,0.19,0.553,113.957
34,Good Morning Gorgeous (feat. H.E.R.),3xZ2C6ccqjPQ5f3gQzqPM2,0.639,0.559,1,-6.749,1,0.104,0.278,0.0,0.0659,0.264,131.734
35,After Last Night (with Thundercat & Bootsy Collins),3jiKUMXqwEodB7gVv1RMZU,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051
36,Out of Time,2SLwbpExuoBDZBpjfefCtV,0.65,0.76,0,-4.422,0,0.0446,0.255,0.0,0.339,0.838,93.057
37,Naturally,3pIGVPZfTE7GCzT07XDcY6,0.62,0.63,10,-5.578,0,0.198,0.171,0.0,0.0824,0.543,85.42
38,Roster,7ydDdvP0VpVLvaK8iG63HH,0.667,0.471,8,-6.64,1,0.0332,0.701,3.29e-06,0.105,0.456,82.954
