setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,I GUESS I'M IN LOVE,1is8gU4RVcN4J8xItxWoOY,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213
2,willow,0lx2cLdOt3piJbcaXIV74f,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112
3,Butterflies,7eQHxigpuDJjCG50JyzU8v,0.7,0.613,11,-4.041,1,0.0408,0.385,0.0,0.0887,0.42,88.084
4,What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861
5,It'll Be Okay,2KnLkZ3z7PO3kgVGHGqDpD,0.398,0.286,7,-11.881,1,0.033,0.616,0.000146,0.0912,0.0666,78.262
6,I Quit Drinking,6OcCk1dbAb7XNHsC098oEM,0.607,0.418,1,-6.997,1,0.0363,0.394,0.0,0.182,0.386,95.002
7,Easy On Me,0gplL1WMoJ6iYaPgMCL0gX,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
8,It's Ok If You Forget Me,312zSwwbPU7C3sTmro4Wx9,0.562,0.379,6,-7.625,1,0.231,0.526,0.0,0.151,0.258,171.848
9,You Will Be Found (with Summer Walker) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,2URXzpbSUwOjltvpgtzXua,0.397,0.413,1,-7.701,1,0.0342,0.477,0.0,0.0835,0.492,77.864
10,Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,0.61,0.488,3,-6.918,1,0.0293,0.817,0.0,0.312,0.443,125.039
11,dancing in the kitchen,0ohcCrxZkBfFbkuRPOZQZX,0.619,0.736,11,-7.651,1,0.0425,0.0328,0.0,0.0864,0.299,93.993
12,this is how you fall in love,1aEsTgCsv8nOjEgyEoRCpS,0.441,0.202,7,-12.499,1,0.0381,0.732,2.6e-05,0.126,0.269,77.971
13,GHOST TOWN,135Lf4Q0CzlMNfOxbEUsLH,0.391,0.335,0,-10.064,1,0.0763,0.389,0.0,0.102,0.116,174.185
14,drivers license,5wANPM4fQCJwkGd4rN57mH,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875
15,Unlearn (with Gracie Abrams),6GH4tLwGW6HliKbZBdt6hD,0.429,0.214,1,-12.261,1,0.242,0.897,0.0,0.105,0.189,77.849
16,What Other People Say,2h9TDNEXRhcDIV3fsoEVq9,0.652,0.472,7,-8.084,1,0.0399,0.158,0.0,0.121,0.24,126.904
17,The Joker And The Queen (feat. Taylor Swift),6N1K5OVVCopBjGViHs2IvP,0.528,0.309,0,-7.398,1,0.0329,0.924,2.1e-06,0.282,0.307,133.83
18,Remember That Night?,1nYzjrdVQ8RpF93M0jPFW7,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978
19,If You Love Her,727Z2S2mtNH46CbP9EWPwY,0.286,0.445,6,-8.087,1,0.0347,0.355,0.0,0.114,0.278,50.827
20,Let Somebody Go,4cGqn0E8JCSY9gQllQj4Mf,0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953
21,colorblind,4o3XxiQ9BljY4OU38zanC0,0.661,0.776,8,-5.054,1,0.0366,0.125,0.000152,0.119,0.17,145.993
22,Meant To Be,136J2Jkg8sG7P5wilO9P1R,0.5,0.156,1,-11.472,1,0.0469,0.87,0.0,0.125,0.405,173.794
23,WITHOUT YOU (with Miley Cyrus),1EHUQesfVKwbthtNcpBi9g,0.655,0.469,0,-6.257,1,0.0292,0.173,0.0,0.0956,0.467,92.56
24,For Tonight,61Emqg95O9zo1GNOcyxq4Y,0.442,0.517,9,-7.807,1,0.0548,0.0699,0.0,0.114,0.2,79.867
25,Falling,1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
26,First Times,5QYnNhTKsN3kE7OaqILA1U,0.587,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845
27,feel like shit,2EBnvom1dTybtm75a3Xh1T,0.508,0.378,7,-7.158,1,0.0473,0.516,0.0,0.119,0.161,144.962
28,Best Days,3z1DnGBH2uhlDekJr0YVzQ,0.518,0.318,6,-11.727,1,0.0749,0.875,4.21e-06,0.13,0.227,77.594
29,Paper Planes,5GzgEC6pWf1USZsCtkG8yC,0.529,0.351,1,-12.484,1,0.0368,0.543,0.0,0.0851,0.529,147.815
30,exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602
31,i don't want to watch the world end with someone else,58qX77t2VWMWcycsh9zKLc,0.535,0.359,2,-9.343,1,0.0607,0.771,0.0,0.111,0.488,154.163
32,Lost,45Q6RNX1yeHpGZpR0RjpKI,0.597,0.687,4,-6.536,1,0.0466,0.216,0.0,0.107,0.502,94.749
33,This City,3H3r2nKWa3Yk5gt8xgmsEt,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877
34,working,31sSFHIe4NaxltVFOEIcTa,0.783,0.435,7,-7.78,1,0.0588,0.282,0.0,0.0833,0.512,106.974
35,Perfectly Imperfect,6TbkMxKZudkP6Sty7rkLU9,0.698,0.367,2,-5.811,1,0.0329,0.649,0.0,0.119,0.246,104.853
36,Visiting Hours,44V6EzbUSYgyfsNiP0FrlA,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609
37,Grey,2J4DpqJCIuuM9WjtWHbjvd,0.298,0.295,2,-8.789,1,0.0318,0.869,0.0,0.111,0.199,171.361
38,nobody else,7GLBqDKAJLCLIsj2GEDkSw,0.569,0.291,0,-14.509,1,0.043,0.744,0.0,0.137,0.313,151.659
39,Are you happy?,6s86N7LVaJZuU4alwKp6XO,0.632,0.578,9,-7.657,0,0.0905,0.714,0.0,0.42,0.297,139.324
40,slower,1bd4heB3yXc5iFTPoOMPuo,0.589,0.364,1,-8.079,0,0.0419,0.595,0.0,0.334,0.21,104.991
41,Keep Your Head Up Princess,19pChrR4hwdINqoOFUo2Hj,0.689,0.143,6,-17.374,1,0.264,0.97,0.0,0.109,0.528,85.398
42,If the World Was Ending (feat. Julia Michaels),2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0.866,0.0,0.109,0.604,75.801
43,Good Without,15OCqNPYoLziEAsbVnqRj5,0.616,0.576,11,-5.495,0,0.0532,0.0723,0.0,0.375,0.269,89.962
44,Her,2GjQ5KNXggsIRpx5ZUj2zX,0.567,0.395,10,-5.568,1,0.0303,0.87,0.0,0.106,0.329,119.849
45,Holy (feat. Chance The Rapper),5u1n1kITHCxxp8twBcZxWy,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919
46,you broke me first,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148
47,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184
48,CHICKEN TENDIES,0awuNCj9gwJEM0seER22DW,0.57,0.689,7,-6.242,1,0.147,0.358,0.0,0.0819,0.568,100.087
49,Lovely,3zjw3EZfvgjuR4AQhVlNq7,0.548,0.715,0,-6.798,1,0.0511,0.143,2.21e-06,0.218,0.393,159.924
50,Like No One Does,2HnfqILzgKt1CepTlU4oqq,0.8,0.41,10,-12.734,1,0.236,0.352,1.45e-06,0.107,0.442,104.941
51,Monster (Shawn Mendes & Justin Bieber),2Z8yfpFX0ZMavHkcIeHiO1,0.652,0.383,2,-7.076,0,0.0516,0.0676,0.0,0.0828,0.549,145.765
52,Lost,18XlJEroUwFo0tLZxscgXE,0.766,0.706,7,-6.553,0,0.16,0.223,0.00028,0.064,0.766,142.989
