setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Heaven Takes You Home (feat. Connie Constance),3nEHrvNNtgLv9rneTAYVr4,0.665,0.738,0,-5.931,0,0.0379,0.0124,0.00598,0.0923,0.0389,125.037
2,Words (feat. Zara Larsson),1bgKMxPQU7JIZEhNsM1vFs,0.739,0.586,10,-5.079,0,0.0472,0.0245,0.000252,0.308,0.444,124.026
3,Need U - Spotify Singles,6Ww581O9pklqs42MN4Da6q,0.745,0.772,11,-5.161,0,0.0497,0.0642,1.69e-06,0.23,0.788,121.98
4,Go - goddard. Remix,7kjANxR8XN4hCzLaSc2roy,0.728,0.689,6,-6.601,0,0.13,0.222,6.14e-05,0.107,0.0473,89.973
5,If We’ll Ever Be Remembered,6wnzt59p7i8cAyuWl1avwr,0.502,0.554,10,-5.788,1,0.0317,0.0353,0.0,0.62,0.512,125.786
6,Escape (feat. Hayla),10oKSzRcwbZsog2uq2gb4b,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08
7,Savage,76A1RRDEyHKtmV3Vh6PeVN,0.694,0.7,0,-5.53,0,0.0488,0.191,0.0,0.0719,0.261,127.965
8,Ferrari,4zN21mbAuaD0WqtmaTZZeP,0.847,0.69,1,-7.877,0,0.0493,0.0127,6e-05,0.0526,0.692,125.004
9,Sete,5B4gUqNKYgU38ULSWP5Bzj,0.736,0.827,6,-3.902,0,0.0643,0.0199,0.00828,0.351,0.814,125.008
10,Summer In New York,5kyJ6sznnWACqHbw65p34Q,0.706,0.77,10,-6.224,0,0.0653,0.397,1.84e-05,0.209,0.967,117.075
11,LET’S DO IT AGAIN - Radio Edit,06eFWpksA3M9qg8GeOGGBX,0.66,0.837,2,-7.415,0,0.0294,0.242,0.876,0.0704,0.302,123.991
12,Mine O' Mine,5zyxYOyV7Bt4srefSOfJN8,0.679,0.842,5,-6.751,1,0.0337,0.00191,0.00131,0.341,0.223,128.026
13,Crazy What Love Can Do,1WCEAGGRD066z2Q89ObXTq,0.601,0.713,4,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,122.872
14,Come Around Again,55Y4oE6oE6XBT2e71vK2yA,0.589,0.912,9,-3.878,0,0.0766,0.0366,0.0,0.0752,0.426,123.946
15,My Pony,1UaaVPtlo795n1hWqHpOYS,0.849,0.815,6,-4.833,0,0.174,0.228,2.77e-05,0.214,0.81,123.022
16,Waterfall,72EaWichAXl7tTulGwxCKO,0.691,0.733,11,-6.887,0,0.0572,0.0212,5.61e-05,0.0894,0.834,128.038
17,Teardrops (feat. Majid Jordan),0pPpcDDIiVBeBS5jBecnSC,0.603,0.899,6,-4.784,0,0.0288,0.00113,0.00647,0.0782,0.705,125.001
18,21 Reasons (feat. Ella Henderson),1RF02Cf80mTaeNXG2P2boR,0.621,0.785,6,-4.499,1,0.11,0.0165,5.92e-06,0.0512,0.779,123.96
19,Where you are (feat. WILLOW),4icnlpI5IbZcRO9mpixVVW,0.689,0.872,0,-4.786,1,0.0477,0.0965,0.000498,0.117,0.362,134.994
20,INTO THE UNKNOWN,7nHruG1y3zBupJG6F6UQtB,0.457,0.954,8,-8.58,1,0.107,0.00127,0.778,0.297,0.0273,127.969
21,Let You Go,0KG7XrgM20KEmJrKsyFDAm,0.584,0.955,7,-4.197,0,0.0507,0.101,0.00243,0.092,0.486,128.04
22,Loved By U,1SldN7GTd0ADTjspv96wCl,0.58,0.895,3,-5.224,0,0.0396,0.099,0.0117,0.0911,0.356,116.953
23,Talk (with Royal & The Serpent),0DnA3UhB37Iaq1XwnZwbIZ,0.76,0.707,10,-5.48,1,0.0313,0.0345,0.00617,0.115,0.374,123.98
25,My Paradise,5erkBzi1uzfVzRotIEDevu,0.749,0.74,10,-8.528,0,0.0313,0.0005,0.154,0.112,0.887,128.012
26,It's A Killa,2cAYjs1WvosMFadzTDmmzD,0.78,0.914,7,-5.283,1,0.0435,0.00356,0.00701,0.151,0.81,125.986
27,Starlight (Keep Me Afloat),4UQy41kC5LjzwQuiuWOpwA,0.558,0.715,9,-5.231,1,0.0375,0.0667,0.0,0.097,0.297,127.001
28,ESCAPE (feat. KUČKA),3zRdNrpHq89K6P28shuM0w,0.435,0.769,5,-3.615,0,0.0822,0.0774,0.0653,0.298,0.479,92.885
29,Love Letter (feat. The Knocks),26wuBc04catG1QQyYupr35,0.635,0.835,8,-2.876,1,0.0589,0.0948,0.0119,0.285,0.216,109.987
30,Love You Back,5wM6LOw2U6XeIFHfsgI6wU,0.51,0.715,11,-7.462,1,0.0366,0.00485,0.000115,0.0918,0.238,106.029
31,Drive Away,408UEGA6FV2nvQjr1nt1VT,0.502,0.874,5,-3.742,0,0.203,0.0543,1.27e-06,0.426,0.392,141.776
32,What Would You Do?,1D2ZNECRd7KIlA4pyOUGsv,0.687,0.895,9,-2.983,1,0.0474,0.149,0.00592,0.121,0.686,124.041
33,Hallucination,7y3c1oJMY1CwwtOZ84Qovu,0.687,0.788,6,-5.142,0,0.0352,0.0121,0.0,0.358,0.669,123.02
34,On Your Own (feat. Elderbrook),6LJsVZlhPAvrALPYka3xXz,0.658,0.937,4,-5.773,0,0.0389,0.0102,0.329,0.169,0.342,124.988
35,Redlight,48Jf12YHPBCAfAzi255Rvr,0.71,0.63,2,-7.003,1,0.0413,0.00879,0.147,0.058,0.216,125.0
36,Move It,2YUVIkvZ2tPEZYTepX6oT9,0.796,0.894,0,-1.883,1,0.0502,0.000671,0.859,0.0685,0.619,127.009
37,Clap Your Hands,7g7OshelYRRnOSEMmisJVI,0.878,0.875,1,-4.923,1,0.0658,0.0507,3.42e-05,0.356,0.84,124.006
38,Good Luck,7CTdh15dTO5HqoeqRPHFha,0.696,0.792,0,-5.659,1,0.0494,0.113,0.0,0.0564,0.445,121.962
39,Call Me (with R3HAB & Timmy Trumpet),1dt220OBbkTsYz1NLVKIaw,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581
40,Married to Your Melody,7kl1oW2J2F9CcSvuej1V9h,0.624,0.756,0,-3.859,0,0.031,0.0018,9.57e-06,0.495,0.516,110.021
41,Beg For You (feat. Rina Sawayama),50ZFpw2wS6ERvLmW8TINhq,0.788,0.945,9,-5.091,1,0.0599,0.223,2.97e-06,0.115,0.466,128.036
42,Lose My Mind (feat. Taylor Moody),4lYCwQD1GjKmk7MpKSd5d9,0.749,0.892,10,-6.074,0,0.0375,0.247,0.69,0.0257,0.907,124.044
