setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,FEELING GUD,0suLmBuEbatdochI4tHduq,0.484,0.94,5,-3.682,0,0.257,0.0145,0.000323,0.266,0.334,173.741
2,Birdz (with Smokepurpp),0Uhbn8GeomTRkkVAapjM4Z,0.709,0.7,1,-4.834,1,0.0746,0.00171,0.0155,0.711,0.397,145.04
3,Save Me,6VkomiRtWhCiFs4nzrzNUc,0.588,0.725,2,-7.635,1,0.0525,0.00705,0.297,0.183,0.278,150.072
4,Griztronics II (Another Level),2il9NDpW87Hk2L9AjeDf8r,0.579,0.978,0,0.352,1,0.211,0.0205,0.00829,0.326,0.58,145.054
5,Hitta (feat. Juicy J),4trrKVzHcXRV5Gv8YAf32P,0.746,0.938,2,-2.822,1,0.0658,0.00794,1.6e-05,0.354,0.238,145.012
6,DAMN - Bonus Track,3sGJmCUfZKbbjtZ24eaepn,0.715,0.962,4,-4.416,0,0.261,0.0233,6.23e-05,0.381,0.517,149.981
7,Heartbroken Twenty Twenty,51bkbWYBXyLk7NTM4vWb3Z,0.877,0.795,2,-5.074,1,0.118,0.00753,2.87e-06,0.0969,0.375,134.003
8,TIKTOK,3nJxqghn6qVTWNzYa5Syc7,0.661,0.934,5,-0.948,1,0.32,0.00666,1.81e-05,0.0738,0.699,155.026
9,Gassed Up,6uwjDA0Qi6hk8C6lPJIMc9,0.643,0.985,4,-1.848,0,0.41,0.0152,0.000965,0.311,0.182,140.029
10,Falling (Alexandar Smash Remix),3zJTXgtzn4mr9YYanvSGfp,0.557,0.965,4,-0.84,0,0.0753,0.0107,0.139,0.052,0.298,150.005
11,Cheatcode,3iDtphWASBHIjVEB8lWBqs,0.467,0.934,2,-2.253,1,0.0588,0.00561,0.00186,0.107,0.135,149.967
12,Sacrificial,5YvYKEQEYJp4orh4z3Dnpk,0.552,0.564,7,-5.941,1,0.0415,0.0686,0.0131,0.34,0.321,164.952
13,Mawlee (feat. Young Buck & DJ Afterthought),0CLaGp0DMEjocSrAtvhcJl,0.917,0.505,10,-8.73,0,0.331,0.278,0.00669,0.145,0.267,139.979
14,Vibe Check,6e2kwYm4qe4hFbOkLm4nbF,0.736,0.945,0,-0.751,1,0.145,0.0176,0.00486,0.315,0.391,149.901
15,Can We Be Free,4JHfB0tPjE38N5KTSaX39I,0.621,0.863,11,-3.389,0,0.0913,0.0422,0.0,0.123,0.442,95.029
16,Moshpit,6EgTYGPIKWgKUf4QnJ3dr7,0.619,0.921,9,0.182,1,0.351,0.0132,0.00116,0.117,0.462,75.084
17,NOSEBLEED,6qxOL5Opjw8rVp3xMsR9os,0.562,0.934,1,-3.022,1,0.0478,0.122,0.00131,0.384,0.0734,140.026
18,Puzzle Box,5EhnuLMer8qAXEDwmLtyrW,0.696,0.488,1,-7.508,1,0.0403,0.196,0.836,0.2,0.202,95.064
19,Burn Up The Floor,5nz3dwffS8W2WDWRa9SgfR,0.524,0.994,11,-0.084,1,0.386,0.00173,0.032,0.403,0.441,173.993
20,Shell Shock (feat. Georgia Ku),2WidoejAximc21Pv69Q3ey,0.512,0.948,6,-1.849,0,0.23,0.00433,0.00173,0.141,0.134,149.986
21,Reaper (feat. JID),1KzGwlHu27TUfH3gF1RFAa,0.601,0.815,1,-3.741,1,0.328,0.0113,0.0,0.0933,0.265,149.973
22,IMY (feat. Bella Renee),0TuMPEUwvdKnLQcnq4RS8L,0.425,0.918,4,-1.555,0,0.0397,0.023,0.000291,0.114,0.308,174.021
23,Gravity,5qCpcgqwL1Hum85sAQz3W7,0.631,0.862,2,-3.642,0,0.0999,0.153,0.00109,0.107,0.39,149.939
24,damn Right Pt. 2,3syIqcdNRjbFcWkEMRRT1d,0.75,0.95,1,-2.938,1,0.194,0.077,0.000332,0.161,0.623,81.019
25,Fearless,7pDUFFF3J4WEu1aZMW4M4b,0.696,0.978,4,-0.72,0,0.043,0.000446,0.000474,0.105,0.762,107.971
26,Faded,14HYujR7ZdFWU85rKRWExI,0.71,0.964,1,-1.78,1,0.238,0.00874,0.0139,0.28,0.65,149.792
27,No Limit,7IVzMMlDsh4W4mIavGdKi0,0.452,0.994,2,-2.514,1,0.0773,0.0012,0.147,0.503,0.275,149.965
28,All I Need - VIP,7cpnqcFMN6Z7yiSOZyzGMU,0.732,0.961,1,-3.563,0,0.152,0.0551,0.72,0.0716,0.6,145.018
29,Oceans & Galaxies,5NQKpa6uCqZcaFkAbUK4XB,0.532,0.625,1,-7.472,0,0.0506,0.12,3.35e-05,0.103,0.297,145.857
30,Here With Me,6qLM7FY8SPWYIyKKhzzVO0,0.64,0.59,1,-2.502,0,0.0691,0.0495,0.206,0.144,0.103,90.047
31,Hideaway,7wwin4Zrs6dB9waWnVZqZa,0.521,0.958,3,-4.0,0,0.0428,0.0145,0.652,0.193,0.0932,164.039
32,PEACE LOVE & WUBZ,776eASGwFLhvAUYmWZvwrL,0.659,0.802,8,-3.597,0,0.0518,0.0018,0.00308,0.101,0.371,90.01
33,Bloodbath,7z35ELbZv0zResMSqwsoKa,0.657,0.996,1,-1.08,1,0.318,0.00696,0.00154,0.484,0.175,150.084
34,Trap Anthem,3x2djB2lM7twnO8D2M6A0C,0.618,0.977,11,-2.615,0,0.216,0.00809,0.643,0.303,0.65,150.067
35,Dimension,3IWkjBkiR4pHOkaHV52OMl,0.398,0.928,2,-1.203,1,0.436,0.00261,0.348,0.31,0.227,149.855
36,NO LOVE,3x9RokAqos6LqGni4E0TyB,0.582,0.968,2,-2.265,1,0.398,0.0263,0.0,0.112,0.567,139.861
37,Loving You Kills Me,2Zjg31wnbhRzGsnOrnEY0r,0.606,0.882,11,-4.323,1,0.0327,0.000927,9.63e-06,0.149,0.46,145.969
