setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Fight Night,1O8qWS9w2wI3jvPX8hg56W,0.83,0.727,1,-5.366,1,0.304,0.188,0.0,0.228,0.863,89.855
2,6 Foot 7 Foot,6BCs8vxnGgKL9eMCOrG2wm,0.365,0.751,2,-5.429,1,0.304,0.000707,0.0,0.318,0.604,79.119
3,Let's Go (feat. Big D & Twista),1fLibtVj3MrNTwRZq5yUOs,0.748,0.767,11,-7.806,0,0.172,0.0267,0.0,0.334,0.519,133.929
4,Trophies,4DXTwvIbilf8AUncEjgg9W,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931
5,"Lose Yourself - From ""8 Mile"" Soundtrack",5Z01UMMf7V1o0MzF86s6WJ,0.692,0.744,2,-4.565,1,0.257,0.00868,0.000423,0.359,0.0612,171.374
6,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
7,Numb / Encore,5sNESr6pQfIhL3krM8CtZn,0.687,0.793,2,-4.254,1,0.166,0.0603,0.0,0.582,0.751,107.045
8,Bring Em Out,3CcvahnsiArpTHYQEWV2Au,0.759,0.891,11,-2.983,1,0.257,0.0298,0.0,0.141,0.587,98.579
9,All the Above (feat. T-Pain),1z667LebVh3DtYNrVJEao0,0.374,0.888,8,-3.197,1,0.12,0.0762,0.0,0.202,0.365,148.828
10,A Milli,6ScJMrlpiLfZUGtWp4QIVt,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486
11,Hypnotize - 2014 Remaster,7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941
12,Can't Tell Me Nothing,0mEdbdeRFQwBhN4xfyIeUM,0.596,0.62,5,-6.133,0,0.039,0.0122,0.0,0.82,0.102,80.029
13,The Beast,2ZaWL12apL7wmNPuJMlny4,0.703,0.909,5,-4.205,0,0.46,0.287,0.0,0.401,0.777,204.208
14,Dirt Off Your Shoulder,3IrkbGQCoEPAkzJ0Tkv8nm,0.78,0.657,1,-7.149,1,0.317,0.0321,2.56e-06,0.339,0.648,163.969
15,'Till I Collapse,4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447
16,Let It Rock,6TrNRd98WksT9Kkmx9uj6R,0.607,0.783,7,-4.41,1,0.0397,0.000683,0.0,0.0678,0.434,113.172
17,My Chick Bad,3bMNprrp2JDKZsGbiXpsJl,0.624,0.723,1,-6.782,1,0.378,0.172,0.0,0.483,0.757,84.789
18,POWER,2gZUPNdnz5Y45eiGxpHGSc,0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993
19,Riot Maker,6nU5YHmm88HuVfpegW74p7,0.694,0.663,2,-3.444,1,0.351,0.0695,0.0,0.566,0.624,161.899
20,Headstrong,1AEYT6VxrxXPMoQUxsY0E4,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981
21,Heart Of A Champion,5PYu9Jw9zWN7Iom9OtYmgU,0.561,0.947,9,-3.596,0,0.141,0.0915,0.0,0.438,0.875,157.771
22,Click Click Boom,2CGDxXXYbkPOyRXHzQbqkT,0.609,0.935,6,-2.941,1,0.0479,0.0029,0.000359,0.188,0.498,95.957
23,Forever,5UsLjwBaTHBX4ektWIr4XX,0.457,0.906,5,-2.278,0,0.342,0.249,0.0,0.182,0.54,104.02
24,Collard Greens,0zO8ctW0UiuOefR87OeJOZ,0.825,0.575,11,-4.87,1,0.0633,0.025,9.94e-06,0.205,0.65,153.954
25,It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003
26,Hustlin',3hQCHzkE5oSA3F1xM8bpcM,0.502,0.652,9,-7.224,1,0.3,0.0848,0.0,0.0675,0.648,136.08
27,Crazy Train,7ACxUo21jtTHzy7ZEV56vU,0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688
28,Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
29,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",12PNcnMsjsZ3eHm62t8hiy,0.545,0.781,10,-3.616,1,0.185,0.0139,0.0,0.161,0.277,150.097
30,Fast Lane,2c5Isyd07hWsl7AQia2Dig,0.615,0.871,1,-3.804,1,0.281,0.0388,0.0,0.246,0.338,119.149
31,Remember the Name (feat. Styles of Beyond),6ndmKwWqMozN2tcZqzCX4K,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858
32,All Me,7y911sqgHGHcyU4ivapjwi,0.67,0.515,1,-6.977,1,0.397,0.0705,0.0,0.25,0.422,122.006
33,Black Skinhead,722tgOgdIbNe3BEyLnejw4,0.766,0.809,1,-6.123,1,0.279,0.0011,0.0,0.168,0.325,130.127
