setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
2,Tell Me I'm Pretty,4gfqsWnwbhyeXGBtyLTonu,0.746,0.574,6,-5.148,1,0.0835,0.322,1.12e-06,0.097,0.62,88.973
3,Maybe You’re The Problem,0sb8ClU3CLoNblxkpmOKzA,0.53,0.835,9,-3.69,1,0.11,0.0453,0.0,0.0637,0.471,166.02
4,To All The Boys I’ve Loved Before,6WXvM7Ku5aM7SfdXym7DEN,0.788,0.663,6,-5.596,1,0.0319,0.0282,1.9e-06,0.264,0.624,124.008
5,This Is Me,2xGjteMU3E1tkEPVFBO08U,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702
6,Best They Ever Had,5ktOGNBypzC0E6mQ8hHDjk,0.743,0.71,11,-5.606,1,0.0292,0.37,0.0,0.0807,0.83,112.992
7,Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091
8,Beautiful,5yv6tEdYkY3EfWXGSMSnWj,0.493,0.597,2,-6.944,1,0.305,0.337,0.0,0.0711,0.66,90.096
9,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
10,Daisies,4uqh9bualXNHXXwO2wPorc,0.639,0.546,1,-5.382,1,0.0407,0.0837,0.0,0.122,0.149,122.179
11,Cloudy Day,4E2rXUbcF1zhZVzNzeVPGV,0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011
12,Missing Piece,5YqdiryRmdAzYFlxo43hAJ,0.628,0.877,0,-4.205,1,0.046,0.0155,5.97e-06,0.113,0.721,101.992
13,Someday,6aDsgHPZsMztSbZernzlF8,0.576,0.679,0,-7.237,1,0.034,0.0311,0.0,0.323,0.213,121.005
14,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072
15,My Universe,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0.00813,0.0,0.2,0.443,104.988
16,The Man,3RauEVgRgj1IuWdJ9fDs70,0.777,0.658,0,-5.191,1,0.054,0.0767,0.0,0.0901,0.633,110.048
17,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981
18,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39
19,Lease On Life,4ufkuONjQMNR2fyXu1bO9w,0.704,0.701,2,-5.442,1,0.0594,0.058,0.0,0.127,0.592,88.024
20,Electric - Pokemon 25 Version,63eV5hreY9feQP2CmYavpj,0.615,0.701,0,-4.257,1,0.0472,0.00302,0.0,0.0471,0.251,98.073
21,Kiss My (Uh Oh),0MWiSBKm8Avs8iDIxcertp,0.638,0.878,5,-3.639,0,0.0484,0.0151,0.000223,0.308,0.481,103.948
22,Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,93.995
23,Call On Me,1gX4wETtMGvOB7u1proVfj,0.582,0.889,0,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977
24,Kiss Me More (feat. SZA),748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968
25,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108
26,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
27,I Forgot That You Existed,43rA71bccXFGD4C8GOpIlN,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-06,0.0812,0.541,92.875
28,Golden,45S5WTQEGOB1VHr1Q4FuPl,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863
29,Diamonds,1hJIbOjWpid6LtnozHmzRS,0.637,0.666,10,-6.773,0,0.0494,0.161,0.0,0.108,0.529,104.02
30,Classic,6FE2iI43OZnszFLuLtvvmg,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071
31,Rain On Me (with Ariana Grande),7ju97lgwC2rKQ6wwsf9no9,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056
32,"Sit Still, Look Pretty",1sSNWjLtY4GwyhqAwAnPD9,0.66,0.767,2,-3.016,1,0.261,0.12,0.0,0.181,0.554,181.819
33,Smile,3DXdjHnePKnh6oXw2ZgGSl,0.783,0.912,0,-3.713,1,0.243,0.0238,0.0,0.339,0.749,98.025
34,LOUD,1DiDwTApBRcmxV1Cw2JBc0,0.45,0.373,6,-8.276,0,0.0536,0.116,1.19e-05,0.107,0.176,181.586
35,Who Says,3TcL0dyCMyr0kyTTc4NLgI,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019
36,Puppet,0H5fa5efEeedloCGpTvst4,0.696,0.816,9,-4.684,0,0.0453,0.016,0.0,0.0934,0.395,130.074
37,I AM WOMAN,3nOz1U41SZZ0N3fuUWr9nb,0.646,0.471,10,-9.247,1,0.157,0.122,0.0,0.125,0.455,170.084
38,girls girls girls,6eutgX6jfXAsjTXgQtCtYV,0.649,0.478,0,-8.834,1,0.156,0.658,0.0,0.131,0.468,139.859
39,Ugly,2kHQScyzjnhhuBPQQ1AVfo,0.666,0.446,5,-6.25,0,0.053,0.406,5.75e-06,0.066,0.454,127.035
40,"Don't Give Up On Me - (From ""Five Feet Apart"")",5A3fPy30SN2wuzrahpcxvV,0.641,0.537,0,-5.452,0,0.0282,0.0875,9.05e-06,0.115,0.0681,112.864
