setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,The Dreamer,2UqYwWfjMDyCRnJc1Eebnn,0.432,0.137,3,-18.125,1,0.0311,0.956,0.168,0.0873,0.271,94.819
2,The Very Thought Of You,5m07y0cB4u7D5gzZOBU5sW,0.569,0.137,0,-13.429,0,0.0409,0.962,0.921,0.113,0.113,61.262
3,Emily,3gleUGWbYMuPc3RfUA1mKd,0.454,0.18,0,-17.015,1,0.0403,0.965,0.911,0.13,0.223,118.641
4,In a Sentimental Mood,2VEB1PohDkoy7NBDeKhepa,0.539,0.121,2,-11.899,0,0.0531,0.963,0.355,0.217,0.26,104.248
5,The Peacocks - Single Edit,6axejDXkOwDHgp7HMwWNXb,0.476,0.121,10,-16.717,0,0.0439,0.721,1.4e-06,0.135,0.347,101.613
6,Canopy & Stars,79n6J2l0s1IcktamBUEjAd,0.663,0.458,5,-12.783,0,0.0294,0.686,0.851,0.118,0.305,119.962
7,I'll Be Seeing You,6w8czge0Bw1pYzViYNxB5z,0.585,0.017,5,-18.352,0,0.0797,0.987,0.000153,0.102,0.156,90.184
8,The Duke,6RQBoUXjtB1YmUjtPb9WbA,0.513,0.242,8,-17.455,1,0.0388,0.824,0.879,0.083,0.216,117.618
9,Autumn In New York,4TUYXBMD004ZwWTeYcynFH,0.503,0.109,3,-15.336,0,0.0356,0.94,0.0014,0.252,0.201,118.024
10,I Know Why (And So Do You),3DsIu9DB0AZufrQHR4yJKL,0.528,0.0847,0,-16.575,0,0.0405,0.984,0.893,0.131,0.0431,111.49
11,My One And Only Love,7Gf896pRsrMkQpQTkqMI09,0.281,0.251,8,-18.417,1,0.0383,0.972,0.874,0.113,0.0708,49.499
12,Bolero Triste,1sqG0QIw3qrMhj1CNymv3y,0.548,0.145,0,-13.298,0,0.03,0.884,0.154,0.116,0.373,83.969
13,Arm in Arm,5r16Jl53ZXzkOeMdBD9bF8,0.237,0.0227,4,-25.674,0,0.0401,0.875,0.574,0.123,0.044,76.252
