setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Head And Heart On Fire,0p4j657L1sMElovvsUlyiD,0.569,0.311,10,-8.267,1,0.0276,0.699,0.0,0.0938,0.244,125.913
2,Blackbird,0c9Vl4iBLhsmzttG0X4XhY,0.377,0.176,9,-12.974,1,0.0302,0.969,0.00819,0.183,0.176,167.855
3,Afterglow,0E4Y1XIbs8GrAT1YqVy6dq,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184
4,Lost,45Q6RNX1yeHpGZpR0RjpKI,0.597,0.687,4,-6.536,1,0.0466,0.216,0.0,0.107,0.502,94.749
5,Dreamers Of The Shore,6ZyZGbujKBzxfzcjVOvGW5,0.648,0.704,2,-8.419,1,0.0325,0.833,0.000252,0.362,0.438,107.97
6,Dear August,16gW9O8A4rIMx5OOVlzsSn,0.643,0.324,0,-7.817,1,0.0338,0.8,0.0,0.111,0.444,147.019
7,Moonlight,6Lx8iWqYzIT5hnuriaGCY9,0.65,0.463,0,-8.092,1,0.144,0.676,0.0,0.164,0.433,82.979
8,Good Plates,7aKy6nmCDAKPhpHrEzdoZl,0.578,0.453,2,-12.609,1,0.0515,0.536,0.147,0.0927,0.248,92.052
9,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,0.66,0.193,11,-8.904,1,0.0725,0.953,0.0,0.0953,0.296,82.035
10,Ordinary People,0FrHyYxj92dg4qIu8BO30l,0.363,0.12,7,-11.662,1,0.0358,0.899,2.34e-05,0.162,0.176,71.024
11,Perfectly Imperfect,6TbkMxKZudkP6Sty7rkLU9,0.698,0.367,2,-5.811,1,0.0329,0.649,0.0,0.119,0.246,104.853
12,Surrender,65cQkOFngSgj37Gnzp4ry4,0.353,0.386,0,-10.927,1,0.045,0.661,0.000231,0.0806,0.269,147.808
13,If That's Alright,1sOHsqg3EeaimEJM72CZa5,0.492,0.451,8,-6.515,1,0.0282,0.349,0.0,0.0888,0.332,137.701
14,Every Time You Go Away,5OtvDpNhxUde1hkAjvzSzE,0.322,0.127,7,-14.197,1,0.0352,0.894,5.99e-05,0.143,0.119,144.2
15,Anywhere Away from Here (Rag’n’Bone Man & P!nk),5gjATWO1EIhrCP1CQ2GWg8,0.395,0.288,11,-10.465,1,0.0345,0.656,0.0,0.116,0.189,130.571
16,butterfly,34ZfAjSGM4vxJ1P6N5geSp,0.588,0.625,0,-9.502,1,0.212,0.69,4.38e-06,0.0799,0.116,121.809
17,Fired Up,7gxW8RQnNQHAFi6aBVMCBL,0.623,0.525,0,-8.084,1,0.136,0.344,1.77e-05,0.0971,0.516,191.817
18,Free,3hOWsTM9OpI6c72iQHP4EB,0.627,0.213,10,-12.634,1,0.0349,0.877,0.0,0.204,0.18,92.054
19,You And I,4P1EGoXLWQ1YF6Nsmr1pfy,0.554,0.786,9,-4.288,1,0.0491,0.0024,0.0,0.148,0.358,120.057
20,Hallelujah - Bonus Track,3ag4ODA4AwOhHG5pGcX0Lk,0.258,0.376,8,-6.876,1,0.0304,0.811,6.59e-05,0.107,0.531,188.319
21,Get It Right,74ZQkrS93fcV6fcRYxqjjK,0.747,0.301,2,-11.882,1,0.0382,0.618,0.0149,0.0799,0.465,84.033
22,Jungle,2sFo4HAjQfBBaV22QRg75a,0.661,0.626,11,-8.49,0,0.0446,0.743,0.000896,0.208,0.58,121.938
23,Bigger Heart (Acoustic),0bUm2G8Iz9oWd6NvGyNWOz,0.419,0.113,2,-15.591,1,0.0458,0.943,0.000654,0.139,0.534,160.121
24,Lovely,3zjw3EZfvgjuR4AQhVlNq7,0.548,0.715,0,-6.798,1,0.0511,0.143,2.21e-06,0.218,0.393,159.924
25,So Beautiful,62e13LZh8TOnV9Jqn8RaHB,0.533,0.595,1,-6.877,1,0.0334,0.105,0.0,0.123,0.318,79.61
26,fire,1aT20eW3nb0jGad5IJ6Wah,0.644,0.442,9,-9.415,1,0.0306,0.678,0.0235,0.099,0.583,144.029
27,Who You Lovin,76EbDiWcIQjFshXBrHl643,0.597,0.693,9,-5.108,0,0.0283,0.00667,2.49e-05,0.109,0.487,113.025
28,Almost (Sweet Music),5Apvsk0suoivI1H8CmBglv,0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036
29,The One I Love,4CTkHewevcDjIT3j9qb36e,0.505,0.32,11,-9.86,1,0.0326,0.845,0.00468,0.0995,0.0971,149.382
30,All Love Everything,6F73D9llKz4OdVQ0Bliua3,0.726,0.562,4,-8.226,1,0.0817,0.166,0.0,0.0774,0.757,160.157
31,Forgive Me Friend - Acoustic Version,4eQWC9bpUAQT88QNBS2Z7C,0.634,0.622,11,-9.426,1,0.0341,0.72,0.0,0.277,0.404,119.992
32,Sunday Morning,0CxVnKu6PG6tYTGVtSD8UU,0.73,0.843,6,-3.314,1,0.0528,0.186,0.0,0.372,0.658,92.027
33,I Guess That's Why They Call It The Blues,7J8e4j9B3CeKSrO55sKwov,0.268,0.724,6,-4.772,1,0.122,0.631,5.68e-06,0.112,0.369,85.128
34,I Believe in Us,59JtQ8mThUAnRGValaExhc,0.555,0.423,0,-6.232,1,0.044,0.799,0.0,0.112,0.257,137.044
35,It Must Have Been Love,3viORbKD3U7qHOc62eU44P,0.487,0.614,7,-10.332,1,0.0316,0.0385,5.06e-05,0.204,0.315,104.842
36,What A Day,2cnuiYBSniFCbnVBw2vVXH,0.54,0.238,11,-13.259,1,0.0318,0.967,0.602,0.0727,0.249,88.013
37,A Safe Place to Land (feat. John Legend),55fyE9Q754QhXpmcLtmmam,0.424,0.253,10,-13.259,1,0.0366,0.825,0.0,0.117,0.16,129.812
38,I Guess I Just Feel Like,4Im6GRj17qa7NW76OsJh1s,0.548,0.483,4,-9.102,1,0.0268,0.515,0.0674,0.0922,0.166,159.952
39,Confidant,5CRMZVNTo7AxJkWmIPehJQ,0.504,0.397,10,-11.659,1,0.131,0.804,5.34e-06,0.12,0.265,110.392
40,Crosswords,094OGVJzllUzmdLvA31GqU,0.645,0.255,11,-10.581,1,0.0545,0.589,0.0,0.174,0.406,94.973
41,Fill Me Up,2EsqgX8ZfyZrJqVTAowTvY,0.534,0.261,8,-11.389,1,0.0969,0.913,0.000934,0.0923,0.562,159.495
42,supposed to,1Ya1He3XsuZVzq8tl3tdE9,0.801,0.567,2,-6.332,1,0.155,0.0669,0.000146,0.0909,0.662,133.997
43,No Letting Go,1ElliR0IsEPKoaWUmY71y2,0.597,0.284,1,-7.452,0,0.0271,0.295,0.0,0.154,0.144,108.075
44,Bitter St,62tDr0leoZeIRshAkGjFHX,0.545,0.325,10,-13.65,1,0.0368,0.782,0.00147,0.0981,0.286,94.084
45,Beyond,1Omt5bfz1tZUCqd26HxbS0,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014
46,Hold My Girl,42bbDWZ8WmXTH7PkYAlGLu,0.614,0.527,10,-6.374,1,0.0302,0.597,0.0,0.11,0.354,121.941
