setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Under the Boardwalk,65jrjEhWfAvysKfnojk1i0,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792
2,"I Can't Help Myself (Sugar Pie, Honey Bunch)",3aSWQJcWnnqgwYbAgidvlV,0.686,0.714,0,-4.809,1,0.0287,0.204,0.0,0.0592,0.964,126.736
3,A Man Without Love,622sVNQCspoVUqFWzOYYcj,0.386,0.473,2,-12.416,1,0.0345,0.729,0.0,0.271,0.498,110.322
4,Build Me Up Buttercup - Mono,6sPOmDulFtLzfX25zICNrC,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609
5,My Girl,0Vpswx5knuuXW8HmNK1LrT,0.589,0.551,0,-6.2,1,0.0353,0.67,1.01e-06,0.0918,0.715,104.396
6,California Girls,0mwr3py9MZIOdvOrI31h6r,0.393,0.714,11,-8.521,1,0.0374,0.159,2.49e-06,0.312,0.769,115.522
7,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
8,King Of The Road,3XG7bMVcMWLIn2k9jLAaAt,0.67,0.272,11,-13.699,1,0.0704,0.717,0.0,0.178,0.613,117.996
9,Everyday People,7lL2lMWNtzOcf5HnEudNgn,0.813,0.619,7,-8.203,1,0.0294,0.245,0.0151,0.113,0.774,114.58
10,Baby I Need Your Loving,3aCbwWCYCT3MJjZeUnlcp4,0.632,0.686,0,-6.116,0,0.0395,0.437,0.0,0.193,0.65,121.414
11,I Got You Babe,6tMjtHEBwMkxslhOe9SHE8,0.629,0.795,6,-6.02,1,0.0278,0.136,5.44e-06,0.132,0.6,110.583
12,How Sweet It Is (To Be Loved By You),3V5vrRmjNj4MssxW8cEJov,0.642,0.587,0,-6.616,1,0.0317,0.283,0.0,0.303,0.905,110.352
13,Put A Little Love In Your Heart,1fQn0TtyvkS6PjdVOitG4p,0.579,0.362,9,-12.442,1,0.0284,0.71,0.00053,0.126,0.401,100.561
14,Then He Kissed Me,5usNPz6U1acDrkUYekGYDY,0.44,0.682,4,-7.416,1,0.0373,0.681,3.33e-05,0.207,0.626,135.917
15,Ain't Too Proud To Beg,4CoGNqLap7UGU5Q3VdKug0,0.763,0.656,0,-6.86,1,0.0417,0.549,0.0,0.125,0.926,118.394
16,Good Vibrations - Remastered 2001,2oF7FZHIJbzjeEXZ3D0Ku4,0.403,0.495,10,-6.888,0,0.0312,0.387,8.03e-06,0.147,0.38,132.912
17,Travelin' Man - Remastered,1sM0yZDxUhPQhkDh2CLd6l,0.723,0.44,2,-10.536,1,0.0319,0.667,0.0,0.128,0.843,123.217
