setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,rosier,6ZUiIY6JQtDkrJggZ1OSQ7,0.572,0.257,11,-13.572,0,0.346,0.65,0.0,0.428,0.544,114.673
2,change ur mind,58Mh6zmqSo9IvysPAXnG0h,0.627,0.575,4,-7.38,1,0.232,0.78,0.0,0.336,0.494,78.546
3,i walk this earth all by myself,5a8QUc4ubHJqQm7vzs2YhA,0.595,0.588,10,-11.313,1,0.0624,0.507,0.781,0.113,0.518,166.061
4,rx,273h36reiuZ6Q92u4cmfID,0.444,0.121,4,-15.137,1,0.0393,0.747,0.0,0.143,0.338,141.304
5,"Don't Leave, Don't Go",4MYaU9PrPCI095w8nBs93q,0.676,0.14,7,-11.6,1,0.0495,0.966,3.76e-06,0.106,0.229,99.023
6,Violets,25ndwd0OLtkQLkFBaS9RjT,0.572,0.631,9,-6.152,0,0.0701,0.638,0.0,0.451,0.546,95.09
7,It's Not The Same Anymore,7vRia9rlEuTDQxkfXIKySi,0.666,0.317,5,-10.644,1,0.0327,0.873,3.74e-05,0.111,0.359,117.676
8,October Baby,5jirw3NThH8SMtvlrrfSw1,0.33,0.523,6,-9.854,1,0.0325,0.0123,0.0117,0.265,0.235,180.088
9,City,5TK9UrM3qEiBQ3il3SJNVq,0.437,0.243,7,-10.577,1,0.0281,0.851,1.62e-06,0.112,0.142,144.164
10,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033
11,Sometimes (Backwood),1ElGmhauttS9p7LwmHG9uM,0.41,0.174,3,-11.405,1,0.0328,0.767,0.00197,0.114,0.0694,105.292
12,snowflake (feat. Jaden & Sarcastic Sounds),7KW1AtQKFToSoF1kmyk2wE,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829
13,Star Shopping,30bqVoKjX479ab90a8Pafp,0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099
14,IDK You Yet,0j1Ia2lQWrcXrQZI4AdJlk,0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997
15,Pluto Projector,4EWBhKf1fOFnyMtUzACXEc,0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786
16,Insane,3mLFCocZgUvih60frphM6l,0.806,0.405,6,-11.277,0,0.0727,0.508,0.0915,0.104,0.329,119.961
