setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Popular Monster,4GssB27iJeqmfGxS94Tfij,0.461,0.897,3,-3.982,0,0.092,0.00821,0.0,0.0965,0.358,165.107
2,Feel Invincible,0i8JFpqe9cKwnrcvoNgl1L,0.603,0.886,5,-3.777,0,0.0837,0.00045,0.0,0.26,0.395,126.025
3,Good F**King Music,75zbw2JGazrTzrJ5r36Af3,0.507,0.723,8,-5.747,1,0.175,0.00831,0.0,0.195,0.706,142.935
4,Papercut,1Vej0qeQ3ioKwpI6FUbRv1,0.524,0.939,9,-3.994,1,0.113,0.00022,0.0,0.623,0.661,150.184
5,So Called Life,5EIKp1TKhUNdsThloWPa53,0.502,0.905,2,-4.162,1,0.0634,0.00021,0.0,0.0601,0.481,160.064
6,Born For Greatness,2VDdoBA24QICNHn5JkJwyE,0.518,0.849,9,-5.472,0,0.0664,0.0561,0.0,0.0569,0.299,134.093
7,Jekyll and Hyde,5MjkeHk6I0JA0q13eqtnJP,0.544,0.96,3,-4.681,0,0.106,0.00058,1.99e-05,0.0531,0.718,154.966
8,Animals,5ofoB8PFmocBXFBEWVb6Vz,0.532,0.759,1,-3.842,0,0.0319,0.000123,0.02,0.073,0.293,95.01
9,Undead,5wBLDkxVvclanSitx5jq8e,0.512,0.943,2,-5.185,0,0.106,0.0138,0.0,0.261,0.485,163.128
10,Got the Life,6nJPHXRpKYv2yqtalEjKy5,0.501,0.905,11,-5.721,0,0.0518,1.88e-05,0.765,0.383,0.584,123.277
11,The Violence,0C5X8RJXZNuGO2CfQJumb5,0.646,0.851,8,-4.22,0,0.0662,0.00618,0.0,0.629,0.333,129.918
12,In Between,03jdl5GTBhKsgB1Yw8mVPh,0.462,0.972,7,-2.642,0,0.138,0.00285,0.0,0.666,0.449,128.092
13,DEVIL,2hEYslbdYWFSIA6JboUvnR,0.354,0.942,7,-3.245,1,0.237,0.00039,6.36e-06,0.431,0.242,119.992
14,Obey (with YUNGBLUD),7fQox8Ere1HDm0jhSnsFHu,0.462,0.99,1,-3.175,0,0.211,0.000103,0.0,0.374,0.204,137.061
15,Soldiers,1iWgFnhR0oW5Mup8yXDAPW,0.592,0.877,2,-4.05,0,0.0502,0.0095,0.000171,0.131,0.712,117.106
16,A Warrior's Call,4o6k1XHlrIZay8v1m5VU83,0.373,0.903,10,-4.49,1,0.083,0.00077,5.86e-06,0.244,0.43,109.121
17,The Heretic Anthem,3OYZWMm5m2DEwq2Tc1ukTh,0.451,0.993,1,-4.143,1,0.185,0.000562,0.00479,0.152,0.14,100.827
18,Paranoia,3HhaSocKwTptze7PySNZlW,0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859
19,Bodies,7CpbhqKUedOIrcvc94p60Y,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936
20,Dragula,6Nm8h73ycDG2saCnZV8poF,0.591,0.963,0,-6.489,0,0.0531,8.74e-05,0.000107,0.0781,0.609,125.03
21,Bat Country,3sHH7lklbfpcraDDvYnjo7,0.541,0.968,0,-4.129,1,0.0396,0.000248,8.28e-06,0.423,0.505,125.04
22,Untouchable,2dWqxUeIO2kM45lHMLOz9J,0.567,0.884,5,-5.788,0,0.0476,0.000753,0.00772,0.266,0.422,139.975
23,Killing Me Slowly,6E5gsJm3t0RqmiHBfUBaya,0.345,0.89,1,-4.175,0,0.0774,0.000725,2.98e-06,0.204,0.276,137.973
24,Walk,7fcfNW0XxTWlwVlftzfDOR,0.43,0.704,1,-8.008,0,0.0804,0.000155,0.00221,0.0933,0.703,118.242
25,Pump It,3iXNlPQNYPrtimAEM49PsG,0.448,0.896,8,-6.533,1,0.0593,2.94e-05,0.0,0.375,0.437,174.073
26,Breaking Down,4bE3cBcwAe7T5SklvbkiYZ,0.503,0.568,4,-7.182,0,0.0341,0.00131,0.00144,0.0856,0.0705,126.935
27,Remedy,5ynxx6zC4dgzsMHLYQ04Dc,0.55,0.952,8,-4.664,1,0.0924,0.000193,0.000666,0.0614,0.391,127.804
28,Never Again,07huQEWGQAe7aJaeR08Cag,0.493,0.936,1,-4.525,1,0.0331,8.53e-06,9.73e-05,0.358,0.683,93.501
29,Letting You Go,7rGN3oqzCpG2mLcwoPwDQm,0.459,0.903,5,-4.649,0,0.0673,0.00877,0.0,0.168,0.364,76.185
30,Mudshovel,6264zKFgXM13JuRBX4MMyD,0.328,0.826,6,-5.085,1,0.0362,0.000224,0.000944,0.0818,0.341,106.606
31,Awake,6xXlurslWqFuyqTCBlErzX,0.395,0.756,7,-4.12,1,0.0544,1.74e-05,0.00665,0.319,0.475,112.092
32,Deutschland,1T8IRUJBga0JXioJZvxjBR,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117
33,LOUD (Fuck It),0vGDRD1JCj2NhUm7jUWxjf,0.586,0.92,6,-3.969,0,0.104,0.00145,1.22e-05,0.0119,0.706,93.038
34,Black Hole,4Y7eqYTpV7fQxpYj1isN2F,0.48,0.958,5,-4.241,0,0.0664,2.45e-05,0.0,0.52,0.385,110.05
35,Breathe Again,1NkHDIbGjHqFjZJrdHjQGZ,0.569,0.891,3,-4.527,0,0.0671,2.42e-05,3.32e-05,0.32,0.646,116.985
36,Notorious,5PZo9NMyNLxOlpEFoYo611,0.53,0.967,0,-2.108,1,0.0657,0.000507,0.205,0.0786,0.642,99.962
37,Wake Up,3WnrxWNTHDGyCVCwfMJPtR,0.555,0.942,0,-3.606,0,0.118,0.00456,1.79e-05,0.414,0.614,126.928
38,Addicted To Pain,74ODL6xFR2erTu2mvXFIDz,0.518,0.991,1,-3.806,0,0.101,2.41e-05,0.000176,0.181,0.275,118.026
39,Hardwired,7myke8Id4WyKFlWcRBJdIF,0.13,0.991,11,-3.126,1,0.0604,1.15e-05,0.00412,0.225,0.505,185.364
40,Is There Anybody Out There?,5aeIj88MLdekYvObw5Yisk,0.408,0.953,7,-3.883,1,0.226,0.00532,0.0,0.338,0.291,177.94
