setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Par De Anillos,3hNa7iKRzCK06IawGLlsbz,0.49,0.675,1,-5.548,0,0.051,0.209,0.0,0.105,0.49,119.731
2,Cómo Estás Tú,34dKLs3lTn2gqEai9xZSgc,0.654,0.758,0,-6.458,1,0.0316,0.21,0.0,0.0862,0.93,93.271
3,Tan Bella Y Tan Presumida,5KOu0YxjEPkbFjP9yPCNoP,0.621,0.679,0,-7.697,0,0.0722,0.383,2.35e-06,0.0902,0.906,172.46
4,Voy a pintar un corazón,6ztkxjvne5bjzUUnoskShx,0.759,0.588,9,-11.458,1,0.0295,0.117,8.69e-05,0.0633,0.853,102.035
5,Yo Quiero Quebrarte,0Byi0pNpSr0FKDQ8HtMwKY,0.875,0.882,0,-8.113,1,0.0567,0.0373,0.346,0.0228,0.918,140.354
6,Amor Regresa,3nbCTU4k0l68vml8nDajwU,0.641,0.746,4,-4.264,0,0.0381,0.48,1.77e-05,0.724,0.769,171.394
7,Que Levante La Mano,36TIklA7o1T0eXS83n1amI,0.69,0.618,0,-5.462,1,0.0334,0.0746,1.17e-06,0.0851,0.75,150.993
8,La Noche Que Murio Chicago,4nrNEbfKx82rBT4c3tBTJd,0.935,0.767,4,-3.59,1,0.0437,0.252,0.0,0.273,0.976,120.584
9,En realidad,3I4kCERqFLTFNVwl5YCKo9,0.617,0.372,2,-13.622,1,0.0339,0.338,0.0,0.159,0.286,131.562
10,20 Rosas,5zOWyxUVE0i9Ziwm6cE7aF,0.657,0.376,7,-8.117,1,0.0323,0.301,6.8e-06,0.0563,0.792,86.372
11,Amor Prohibido,4Hmuqk2w1fGqwpMP04aDUu,0.724,0.777,2,-6.036,1,0.0446,0.337,0.00162,0.314,0.909,163.903
12,Hoy Voy a Tomar,6CMzq5lR2EFeq3ENPNG18L,0.613,0.779,11,-8.818,0,0.0353,0.536,0.00368,0.296,0.949,97.115
13,Me Volví A Acordar De Ti,7256yGEwDkqs39TKHTeXik,0.678,0.512,2,-6.532,1,0.0275,0.0541,0.0,0.369,0.746,145.968
14,Ayúdame,0Z8Jg2ji4tKeaGWpBidTxv,0.786,0.776,11,-6.759,0,0.0625,0.00892,1.37e-06,0.0673,0.884,135.118
15,Pero La Recuerdo (Cumbia Santa María),7xbRLQyE9t7zkA3osC8S2d,0.809,0.705,5,-8.187,1,0.0437,0.0443,9.67e-06,0.078,0.941,94.655
16,Como Una Novela,43Z6YxVTYyr5ewyo2uepdy,0.756,0.565,0,-9.832,1,0.0287,0.309,0.00128,0.243,0.655,101.944
17,La Loca,7mpz4Drmu692aPo4qsaHTC,0.783,0.735,8,-6.907,1,0.0312,0.277,0.0,0.0986,0.729,122.833
18,Más Que Tu Amigo,1Vy7WUJubV9JEoebuJ9dfe,0.786,0.604,0,-7.608,0,0.0413,0.221,0.0166,0.063,0.81,97.461
19,Un Sueño,6iPDBwtiOZGlfQt9HD0jAG,0.66,0.666,9,-3.996,0,0.0269,0.0459,0.0,0.0518,0.737,149.445
20,Vienes y Te Vas,0sVeyTEVECTBiBdx9u7VUj,0.729,0.537,9,-7.604,0,0.048,0.123,0.0,0.102,0.934,175.066
21,Tu Traición,2ObbqCZZgwK8VowFYf0RPh,0.728,0.68,7,-9.143,1,0.0342,0.199,0.000942,0.126,0.946,84.566
22,Piensa En Mí,1xKP7GVLY33i5jmx1bB1Kk,0.72,0.538,10,-8.874,1,0.0455,0.348,0.0,0.0654,0.805,80.096
23,Muchachita Consentida,1zVDbrBG7zCd6AXGLmbGj4,0.778,0.612,5,-6.12,1,0.0601,0.288,8.98e-05,0.091,0.928,84.78
24,Ramito De Violetas,6sRaqq9SYsSTPvrWkL1sRy,0.869,0.805,8,-5.722,1,0.0393,0.0774,0.0,0.0686,0.889,125.235
25,Sin Ti No Sé Vivir,2tkeEsJUjKLM1zKeWJ3RqU,0.654,0.331,2,-8.954,1,0.0395,0.309,0.0,0.12,0.802,83.918
26,El Taxista,5ugABx5bnTbKl0j6iPwaku,0.69,0.668,0,-9.858,1,0.03,0.27,0.000203,0.0911,0.885,119.861
27,Paloma Ajena,4B3PNNSg06yZ6Jj7novC8l,0.66,0.682,0,-9.322,1,0.0825,0.18,0.000102,0.116,0.962,199.665
28,Deja Una Rosa En Tu Balcón,1InGWsgNYr5cYTE4JWqGqu,0.792,0.592,4,-7.45,1,0.0317,0.42,0.0151,0.097,0.942,102.035
29,Suavemente Amor,7bCNS79pv7K9iYtqAo0uIW,0.676,0.568,8,-5.398,1,0.0588,0.53,0.0,0.0816,0.867,155.813
30,Todo Me Gusta De Ti,5gUoppDphfYsIiguGr5drh,0.64,0.505,10,-5.766,1,0.0362,0.176,0.0,0.0769,0.786,180.625
31,Enamorado De Un Fantasma,47zLjYjuaWunbmMrn6jLLj,0.642,0.574,2,-7.141,1,0.0236,0.296,0.0,0.115,0.401,96.886
32,El Listón De Tu Pelo,5hrxAFrYbNTLjAYSrmbpgr,0.695,0.432,11,-8.195,0,0.0479,0.312,0.0,0.296,0.765,81.109
33,Feliz Feliz,0JZV1UuBsbSwHhGirgWaXI,0.809,0.815,0,-6.613,1,0.0331,0.0675,0.00163,0.0897,0.99,135.259
