setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Another Love,3JvKfv6T31zO0ini8iNItO,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
2,505,58ge6dfP91o9oXMzq3XkIS,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267
3,House of Memories,2DgdHcjWmO3qd50RzuBLgZ,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952
4,Tek It,751srcHf5tUqcEa9pRCQwP,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995
5,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999
6,Softcore,2K7xn816oNHJZ0aVqdQsha,0.575,0.568,9,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,93.986
7,Me and Your Mama,31tf1qEai5o5f4r66Kd0pU,0.554,0.433,5,-12.628,1,0.0341,0.0116,0.0449,0.0667,0.237,117.996
8,Pacify Her,360Wr96ywrCQq4kTAJ8Pq6,0.576,0.593,9,-6.024,0,0.0306,0.0467,0.000767,0.237,0.373,157.993
9,Hug Me,6eVM9lCmIqwGTUOoeH61Lu,0.842,0.622,0,-5.437,1,0.0967,0.0684,0.0,0.33,0.587,139.927
10,Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,0.566,0.885,8,-4.528,1,0.0818,0.0958,9.97e-05,0.334,0.304,90.99
11,Notion,0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488
12,NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,0.621,0.73,5,-5.414,0,0.107,0.0967,0.000131,0.673,0.464,139.566
13,This Side of Paradise,79EkGysjP2dL5GdpeQjRxT,0.306,0.664,9,-6.07,1,0.0276,0.432,7.5e-06,0.135,0.321,158.283
14,Mount Everest,1ZdhOMWyFR8Iv9eylMGYg2,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724
15,Malibu,1UZOjK1BwmwWU14Erba9CZ,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934
16,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097
17,After Dark,2LKOHdMsL0K9KwcPRlJK2v,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037
18,RAVE,01kfSdF9zfcDLri5sSWEoL,0.716,0.748,8,-6.06,1,0.0356,0.235,0.849,0.114,0.338,119.918
19,Backstabber,4GRFzKI7jTZ3kbMfouc7bn,0.6,0.939,7,-1.794,1,0.19,0.0666,6.18e-06,0.34,0.833,159.941
20,First Class,1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998
21,Over,1DOgkaR5Gqa8JtPEIbQORC,0.677,0.541,6,-6.057,0,0.0571,0.48,0.0,0.125,0.379,103.369
22,Rocking A Cardigan in Atlanta,0N0h5lXc4HOiLgGb9EZi8m,0.803,0.64,1,-4.721,1,0.151,0.583,0.000331,0.437,0.816,140.073
23,Out of My League,2Z5wXgysowvzl0nKGNGU0t,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965
24,A Pearl,7fd3aMiuwHWKsTdZafjOfZ,0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551
25,girls,1kqc6U8hVYZhY0gFGQclCz,0.515,0.449,5,-14.468,1,0.0337,0.227,0.0357,0.171,0.792,149.966
26,Fourth of July,5Qnrgqy1pAm9GyNQOgyVFz,0.435,0.104,6,-22.39,0,0.0445,0.973,0.33,0.119,0.162,120.484
27,In The Stars,1ei3hzQmrgealgRKFxIcWn,0.362,0.54,10,-6.031,1,0.0528,0.338,0.0,0.139,0.3,78.007
28,BABYDOLL (Speed),5K3SJuYEkvvrLbzOjPyRi1,0.552,0.582,11,-5.535,1,0.0404,0.0813,0.205,0.177,0.538,105.483
