setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Plan B,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439
2,Big Energy (feat. DJ Khaled) - Remix,4nmD4awtUUCC4AGETpUiuP,0.867,0.771,11,-3.688,0,0.0939,0.0385,0.0,0.133,0.715,106.021
3,Treat Me,2ZCu2xskiEBCV3y0eu0zJG,0.708,0.793,7,-2.518,0,0.0417,0.0442,2.62e-06,0.0362,0.503,94.005
4,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942
5,Material Girl,6nQ1B216Liiydhgn2gar0o,0.876,0.7,2,-7.137,1,0.282,0.0421,0.0,0.542,0.433,101.995
6,SCOOP (feat. Doja Cat),6bpq1jGkVz66Q3LYeoXdjZ,0.841,0.527,6,-8.116,1,0.149,0.0427,1.54e-06,0.12,0.582,163.975
7,Cocky Af,7hdR7gLsPQ6EXGeghibSK3,0.628,0.621,4,-9.585,0,0.356,0.00629,0.0,0.113,0.528,130.016
8,It's Givin,5h9dlUlCGZahkuaC3MShz3,0.865,0.614,8,-6.782,1,0.278,0.0259,0.0,0.434,0.642,160.032
9,Dancing Queen,65HXJWOYBX2pFpdtusWRiV,0.908,0.559,11,-6.329,1,0.333,0.00656,0.0,0.234,0.616,143.993
10,Toxic,6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0,0.114,0.0249,0.025,0.242,0.924,143.04
11,Collide (feat. Tyga),22I3h5AOENlH4CqXJsEbFR,0.418,0.31,11,-9.869,0,0.0625,0.095,0.0,0.216,0.131,139.614
12,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966
13,Tia Tamera (feat. Rico Nasty),1uNePI826aqh9uC9pgbeHU,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884
14,Boyfriend,59CfNbkERJ3NoTXDvoURjj,0.345,0.612,7,-6.543,0,0.0608,0.232,0.0,0.194,0.232,179.773
15,cinderella's dead,5MWXOo8DJwgODtPGaietNz,0.596,0.607,6,-6.179,0,0.168,0.33,0.0,0.103,0.531,119.882
16,Feeling Myself,6ORDoQ6jxdfqNyqvUKDHF0,0.564,0.703,2,-5.459,1,0.269,0.437,0.00927,0.358,0.477,139.045
17,BBB (Bad Bitch Behavior),0zKlED6S6ytAHPo9sIm1vX,0.848,0.495,4,-9.851,1,0.428,0.0449,0.0,0.15,0.612,160.174
18,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977
19,Bussin,7lcI4X8RZxK4zIknJcwpBq,0.893,0.699,11,-8.059,1,0.0517,0.0576,3.02e-06,0.128,0.747,139.972
20,Sl*t Him Out Again (feat. Kali),1ZaZ2oU9mJXsLcyJCB1APa,0.934,0.6,2,-5.77,1,0.161,0.152,0.0,0.101,0.409,95.027
21,Best Friend (feat. Doja Cat),2etHQJxIbV0soyPhelVs9Y,0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,94.018
22,Crazy,2b1MCbfwRZ1teOX1vSm4Xt,0.841,0.879,1,-4.336,1,0.0743,0.0055,0.00211,0.101,0.458,128.966
23,Like a Boy,358bOvBiZCS9fRzNYosw6c,0.701,0.724,0,-5.751,0,0.145,0.267,0.0,0.0867,0.425,132.035
24,LONDON (feat. J. Cole),5vhrsx08dHh2QcVh1Rsiwt,0.644,0.671,11,-5.156,0,0.315,0.0225,0.0,0.0855,0.563,132.001
25,Gravity,59QZZyiKJmpEqrOJMDtejn,0.949,0.67,10,-8.869,0,0.0924,0.0423,0.000897,0.169,0.841,99.965
26,Have Mercy,5SixeLvPsYpk7qq9lo5xYg,0.903,0.535,9,-6.434,1,0.0742,0.297,0.0,0.345,0.508,130.022
27,HATEFUCK,2G6AOP03YY7hCCxvskZLb4,0.707,0.703,1,-5.786,1,0.243,0.00284,0.00232,0.0727,0.576,139.991
28,Megan's Piano,4HyVMzg0sUQsdOxRvSO8Ka,0.953,0.621,11,-7.565,1,0.154,0.00799,4.87e-06,0.307,0.378,132.063
29,Throw It Back (Abow),23yxlmsXxljX6AVF2NlYP6,0.829,0.459,1,-12.491,1,0.352,0.185,0.0214,0.57,0.331,102.363
30,Deepthroat,5cXtT63OTadsjqfRkm5Dwd,0.93,0.65,0,-6.896,1,0.259,0.184,4.92e-05,0.198,0.403,98.023
31,We Not Humping,0ypTgFheHb8nRVq4ygoQ3P,0.981,0.755,11,-7.401,0,0.189,0.0322,0.0,0.0705,0.775,119.969
32,Up,1XXimziG1uhM0eDNCZCrUl,0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,166.0
33,Sad Bitch Bad Bitch,6uTFRlLA96Anvye2KffDqy,0.722,0.476,1,-4.974,0,0.0342,0.39,0.0,0.102,0.291,129.96
34,Ain't Shit,5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097
35,10 Things I Hate About You,6Jkm5kUldvIqxzI1Pa7nXH,0.544,0.786,8,-2.97,1,0.0501,0.00991,0.0,0.169,0.446,153.967
36,Give Me a Kiss,4KACV2cI5E9qOn6POkKR0p,0.726,0.359,9,-9.15,1,0.0358,0.341,3.27e-05,0.17,0.138,99.925
37,Eat It Up (feat. BIA),3nePMGxrBMKtffHpkKqSHA,0.874,0.404,1,-13.101,1,0.047,0.0513,2.28e-05,0.11,0.447,101.983
38,SAOKO,2FYGZDfsAnNsrm1gVbyKnG,0.827,0.768,0,-5.702,1,0.265,0.79,2.45e-05,0.497,0.734,99.988
39,Blick Blick (with Nicki Minaj),7LczcBaamU9pTkV4Cl9NyX,0.916,0.824,8,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926
40,Freaky Deaky,3vySEUpD0tc801F2WZDLYw,0.799,0.653,2,-5.453,0,0.037,0.019,0.0,0.0935,0.236,104.019
41,Gas Station,2TgbS4ZzDWdhxga5HImDJ7,0.853,0.491,1,-9.019,0,0.08,0.177,5.48e-05,0.11,0.368,85.006
42,Gimme More,6ic8OlLUNEATToEFU3xmaH,0.788,0.844,2,-3.131,1,0.0334,0.25,0.000678,0.0723,0.382,113.324
43,Say It Right,2aI21FnmY7TJVKeMaoQZ0t,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948
44,Pop Out,0ng1fmKrKCorqjmFtNneFm,0.934,0.718,10,-5.63,0,0.0898,0.00758,3.3e-06,0.103,0.615,137.995
45,Get It Girl,1LRtmOcUC21HYATvNUqRwv,0.948,0.648,1,-5.711,1,0.138,0.0319,0.00121,0.0897,0.409,100.037
46,No Love (with SZA & Cardi B) - Extended Version,0IMUFRaM2W3wKNM1CSQ4Zm,0.722,0.613,1,-4.996,0,0.116,0.192,0.0,0.192,0.607,133.937
47,Luxurious,3UQmoVQJqBYauTZLVPs3uo,0.811,0.726,0,-3.995,1,0.0813,0.154,0.0,0.116,0.666,131.027
48,No Effort,6FDeouZz4liRfuXB7CjeEg,0.916,0.718,0,-5.99,1,0.154,0.035,2.23e-05,0.305,0.515,105.957
49,Buttons - Showmusik TikTok Remix,2z1eSjh9SqVt5lCbLAVaBm,0.746,0.859,2,-5.85,1,0.114,0.177,0.0,0.305,0.43,110.025
