setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Pacific Coast Highway (with Trevor Hall),6hazTlTm7MKamJWriYDa13,0.625,0.815,1,-7.036,0,0.0442,0.139,0.248,0.109,0.66,150.004
2,Chapstick,1w91afusaBA7N1Hf6ApAXF,0.803,0.636,2,-6.456,1,0.0464,0.00855,0.000461,0.101,0.767,115.041
3,Baby Blue Shades,2bCFAFxw6uLRu3Mk1jF9E0,0.712,0.74,7,-7.187,1,0.0424,0.00572,0.0,0.0834,0.532,120.065
4,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87
5,Ocean Eyes,1x9oZ6w67OMi1z6WoA6K2y,0.647,0.545,11,-7.094,0,0.0305,0.316,0.000398,0.176,0.341,145.035
6,Straight Jacket,6t6bOh1jmVcRke7rmzAegb,0.616,0.657,7,-5.375,1,0.0649,0.117,0.0,0.11,0.927,79.919
7,I Can't Help But Feel,40gooTta3y4FgzXaMOGDJL,0.722,0.706,1,-4.552,0,0.0314,0.328,0.0,0.108,0.715,114.983
8,Heavy as Lead,59HQVKZfaKycUzRTtp1zDO,0.675,0.806,0,-6.788,1,0.21,0.0571,0.0,0.0759,0.559,165.9
9,Life's 2 Short,1wVklb85pKYaoCGx9jybqm,0.485,0.707,0,-5.598,1,0.0765,0.339,0.0,0.16,0.541,79.744
10,Peachy,176zLXcj1PiFN7DATpBT1j,0.663,0.834,6,-4.405,1,0.0294,0.00133,1e-06,0.0943,0.712,103.987
11,California,1SVbYemhVlCGnpxUF3gyLH,0.532,0.854,1,-4.766,1,0.0886,0.0419,0.0,0.122,0.533,154.374
12,Droptop,3tvgQO3IpSsbBvr5R0gLJj,0.702,0.891,6,-7.264,1,0.0939,0.602,0.0,0.192,0.943,152.046
13,Too Late (with Dirty Heads),3jaaCjDmM9wMEr42mMqrPo,0.711,0.689,9,-6.949,1,0.0424,0.122,0.0,0.0754,0.617,90.042
14,A-O-K,1sx0XsWUusUoPstbvokZjP,0.731,0.626,11,-6.919,1,0.0805,0.125,0.0,0.183,0.862,82.488
15,Sunshine Time,08ag3RWt1LlRWDFU44XSss,0.544,0.81,11,-7.284,1,0.151,0.0663,4.85e-06,0.129,0.601,90.943
16,Crazy Mad Beautiful,7aZkSXM4C6XBspwHaLSvaJ,0.83,0.568,5,-8.07,1,0.0558,0.487,0.000121,0.143,0.278,109.985
17,Only the Wild Ones,0ErpHxNt1kTyCQGlh43wr1,0.492,0.7,8,-7.001,1,0.0437,0.413,0.00013,0.0996,0.605,110.741
18,Monday,55jtGKCCpLEV0zWFf97wVY,0.723,0.801,0,-3.413,1,0.0623,0.369,1.47e-05,0.194,0.738,109.0
19,Saturday Sun,2RiBogNRfulkNf7fVbPOrJ,0.637,0.864,8,-4.381,1,0.0468,0.484,0.0,0.222,0.706,99.995
20,Take Me Away,5Cahcx215DE2oK6hemixF4,0.658,0.695,9,-6.315,1,0.219,0.22,0.000369,0.106,0.735,207.887
21,Guru,5M7IGym8CgSVOMNvDAGheL,0.76,0.674,3,-6.425,1,0.0411,0.231,0.0027,0.0728,0.797,140.022
22,Blackout,3R4rGlA4MbG0I3XjfsH8If,0.712,0.768,8,-4.779,0,0.0306,0.00468,4.69e-05,0.133,0.316,122.01
23,I Wanna Be Your High,5Bgcj6beEiO5VYhna8774M,0.509,0.901,6,-5.723,1,0.0606,0.0683,0.000529,0.277,0.746,159.992
24,Carried Away,670iB5TOAt9dGjyPFXUUiu,0.636,0.98,11,-2.222,0,0.0476,0.019,2.37e-06,0.0905,0.96,129.996
25,Memory,21kvruyJddCLQguDk9oklX,0.624,0.718,1,-5.946,1,0.0312,0.0436,0.00311,0.119,0.663,153.915
26,Solamente,4BMBpU3AbNPjsHk41S0uSl,0.659,0.641,1,-7.943,0,0.0944,0.44,0.0,0.157,0.728,85.027
