setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Oblivion,49KOIOQPegsRJM9gYhfCw3,0.68,0.927,4,-6.27,0,0.0405,0.107,0.936,0.207,0.117,125.009
2,You Take My Hand,4Lq4TjaQWTNmo5viydoLLa,0.52,0.962,7,-6.672,1,0.0428,0.0185,0.926,0.115,0.0305,124.004
3,Weightless - jamesjamesjames Remix,0OOT6JmtkcYidsuQ9Fh54i,0.688,0.814,6,-7.252,0,0.0419,0.43,0.581,0.399,0.0961,127.99
4,Otherside - Nils Hoffmann Remix,0z3hYtKH35ltEcPfeyBXj4,0.769,0.499,5,-12.845,0,0.0411,0.453,0.349,0.0958,0.145,125.028
5,Horizon,7Mqdzo9NcZLUwTAoyV2AeE,0.647,0.66,5,-10.309,0,0.0405,0.0331,0.914,0.665,0.0174,124.023
6,Golden (feat. Blondfire),1he0nibCzlDvB96EoJbbIZ,0.605,0.772,6,-5.971,1,0.0657,0.0687,0.0227,0.151,0.61,121.994
7,Out Of Reach,0ThPAtLfX0NbibIrEfWFHi,0.504,0.762,10,-7.861,0,0.036,0.00102,0.701,0.128,0.0317,123.968
8,Paradise (feat. Lucas Ariel),299lnrCInmGfXBeSu8A6lw,0.549,0.883,1,-6.039,0,0.038,0.0199,0.265,0.112,0.105,124.005
9,Hypnotised,3o5P6TF0Gop8MiuuuTtttl,0.671,0.912,10,-6.531,0,0.0391,0.00121,0.801,0.089,0.164,124.994
10,Gold,22Gd0aeeTTa5E81i5bJ3FB,0.561,0.856,0,-5.836,0,0.0403,0.0907,0.0844,0.17,0.113,124.093
11,Amanhã,7iIvD4PwoUUTvawu3Otf9G,0.473,0.868,9,-6.825,1,0.129,0.00533,0.838,0.109,0.0391,155.292
12,Tantrum,4CMsK9RIEcJEUwUkSvmBxQ,0.591,0.956,10,-5.841,1,0.041,0.0248,0.643,0.194,0.145,123.001
13,Strangers (with Mansionair) - Tinlicker Remix,7nMhRQY2qk6TBfhb64UopK,0.588,0.975,1,-6.131,0,0.0446,0.00919,0.893,0.0905,0.025,123.99
14,nCTRL,5XfojfN07IcOskzRjQgCrT,0.753,0.635,7,-9.279,1,0.0596,0.00135,0.842,0.227,0.326,122.003
15,Silenced,2sUkEAXJBIvh9EvuuOOKuW,0.594,0.92,10,-6.399,0,0.0509,0.035,0.0358,0.22,0.0356,121.97
16,Monolith,5HUQByo24AQbWzEEWJeBiB,0.731,0.644,8,-11.248,0,0.0416,0.0267,0.824,0.0639,0.24,120.0
17,Need To Feel Loved - Cristoph Remix,6jJmzpQaOJmcay1UG4CYm0,0.716,0.636,3,-10.251,0,0.0507,0.000898,0.891,0.0978,0.0648,124.994
