setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Wheelie (feat. 21 Savage),2BxboWjnfktO1E9HGfPXq1,0.911,0.667,1,-6.606,1,0.277,0.0313,0.0,0.0854,0.78,147.976
2,LONDON (feat. J. Cole),5vhrsx08dHh2QcVh1Rsiwt,0.644,0.671,11,-5.156,0,0.315,0.0225,0.0,0.0855,0.563,132.001
3,Dancing Queen,65HXJWOYBX2pFpdtusWRiV,0.908,0.559,11,-6.329,1,0.333,0.00656,0.0,0.234,0.616,143.993
4,Blick Blick (with Nicki Minaj),7LczcBaamU9pTkV4Cl9NyX,0.916,0.824,8,-4.444,0,0.422,0.222,0.00108,0.0661,0.87,139.926
5,Eat It Up (feat. BIA),3nePMGxrBMKtffHpkKqSHA,0.874,0.404,1,-13.101,1,0.047,0.0513,2.28e-05,0.11,0.447,101.983
6,Plan B,2PljnVsnl2PRwCvfhbdQup,0.787,0.522,8,-5.872,1,0.463,0.0668,0.0,0.108,0.666,170.439
7,Pop Out,0ng1fmKrKCorqjmFtNneFm,0.934,0.718,10,-5.63,0,0.0898,0.00758,3.3e-06,0.103,0.615,137.995
8,BBB (Bad Bitch Behavior),0zKlED6S6ytAHPo9sIm1vX,0.848,0.495,4,-9.851,1,0.428,0.0449,0.0,0.15,0.612,160.174
9,Get Into It (Yuh),0W6I02J9xcqK8MtSeosEXb,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942
10,Big Energy (feat. DJ Khaled) - Remix,0EJ3Kofm9hYq3hL4VZ881G,0.87,0.775,11,-3.703,0,0.0865,0.0421,1.8e-06,0.14,0.792,106.001
11,Lower,4CQAcnsINylLDrhmB1HNJt,0.744,0.689,6,-6.199,0,0.26,0.0308,0.0,0.213,0.613,161.007
12,Sneaky Link Shemix,2tc16SiowJOcfHRHBwH9F1,0.798,0.599,5,-7.359,1,0.613,0.111,0.0,0.0658,0.386,77.04
13,Feelin’ Sexy,41sGvetgNrEbeknJVP8KbC,0.938,0.54,10,-7.128,0,0.186,0.0941,0.0,0.118,0.548,94.994
14,We Not Humping - Remix,4ue41gFbAjoU0P1EberJWm,0.971,0.851,11,-5.586,0,0.269,0.0344,0.0,0.092,0.81,120.008
15,Gas Station,2TgbS4ZzDWdhxga5HImDJ7,0.853,0.491,1,-9.019,0,0.08,0.177,5.48e-05,0.11,0.368,85.006
16,Treat Me,2ZCu2xskiEBCV3y0eu0zJG,0.708,0.793,7,-2.518,0,0.0417,0.0442,2.62e-06,0.0362,0.503,94.005
17,It's Givin,5h9dlUlCGZahkuaC3MShz3,0.865,0.614,8,-6.782,1,0.278,0.0259,0.0,0.434,0.642,160.032
18,Do We Have A Problem?,1PNs0uGru3TcrA94kpyGnc,0.842,0.505,1,-8.627,0,0.402,0.472,0.000322,0.117,0.538,119.993
19,The Best,4ZZqSUo5sAxJq9yxUkQY0o,0.938,0.317,1,-5.854,1,0.276,0.00951,4.91e-06,0.0805,0.473,135.931
20,Bussin,7lcI4X8RZxK4zIknJcwpBq,0.893,0.699,11,-8.059,1,0.0517,0.0576,3.02e-06,0.128,0.747,139.972
21,Toot It Up (with Flo Milli),3WKralGDklxTjxcMkGKx2g,0.847,0.584,0,-5.146,1,0.289,0.092,0.0,0.153,0.495,169.983
22,Hello (with Saucy Santana),2Ib5LOrfWLHrME2dYtMDxp,0.842,0.482,1,-4.96,1,0.408,0.354,0.0,0.0979,0.714,152.035
23,Sweetest Pie,7mFj0LlWtEJaEigguaWqYh,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977
24,Sl*t Him Out Again (feat. Kali),1ZaZ2oU9mJXsLcyJCB1APa,0.934,0.6,2,-5.77,1,0.161,0.152,0.0,0.101,0.409,95.027
25,Clap,504yGVmAMJVXpS3RGquwwA,0.847,0.629,1,-5.564,1,0.225,0.0189,0.0,0.0548,0.374,92.341
26,Gravity,59QZZyiKJmpEqrOJMDtejn,0.949,0.67,10,-8.869,0,0.0924,0.0423,0.000897,0.169,0.841,99.965
27,We Go Up (feat. Fivio Foreign),3zQ61IRdlSbEyYQlwQZZxS,0.707,0.909,2,-3.501,1,0.261,0.413,0.0,0.305,0.703,145.014
28,No Effort,6FDeouZz4liRfuXB7CjeEg,0.916,0.718,0,-5.99,1,0.154,0.035,2.23e-05,0.305,0.515,105.957
29,Black Wall Street,3yRQlIBpAYL0mYHQXMpviZ,0.904,0.785,2,-5.874,1,0.109,0.0178,0.00171,0.258,0.412,128.002
30,Can't Anymore,6zrZ7mVcznNd2Q6qB0iBrq,0.771,0.724,9,-5.372,0,0.0422,0.209,3.51e-06,0.281,0.77,102.991
31,Slim Waist,44jJCOAbyqF8msu7P79twG,0.954,0.698,6,-4.931,0,0.251,0.00551,0.0,0.0628,0.85,136.995
32,I Like,24zWMswwt6ZHKYX6jYZgeC,0.928,0.653,10,-6.976,0,0.164,0.00694,1.15e-06,0.297,0.332,99.986
33,Standards,54llkrIQrEyNyHx7PcrtSc,0.641,0.5,10,-10.844,0,0.14,0.108,0.000604,0.317,0.564,148.083
34,Fuck It Up,1i2FAGbibmxrdPudfPIXZS,0.761,0.246,0,-11.676,1,0.245,0.132,0.0,0.08,0.226,130.012
35,Top Notch (feat. Fivio Foreign),5pH8a5XwtyjHhGWXINFDgu,0.682,0.75,0,-3.72,1,0.201,0.268,0.0,0.47,0.277,70.916
36,LL Cool J,7MGPr84RIWHL9Zz9xLHe93,0.777,0.458,1,-7.466,1,0.472,0.164,2.18e-05,0.104,0.532,190.958
37,PBC,4DDiIZDlRldzWuCp47TIhU,0.881,0.728,1,-4.479,1,0.109,0.0491,0.0522,0.0743,0.505,139.994
38,Closer (feat. H.E.R.),1dKe9VEGUSNfzn5MDvm6SJ,0.833,0.691,6,-5.771,1,0.133,0.139,2.99e-05,0.131,0.866,110.985
39,Persuasive,5MA0iU2dyAFwWUzfyrk2di,0.822,0.627,7,-5.826,0,0.126,0.143,0.0,0.146,0.5,120.057
40,UonU (feat. Yung Bleu),3udY2LgfOU8GOWBnoYmFsP,0.66,0.445,4,-9.243,0,0.169,0.213,1.98e-06,0.204,0.227,159.945
41,PTPOM - Shemix,5q146DLWV5OJTK0Uch3p5C,0.818,0.573,1,-7.926,1,0.248,0.0369,0.0,0.36,0.636,83.056
42,Don't Like Me,15vBa8JFlc906oRT103Fdf,0.885,0.396,10,-13.078,0,0.165,0.0125,0.0,0.084,0.114,95.029
43,Overthinking (with H.E.R.),5IaKG7RVFKddipzaOeide9,0.804,0.432,7,-7.225,1,0.044,0.344,0.0,0.0861,0.57,120.969
44,Keep Going,5WFS94mQU8LHIlejXYpKP2,0.827,0.582,11,-6.727,1,0.38,0.0636,4.09e-05,0.11,0.682,176.05
45,Play Me,4GH6iowVcqBysygV2hbcH5,0.845,0.553,9,-6.291,1,0.157,0.322,0.0,0.0746,0.846,77.003
46,Cartier,002WDZVLY5EElAwSjXziVt,0.897,0.681,9,-3.809,1,0.154,0.0063,0.00079,0.127,0.139,149.008
47,Don't Talk,5G7xzrh4txnTgh7bRlf9M7,0.935,0.733,6,-11.354,0,0.128,0.00206,6.06e-06,0.0801,0.877,128.02
48,Aye Yai Yai (with Yung Bleu),2QODQZUTSvhdAdXvQO418e,0.828,0.574,7,-8.338,0,0.155,0.0697,0.00264,0.105,0.31,112.621
49,Crazy,2b1MCbfwRZ1teOX1vSm4Xt,0.841,0.879,1,-4.336,1,0.0743,0.0055,0.00211,0.101,0.458,128.966
50,Eat (feat. Z-Ro),5uKVpF7HT4VMTLCj6QmrBU,0.549,0.859,9,-5.177,0,0.338,0.0284,0.0,0.134,0.373,173.005
