setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,"LOCK IT UP (feat. Yeat, midwxst & Matt Ox)",3LkWdvgrJtFuM0ZoXKPlpH,0.741,0.787,1,-3.653,1,0.0373,0.0114,0.0,0.261,0.296,122.978
2,Everything!,31NiKq79oMhpyjc2R9Ggbg,0.629,0.59,0,-10.219,1,0.0928,0.00309,0.0,0.272,0.331,140.132
3,Phoenix,05oDQ0AKZbqbe9XDULlLvb,0.706,0.695,5,-7.927,0,0.142,0.0369,0.0,0.139,0.807,128.035
4,DIVE IN!,0oEAm7huOvXiq7mre8Nual,0.7,0.792,6,-5.28,1,0.0459,0.00128,7.64e-05,0.375,0.422,139.978
5,Late,2KfXUhCXsGW16I8OVgZFeJ,0.64,0.422,11,-10.438,1,0.405,0.0576,6.43e-05,0.0697,0.599,145.109
6,Gas Station,2TgbS4ZzDWdhxga5HImDJ7,0.853,0.491,1,-9.019,0,0.08,0.177,5.48e-05,0.11,0.368,85.006
7,trademark usa,6G9aDedv5hYaTgNYDuduqk,0.613,0.6,10,-5.621,1,0.281,0.108,1.67e-06,0.274,0.067,130.732
8,X-Wing,41X9qar6SruZOPLIV7sgUw,0.787,0.675,2,-7.629,1,0.136,0.109,0.0,0.695,0.424,119.988
9,DO IT AGAIN,2fvAP52y708KxkAOnI5LYa,0.696,0.662,2,-5.647,1,0.138,0.143,0.0,0.125,0.216,146.034
10,Solutions,17LtbDMKmsO5zTOqVAM27x,0.814,0.581,5,-9.537,0,0.082,0.0124,1.67e-06,0.103,0.712,150.028
11,Vroom,5DDNgyfLS1MgkWq1vnhObp,0.644,0.768,11,-5.875,0,0.147,8.21e-05,0.0,0.626,0.403,142.994
12,AirplaneMode,5XKZua8kqgHwcxeKiMIjge,0.847,0.601,11,-6.311,0,0.103,0.163,0.787,0.11,0.548,139.996
13,agenda,3nDjCWmn3FHTI9q8y2twLS,0.547,0.453,3,-8.779,1,0.0358,0.189,0.0329,0.119,0.412,73.016
14,Wokeup,3jM9VzF2d1AMUyTD8sTmPu,0.713,0.259,10,-14.872,0,0.238,0.245,3.06e-06,0.101,0.467,139.987
15,middle,2F8YuzhSMZHq1rKv3VgnRb,0.61,0.796,5,-1.85,0,0.0503,0.154,0.0,0.154,0.576,81.236
