setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,The Last Goodbye (feat. Bettye LaVette),4XeIiGpUBshIfs9yrBDVZC,0.667,0.92,9,-2.71,1,0.0773,0.00752,0.00232,0.126,0.146,114.977
2,Escape (feat. Hayla),10oKSzRcwbZsog2uq2gb4b,0.66,0.799,9,-6.934,0,0.0719,0.179,0.000364,0.701,0.148,126.08
3,Rebirth,4Xz2mxHREzWiEr0AyCJuU6,0.541,0.911,8,-7.152,1,0.0556,0.0154,0.136,0.121,0.026,123.968
4,UUUU,46OIVHWlExMXlqYRCpkEYd,0.679,0.915,0,-10.554,1,0.0458,0.00992,0.795,0.0925,0.106,124.005
5,Salta,5L8R2cyft2HfQ1IlfVAbcz,0.653,0.604,7,-10.177,0,0.0327,0.0448,0.908,0.255,0.0768,119.98
6,I’ll Find My Way To You,2R2haDSmphwkn4kANdHU5P,0.795,0.474,6,-8.166,1,0.0642,0.0213,0.758,0.0967,0.477,120.017
7,Something About,5z3Qr6kEyJiZhB0WHJSmCQ,0.703,0.571,0,-8.119,0,0.05,0.067,0.214,0.123,0.735,124.039
8,Underwater,6qnULXVFGfFqPj0Hpj0tIG,0.672,0.679,2,-6.068,1,0.0294,0.00745,0.0811,0.0532,0.321,123.019
9,One Last Dance,1nV6VafLPuRSsXgbDY3i6L,0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993
10,Here,6HAVjFro6OKMcY2xHOP0l7,0.643,0.558,7,-9.681,1,0.0477,0.746,0.209,0.135,0.238,106.95
11,Breathing,1MvLmHeLkaNgUScgbUVnWJ,0.598,0.561,11,-11.421,0,0.0511,0.0229,0.557,0.109,0.0385,182.988
12,Survive,5QZdeEHEHy1Jphbral0nbv,0.362,0.534,1,-10.403,0,0.0498,0.435,0.93,0.0939,0.238,184.216
13,Another You,7xBtsvU7AWX4pYP02SXEtF,0.655,0.787,0,-7.466,1,0.0439,0.158,0.177,0.129,0.0394,122.044
14,Rolling Back,1WoBED8U50OSvX8HpfQlsC,0.692,0.614,0,-12.747,0,0.0413,0.394,0.534,0.0818,0.0446,118.02
15,Demons - Massane Remix,5f4qquwjZzEXIdua2FId7b,0.66,0.497,2,-9.892,0,0.0327,0.487,0.0358,0.0884,0.131,121.959
16,Assassin,1xjvIE3l0BACb24sF2TpPH,0.637,0.687,11,-8.63,1,0.041,0.0587,0.704,0.0917,0.0878,119.995
17,Hold Tight (feat. Darla Jade),053bbGyTwKCwmSzE78G2Us,0.602,0.862,9,-7.527,0,0.0297,0.0107,0.00519,0.139,0.287,118.001
18,Virgo,4lgEtC1W3xZSRFoJuPLmkk,0.593,0.871,8,-8.068,1,0.0386,0.279,0.894,0.131,0.0719,121.994
