setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Wet Bravado,0ENdomkBjCzYQbHP0ITm6L,0.805,0.469,9,-13.783,0,0.0494,0.0134,0.874,0.181,0.351,118.006
2,Waves,6OzvLRbIvjLPJs5lN7MeaM,0.673,0.68,7,-11.444,1,0.0358,0.542,0.888,0.134,0.117,117.998
3,Fifth and Westerton,1z7c88CVgrgHeM5CLhyeo9,0.771,0.463,4,-15.396,1,0.105,0.541,0.905,0.106,0.359,160.058
4,Nanimoshinai,2Tn9t0J8lcoWoqFt3salVA,0.747,0.299,5,-17.921,1,0.0336,0.132,0.87,0.12,0.632,102.0
5,My Bedroom,2UvFmrlDfYJPKZkYPocJKq,0.802,0.295,1,-12.259,1,0.0498,0.419,0.915,0.103,0.443,85.011
6,Hanging Out,5sxk6ElBzgcFqneVR1Uug6,0.799,0.413,11,-11.093,0,0.0403,0.43,0.9,0.105,0.743,110.004
7,Beach Vacay,594cKAdPhzneZmpuOJRNQm,0.84,0.413,5,-13.185,0,0.0384,0.458,0.167,0.0991,0.0357,110.016
8,Steek,0tmfkSrjCbV7fOUPEDznhP,0.615,0.14,11,-14.1,0,0.249,0.548,0.931,0.089,0.251,84.834
9,Lacando,7FzrMqCONRlc3twQKA3ldI,0.661,0.458,9,-17.566,0,0.0427,0.288,0.937,0.105,0.116,117.995
10,foxy,5ulkTVmdOUNaymBoWKA9Ng,0.699,0.424,8,-11.133,1,0.109,0.826,0.931,0.16,0.46,82.998
11,Zenith,2Jdezp0U1YKmlBJK1IrYBm,0.63,0.13,2,-13.451,1,0.0423,0.893,0.917,0.107,0.308,77.026
12,Beau,56xQeo2Z64CwjDGLi4OGni,0.74,0.496,0,-14.808,1,0.0472,0.127,0.739,0.111,0.0505,115.019
13,French Pink,1hNVgS6zFUasAyXMQYnPoP,0.65,0.128,10,-14.287,1,0.039,0.926,0.912,0.112,0.119,83.991
14,Tombstone Diploma,5jL5LiIeD5eJ3kTvrx2D6K,0.819,0.435,2,-13.348,1,0.0397,0.474,0.892,0.13,0.403,104.993
15,Best of Luck,1qmbbOdAxdHuyxT3YU5jCh,0.691,0.468,8,-15.754,1,0.0894,0.339,0.925,0.0976,0.158,80.035
16,Rose,0bEixfuWUAwzt6Khi1ccgn,0.661,0.209,5,-19.632,0,0.0398,0.434,0.892,0.131,0.268,110.0
17,Bibaa,1Vh0lvwArznG7Y67uUFlBJ,0.688,0.231,0,-12.415,0,0.0668,0.919,0.945,0.106,0.21,179.948
18,u shine,3MzNoKBTU7YDse4ffTVDfd,0.662,0.277,7,-11.289,1,0.0352,0.952,0.915,0.103,0.0515,144.018
19,Below Surface,7tK5mSBltgvDJ6CBuaPvi1,0.782,0.551,6,-14.319,0,0.0631,0.699,0.895,0.0753,0.389,119.974
20,Wings,6LUMBf6Tkb4ZKIihUYzzax,0.605,0.327,11,-13.407,0,0.0326,0.725,0.914,0.138,0.141,106.054
21,Sepia Story,3EppUOHNVjSn5C1WF5QWby,0.623,0.663,11,-8.675,1,0.0352,0.237,0.85,0.106,0.581,99.988
22,holy cows,2nSpe6yeULSw6pu4DEJAN0,0.644,0.168,8,-20.865,1,0.046,0.681,0.879,0.152,0.168,83.003
23,Meadow Elves,2aBIhGvgolIDZX9MdRUOmX,0.557,0.381,5,-15.632,1,0.0299,0.858,0.904,0.107,0.175,79.978
24,Swirling,6rT6BWrpnlGhEFSKPLyyKZ,0.859,0.548,6,-7.849,0,0.0421,0.00468,0.912,0.0901,0.502,109.004
25,Concession,24ad6v49HSgza51bogmg98,0.831,0.572,9,-10.639,1,0.0719,0.016,0.684,0.584,0.375,115.028
26,Lumina Mov,6u1PJVc6R2HjO9VmArEqAC,0.412,0.118,11,-20.788,1,0.162,0.851,0.953,0.0904,0.088,85.84
27,Right Days,33LCCushOR1xZnjwlQqpqp,0.689,0.389,2,-21.265,1,0.0554,0.00408,0.905,0.111,0.148,110.008
28,Yama,5S94oJQP87jbUfsDZ2uj4h,0.651,0.179,1,-19.409,1,0.032,0.739,0.78,0.158,0.507,101.998
29,Kinkaku-ji,7lNECdcPTy9GLiEGyXIqfO,0.77,0.21,8,-19.321,0,0.0785,0.566,0.863,0.111,0.215,102.012
30,Mope Amok,0xHzmGyVRvzhFzD4Tofgm6,0.682,0.172,8,-19.682,1,0.0399,0.695,0.893,0.0818,0.239,99.992
31,Foundation,0n5EQPSY4Gm8ckMKuprHzy,0.752,0.71,7,-8.27,1,0.0389,0.316,0.828,0.0867,0.398,122.022
32,Still Need People,2uw0wMiRn72nMnHzTq4H5j,0.754,0.46,2,-9.894,1,0.0519,0.632,0.342,0.0882,0.419,108.006
33,Otra Vez,2o14tGWwxb5aM4V9hFSx9f,0.655,0.604,2,-7.044,1,0.0346,0.424,0.268,0.122,0.38,80.008
34,Peaches & Cream,2DLTtKF8Y5tvBuCj8eUzsk,0.706,0.471,11,-13.513,0,0.043,0.0151,0.798,0.0626,0.164,110.001
35,Vacay - Tropical Jazz Mix,1N4jRXLb40EAyJMzFQZzX2,0.674,0.599,11,-12.942,0,0.0474,0.0239,0.808,0.15,0.357,108.584
36,I'll See You Soon,5A9yKKiU0iQ3iCSpHRe5H7,0.797,0.407,1,-12.982,1,0.0727,0.536,0.87,0.104,0.306,116.993
37,Waves,1A2pH62d1USSUsxuoiRD8l,0.723,0.749,5,-8.045,0,0.0361,0.0693,0.761,0.378,0.59,112.995
38,Horizon,3Lawg0VthZy12cadJXYDeP,0.708,0.699,6,-8.22,1,0.0298,0.0684,0.815,0.101,0.517,114.972
39,Massachusetts,4aLKDpv19Y6eH21QZPmiUR,0.596,0.338,2,-14.442,1,0.0327,0.761,0.931,0.109,0.52,77.012
40,Cotton Candy Flavored,56dhAHUA4WaiRB7CEYOHMs,0.674,0.543,6,-8.021,1,0.0299,0.16,0.91,0.084,0.757,89.992
41,Escarpment,5CcHSH8zYIIeqCtLeQDt49,0.669,0.852,11,-7.692,0,0.0313,0.318,0.562,0.154,0.593,115.018
42,Cannonball,7f1ZpHuGeGQOzD5qumBg5F,0.79,0.548,3,-12.007,0,0.0437,0.0388,0.867,0.226,0.475,109.0
43,Upside,3xqjgRw2hmbNX3MlKiAmV0,0.729,0.371,8,-13.177,0,0.0461,0.497,0.896,0.0948,0.777,100.002
44,sunique,7a44ttV7Dp0nxJTXduqgSb,0.876,0.381,11,-14.357,0,0.0399,0.11,0.785,0.0884,0.629,117.006
45,Get in Line,4HSmG5J9Cbu1pEbSHCXWJI,0.807,0.324,8,-18.523,1,0.0498,0.101,0.823,0.118,0.223,115.0
46,Let It Out,0CzDdoY6f6j4m2ma0t1Y3r,0.757,0.537,2,-10.084,1,0.0552,0.015,0.808,0.085,0.237,109.994
47,Captive,4XvGvqSRNM6eemk17RdHuL,0.872,0.215,11,-14.376,1,0.12,0.112,0.884,0.111,0.428,101.954
48,Sommarvind,6ujiFW9V5Q3eRIhA8nYbqf,0.67,0.674,6,-9.352,0,0.0398,0.0515,0.797,0.154,0.0752,118.035
49,Dream Repeat,04evXU0FfGzNOQR8WLdhPw,0.739,0.563,7,-15.487,0,0.062,0.286,0.921,0.164,0.59,115.013
50,Oya,780oYps6HX9dd2Ri3owzs6,0.713,0.598,11,-10.722,1,0.256,0.447,0.909,0.0992,0.689,200.149
51,Abloom,21jdnxa5TffMhHItXZ0y0R,0.637,0.374,10,-18.07,1,0.037,0.272,0.889,0.111,0.27,110.013
52,One for Babushka,6YfQRaPuHSNcNSyMQ3DXno,0.753,0.255,5,-18.647,1,0.0444,0.755,0.854,0.178,0.414,99.999
53,I and Love,0GFBdfj09IKlRucWbvOITu,0.652,0.673,7,-11.726,0,0.0313,0.0237,0.902,0.388,0.334,99.986
54,Semiconcious,7DZcwJ8CKNIgpgPDnqmDox,0.66,0.29,0,-13.005,0,0.0524,0.327,0.911,0.101,0.086,87.022
55,Back to Java,15R2K4cl8kXVLcOmKW97ZZ,0.708,0.242,10,-17.784,0,0.0459,0.454,0.902,0.106,0.317,100.013
56,Keep Keepin On,3n7zfj79mavt7QnjuTw2QQ,0.799,0.608,3,-12.617,1,0.0433,0.0615,0.91,0.106,0.485,110.005
57,Forest Spirit,3Y0InfIgRhpHbxFiAmPtkm,0.833,0.624,11,-11.518,0,0.0631,0.206,0.855,0.0716,0.488,115.982
58,The Propeller - Chill out Mix,10ydbGi9AazOlYGrr1MgHU,0.71,0.402,8,-8.656,0,0.0363,0.0405,0.882,0.0976,0.8,103.872
59,Ebullience,5F9JKU4bZwtsWRs3R3kk1A,0.575,0.798,10,-10.136,1,0.0329,0.00353,0.83,0.0779,0.0381,120.079
60,Piano Park,7MYP5ACQrR73wJ4CQkzhaZ,0.968,0.192,10,-17.163,0,0.438,0.732,0.897,0.109,0.398,119.968
61,Barracudas,64x1uZe5weXDU9S8dwyWYk,0.768,0.574,5,-9.044,0,0.0423,0.223,0.86,0.118,0.334,106.995
