setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Cigarettes,1CfuBY3BDdKpooQ9L5zgUc,0.587,0.614,2,-6.344,1,0.0435,0.0306,0.0,0.399,0.451,160.075
2,thought it was,3x1h0lsx1i2v9cUWnZssBa,0.691,0.505,4,-6.09,0,0.0308,0.147,0.0,0.11,0.192,89.985
3,Today and Tomorrow,6c6oaA97dJ42R3nz0ENUii,0.351,0.522,10,-5.882,1,0.0359,0.207,0.0,0.199,0.5,149.032
4,All Time Low,7f6DB3KvWZfEcm00Sefn8t,0.744,0.555,5,-7.92,0,0.11,0.226,0.0,0.262,0.853,149.909
5,Hiding in the Dark,1eau7EVXGFffQAGYFxIx6w,0.621,0.601,0,-7.601,1,0.124,0.154,0.0,0.0775,0.418,174.069
6,weekends,6rCgN00t4al5TAqo4pNGOk,0.616,0.697,4,-5.4,0,0.0693,0.316,0.0,0.142,0.308,146.639
7,F*ck Love,2kHrlDvECzPyjcbmSQNusl,0.639,0.446,6,-10.489,1,0.0378,0.295,0.0,0.181,0.363,76.004
8,Without U,1K0JxC7PFuCPz65jxWrhK3,0.656,0.458,9,-12.56,1,0.183,0.509,0.228,0.11,0.222,100.97
9,Moyasu,2VZATt3KdasXDFBOaBem03,0.606,0.314,7,-10.418,1,0.0703,0.566,2.62e-06,0.121,0.182,75.841
10,After Dark,2LKOHdMsL0K9KwcPRlJK2v,0.585,0.595,8,-10.444,1,0.0328,0.0696,0.266,0.0837,0.039,140.037
11,Sledgehammer,5MIhfLpd1fVmIUrTHNSP4E,0.693,0.442,7,-13.627,0,0.129,0.396,0.0,0.139,0.377,162.033
12,NUMB,1BPBwKueIEMnUcbbs2te7B,0.682,0.598,8,-5.694,1,0.264,0.0575,0.0,0.299,0.823,103.791
13,Killing Me,15DycEpsl9iV3Cmpjyheua,0.524,0.581,6,-6.248,1,0.0378,0.0739,1.2e-06,0.124,0.163,144.844
14,snowflake (feat. Jaden & Sarcastic Sounds),7KW1AtQKFToSoF1kmyk2wE,0.419,0.408,9,-10.899,0,0.25,0.95,0.0,0.35,0.502,62.829
15,ay! (feat. Lil Wayne),1T4tQ4SSagbhAKpvcWg035,0.742,0.617,2,-6.689,1,0.0345,0.05,5.92e-05,0.0711,0.491,147.002
16,KILL CUPID,5p29DSBwxS4hStGKr7NCCO,0.77,0.58,4,-6.371,1,0.0461,0.0136,0.0,0.111,0.202,115.98
17,Already Dead,1hB3M3POeKMLxcEFEvPeqU,0.744,0.495,1,-6.311,1,0.0634,0.0216,0.0,0.111,0.128,83.51
18,fast life,1Nvwf85oHWAtYztjqy573y,0.727,0.471,4,-8.829,0,0.124,0.356,0.0,0.183,0.232,135.076
19,Strawberry Huracan,0m3DrWZvSJBKBdcJsTmjfy,0.62,0.709,2,-5.081,1,0.0384,0.295,0.0,0.22,0.566,138.98
20,Sometimes,3i6sCTU7ENlnHpHvrHUitW,0.674,0.58,8,-4.866,1,0.0311,0.0609,0.0,0.159,0.0759,121.987
21,Speed Limit,5H9eBKo5OzRd5ZM2gUZi7G,0.818,0.552,9,-6.888,1,0.0426,0.0989,0.0,0.0992,0.166,139.992
22,IDGAF (with blackbear),6Jrdb6CFOJEGaHjaa6c4WR,0.783,0.75,5,-5.762,1,0.078,0.426,0.0,0.241,0.88,97.953
23,lately,5SKILKDVLHR7bFHTrmWPYD,0.695,0.465,1,-8.329,1,0.0483,0.241,7.04e-05,0.114,0.203,170.052
24,ALWAYS DO,3QCU8BT0zDS9LPVfEhRFEE,0.762,0.426,8,-6.865,1,0.113,0.0442,0.0,0.0858,0.582,167.827
25,VANISH,5rmHtbUCbjFqmeoOuP9b7B,0.748,0.662,4,-6.816,0,0.0306,0.155,3.8e-05,0.116,0.487,146.981
26,Sitting In Fire,6oXgRfFIvzWe83K5la8oI9,0.558,0.625,7,-5.253,1,0.0359,0.0146,2.87e-05,0.328,0.293,171.934
27,right here,5OFf5pzpIcdstWwAhv5YXE,0.605,0.72,8,-7.116,0,0.0312,0.00043,6.71e-06,0.116,0.213,110.034
28,Leaving (feat. the bootleg boy & Heroe),21txIUpB3w1dBeixm5X4DL,0.758,0.545,0,-7.855,1,0.135,0.732,0.0,0.122,0.271,119.935
29,Life's A Mess II (with Clever & Post Malone),4O3RwH1TFG1EjPezLIYehI,0.53,0.37,6,-9.989,1,0.0279,0.806,0.0,0.112,0.701,140.061
30,Reckless,1CIxzzS0nVJNfk5wuN2MjM,0.461,0.467,0,-7.628,1,0.0586,0.00766,0.0,0.11,0.167,74.686
31,Without You,2iWDeE7fZyCsxAbqaiNCnM,0.891,0.434,3,-11.964,0,0.131,0.459,2.21e-06,0.0857,0.543,115.014
32,3NIGHTS (feat. guardin) [Remix],3CbuiJ89E4gazRhtybqxOw,0.338,0.598,5,-6.341,1,0.106,0.112,0.0,0.135,0.484,80.759
33,fuckboy,7cELheBXF3jIShGuewCy44,0.73,0.61,8,-7.784,0,0.238,0.373,0.0,0.144,0.8,146.572
34,Demons,1FonRAk9xtzJZbGCslpaZ9,0.544,0.55,4,-10.654,1,0.0592,0.0183,0.0,0.193,0.134,149.872
