setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,I'll Know,7qLzoarYodaUHezJvndAdK,0.32,0.11,4,-21.339,1,0.047,0.926,0.817,0.0995,0.169,61.852
2,Hopeful Morning,2PwVmRP7Hq2ZYjbaJugFWD,0.476,0.297,2,-14.472,1,0.0328,0.652,0.9,0.088,0.387,102.525
3,End Of Summer,5Awwc8XXZPub32TbLWyOPp,0.669,0.183,0,-21.825,0,0.0433,0.901,0.895,0.126,0.428,85.991
4,Quiet Sense (feat. Paolo Fresu),56OCZENfcrmeCpufvWZd0P,0.493,0.347,1,-15.713,1,0.0363,0.906,0.941,0.144,0.284,112.818
5,Alfie,1HaqueKZTTNz41osWY2Cey,0.503,0.106,10,-16.754,1,0.0386,0.8,0.0649,0.0758,0.188,108.175
6,Bluesen,4q4emoW3IX2eHhY3sVkudj,0.748,0.143,0,-16.502,1,0.046,0.979,0.879,0.113,0.428,126.439
7,Throng,2Qd5FZiEDmePPjnLhJtle2,0.5,0.63,9,-11.878,0,0.0327,0.343,0.000815,0.3,0.499,120.216
8,Peaceful Paranoia,1P9zMTrGMBPTDr0A4MU7cd,0.547,0.225,2,-15.708,1,0.0343,0.911,0.677,0.111,0.548,91.033
9,Velvet Gloves & Spit,5AbvIJTlfp52S6b9WipNBC,0.415,0.0428,9,-22.887,1,0.0491,0.99,0.887,0.0882,0.0777,73.117
10,When I Fell for You,5o7zflAK8LxDYuqpSDmwhM,0.471,0.283,1,-15.997,1,0.0308,0.927,0.671,0.13,0.23,130.373
11,Pure Imagination,1EcSvZ9Kq0EAohVfPcHToh,0.518,0.284,5,-16.705,0,0.0337,0.733,0.927,0.101,0.375,125.736
12,Spring of Life,1jfeTu7iQd0vhGSXJ1FEjw,0.584,0.258,1,-19.375,1,0.0403,0.806,0.88,0.126,0.284,100.056
13,Night Creatures,06wDTcGK2FxVvH45bak69Z,0.592,0.426,10,-8.389,0,0.0419,0.846,0.735,0.051,0.536,115.046
14,Going Up,6bDFg4xR80Z2WfBZ69hYYP,0.613,0.204,6,-14.291,1,0.0602,0.815,0.00157,0.128,0.334,111.83
15,The Dreamer,2UqYwWfjMDyCRnJc1Eebnn,0.432,0.137,3,-18.125,1,0.0311,0.956,0.168,0.0873,0.271,94.819
