setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Goosebumps - Remix,5uEYRdEIh9Bo4fpjDd4Na9,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917
2,The Motto,18asYwWugKjjsihZ0YvRxO,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953
3,High,3t4KHjd8uQpJJ2fa0fRIpR,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981
4,Motley Crew,40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
5,My Heart Goes (La Di Da) (feat. Topic),4xMbBESczlHPUO8QeYi56p,0.695,0.781,7,-5.578,0,0.0452,0.0185,3.12e-05,0.295,0.456,124.04
6,Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977
7,OUT OUT (feat. Charli XCX & Saweetie),6Dy1jexKYriXAVG6evyUTJ,0.787,0.833,8,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,123.97
8,Tell It To My Heart,46nvQpUDsxpS08UTFOeKTA,0.539,0.715,11,-6.639,0,0.0595,0.0265,0.0,0.609,0.489,123.854
9,Going Dumb,7arsXR8AtExnOFN3v3HiJI,0.834,0.678,6,-6.242,0,0.0515,0.0546,0.263,0.103,0.551,121.995
10,Piece Of Me (with LOVA),5mlNLzIdl6Ae2a4YRphSI4,0.676,0.865,9,-2.899,1,0.0412,0.0347,0.000476,0.117,0.394,121.99
11,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995
12,Turning Me Up (Hadal Ahbek),4sofJiicQwKsRo3S1vpt39,0.744,0.816,11,-3.933,1,0.0372,0.144,8.51e-06,0.0902,0.748,120.062
13,Don't You Hold Me Down,0d1ujEcFwTqA4kWliTSJim,0.773,0.839,5,-4.046,1,0.0566,0.0276,0.00797,0.132,0.303,123.975
14,Off Of My Mind,1HHnQYqcnlnE9q7LGFFGFj,0.798,0.752,1,-5.947,1,0.227,0.128,0.0362,0.0795,0.565,125.996
15,1 Day 2 Nights,2LAtELE0xGyMKcvNlxiyF3,0.747,0.749,0,-6.337,1,0.0558,0.0798,1.79e-06,0.318,0.914,121.964
16,Nobody To Love (with Loren Gray),0SSIu4CcGITHdatDmjlA6H,0.734,0.823,9,-3.684,0,0.0853,0.0937,0.0,0.0853,0.409,122.143
17,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0.0689,0.0,0.209,0.435,124.114
18,MONTERO (Call Me By Your Name),1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781
19,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",20GrahbI4AzAOWxpYfDKkf,0.757,0.721,4,-2.906,0,0.0691,0.00196,0.0,0.647,0.364,124.036
20,Goodbye,4crczEC1PpoD8TsDsmoWNI,0.741,0.931,10,-3.447,0,0.0563,0.0225,0.000102,0.191,0.517,125.011
21,BED,0siYMEsGrzzzlWLXK5zJfS,0.671,0.782,6,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,123.989
22,Chain My Heart,67lbzVADsqJJ6tyVk0XCgn,0.663,0.849,11,-4.462,0,0.0334,0.0791,1.2e-06,0.192,0.722,123.992
23,When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0.028,0.0,0.481,0.615,125.034
24,Astronaut In The Ocean,3Ofmpyhv5UAQ70mENzB277,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996
25,Unbreakable (with Sam Gray),3scOuQ4mUADCoPv6q5JZP3,0.715,0.797,9,-5.477,0,0.0637,0.347,0.0,0.0756,0.354,123.994
26,We're Still Young,0ha2skoePlU0BDDySj8qf2,0.521,0.831,1,-3.184,0,0.0558,0.029,0.0,0.349,0.0868,127.962
27,Do It Anyway (with Icona Pop),4JlbNN3jRVy0agVxF2K5DA,0.631,0.926,6,-3.236,0,0.0647,0.00419,0.0,0.579,0.607,122.083
28,Moth To A Flame (with The Weeknd),0VO8gYVDSwM1Qdd2GsMoYK,0.553,0.659,8,-7.295,1,0.0391,0.0027,0.0,0.105,0.105,120.146
29,First Time,2eFjKl5cyPPYElDByCh6Tb,0.526,0.667,9,-5.451,1,0.0437,0.0505,0.0,0.321,0.43,155.085
30,Nobody,7GiozRoMk95aFl1WbrDdjX,0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016
31,Tears For Later,0qLCGr3tEqsvk5FfHU2XqV,0.633,0.866,1,-3.694,1,0.149,0.0246,0.001,0.0904,0.161,95.059
32,Run It (feat. Rick Ross & Rich Brian),5x4vgABKiGp4Vg7ZyFRxhn,0.688,0.725,2,-7.806,1,0.044,0.0195,7.63e-06,0.0726,0.225,104.006
33,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp,0.766,0.817,7,-4.253,1,0.035,0.0239,2.49e-06,0.159,0.43,125.033
34,Shockwave,3sOGVdj5VPY6C2XImtlzj7,0.577,0.875,9,-2.897,0,0.0681,0.0231,4.69e-06,0.111,0.411,164.009
35,My Universe - Galantis Remix,1DlczmjByrS4qxRVfGjpqN,0.596,0.915,4,-4.711,1,0.0682,0.0949,1.7e-06,0.12,0.629,120.024
36,Call Me (with R3HAB & Timmy Trumpet),1dt220OBbkTsYz1NLVKIaw,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581
37,Lifetime (with Ty Dolla $ign & 070 Shake),3QqHt507QJZCzluEYsnv4u,0.584,0.718,11,-7.824,0,0.126,0.0205,2.99e-06,0.906,0.155,99.841
38,Way Out (feat. Big Sean),6rLi6PyWXu1rPlShuIZpj6,0.945,0.582,11,-8.357,0,0.0719,0.114,0.0,0.103,0.907,108.025
39,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007
40,Somebody New,6lP1UrOucq5sIXl6scYAHS,0.766,0.814,8,-4.131,1,0.0325,0.0304,0.000139,0.0719,0.308,124.017
41,CTRL + ALT + DEL,7ElC7VjUNl3oJ20Q5OpEh9,0.779,0.763,5,-5.58,0,0.34,0.035,1.65e-06,0.112,0.869,119.94
42,Heartbreak Anthem (with David Guetta & Little Mix),5K6Ssv4Z3zRvxt0P6EKUAP,0.595,0.784,1,-4.878,1,0.102,0.216,0.0,0.0608,0.479,124.111
43,FEELING GUD,0suLmBuEbatdochI4tHduq,0.484,0.94,5,-3.682,0,0.257,0.0145,0.000323,0.266,0.334,173.741
44,Lemonade,02kDW379Yfd5PzW5A6vuGt,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04
45,I Won,1viUV5EGlKGCiSveBfFeQg,0.762,0.788,9,-4.087,0,0.174,0.272,0.0,0.114,0.672,140.993
46,I Wish (feat. Mabel),0YORgvqP1MotwCnDZzOwII,0.686,0.856,9,-2.717,0,0.0426,0.0896,0.0,0.0648,0.733,123.997
47,Impossible (feat. John Martin),7nvaEKdCDWbnQK7uJsCS5y,0.459,0.732,2,-5.493,0,0.0593,0.0316,1.07e-05,0.279,0.0609,127.938
48,Believe Me,44xO8889yUQHn70P73NILS,0.629,0.876,5,-5.572,0,0.0408,0.129,1.39e-06,0.29,0.645,124.999
49,What's Up,12yj178KaJo8PrddT0StaL,0.739,0.845,5,-5.93,0,0.0397,0.00155,0.0107,0.775,0.839,121.997
50,Oceans & Galaxies,5NQKpa6uCqZcaFkAbUK4XB,0.532,0.625,1,-7.472,0,0.0506,0.12,3.35e-05,0.103,0.297,145.857
51,Skydance,0c5nqQNIH07Lh16AOjqEPQ,0.377,0.895,8,-2.467,1,0.0476,0.000408,0.000647,0.607,0.449,75.108
52,Remember,4laAKIq9ZxBCwf99rauPYb,0.612,0.862,8,-2.903,1,0.037,0.041,0.0,0.0907,0.354,123.849
