setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Nail Tech,62Yo3FDddWY8ydu6PW2wyz,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.119,0.113,150.149
2,Knife Talk (with 21 Savage ft. Project Pat),2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,145.887
3,Motley Crew,40uMIn2zJLAQhNXghRjBed,0.797,0.631,3,-3.818,0,0.0786,0.0904,3.71e-06,0.0998,0.288,129.915
4,pushin P (feat. Young Thug),3XOalgusokruzA5ZBA2Qcb,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502
5,Hold That Heat (feat. Travis Scott),6OrTKLtcF7EBayOV2QqkSK,0.744,0.608,2,-6.386,1,0.0442,0.0295,0.0,0.397,0.0692,130.045
6,Super Gremlin,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993
7,Backseat,6PyDmJQd9gT9vBOc5aPAXw,0.865,0.582,1,-10.103,1,0.286,0.0298,0.579,0.117,0.286,140.038
8,Ambition For Cash,1tkipCYkIgti8f1tqjfcWe,0.841,0.732,7,-5.186,0,0.19,0.0115,2.18e-05,0.136,0.576,149.012
9,SUVs (Black on Black),1MIGkQxcdAt2lDx6ySpsc5,0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928
10,I'M ON ONE (feat. Drake),6wyhUr4Xw8z5uSy0AhoZfU,0.773,0.707,11,-5.71,1,0.0568,0.0103,1.04e-05,0.296,0.113,76.977
11,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937
12,Lonely (with Lil Wayne),6pmNoWKk0r6zfIjWneJRxR,0.718,0.628,0,-5.334,1,0.373,0.0884,0.0,0.186,0.771,139.769
13,Sharing Locations (feat. Lil Baby & Lil Durk),3J4VKkUpLvomXJbn9ZAypO,0.681,0.63,1,-5.585,1,0.0385,0.00383,0.0,0.139,0.183,151.951
14,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1,-5.453,1,0.329,0.00575,0.0,0.231,0.144,134.14
15,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),1EJIcDYXwSqipW5dFe4uJz,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062
16,REPEAT IT (with Gunna),21AJQhGZpujjZQXByZAXpr,0.681,0.687,9,-7.612,1,0.332,0.0555,0.0,0.062,0.588,108.641
17,HOME,2WnPietHTd9hrIPbZnpoHL,0.895,0.468,0,-5.777,0,0.378,0.342,0.0,0.213,0.428,118.019
18,Way 2 Sexy (with Future & Young Thug),0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008
19,Tyler Herro,4DuUwzP4ALMqpquHU0ltAB,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066
20,Let The Smokers Shine The Coupes,3XyNi4ARXWBgzeDFKoJPqy,0.687,0.886,1,-4.165,1,0.0724,0.00542,0.774,0.355,0.189,98.918
21,Ball If I Want To,0cu0rhnlCnJ7JIeHRiLpj3,0.902,0.669,1,-5.049,1,0.457,0.161,0.0,0.0728,0.628,139.949
22,Ramen & OJ,4TIqzdAssasqx3DAe6cG9J,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196
23,25 million,2lUDBd7JrgAMltcp6dcd7D,0.793,0.481,9,-9.258,1,0.124,0.019,1.09e-06,0.139,0.395,132.202
24,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013
25,KEEP IT BURNIN (feat. Kanye West),7rWCWzPRftzZTZtIyQtaDU,0.652,0.578,0,-6.187,1,0.161,0.00861,0.0,0.285,0.195,87.395
26,m y . l i f e (with 21 Savage & Morray),1D3z6HTiQsNmZxjl7F7eoG,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021
27,No Friends In The Industry,2tUL6dZf1mywCj5WvCPZw6,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737
28,Over The Top (feat. Drake),3yaYgjEFkRw3PVjW9mV1TO,0.833,0.498,10,-5.196,0,0.117,0.0493,0.0,0.119,0.259,139.928
29,Killer (feat. Jack Harlow & Cordae) - Remix,7zl7kehxesNEo2pYkKXTSe,0.924,0.73,11,-6.125,0,0.274,0.0525,0.0,0.113,0.848,99.01
30,Main Road,3167uNHlYILMowcArVoLZ3,0.871,0.639,7,-7.821,1,0.349,0.121,0.0,0.193,0.764,141.06
31,Praise God,0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029
32,Rich Rich,4edV6rg1hj1SsTIrcEMPvi,0.754,0.708,0,-5.914,1,0.0329,0.000229,0.00407,0.0564,0.694,146.949
33,ROOF,1zwvbkUqTozLnmIECvBfgs,0.892,0.577,2,-4.299,1,0.341,0.0121,0.0,0.243,0.64,145.935
