setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,No Promises (feat. Demi Lovato) - Ashworth Remix,6TmtxRY1tGhH6rY8HVvHG7,0.673,0.646,10,-7.101,1,0.0552,0.434,0.0,0.187,0.521,121.119
2,Only Want You - Sam Feldt Remix,2wOVXsIRIoniqipE9I5ZVx,0.578,0.786,9,-4.665,1,0.13,0.232,0.000106,0.122,0.347,105.945
3,Love Myself - KREAM Remix,0Qydhjycb5IFm02W6zJ2Tn,0.775,0.772,7,-4.79,0,0.0962,0.00764,1.26e-05,0.0515,0.274,124.947
4,My Head & My Heart - Jonas Blue Remix,7x74XLYJqptDCmY4y3FaVh,0.675,0.899,9,-4.787,0,0.0391,0.0025,8.33e-05,0.298,0.344,123.034
5,I Know You (feat. Bastille) - Vigiland Remix,1byydVLDAt7An5Pk3SuL5j,0.674,0.471,9,-8.199,1,0.0719,0.0946,0.0,0.22,0.219,127.963
6,South of the Border (feat. Camila Cabello & Cardi B) - Cheat Codes Remix,19TOAlTFq0NDHvUPQR0tkr,0.845,0.766,2,-5.727,0,0.0658,0.212,0.0,0.111,0.782,114.054
7,Into You - 3LAU Remix,1cfVkL84XmRON3Gl9jDXKI,0.615,0.781,6,-5.597,0,0.109,0.0171,0.0017,0.178,0.268,126.254
8,Levitating (feat. DaBaby) - Don Diablo Remix,0QGl113Wm50br1F5V6kIt2,0.686,0.917,11,-3.06,0,0.151,0.104,1.44e-06,0.444,0.387,119.979
9,Ruin My Life - Steve James Remix,0Fc9QSMX6fgEBgDjUax7t7,0.723,0.837,11,-6.487,1,0.0389,0.0103,0.000477,0.0834,0.643,123.952
10,Takeaway (feat. Lennon Stella) - Andrew Rayel Remix,16QhpULFOW9fE2yvXsJV6A,0.468,0.83,8,-3.301,1,0.0727,0.000187,0.0,0.0875,0.162,126.835
11,Chasing Highs - Felix Cartal Remix,6CSr11bPiFYJUzYo7vWiIw,0.67,0.774,2,-3.068,0,0.0404,0.0399,0.00556,0.126,0.25,121.086
12,Mad Love - Blinkie Remix,5qiQbOa6AFEO3P111y9Jry,0.706,0.931,0,-3.053,0,0.0456,0.354,3.72e-06,0.146,0.465,123.012
13,Prisoner (feat. Dua Lipa) - Jax Jones Remix,6B7jm2IJsh3DYXO7RgwVnx,0.844,0.619,6,-7.555,1,0.046,0.174,1.05e-06,0.0831,0.386,128.008
14,Beautiful People (feat. Khalid) - NOTD Remix,6J7WMB5GII6pEOzy687jhO,0.702,0.794,3,-5.913,1,0.0562,0.00715,4.56e-05,0.11,0.37,103.972
15,I'll Be There - Cahill Remix,7gEbuXht8gYcA5OdN9zUpy,0.595,0.887,7,-3.607,1,0.0387,0.00198,3.91e-05,0.0518,0.571,124.073
16,Castles - Sam Feldt Remix,0AZJDOGsRHnR9GEMWqzOiP,0.63,0.901,4,-3.806,1,0.0476,0.0422,0.000615,0.35,0.587,120.022
17,Sweet but Psycho - Morgan Page Dance Remix,1gwwks3lIsvJq5pDJ82fKK,0.645,0.795,1,-5.439,1,0.0343,0.0334,1.05e-05,0.089,0.424,127.959
18,Don't Call Me Up - R3HAB Remix,0goj2jVaUvxQP2zsyt7Xol,0.752,0.812,6,-4.41,0,0.183,0.287,2.45e-05,0.0897,0.58,108.05
19,Insomnia - King Topher Remix,52Y5nYBQgqawttJxxtUv1e,0.733,0.718,4,-7.149,0,0.0376,0.0107,0.0102,0.33,0.206,122.993
20,Black Magic - Cahill Remix,5MeTUONtAo08JqtGPljSxv,0.713,0.898,4,-4.931,1,0.0744,0.027,0.0,0.397,0.477,125.974
21,September Song - Indian Summer Mix,1d33rv3YwKEoc7rtTVWCqt,0.614,0.802,0,-3.872,0,0.0306,0.023,0.0,0.0589,0.666,96.026
22,Your Song - Cheat Codes Remix,6IUxxEeE9fGdZa5HYDFYLn,0.728,0.755,1,-4.359,1,0.0307,0.0288,0.0,0.295,0.424,118.003
23,I Wanna Know (feat. Bea Miller) - Syn Cole Remix,5qmklQfO5yyZ3Es4e0c0ax,0.71,0.764,6,-3.341,1,0.0436,0.117,0.0,0.0806,0.341,126.056
24,Titanium (feat. Sia) - David Guetta & MORTEN Future Rave Remix,5072hCBK3Z15qRnTEzd8fy,0.448,0.911,10,-7.121,1,0.0491,0.00107,0.555,0.37,0.0305,126.021
