setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Doritos & Fritos,2WzWwYoxWIqyjzIaazsqYV,0.645,0.979,4,-3.441,0,0.119,0.0206,1.27e-06,0.0789,0.919,171.9
2,purgatorio,6ABxR1EOa7PVb7mYPc5PID,0.652,0.586,1,-8.181,0,0.0352,0.264,0.0,0.191,0.41,143.229
3,ENGINE IN THE BACK,3d0N2sq1boRwjmdK1Pc1ma,0.59,0.806,4,-6.27,0,0.0347,0.000737,0.0296,0.114,0.298,95.024
4,COMPLICATED (feat. aldn & 8485),3dKd0adfI8l6tKfoLsuaJ1,0.563,0.8,5,-4.053,1,0.0565,0.0136,1.05e-06,0.175,0.211,124.171
5,Haunted,1toNKayLMeCcVlsLGXJl7n,0.51,0.817,9,-8.666,1,0.0373,0.000654,0.0344,0.146,0.547,169.481
6,MISA & LIGHT,3x7EyXuAXqSlvu8FH5rYyr,0.462,0.839,7,-6.153,1,0.0921,0.0141,0.0088,0.0541,0.424,168.544
7,R-110NLINE,6mxNifvOuccMQ7IsgpDYDX,0.284,0.798,0,-6.128,1,0.3,0.00907,0.000223,0.451,0.169,137.767
8,fuK u lol,7uSekeuXG3G2wH6D1q3ACK,0.722,0.968,9,-3.397,1,0.221,0.0231,1.93e-05,0.301,0.802,117.06
9,FOX BOP,4bDK6GxLWO8b6cBUsscXZp,0.526,0.736,7,-6.632,1,0.367,0.0127,0.0,0.344,0.944,125.501
10,Starlight,26MtZfJOjVrYXSazR5NPhi,0.652,0.891,11,-6.29,0,0.298,0.00756,1.24e-05,0.0327,0.797,142.974
11,beneath it all,3yVplaLT23pTMm9j8RpOIK,0.618,0.647,6,-9.422,0,0.0357,0.00145,0.00161,0.356,0.358,153.151
12,zombie (hyper),4YKfwSVcrK85r3TaUeUHGd,0.509,0.768,5,-4.755,1,0.0313,0.149,0.000631,0.107,0.54,160.082
13,SLIDE SLIDE SLIDE,7EhsP2yDjxskVJrEAUp4aY,0.563,0.893,3,-3.753,1,0.12,0.016,0.000348,0.185,0.546,177.823
14,be happy,2xFzmqWfWzxXu14T7HCXF4,0.496,0.901,9,-3.448,1,0.131,0.0322,0.00244,0.223,0.491,160.03
15,if u cant beat em join em,1F5p6Va3wnHHSdbqFjvVSr,0.393,0.899,6,-3.908,1,0.0565,0.000342,0.0,0.312,0.249,170.057
16,knowitall,07u33h8ZMJ8BtCcQNbSKzV,0.601,0.842,10,-5.016,0,0.0412,0.0873,0.0,0.131,0.632,91.519
17,lifeline,2wPQ6FDiPAhmhO92JPpxHd,0.602,0.874,1,-5.479,0,0.0663,0.0015,0.0,0.289,0.619,148.032
18,running on empty,22danF2WAbuG0dD0zHVcQA,0.443,0.475,10,-7.902,1,0.0336,0.175,0.0,0.151,0.66,93.496
19,stop it,2STFyPNS8Tdsckhpcfxtnl,0.633,0.795,4,-4.496,1,0.363,0.0819,0.000147,0.354,0.391,77.016
20,HYPERREAL,50GATIYGEwMVtSkc2UxVd3,0.742,0.489,1,-8.599,0,0.046,0.595,0.0409,0.0845,0.277,119.985
21,cabin fever,3c3oUMxOr2cVFBY6V3v08C,0.497,0.908,10,-6.467,1,0.208,6.99e-05,0.922,0.205,0.348,159.052
22,homeswitcher,0QVjM0jL1OwDxUw4KfATKy,0.546,0.966,2,1.836,1,0.378,0.0157,2.3e-06,0.397,0.316,149.949
23,stitches,2idsdeof2AgAHw0v85xCxT,0.742,0.588,9,-5.716,1,0.0708,0.0265,0.0294,0.0823,0.456,97.224
24,I'm the Worst!!,2vRrZ4GQXTUh9jiub3DjIo,0.467,0.741,1,-7.958,0,0.0741,0.0019,0.0058,0.123,0.142,95.022
25,bad 4 me,1xWgYu1fzEWa377Drhfc8X,0.548,0.953,8,-4.904,0,0.0541,0.0282,1.15e-06,0.0694,0.424,149.983
26,U Love It - Danny L Harle Remix,6hJ6h08aI2Ljmwj5p0utuG,0.498,0.659,9,-12.174,0,0.0439,0.0146,0.0605,0.416,0.155,175.982
27,WASTED,3fPnvjoIrcyW6CILe5yT9Z,0.558,0.965,0,-6.228,1,0.113,0.0733,0.0,0.549,0.818,86.988
28,Так холодно,54Y55Tb6x7aGiMEGR4Q39y,0.545,0.904,9,-1.841,0,0.0454,0.000377,6.86e-05,0.152,0.848,152.972
29,#IAmDelusional,1F9skTtRwFWQNyFk5kWTbn,0.492,0.754,2,-6.773,1,0.445,0.031,0.0,0.362,0.354,175.307
30,what's on your mind? (feat. funeral),0QEQlPt2mFmzV52PGB5ZLg,0.305,0.872,6,-5.717,0,0.0428,0.00207,0.0116,0.0848,0.208,160.017
31,Bozo bozo bozo - carolesdaughter Version,6XQavp1Qj1pFZkkHH079m1,0.672,0.459,1,-5.046,0,0.0806,0.523,0.0,0.184,0.552,72.987
32,The Flag is Raised,7mebNFbb0ehL1IX1DMktdC,0.612,0.639,8,-6.91,1,0.0294,0.158,0.0135,0.321,0.397,137.984
33,DAYZEE,5NdNCe6OCbK9N5QLxaxjg3,0.605,0.667,0,-5.928,1,0.0377,0.108,0.0,0.514,0.527,174.996
34,you will always be a part of me,2OaYDgtifL6fWVUu9xK6jF,0.43,0.725,0,-7.535,0,0.0732,0.264,0.00219,0.263,0.341,82.241
35,HYPER BLOOM,5GBZngZ1uZDtIOq6p0bOR1,0.604,0.946,11,-6.496,0,0.0895,0.00798,0.000794,0.418,0.62,143.997
36,stuck with you,6h3RiwExHhQG4Ief6Mti9F,0.48,0.759,4,-8.001,1,0.0877,0.019,0.0,0.108,0.585,160.005
37,SummerTime Blood,0NTxPkoyndrAN07DYS2ouO,0.708,0.466,8,-10.236,1,0.0441,0.115,0.000196,0.0517,0.73,150.081
38,unsaid,6t6Da9kPOakPjy0qekylcn,0.564,0.669,1,-5.183,1,0.0392,0.000887,0.000131,0.11,0.353,126.533
39,get to u,685i0Q50zyccJaxVM5Qu3Y,0.62,0.476,6,-8.589,1,0.039,0.282,0.0,0.136,0.113,91.463
40,xtc,73N29v5tx5HgLrTh3u2AX8,0.571,0.764,6,-7.412,1,0.0748,0.212,3.86e-06,0.247,0.877,146.907
41,party girl,3q42AfqZP6dvTQBmTZWg1G,0.757,0.754,4,-3.824,0,0.0729,0.051,2.13e-05,0.141,0.647,155.017
42,fuck this town,1kADZJDyRUbmlLxYiqi077,0.536,0.665,11,-6.328,0,0.0502,0.0037,0.0,0.18,0.409,160.059
43,Nowhere,4LLzmSCHHtwYtqCCKfMUSO,0.726,0.602,0,-8.872,1,0.0532,0.0902,7.15e-06,0.0726,0.867,74.961
44,Run MF,4upYjlsNwn8lEsp9cRvdKO,0.732,0.609,1,-4.986,1,0.215,0.026,0.000134,0.0752,0.845,180.135
45,IN THE WALLS,2THOkbfhTdXNwAwwQbs1Dt,0.405,0.933,1,-4.266,0,0.517,0.00432,0.0,0.299,0.273,164.148
46,HTHT,721rnPdxTKxvnDuVLXiyVQ,0.496,0.534,5,-6.514,0,0.0817,0.121,0.0,0.191,0.48,140.798
47,All New Edition,4fCYohh0NH3BxteuxID7cP,0.597,0.712,2,-6.804,1,0.0295,0.0144,0.000388,0.164,0.614,120.059
48,ache,2HkysUlkqHuFLpt71lECl4,0.352,0.632,1,-8.335,0,0.0572,0.127,0.0,0.0906,0.106,143.013
49,Trip,6sQ1IeoCqOF3RjpCitYDWq,0.531,0.906,1,-6.437,1,0.0376,0.000922,0.406,0.198,0.512,174.006
50,Fieldfare,0IeIqn4K9fAgmGG6WXg4mN,0.333,0.715,9,-6.183,1,0.152,0.296,0.0,0.0758,0.354,76.203
51,self-esteem,02wZeI0pdVXOv3ZeTJVFlB,0.559,0.729,8,-4.926,1,0.235,0.126,0.0,0.356,0.761,92.594
52,Win / Sin,4YqBlIXjBagYPPsYje7clN,0.838,0.683,10,-8.906,0,0.152,0.207,0.388,0.171,0.45,123.984
53,Bonnie & Clyde,6SJ6ILaHlY46nhHNigSCtP,0.625,0.957,4,-3.802,1,0.0873,0.127,0.0,0.558,0.882,154.981
54,LAKE OF LOVE,7MZRh424fSUsjmUYEebcvK,0.546,0.605,2,-7.597,1,0.0979,0.184,0.819,0.141,0.138,137.468
55,i cant control you,2jfDVlT0jmUYnuybMOPC84,0.79,0.873,4,-9.226,0,0.213,0.714,8.82e-05,0.102,0.819,78.007
56,poison,4E6RRv2D91G1P665WSBADB,0.503,0.766,0,-4.796,1,0.0639,0.284,0.0,0.11,0.81,179.956
57,sink,5smvhXxq6FpGKNJIqwOetD,0.631,0.861,0,-4.799,1,0.049,0.0191,0.587,0.309,0.59,99.961
58,la fleur,6pZaP9L3hJ04ZdIEEYMPj0,0.488,0.707,7,-5.732,1,0.128,0.228,0.0,0.169,0.367,173.808
59,Big Knife,63EYu4a6H2yxOiLMa6KarS,0.55,0.641,10,-7.637,1,0.13,0.105,9.04e-06,0.0866,0.532,80.475
60,brokeboy,5A2hkikTPwDiJECorH57vg,0.454,0.866,6,-6.588,0,0.0667,0.0043,0.0572,0.354,0.859,190.075
61,crush,6kLhilDX44nCibecCJldjP,0.447,0.375,4,-7.505,1,0.265,0.137,0.000104,0.0796,0.397,175.092
62,CUM,26Wi8P1wIM3JQFxRRErnvt,0.727,0.707,10,-8.001,0,0.121,0.0142,0.000321,0.229,0.666,136.046
63,it gets lonely,4iT0B51dMYRqbCLz6gFcxx,0.523,0.836,6,-2.175,0,0.0504,0.00273,0.807,0.295,0.257,163.562
64,i dont want that many friends in the first place,2ayE3eeIsWpmuSFdeyFlVe,0.609,0.8,1,-3.413,0,0.0364,0.000547,9.28e-05,0.388,0.367,158.674
65,My Last Ego Death,4L2eotzQjQwVPDlbzXjsVk,0.499,0.771,2,-3.026,1,0.139,0.149,0.0,0.156,0.474,152.078
66,Demonic - felicita + Tohji Remix,0VtPMp7loTn6Sq8f2H5x5k,0.722,0.669,1,-6.196,1,0.0603,0.00311,1.98e-06,0.344,0.433,140.04
67,Number 02,7vdP0BcWUqgfvegWW72xz1,0.457,0.799,9,-8.324,1,0.0638,0.103,0.00121,0.114,0.438,171.606
68,losin my mind,4I6p1e6U3tAPTDb7x12GYc,0.566,0.862,5,-3.432,0,0.0636,0.00646,0.00138,0.474,0.507,142.942
69,just a dream,1qSECIZ5eCQGcaLiUFIJar,0.637,0.492,9,-12.825,1,0.0466,0.202,0.00453,0.126,0.23,143.938
70,lazy,0qZBbT749egZDhvo7HsN87,0.514,0.679,7,-9.089,1,0.0424,0.00034,0.153,0.0894,0.232,74.979
71,Ladida,0RkJu38Kh5beBzrAVroDBb,0.536,0.824,10,-7.001,1,0.0347,0.0595,0.0149,0.375,0.919,164.895
72,wind,6blWfrsTThQHiiJBBblyJX,0.585,0.522,8,-6.916,1,0.0284,0.278,6e-05,0.123,0.19,77.99
73,DOZO,7nhyXNAngH1yIMIxps3CDM,0.745,0.717,7,-8.873,1,0.0677,0.292,0.00498,0.115,0.61,120.072
74,bad game,61WSJNQdNwXJmgAEABwUCy,0.385,0.817,8,-4.793,1,0.138,0.0173,0.0,0.0566,0.548,171.079
75,THINKIN BOUT U!,1yWVsXAKWrX4Vrmqo8nYtP,0.722,0.917,0,-3.115,1,0.0818,0.00339,0.0836,0.09,0.684,134.949
76,step back,6xFDa84aiINK5ZeCn16KAm,0.682,0.749,0,-4.652,1,0.0594,0.132,0.0,0.332,0.454,90.019
77,LUV You,4Nvwn3s2oErVEhShuSXf0a,0.566,0.943,2,-2.016,1,0.15,0.00387,0.00331,0.394,0.123,129.763
78,STATiC,3U53uPJESnIFnPpV9Po2Gr,0.375,0.856,6,-6.059,0,0.551,0.000611,0.0,0.355,0.527,89.319
79,Codependent,6XwlCj9JMf0JRXku4x9hxt,0.532,0.826,11,-1.37,1,0.0434,0.586,0.00457,0.143,0.614,162.955
80,clutch,2r30yCy0ybzQkbY2LsPCoO,0.605,0.488,0,-10.329,1,0.118,0.0248,1.69e-06,0.116,0.22,135.032
81,TWIN GODS,2biOwcl3f0Zobe1z5ol43Y,0.618,0.84,9,-3.987,1,0.0968,0.0109,0.311,0.0898,0.541,96.806
82,parasomnia (weakness II),00gitwiSw5K0NYXLOkFprS,0.449,0.412,7,-10.62,1,0.039,0.58,0.0,0.25,0.202,123.931
83,Heavenly,5LqhXiaz6Y1yfUM4IG0HnL,0.392,0.822,6,-5.731,1,0.0777,0.04,0.0,0.186,0.261,144.91
84,same town,79s2YK9V1mGJkSOxt4a94K,0.872,0.714,2,-3.92,1,0.127,0.212,0.0,0.362,0.657,102.014
85,it breaks my brain,0gu4fhgrZOQjXZoDWbz8Vb,0.685,0.441,3,-13.369,1,0.169,0.923,0.000985,0.308,0.787,119.985
86,MENTAL (feat. Slump6s & glaive),1aRwfcw6dJCFADHm4fqy4T,0.599,0.906,5,-2.361,1,0.158,0.105,0.0,0.409,0.607,145.081
87,gluttony,6OCFifBlii2D7QN2upt6mg,0.461,0.798,8,-6.373,1,0.0593,0.109,0.0,0.112,0.625,179.97
88,That's All Me,1Wy3gJSvQtZCYqxxp9wII7,0.788,0.72,4,-7.69,1,0.311,0.0431,0.00172,0.232,0.463,124.219
89,SUCKER,27UQoHpHJqrNygUJDY33st,0.637,0.729,4,-4.243,1,0.161,0.00998,0.0,0.222,0.893,147.988
90,i know you hate me,1dyGAvhMll39BwCGb6u9pP,0.524,0.579,5,-4.975,1,0.0946,0.523,0.0,0.172,0.788,93.807
91,lavender,1Idid9PZdEK2U3L37yoR4A,0.689,0.642,5,-2.54,1,0.0571,0.63,0.0,0.161,0.195,121.058
92,all i want,2Xs34YDFvztiJkmwqkYUdV,0.704,0.714,1,-6.949,1,0.358,0.241,2.06e-05,0.0742,0.499,91.82
