setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,0.729,0.844,5,-8.824,1,0.0344,0.149,2.87e-06,0.0604,0.777,131.459
2,(Your Love Keeps Lifting Me) Higher & Higher,4TBBPZks71c60whhq0PgdP,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574
3,"Signed, Sealed, Delivered (I'm Yours)",2eF8pWbiivYsYRpbntYsnc,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875
4,Build Me Up Buttercup - Mono,6sPOmDulFtLzfX25zICNrC,0.659,0.513,0,-7.186,1,0.0293,0.315,0.0,0.283,0.855,133.609
5,"December, 1963 (Oh What a Night!)",7ePFDzrnLt3Ynqgy2UFWri,0.727,0.588,1,-9.568,1,0.0253,0.058,5.46e-06,0.0414,0.964,104.413
6,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
7,"I Can't Help Myself (Sugar Pie, Honey Bunch)",3aSWQJcWnnqgwYbAgidvlV,0.686,0.714,0,-4.809,1,0.0287,0.204,0.0,0.0592,0.964,126.736
8,Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
9,Tiny Dancer,2TVxnKdb3tqe1nhQWwwZCO,0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075
10,Don't Stop - 2004 Remaster,4bEb3KE4mSKlTFjtWJQBqO,0.671,0.71,9,-7.724,1,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745
11,This Will Be (An Everlasting Love),0PDCewmZCp0P5s00bptcdd,0.685,0.623,8,-11.146,1,0.042,0.228,0.00234,0.0295,0.896,126.739
12,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902
13,Daydream Believer,7uEcCGtM1FBBGIhPozhJjv,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683
14,My Life,4ZoBC5MhSEzuknIgAkBaoT,0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097
15,Bright Side of the Road,4w4Shi3xjbZBDGuhLw5LsQ,0.536,0.737,0,-7.36,1,0.0504,0.293,0.000115,0.306,0.857,176.717
16,You Can't Hurry Love,1OppEieGNdItZbE14gLBEv,0.63,0.711,10,-9.34,1,0.0472,0.299,0.0,0.0813,0.659,96.912
17,Dancing in the Moonlight,3Fzlg5r1IjhLk2qRw667od,0.632,0.856,10,-3.463,1,0.0348,0.0624,0.0,0.347,0.867,119.397
18,Send Me on My Way,6hs3SDnbO3f6VQuPO4KBEb,0.5,0.681,0,-9.556,1,0.0672,0.114,4.01e-05,0.139,0.745,119.46
19,You Make My Dreams (Come True),7HX9f8AMBl0vQxAoAzLqhS,0.749,0.484,5,-9.944,1,0.0484,0.13,0.137,0.0486,0.939,167.084
20,Go Your Own Way - 2004 Remaster,4xh7W7tlNMIczFhupCPniY,0.586,0.941,5,-5.139,1,0.0375,0.0167,0.000776,0.068,0.831,135.448
