setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,SMiLE,5Pldw6q3Qa9tfWqXFWRSGY,0.787,0.52,10,-11.253,0,0.0464,0.743,0.936,0.105,0.676,96.022
2,Big Foot (feat. Joshua Redman),3X0HDn9m6yXzAyjV0VZugH,0.445,0.586,2,-10.163,0,0.0606,0.386,0.547,0.0731,0.598,145.392
3,Bajrangbali,1iDDTc4gBmnciyfcbauam7,0.734,0.559,9,-9.442,0,0.0309,0.238,0.907,0.123,0.807,131.964
4,Badeep,23UXVdEYm2vLx6Dz6EBOGP,0.258,0.632,8,-12.311,1,0.0334,0.5,0.795,0.11,0.351,170.877
5,The Avenues,2mevqeg0vErclKlD5oHQwb,0.388,0.794,5,-6.489,0,0.0321,0.0102,0.827,0.31,0.651,85.631
6,RIDE ON TIME,6chYTYr6KD553YV3enDhdU,0.578,0.596,9,-8.296,1,0.0335,0.535,0.506,0.35,0.644,134.605
7,Table Talk,6uOaF86KVwPuSGkklnYrko,0.559,0.532,0,-8.592,0,0.0507,0.837,0.826,0.111,0.315,80.136
8,The Window,2lJzX1Vn1bEuCRrNUotnup,0.48,0.446,5,-15.57,0,0.0334,0.579,0.808,0.0989,0.718,100.658
9,Falling,6reALukxIDs69vv9V6VCDp,0.564,0.331,4,-19.049,1,0.036,0.479,0.499,0.101,0.212,117.379
10,NEW JUICE,33w565e67DOq4RgLhpffXE,0.54,0.76,1,-7.866,1,0.0372,0.000258,0.775,0.0895,0.594,101.943
11,Hybrid Balance,44Kgum0iwsrPWfr2wWM6ts,0.504,0.306,10,-13.516,1,0.0415,0.931,0.93,0.0907,0.218,151.922
12,I Didn't Know,4yuBNN6yulaVLocDTHF6kq,0.556,0.322,0,-12.945,1,0.0376,0.705,0.588,0.0958,0.135,89.036
13,Joy Road,0Bh4RCRlTcWUDNCu3CPgW6,0.685,0.294,2,-15.494,0,0.0298,0.704,0.948,0.103,0.614,132.003
14,Walk Cycle,6zX73swV0JYKmOUSBpqLSt,0.525,0.61,5,-9.312,0,0.0441,0.224,0.901,0.102,0.538,85.028
15,Winter Blues,6mfwtqsfJHIMZl22Yf16Hq,0.505,0.42,6,-11.805,1,0.0386,0.653,0.319,0.127,0.392,122.141
16,Anthem,49GkEXzeU30nUaEussqtUi,0.636,0.221,10,-15.645,1,0.032,0.87,0.875,0.115,0.398,127.845
17,The Beginner,1O5sJ7ctXZcITshPTfwT5c,0.625,0.214,2,-12.077,0,0.0336,0.562,0.518,0.111,0.214,128.228
18,GUILT,2qteg5TQZlkMpNZ46DQ99w,0.265,0.194,9,-18.969,1,0.039,0.938,0.897,0.104,0.128,79.112
19,Beep Durple,0jpQ9EDSXQUiLyek5i6WYM,0.603,0.469,2,-10.352,0,0.0369,0.795,0.842,0.101,0.878,85.294
20,Noam,3HYHagZGinnjSfdDPOTgAg,0.293,0.194,10,-17.472,1,0.0369,0.953,0.792,0.11,0.267,120.685
21,Sadboys2020,520KaBSGkWfUkPTqN6MDTm,0.383,0.633,8,-8.207,0,0.0302,0.183,0.789,0.241,0.191,79.806
22,Amathongo,2jUqVDtYIJWd3baszNjZkF,0.506,0.502,7,-13.933,1,0.0376,0.832,0.826,0.0705,0.235,137.292
23,Sun of June,6ql8UeREHiP4vcTbbZXDyC,0.828,0.251,0,-16.778,1,0.0465,0.68,0.893,0.0944,0.79,99.981
24,Flume Ride Blues,6looAL2s44oXuobZrNEcom,0.612,0.308,6,-19.131,1,0.0614,0.138,0.795,0.121,0.546,143.919
25,Gift Of The Moon,0MYkZsnmqH7XLcJsaS6AEk,0.479,0.565,0,-11.798,0,0.0355,0.145,0.438,0.425,0.236,114.264
26,Chemical X,3nHQOFh1evDtoyrprDHLih,0.517,0.872,11,-7.199,0,0.0559,0.346,0.944,0.0883,0.289,75.347
27,Giorgio knows,4c5KThPFzOVrxQuRrLj79s,0.415,0.546,5,-10.853,0,0.092,0.0155,0.226,0.0887,0.0348,104.949
28,JAZZ IS DEAD (feat. Gary Bartz & Kassa Overall),2I1W4oyGhq8bIEkmVjD6UZ,0.504,0.883,10,-7.689,0,0.217,0.0699,0.876,0.143,0.701,185.823
29,Humoresque - Radio Edit,3PSK5LVKm2RPNqsA5Kzjnj,0.469,0.289,0,-10.315,1,0.0586,0.804,0.758,0.101,0.57,176.188
30,Lazy Song,510RuuRoJH0LrB3HiY6qpH,0.379,0.409,3,-13.191,0,0.0343,0.863,0.845,0.124,0.312,119.352
31,May The Funk Be With You,0nLPiYtwLN82ohURgzmY0j,0.781,0.483,7,-11.599,0,0.0629,0.0434,0.837,0.151,0.667,103.028
32,Sammy Jammy - Bunker Sesh,1HjVuVZSIG27OWanHGLUhj,0.718,0.645,7,-5.736,1,0.037,0.0731,0.818,0.0521,0.498,104.909
33,"For Fun, You Scroll",7zABidxslxZcJyOZF9pEuy,0.455,0.442,3,-9.5,1,0.0498,0.537,0.239,0.154,0.773,73.24
34,LDN,6kvg46WxVlk7ebhNEWlVuk,0.644,0.86,11,-7.671,0,0.045,0.00382,0.811,0.103,0.146,114.956
