setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Dancing in the Moonlight,0q21FNwES2bbtcduB6kjEU,0.657,0.435,10,-15.707,1,0.0552,0.739,0.0,0.167,0.771,135.975
2,Rich Girl,5E3P9e1hvjyIOlFyqNB5eD,0.598,0.643,5,-6.303,1,0.134,0.5,0.0,0.0435,0.823,167.971
3,Gypsy,19Ym5Sg0YyOCa6ao21bdoG,0.622,0.54,5,-13.99,1,0.0261,0.017,0.00771,0.265,0.847,130.879
4,Slow Burn,6ET9kf9riLETWs9lePUEAI,0.555,0.43,2,-9.105,1,0.0295,0.462,0.000191,0.0869,0.274,147.613
5,Lovely Day,0bRXwKfigvpKZUurwqAlEh,0.692,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.923
6,Coming Home,65GbQI9VDTs7vo6MJL2iJA,0.424,0.465,6,-6.595,1,0.0297,0.461,5.52e-05,0.154,0.462,112.418
7,Me and Julio Down by the Schoolyard,6vxHp3CDNo0afgKGp2yi1E,0.626,0.816,9,-10.593,1,0.131,0.237,1.8e-06,0.104,0.798,105.307
8,Golden Years - 2016 Remaster,4JRem7xHp2l0kmUvt9zCKu,0.68,0.701,6,-10.36,0,0.036,0.316,4.72e-06,0.111,0.933,108.287
9,Fire and Rain - 2019 Remaster,1oht5GevPN9t1T3kG1m1GO,0.597,0.271,5,-17.293,1,0.0394,0.766,0.0119,0.0933,0.338,76.271
10,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151
11,Texas Sun,24ntSW3QVJzR79lHAAOTaY,0.636,0.634,7,-10.01,1,0.0342,0.0364,0.147,0.0998,0.599,111.563
12,My Life,6Ep2XErOa5SCBGzARBpCr4,0.726,0.857,2,-6.107,1,0.0359,0.136,0.000252,0.0919,0.704,131.082
13,Cowboy Take Me Away,3rXCZRMiMZp0feGcYXpwYX,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418
14,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,0.634,0.677,2,-7.19,1,0.0448,0.318,0.0,0.0902,0.939,95.792
