setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Bones,0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
2,Loved You A Little (with Taking Back Sunday and Charlotte Sands),0IPKskRI33eRXjUhNUr9b5,0.484,0.828,11,-5.197,1,0.0543,0.0288,0.0,0.313,0.577,195.999
3,how could you do this to me feat. Kellin Quinn from Sleeping With Sirens,6jhBI8HZ1qxetz13hjL1PE,0.501,0.853,4,-6.677,0,0.113,0.0123,1.66e-05,0.411,0.27,96.025
4,The Funeral,1nU2ooQKyk4CsYJMBdIK4J,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538
5,Talk,1upVvXlWQUwAPuLN3oh8lk,0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39
6,"What, Me Worry?",0ePX6rVjeql7Bt1KurTbAG,0.722,0.889,3,-2.564,0,0.0416,0.0682,4.77e-06,0.124,0.743,139.965
7,Memory,21kvruyJddCLQguDk9oklX,0.624,0.718,1,-5.946,1,0.0312,0.0436,0.00311,0.119,0.663,153.915
8,2am,04no0XXxXd3F5uLZi3qDYK,0.698,0.794,0,-3.333,1,0.0483,0.000335,0.605,0.0622,0.861,135.981
9,My Love - Edit,0vQYe6g8bNbdUKnUnXdQQV,0.534,0.87,9,-4.428,0,0.075,0.00127,0.0,0.355,0.328,121.841
10,I Can't Help But Feel,40gooTta3y4FgzXaMOGDJL,0.722,0.706,1,-4.552,0,0.0314,0.328,0.0,0.108,0.715,114.983
11,Hayloft II,0kYMwaQWABTkFff8AZjmYI,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181
12,MYSTERY,5iXnD2VizcAbErpkcuNQ6I,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991
13,Wild Child,0dgAZ1j5irH1FlA5WrpHW4,0.68,0.639,5,-6.233,0,0.0278,0.017,5.09e-06,0.0398,0.957,106.991
14,Roman Holiday,4IqBIufFMOV1sSYhzIPDoj,0.491,0.672,0,-7.475,1,0.0329,0.000647,1.44e-05,0.0906,0.371,121.213
15,Love Brand New,1rJgKcK3ilp4xg7WxTs4RG,0.483,0.851,11,-3.674,0,0.0693,0.00632,0.000277,0.141,0.202,92.94
16,Synchronize,6Ql7rNuoP90aIdgwQkPYBP,0.728,0.82,11,-6.198,0,0.031,0.00898,0.000216,0.176,0.652,124.001
17,A Little Bit of Love,0eLXFaZoGjVbzNmMd4LpmA,0.586,0.83,2,-6.088,1,0.0265,0.0135,0.0,0.0993,0.337,92.328
18,F*****g Up What Matters,5Asn2tpsfEpP4h5iio8lL5,0.596,0.487,7,-8.879,1,0.143,0.0321,0.0,0.112,0.506,174.906
19,What's the Trick?,14FW5L81Px03LnnsXnB2LG,0.375,0.71,0,-8.665,1,0.267,0.000867,0.00628,0.104,0.559,97.335
20,Black Summer,3a94TbZOxhkI9xuNwYL53b,0.417,0.682,1,-5.071,1,0.0295,0.0267,0.000669,0.109,0.351,105.542
21,In The Mirror,11ytsbCqnMlj2bV0hVKp5P,0.527,0.93,1,-1.637,1,0.0491,0.00193,6.4e-05,0.338,0.9,155.042
22,maybe (feat. Bring Me The Horizon),25wdC7CJmCJPgnKw9rYquJ,0.601,0.92,5,-4.802,0,0.0505,0.000735,0.0,0.0998,0.537,88.014
23,Same Team,4bKKc5wpLsdCPVj1QVUICf,0.751,0.691,5,-4.855,0,0.0697,0.194,1.13e-06,0.132,0.511,124.971
24,Nobody But Me (feat. Cold War Kids),4DMDtsHojzFgAKbtFYKoJ9,0.639,0.925,0,-2.884,1,0.061,0.0266,0.000187,0.721,0.652,110.001
25,All Comes Crashing,1gKLWryPONC9dyrx5fX3Dr,0.7,0.686,7,-6.888,0,0.0343,0.00606,0.000345,0.447,0.302,111.021
26,The Lightning II,4hgobGfWedCMII3bdualzM,0.215,0.891,6,-6.169,0,0.0473,0.00303,0.00132,0.306,0.358,180.349
27,"f**k it, i'm the man",3Jq0vjC96tJlUVAdKfMajk,0.868,0.74,4,-4.181,1,0.0449,0.13,0.13,0.0951,0.979,112.022
28,That's Where I Am,4f1KkbXHnfIVZ9vmIExByJ,0.269,0.764,7,-3.735,1,0.0534,0.132,0.0,0.0723,0.15,181.299
29,I Love This Part,3Xrv4HJpBzGEumKNHrXxZI,0.53,0.804,11,-4.085,0,0.0359,0.0101,0.0,0.105,0.363,92.66
30,HTIS (feat. Luna Shadows & Carmen Vandenberg),3gbagPtR7WT8reMyyGXPl0,0.654,0.774,10,-5.898,0,0.0498,0.0237,9.91e-06,0.0884,0.748,107.974
31,Compliance,27hktiddJj63mK6gZAQp4q,0.642,0.791,2,-4.196,0,0.0855,0.145,0.0,0.374,0.56,110.037
32,Like A Drug,5VDiBRQ6k1RW7H6HGcyme8,0.58,0.841,5,-5.274,0,0.032,0.000318,0.0077,0.344,0.85,97.0
33,lily's backyard,65doEMocPQeWN2dhCcrec5,0.524,0.619,9,-5.648,1,0.0453,0.0131,0.000839,0.464,0.53,179.995
34,On My Knees,2ouFrmMwYik8nQX2n9SeZu,0.683,0.571,1,-7.721,1,0.0286,0.0335,0.0616,0.0957,0.29,120.044
35,T Love,1DMLc4avhS9tZZqI8VVtr5,0.67,0.735,8,-6.049,1,0.0353,0.012,0.000935,0.129,0.444,120.963
36,Shotgun,35PUhhwZL4HhmuqgOeFcfg,0.635,0.849,5,-5.33,1,0.0346,0.000821,0.618,0.193,0.708,119.994
37,Especially You,1prCMVGhgKF805LZJhFIHe,0.546,0.95,2,-3.386,1,0.133,0.0375,6.3e-05,0.0942,0.757,94.923
38,Brad Pitt,0ByROqFlBxTQeX4XlvE7Gk,0.781,0.726,8,-5.794,1,0.0526,0.0149,1.88e-05,0.205,0.605,100.043
39,Wake Me Up (When This Nightmare's Over),6tj1GKBc6xYLxD9OYbEHku,0.52,0.829,8,-3.166,1,0.0369,0.000326,2.3e-06,0.175,0.52,84.434
