setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Oblivion,3LGsgpx4TfxhXbr07OFKqs,0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974
2,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021
3,Don't Delete The Kisses,3K94Fd5ZQkPCW8wV6oyk22,0.604,0.789,5,-6.259,1,0.0273,0.0011,0.828,0.368,0.348,122.032
4,Masterpiece,62aOYUWnWQtWvWLAvvWBZi,0.419,0.705,4,-7.819,1,0.0288,0.0011,3.52e-05,0.161,0.4,72.042
5,Avant Gardener,3LueS3mbuB1yaJNN0Ale6U,0.443,0.737,0,-4.509,1,0.0293,0.00149,0.0032,0.121,0.746,115.277
6,Brazil,5ftdTvmQjjsL23t7jxADfI,0.689,0.617,4,-5.196,1,0.029,0.0918,2.08e-05,0.0816,0.682,121.062
7,Seasons (Waiting on You),522YBf6WqBwJVAe7oHLymu,0.498,0.721,10,-5.232,1,0.0282,0.136,0.699,0.0933,0.589,140.022
8,"Eat, Sleep, Wake (Nothing But You)",3nClCcBmn9NnrRQkQTkx1J,0.596,0.807,1,-7.893,0,0.028,0.000132,0.264,0.312,0.288,117.016
9,Positive Force,7hXB0jWBZ4QRRuA2KYQLAq,0.602,0.595,2,-10.784,1,0.0366,0.344,0.851,0.0611,0.457,94.996
10,Funeral Singers,5Y42u37PlyQXegnuI1Hpo1,0.803,0.431,8,-10.817,1,0.0335,0.691,0.000699,0.106,0.212,103.948
11,Valleys (My Love),7LYVDh003mW2jl5D1UBPhR,0.568,0.607,11,-7.174,1,0.0349,0.642,0.593,0.103,0.501,88.671
12,Victoria Falls,6SZgDG2pMgk1iZXYT1ZGPI,0.595,0.808,6,-5.049,1,0.0307,0.00174,0.00162,0.138,0.527,124.994
13,Inside Out,7qCZgvV98j6RjUULW1s1it,0.621,0.62,0,-4.721,1,0.0293,0.459,0.162,0.0771,0.515,176.016
14,oh baby,53PkA8aXiwH4ppa0V0iO7o,0.58,0.622,5,-12.005,1,0.0352,0.0192,0.653,0.648,0.781,169.442
15,Eventually,5M4yti0QxgqJieUYaEXcpw,0.424,0.615,9,-6.217,0,0.0325,0.0158,0.000389,0.0844,0.155,77.935
16,Chateau Lobby #4 (in C for Two Virgins),3wfF0Nw234zHY1vdIWIc2g,0.446,0.807,0,-5.222,1,0.041,0.215,0.0,0.226,0.8,188.094
17,Summer Girl - Bonus Track,5pSRBmJhkfZm1eilG3VW3L,0.514,0.545,1,-7.96,0,0.224,0.35,0.0149,0.162,0.611,100.027
18,Necessary Evil,4EZ2C0321dYtzKD0zEfsUy,0.828,0.724,9,-7.217,1,0.113,0.045,0.0606,0.132,0.695,96.2
