setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Chocolate Hills,1No3OKWvdgtctLvSKQcREg,0.661,0.281,3,-11.854,1,0.0671,0.572,0.00929,0.109,0.218,129.9
2,Charmed,6F5jUW0lOVlCSvhCH0yl3f,0.782,0.359,11,-9.088,1,0.0302,0.417,0.0237,0.203,0.793,98.996
3,My Mind Is a Maze,2P4qoMmSqElFcI7GYaPLwf,0.85,0.223,1,-11.46,1,0.0705,0.671,3.23e-05,0.0914,0.468,95.008
4,Love Proceeding,5F8XPD481L6K2s8h02Vxuo,0.318,0.569,8,-10.453,0,0.0355,0.077,0.926,0.0854,0.584,159.803
5,12:34 AM,16iNVfWKKZPDjctIcd0KMn,0.711,0.473,1,-11.971,1,0.116,0.656,0.0666,0.119,0.32,90.001
6,Løb Stop Stå,3wyLILirr6oFIFw1vYuktv,0.493,0.335,0,-13.986,1,0.218,0.866,0.00174,0.115,0.279,93.603
7,My Sunny Day - Kina Remix,17uhetjXsCctreur8sxfqo,0.587,0.342,10,-9.604,1,0.0477,0.638,7.84e-06,0.0983,0.345,89.836
8,Alphamale,4YjSFVKbjEXHEgFiE4aFP4,0.704,0.767,1,-9.528,0,0.0298,0.275,0.864,0.0957,0.513,105.004
9,rises the moon,51Grh1RyUDcMBbpuyUIUHI,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35
10,Dot,69p1aR2n7h7lOL0uPDwnHA,0.533,0.661,0,-6.584,1,0.0274,0.169,0.826,0.167,0.129,114.015
11,moonlight,2Qn6WHJrY5Im82Jux8FboH,0.735,0.501,11,-11.257,0,0.167,0.627,0.0013,0.104,0.551,92.031
12,Moonlight Shawty,7wkgkIBYBH3xV2ob9Zmh87,0.671,0.184,5,-15.541,1,0.123,0.835,0.0011,0.0794,0.128,106.04
13,Greener,4qu0lhULYMZgDcgVL00Jk0,0.599,0.511,11,-9.612,0,0.109,0.563,0.228,0.0728,0.548,165.843
14,you and the everything of everything,1Y8F8VNZ3Ij0MaD8PcpGpW,0.635,0.448,1,-9.106,1,0.0598,0.206,0.00259,0.103,0.239,148.024
15,I Can't Help,1sjXaEmqj5cRMns8rWYnKe,0.713,0.402,2,-8.273,1,0.0631,0.409,0.000673,0.11,0.312,81.975
16,2 Oceans,0goA2cYxU9k2XfQHzo6WcP,0.588,0.569,9,-7.721,1,0.0295,0.303,0.0342,0.101,0.209,101.988
17,Absence of You,5XgbACXBnPWEKSTOstpVLT,0.427,0.432,7,-9.743,1,0.0642,0.348,3.46e-05,0.104,0.17,71.209
