setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,LET’S DO IT AGAIN - Radio Edit,06eFWpksA3M9qg8GeOGGBX,0.66,0.837,2,-7.415,0,0.0294,0.242,0.876,0.0704,0.302,123.991
2,Happy Music,3rh495Z2rIRwD316blea4f,0.777,0.738,11,-5.861,0,0.0352,0.0411,0.37,0.0265,0.887,123.991
3,Nobody But Me (feat. Cold War Kids),4DMDtsHojzFgAKbtFYKoJ9,0.639,0.925,0,-2.884,1,0.061,0.0266,0.000187,0.721,0.652,110.001
4,Heavy,4aT6hzLA3YBKES4kGDD4uf,0.706,0.719,10,-8.656,0,0.0283,0.0066,0.014,0.19,0.542,115.998
5,Millennium,3G1nE9ZEv4eGEM48IAIv8u,0.687,0.691,2,-6.743,1,0.0378,0.325,0.000153,0.12,0.831,98.055
6,3AM,3TwAePhxn7pwkdHNwpWgvp,0.71,0.867,0,-5.489,1,0.0399,0.0514,0.0195,0.229,0.423,103.036
7,Naruda (Fall In Your Arms Again),2e7FLtv5JjOr1IN8yCTcZQ,0.676,0.33,9,-15.591,0,0.237,0.93,0.128,0.138,0.511,98.05
8,TEMPO,2IUFjc60BspwuMtmZaRSPW,0.58,0.706,2,-7.121,1,0.12,0.208,0.613,0.107,0.184,123.928
9,ESCAPE (feat. KUČKA),3zRdNrpHq89K6P28shuM0w,0.435,0.769,5,-3.615,0,0.0822,0.0774,0.0653,0.298,0.479,92.885
10,Walking On Water (feat. Totally Enormous Extinct Dinosaurs),2CAQr9uW764IVG1eIQyeSg,0.768,0.613,7,-7.098,0,0.133,0.399,0.524,0.196,0.218,124.956
11,Intimidated (feat. H.E.R.),0dFdGPVLs3k0z9ezYWZzUa,0.738,0.75,11,-3.654,0,0.219,0.0167,0.00976,0.174,0.342,112.009
12,"California, Pt. I",7jZdaKyarANolzHVosOglg,0.722,0.596,6,-11.639,0,0.0329,0.0799,0.393,0.496,0.647,117.98
13,Vocoder,4nT9x3zgwomLhyuc6ZXPeD,0.784,0.859,2,-8.534,1,0.0834,0.00139,0.795,0.0889,0.102,135.004
14,Strike,66mRLX5KLp69nz6oAcvTLQ,0.732,0.505,3,-9.415,0,0.0781,0.404,0.0153,0.0749,0.499,116.009
15,Love Letter (feat. The Knocks),26wuBc04catG1QQyYupr35,0.635,0.835,8,-2.876,1,0.0589,0.0948,0.0119,0.285,0.216,109.987
16,Vintage - Flight Facilities Remix,2VNR4FAD2u60AeJDXL8a9x,0.791,0.756,10,-5.2,0,0.0328,0.237,0.0237,0.095,0.927,117.988
17,Lullaby,1fTvkU6kdBi5PIvljWboKt,0.791,0.791,8,-3.639,1,0.0397,0.0245,3.72e-05,0.112,0.876,120.01
18,Starstruck - Vegyn Remix,1DuPTyxPS2oiZMgLAF11gj,0.664,0.503,11,-7.85,0,0.159,0.377,0.0,0.387,0.404,113.97
19,Ricercar,4rRULachZbPpeUrzS3d9Fg,0.556,0.715,6,-6.746,0,0.0263,0.00489,0.633,0.107,0.143,91.994
20,Straight Up Relaxin' (feat. Cosmo's Midnight),342xhiMfFuR0zXbG35VIjy,0.674,0.667,9,-7.212,1,0.3,0.0677,3.67e-06,0.125,0.715,110.004
21,Cameo,5FazJBNgurMEDrVaUqqliH,0.654,0.73,11,-7.339,0,0.0461,0.357,4.55e-06,0.369,0.793,101.996
22,Iron,2oVI4RJpbUIHU61q6Gf4pw,0.799,0.682,1,-9.758,1,0.0494,0.309,0.835,0.0887,0.432,116.496
23,Star City - Radio Edit,1DxjrGvRHPxmLF8TEmsqwt,0.499,0.62,8,-8.332,1,0.129,0.164,0.00213,0.105,0.131,120.945
24,OnlyL,01XAVHIdfq8SNtZDplT0ZD,0.645,0.883,4,-6.514,1,0.168,0.716,0.000259,0.106,0.109,133.92
25,Too Late (To Call),0M0hUyO8pVLCfm7O44fV6w,0.691,0.643,9,-6.415,0,0.028,0.273,0.000903,0.0923,0.71,129.964
26,Better Now (feat. MARO),1iSuktdIdWrdfq0slQ4auO,0.444,0.796,6,-5.826,0,0.111,0.326,2.08e-06,0.161,0.354,88.72
27,Young,70STqK5eCMIxVJ6zMFMGrZ,0.643,0.725,1,-6.508,0,0.175,0.0319,2.01e-06,0.101,0.585,118.109
28,where I become someone,0ksR5KPinz2gURmTsZpWwU,0.911,0.493,7,-12.346,0,0.0842,0.426,0.565,0.336,0.948,111.045
29,Escalator,0FpsrB0Kivu69LD8TaywhD,0.789,0.297,0,-8.399,1,0.0885,0.688,0.567,0.109,0.497,153.044
30,R U HIGH (feat. Mallrat),1nyyEarKbjbGm3iJqvZknV,0.739,0.628,8,-4.137,1,0.0703,0.0245,0.0,0.266,0.634,120.944
31,All Of The Time - DJ Streaks Remix,0ouFThIkQRyW52ELPVjtdQ,0.83,0.674,11,-7.886,0,0.0694,0.00199,0.9,0.122,0.748,123.992
32,Super Good Times,0evxHcyCVN4f88IDipmvge,0.845,0.518,6,-8.92,1,0.333,0.322,0.0637,0.101,0.23,115.057
33,MACHINE,0nGqpM1FC31Pnofc8K4b1h,0.554,0.721,9,-6.49,0,0.0404,0.0394,0.693,0.107,0.198,101.998
34,The Other Lover - Little Dragon Vocal Celebration Mix,45659OEpkUJgWppTLASMg4,0.715,0.539,0,-11.282,0,0.111,0.297,0.0292,0.0955,0.438,104.996
35,eee,0acffaX5iSeZRT6QsorKPA,0.68,0.832,1,-7.076,1,0.0301,0.0824,0.68,0.12,0.496,97.994
36,Losing Touch,2b5e6kL0n4jOGfwhRVITig,0.918,0.638,5,-6.796,0,0.135,0.0461,0.6,0.1,0.751,124.017
37,Suenos Bravos,0GvR5AtuXU05hbkRA5o4WT,0.764,0.654,2,-8.372,1,0.0385,0.205,0.386,0.148,0.579,120.036
