setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),1tkMs9wDPknQ3ZHcKDw1ES,0.693,0.549,1,-8.141,1,0.119,0.0109,0.0,0.0677,0.605,80.028
2,Best I Ever Had,3QLjDkgLh9AOEHlhQtDuhs,0.395,0.922,1,-2.176,1,0.375,0.19,0.0,0.134,0.558,162.361
3,Mrs. Officer,0EHR9OObFtjlhQB8wSt1m7,0.92,0.553,6,-5.068,1,0.191,0.236,0.0,0.0767,0.947,112.022
4,All Falls Down,5SkRLpaGtvYPhw02vZhQQ9,0.657,0.734,8,-4.832,0,0.484,0.149,0.0,0.139,0.434,91.03
5,Ride Wit Me,3Gf5nttwcX9aaSQXRWidEZ,0.85,0.7,7,-6.49,1,0.0478,0.0616,1.8e-06,0.244,0.722,101.875
6,You,5Y77SQxEr1eiofPeUTPHxM,0.412,0.876,5,-6.008,0,0.47,0.102,0.0,0.297,0.703,130.159
7,Freek-A-Leek,4MeDnO5yA2Zi6IMlVApRci,0.756,0.691,2,-3.718,1,0.178,0.0744,0.0,0.364,0.632,104.999
8,Run It! (feat. Juelz Santana),7xYnUQigPoIDAMPVK79NEq,0.846,0.482,1,-6.721,0,0.129,0.0246,0.0,0.393,0.212,100.969
9,Bartender (feat. Akon),1RGIjMFMgJxkZHMDXVYzOJ,0.832,0.391,8,-8.504,1,0.0628,0.0564,0.0,0.224,0.436,104.961
10,Fancy,3fpTMuD1u3gJlVI4FadVHs,0.53,0.884,0,-5.581,0,0.457,0.332,1.98e-06,0.355,0.28,87.194
11,Back That Azz Up,6o2g1BJvtYQssH84kBYs7y,0.874,0.714,7,-6.664,1,0.129,0.0155,0.0,0.0968,0.541,95.826
12,Shawty Is Da Shit,5RC9YDHON0nXKmcQrL6WV6,0.785,0.479,7,-4.956,0,0.044,0.083,0.0,0.0937,0.364,75.889
13,What's Your Fantasy (Featuring Shawna),4LwOrnuxJwR7C5Sw4liY4Z,0.915,0.79,6,-3.186,0,0.207,0.16,0.0,0.112,0.967,140.095
14,The Way You Move (feat. Sleepy Brown),5z7mYFfhw6N6f23VwrokJD,0.871,0.597,5,-4.932,0,0.0464,0.126,0.000113,0.0638,0.635,125.999
15,Country Grammar (Hot Shit),3wMUvT6eIw2L5cZFG1yH9j,0.865,0.664,2,-6.822,1,0.108,0.00689,0.0,0.142,0.565,162.831
16,"One, Two Step (feat. Missy Elliott)",7uKcScNXuO3MWw6LowBjW1,0.944,0.511,5,-10.96,0,0.161,0.042,0.00107,0.0379,0.842,113.046
17,Where the Party At (feat. Nelly),5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,5,-6.239,0,0.226,0.31,0.0,0.0847,0.86,129.491
18,Tipsy - Club Mix,0jSMveIWvnhDIvzqN74Uc7,0.925,0.744,0,-5.79,1,0.367,0.0644,0.0,0.0888,0.656,93.02
19,I'm N Luv (Wit a Stripper) (feat. Mike Jones),2QurCbkPO14pjrikPNja0h,0.739,0.368,8,-10.233,1,0.0845,0.00542,0.0,0.171,0.467,144.992
20,California Love - Original Version,3ia3dJETSOllPsv3LJkE35,0.763,0.85,7,-3.052,1,0.0417,0.0304,1.21e-06,0.371,0.761,91.519
21,Me & U,7k6IzwMGpxnRghE7YosnXT,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99
22,It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003
23,Overnight Celebrity,024Q1MI4uaYHF6j2Q2ZYgF,0.828,0.792,10,-5.435,0,0.179,0.182,0.0,0.281,0.777,134.199
24,I'm Sprung,0DLOyyQvwPTSDKuhpzMMwA,0.728,0.327,0,-11.596,0,0.0999,0.0948,0.0,0.103,0.195,100.0
25,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,4INDiWSKvqSKDEu7mh8HFz,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536
26,No Scrubs,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909
27,This Is How We Do It,6uQKuonTU8VKBz5SHZuQXD,0.799,0.623,0,-9.374,1,0.0812,0.0141,0.0,0.43,0.773,103.649
28,Promiscuous,3SwlakM6VX47IwG0Wll5ek,0.807,0.97,10,-6.056,0,0.0477,0.0536,6.6e-05,0.149,0.876,114.297
29,Slow Motion,6ihObRBTB8xdSH2mlERtOX,0.713,0.734,0,-4.894,0,0.325,0.548,0.0,0.0687,0.89,172.872
30,Mesmerize,2iclfHORMqpR3TxuhwVRhD,0.764,0.648,1,-6.639,1,0.206,0.0563,0.0,0.414,0.391,90.1
31,Air Force Ones,7kAFSrTIOiVZ0gnHBuAH3l,0.784,0.459,4,-9.74,0,0.317,0.0847,0.0,0.079,0.618,164.062
32,6 Foot 7 Foot,6BCs8vxnGgKL9eMCOrG2wm,0.365,0.751,2,-5.429,1,0.304,0.000707,0.0,0.318,0.604,79.119
33,"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,0.725,0.64,5,-7.905,0,0.332,0.0281,0.0,0.099,0.915,166.028
34,Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034
35,Just a Friend 2002 - Radio Edit,2cxbxpHrND6i4uvUGVvC9J,0.538,0.677,0,-6.099,1,0.187,0.00541,0.0,0.236,0.913,132.346
36,Up Down (Do This All Day) (feat. B.o.B),6lbhWl34Il0WXm5pX1fM9E,0.777,0.497,5,-6.846,0,0.056,0.256,0.0,0.295,0.465,96.994
37,Hot In Herre,04KTF78FFg8sOHC1BADqbY,0.956,0.745,11,-4.753,0,0.12,0.206,0.0,0.0615,0.912,107.075
38,Rockin' That Shit,3RBGG1be9aBaSvjnw6ABkh,0.672,0.62,8,-4.865,1,0.0422,0.123,0.0,0.362,0.627,78.005
39,21 Questions,41bIQPBE1lFN0mmw6Lmssz,0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012
40,Put It On Me,0OvwzS8FX73Bw7ykMRmffU,0.831,0.79,1,-4.714,0,0.165,0.0024,0.0,0.0515,0.791,93.14
41,Big Poppa - 2007 Remaster,63BcfK6YAzJYeISaTPr6IO,0.765,0.671,9,-5.249,0,0.278,0.344,0.0,0.0506,0.798,84.5
42,HeadBand (feat. 2 Chainz),2LvRR121MWFmmEGkuV2vQP,0.919,0.506,1,-7.14,1,0.304,0.132,0.0,0.0771,0.273,97.465
43,"Jumpin', Jumpin'",4pmc2AxSEq6g7hPVlJCPyP,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997
44,Ms. New Booty,0k6HUzaRHpQ3eEWr1C7Esh,0.64,0.62,1,-5.931,1,0.416,0.016,0.0,0.0831,0.609,129.37
45,Rock Wit U (Awww Baby),6pWzCKTrKrwbUPzY8RLCoP,0.71,0.797,4,-3.006,0,0.0582,0.408,0.0,0.16,0.849,94.998
46,Money Maker,2JpUkUR0OsOlUUfm6iS8ic,0.551,0.598,1,-6.79,1,0.27,0.15,0.0,0.299,0.612,78.756
47,Hey Ma,0Uhnzk5zI46IRlQ04LNOtc,0.791,0.666,8,-5.484,1,0.341,0.0256,6.33e-06,0.0796,0.938,90.345
