setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Thr33 6ix 5ive,5Q4MxA344M8VyFieIC4YTk,0.788,0.96,7,-4.684,1,0.0499,0.00629,0.00673,0.0878,0.8,123.99
2,Can You Feel It,5FCzMiHrGRayOu12J65Syp,0.681,0.851,5,-4.96,0,0.0635,0.0315,0.0868,0.443,0.221,125.981
3,Burn This House,5HYOVRe3chMbHoFnGxdxWC,0.745,0.873,1,-7.619,0,0.0448,0.0367,0.298,0.315,0.718,125.982
4,SEXUAL,4PZunWMdRDz63eZHAzoeD2,0.728,0.882,6,-8.083,0,0.0508,0.257,0.441,0.111,0.211,125.005
5,State Of Mind (feat. Sarah de Warren),2bo8HF4dpbfJrxD6gaW3BJ,0.746,0.923,0,-5.035,1,0.0424,0.000415,0.254,0.1,0.472,124.989
6,Say It Again,0dDGl66J8riMFyp2yUn88W,0.635,0.983,1,-6.252,0,0.0516,0.199,0.852,0.419,0.035,132.004
7,Industria,6Kv4u43WIqxp6eBTXaaCiM,0.688,0.907,6,-6.927,0,0.0463,0.358,0.853,0.149,0.151,130.001
8,CRY,1xeOJfKycH2GR5UDwDNjzu,0.626,0.672,1,-6.806,1,0.0689,0.0704,0.463,0.131,0.0389,173.958
9,Hold Tight (feat. Darla Jade),053bbGyTwKCwmSzE78G2Us,0.602,0.862,9,-7.527,0,0.0297,0.0107,0.00519,0.139,0.287,118.001
10,Marching Band,2kpOZP2szJea4TExBH2DJu,0.773,0.81,5,-6.794,0,0.0371,0.000943,0.0541,0.379,0.343,123.991
11,Show Me A Sign (with MKLA),49yvk8qS9L7I5aDeIMSutb,0.717,0.763,2,-5.178,1,0.0559,0.0437,6.02e-05,0.154,0.741,126.002
12,Drag Me Out,2SDG2dYcoW5ksPGsiFGt7V,0.879,0.769,9,-3.59,1,0.0859,0.0285,0.00171,0.116,0.751,120.023
13,Be My One,2KN5wY5R4gXbka8wB2kXh8,0.666,0.906,0,-4.938,1,0.0446,0.0196,0.000346,0.0947,0.659,120.94
14,Break The Same,06e5O2EVUkUIRrDGGXsegJ,0.66,0.835,1,-7.018,1,0.0787,0.102,0.00662,0.0751,0.488,121.971
15,All Night & Every Day,6uMw8SDp0npgOKO0pbmmPZ,0.762,0.717,10,-5.085,0,0.11,0.0523,0.0,0.159,0.806,122.02
16,Save Me,4HgPdfsZJa23uioLcQOefo,0.741,0.826,5,-5.147,0,0.0529,0.0749,0.000623,0.142,0.549,123.998
17,Alchemy,3YEofHNLCwtG0Xg6e9AfC6,0.612,0.925,1,-9.586,1,0.0367,0.00443,0.604,0.138,0.0397,123.999
18,Temptation (feat. Elise LeGrow),5nz5inh9IXoP7wwi2hi8kO,0.834,0.63,1,-5.727,1,0.0422,0.00838,0.00254,0.0963,0.416,120.004
19,WATER. (feat. Bryce Vine),57Zhe3iZ0PGDXm5qpeoXIh,0.705,0.759,11,-4.547,0,0.156,0.0686,0.000246,0.375,0.625,118.019
20,Nuit Blanche,4gYwnkWNrORyaDgBj5V8ri,0.868,0.746,0,-7.54,0,0.099,0.0373,0.153,0.11,0.113,122.015
21,Don't Stop Just Yet,1pz4k8r1OPeNBeAGmi9gL9,0.666,0.776,4,-9.025,0,0.0391,0.265,0.0298,0.379,0.442,126.989
22,Quantum,7cmpWAZsamIlIiyU1aMGZD,0.627,0.902,6,-5.149,0,0.0384,0.0105,0.952,0.0997,0.135,128.021
23,Good Feeling,1h4zfNDe8UapUvTuaDsTuM,0.693,0.845,9,-3.27,1,0.0348,0.0127,1.84e-06,0.169,0.498,125.009
24,Dance With Me - Edit,7IPdXJf4DEisUUL0WqTcKL,0.779,0.833,9,-5.978,0,0.043,0.0128,0.0299,0.0633,0.687,125.005
25,Don't Forget My Love - John Summit Remix,55PAYYJuYlKsW4DEcaBpC3,0.554,0.957,9,-5.938,0,0.0376,0.000622,0.373,0.421,0.137,123.981
26,Fever,60LqGQ9H0edzxwy2xhH5Sr,0.779,0.801,6,-7.774,0,0.0541,9.23e-05,0.412,0.0533,0.637,123.984
27,Once Again,1Xxa1bDLOyCK5ck8gu8hpg,0.745,0.881,5,-6.228,0,0.089,0.0396,0.255,0.0704,0.626,123.0
28,The Judge,6r6hSnqlIvtpPFZMiM0LEy,0.857,0.919,7,-5.293,0,0.11,0.0216,0.000878,0.373,0.89,124.979
29,Carnaval de Paris,5b58AS0u6Xr4vaxWnY2C1n,0.76,0.558,0,-5.495,0,0.0563,0.00107,0.905,0.292,0.0717,127.026
30,Just In Case,2AAMkITmFcCL9MtTKFui2k,0.667,0.676,9,-4.811,0,0.0651,0.0275,5.69e-05,0.224,0.407,126.036
