setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995
2,Always Forever,2enPRFda84VE2wtI8c86Uf,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378
3,Pretty Girl,0KyAGiNGUytG5JLxJu4F6l,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127
4,Time Machine,1jVjOcs7QeQZJXScbqvofI,0.606,0.532,3,-6.076,1,0.0416,0.44,0.0,0.132,0.405,81.332
5,Falling for U,2xhGZ3WzOa3tir28y7Cb88,0.719,0.36,6,-12.034,1,0.398,0.748,2.18e-06,0.0812,0.409,80.184
6,deja vu,6HU7h9RYOaPRFeh0R3UeAr,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917
7,Coffee Breath,28TkNtKHx6UnOZuoyv3Jzv,0.866,0.211,11,-12.676,0,0.0404,0.974,0.0,0.0987,0.198,101.295
8,we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959
9,Eternal Youth,0ytvsZOerGzUWfHXVT2Sgy,0.655,0.487,6,-7.988,1,0.033,0.0347,0.897,0.271,0.0454,139.914
10,Looking Out for You,3jfZ9M23l0L7RxzYMTgBTv,0.682,0.9,9,-5.028,1,0.0874,0.0884,0.063,0.0685,0.937,100.721
11,Where'd All the Time Go?,0UV5zxRMz6AO4ZwUOZNIKI,0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303
12,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-05,0.0943,0.672,101.003
13,Just for me,6OTKVgVpVaVjhRLYizPJKA,0.796,0.625,0,-7.218,1,0.0645,0.653,0.00348,0.187,0.641,133.035
14,Comfort Crowd,6uaBrivDHCaV0uBTiwHTUi,0.678,0.431,0,-6.749,1,0.0326,0.163,1.94e-06,0.147,0.404,90.941
15,Romeo & Juliet,1VyA8mbSyXOdJx2lguR8Uu,0.318,0.476,0,-7.108,1,0.0441,0.454,1.57e-05,0.503,0.0807,160.737
16,More Than Friends,1Ph96WpdjNlwD6iKRE2Xa3,0.559,0.655,6,-6.792,1,0.051,0.58,0.000155,0.124,0.667,160.016
17,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964
18,Corduroy Dreams,02tvc9CFnTyHuSRlGeNv9w,0.608,0.305,4,-14.037,1,0.053,0.653,0.0,0.103,0.222,113.818
19,walk but in a garden,0p1oF94MG2dOCbMSDsGMDj,0.832,0.351,8,-12.499,0,0.0814,0.832,0.939,0.111,0.406,79.99
20,Babydoll,7yNf9YjeO5JXUE3JEBgnYc,0.762,0.604,7,-5.296,0,0.11,0.114,0.0,0.0271,0.847,168.007
21,telepatía,6tDDoYIxWvMLTdKpjFkc1B,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97
22,"Sunflower, Vol. 6",6iYMfxznTBlcVOgRHab2W0,0.566,0.846,7,-6.904,0,0.035,0.000564,0.000795,0.121,0.86,160.02
23,Loverboy,0qXP5fMhxGzxALOkXYUxfP,0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045
24,YKWIM?,2vWBUC9djv6BtiGlmKiQaH,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735
25,Make Me Wanna,4bDTwDYjVdTWMRvfoPGAla,0.683,0.585,11,-8.11,0,0.0302,0.448,0.181,0.102,0.634,91.111
26,Hush - Still Woozy Remix,4dGuRldChjvboZktprNJFM,0.708,0.554,10,-6.83,0,0.0311,0.403,0.0428,0.126,0.564,103.999
27,In My Mind,2W779g2UrRZtVdf3FcEOO1,0.668,0.392,2,-12.178,0,0.0585,0.789,0.00275,0.345,0.323,135.936
28,Best Friend,47Bg6IrMed1GPbxRgwH2aC,0.575,0.714,6,-5.247,1,0.0596,0.395,0.0,0.115,0.32,144.982
29,Bubble Gum,3zksbXteOCeSusJ5Xltr3t,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97
30,Honey,1CDvKCXfwqwPhU4BSdGM7P,0.65,0.472,0,-10.193,1,0.0257,0.393,0.74,0.111,0.141,93.012
31,I Think I Like When It Rains,5S5u0EWtlblH00iTNExZ6X,0.622,0.471,9,-7.105,1,0.0277,0.0448,0.0,0.0957,0.278,124.455
32,Mrs Magic,0TZejo18HlJ86OrWNsXKnw,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542
33,friends or not,36MS43HvrxStwaE7lUtycs,0.406,0.625,5,-6.582,1,0.0379,0.112,1.99e-05,0.355,0.439,83.387
34,Bloom Later,7DCQIOmpGV4nkHx7DQckJS,0.513,0.318,0,-10.451,1,0.0314,0.796,0.0,0.177,0.249,81.923
35,High,1Azvp5Y5rOiFBPLXlOxGfy,0.614,0.571,8,-7.089,1,0.031,0.602,0.00553,0.105,0.39,115.975
36,everybody knows,5hI3LDMdW5psqk8ClzSHid,0.772,0.342,10,-9.257,1,0.0472,0.753,1.67e-06,0.195,0.468,115.054
37,Flaming Hot Cheetos,1F6IbA7di42uPc3cff8PXV,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966
38,my future,2ygvZOXrIeVL4xZmAWJT2C,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745
39,change ur mind,58Mh6zmqSo9IvysPAXnG0h,0.627,0.575,4,-7.38,1,0.232,0.78,0.0,0.336,0.494,78.546
40,Space Song,7H0ya83CMmgFcOhw0UB6ow,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067
41,Boys Will Be Bugs,6suYoN4gFkanqOBn5yRnJC,0.486,0.528,1,-11.722,1,0.0463,0.00387,1.4e-05,0.106,0.452,178.519
42,Crush Culture,2sHwSBNDZN2yjCtgwStYt1,0.522,0.765,0,-5.395,1,0.193,0.146,0.0,0.0866,0.455,180.065
43,Sunflower,4EpZ4eYuZOwPSSwyqpdHnJ,0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903
44,Kneepads,4nrMhdklAbLUkHRv1H7YkA,0.773,0.611,2,-5.642,1,0.0452,0.0114,0.000396,0.349,0.528,137.981
