setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,That's All,53VuyKap8WiDjkrtm5d4h3,0.483,0.126,7,-13.156,0,0.0583,0.888,0.000135,0.112,0.388,79.656
2,Stormy Weather,32pQP3XD7rIYraHKMVq9pu,0.531,0.128,2,-18.705,0,0.0424,0.946,0.801,0.0954,0.0672,110.854
3,What Are You Doing The Rest Of Your Life?,6UN7iywg34GxVpbWGcEuPd,0.392,0.0366,9,-25.649,0,0.0389,0.956,0.858,0.105,0.0725,92.045
4,La part des anges,5QJNVrABmfDW0g4EDVAR89,0.442,0.075,11,-17.055,1,0.0451,0.654,0.133,0.367,0.0467,95.149
5,You Go To My Head,366IPHOgIJJNwxJlfAcnv9,0.393,0.0927,3,-21.289,1,0.0401,0.98,0.895,0.197,0.207,76.734
6,Pure Imagination,7iP9VLNBi1M52IFT8ZCyAa,0.456,0.113,3,-13.981,1,0.0338,0.948,0.184,0.112,0.167,109.311
7,Homesick,3grDvmv5ZBQhcVoAXAjlB1,0.544,0.187,4,-14.859,0,0.0668,0.946,0.896,0.12,0.134,138.922
8,One Day I'll Fly Away,6TCEJVBIrm9YysBGEVHFD0,0.38,0.0377,11,-22.733,0,0.0424,0.984,0.935,0.0974,0.114,75.286
9,Darn That Dream,0GGvzr8DvHlwkkDsxX97Mm,0.593,0.128,7,-17.535,1,0.0478,0.971,0.896,0.109,0.0887,103.875
10,I'll Know,7qLzoarYodaUHezJvndAdK,0.32,0.11,4,-21.339,1,0.047,0.926,0.817,0.0995,0.169,61.852
11,You're My Thrill,350exLbRdtTfhVRPgdmIWi,0.692,0.103,2,-15.561,0,0.0345,0.922,0.00848,0.142,0.313,103.448
12,From Dream to Dream,1VKza9389xxGndNAuoB1W3,0.3,0.0975,7,-20.243,0,0.0391,0.967,0.969,0.116,0.138,169.876
13,Moonlight In Vermont,6zK83IKs3vP6Uxm2UpYYpo,0.362,0.0387,0,-19.935,1,0.0448,0.974,0.000171,0.0902,0.139,170.937
14,I Guess I'll Hang My Tears Out To Dry,3uPR8dQXnM4DhBFfiBEDmh,0.465,0.202,2,-12.428,0,0.0338,0.905,0.00165,0.0929,0.22,104.36
15,Under A Blanket Of Blue,2WesYvXttArUlbpOGDCwR3,0.552,0.187,3,-16.331,1,0.0389,0.982,0.582,0.17,0.361,123.379
16,Unsentimental,7JmMOryQFeykS1BEWInJSs,0.35,0.126,3,-15.186,1,0.0353,0.898,3.79e-05,0.0987,0.366,145.618
17,How Long Has This Been Going On,4SVw0yf2lf4JwtXAoTkbmB,0.463,0.182,9,-23.094,0,0.0476,0.941,0.767,0.689,0.156,108.311
18,Sophisticated Lady,0VfMAOS8d2Tbaxuozgy8qJ,0.586,0.0876,8,-16.329,1,0.043,0.972,0.847,0.222,0.247,96.449
19,I Understand,02B878qmLiO19I44u0DtqN,0.319,0.165,1,-16.245,1,0.0336,0.887,9.14e-05,0.113,0.255,83.464
20,DFAA,1gx060f6SRyYcSsTcOpWcp,0.44,0.106,7,-12.697,1,0.0591,0.994,0.54,0.132,0.179,74.814
21,Melody,7Djo7DXnbmp5MBsWPr4go0,0.414,0.308,7,-16.561,0,0.0367,0.852,0.918,0.15,0.302,161.579
22,I Fall in Love Too Easily,7kdPpPFzjLo8piKWbuQ0e4,0.39,0.0621,0,-21.434,1,0.0394,0.969,0.864,0.0932,0.155,90.271
23,Clouds,3sKafCdxv4vXK0D1RNlxG2,0.399,0.0687,5,-20.112,0,0.0337,0.95,0.124,0.0766,0.152,78.149
24,"I Love You, Porgy",5ZtELfV43r3kuRLPYYjJ4M,0.54,0.223,9,-14.871,0,0.0344,0.852,0.908,0.0992,0.0918,107.542
25,Jitterbug Waltz,1ypXqJHbK7e2gxbXUUI5kt,0.63,0.131,8,-23.303,1,0.045,0.819,0.828,0.0987,0.227,134.233
26,For Heaven's Sake,4kAwnSBZKNrCVwjwZnVNgf,0.436,0.105,10,-19.614,1,0.0402,0.918,6.61e-05,0.109,0.14,59.554
27,Everything Happens to Me,4Y5fyQ5fBysC32Na5sZT3J,0.511,0.193,7,-15.148,1,0.0439,0.809,2.17e-05,0.129,0.164,116.348
28,Cinema Paradiso [Love Theme],5lsR6wuL7T7vR5IOZwPaEc,0.532,0.0721,7,-18.523,0,0.0595,0.977,0.787,0.0862,0.25,77.742
29,I Don't Stand A Ghost Of A Chance With You,1U40ZDyutQGASuOrNlVM2S,0.428,0.0429,1,-24.025,1,0.0398,0.991,0.803,0.112,0.423,140.824
30,Round Midnight,0ZXeZe8avZyPZIhfGJdt4I,0.407,0.0653,10,-23.662,0,0.0419,0.977,0.936,0.0852,0.121,92.365
31,Polka Dots And Moonbeams,5bemClhFeQ7fcth7mjjnKO,0.469,0.101,9,-21.392,0,0.0362,0.936,0.759,0.103,0.0539,111.493
32,Too Late Now,5MSV42dMBJZ21P8BxLCxum,0.428,0.0532,8,-29.722,1,0.0392,0.898,0.879,0.11,0.112,105.296
33,Peace Piece,58yFroDNbzHpYzvicaC0de,0.464,0.0266,0,-20.338,1,0.0532,0.987,0.879,0.0836,0.0659,132.972
34,I'll Be Seeing You,0QUmLrSw2jeei8GS2PAF1E,0.486,0.0692,8,-15.559,1,0.0424,0.983,1.73e-05,0.153,0.0515,128.639
35,I'll Close My Eyes,6TlTcCLvscI9oeZyWHR4s0,0.475,0.0877,5,-17.4,0,0.0326,0.989,2.85e-05,0.109,0.135,68.591
36,Summertime,52g9vHlua2MBt6PhkZfUrT,0.548,0.0912,8,-21.659,0,0.051,0.985,0.865,0.141,0.326,77.25
37,Moon Love,3Tl1ZkXpawreFbQLeLSPXT,0.496,0.0742,1,-14.67,1,0.0512,0.993,0.871,0.121,0.385,57.318
38,You've Changed - Live,7HleoJP6ECvm5m7AJBDwgT,0.4,0.0359,8,-29.525,1,0.042,0.916,0.411,0.69,0.105,50.131
39,If I Had You,08x5QqbphPdShZJ0fdJK6h,0.503,0.105,2,-14.7,0,0.0368,0.969,0.00364,0.106,0.152,135.809
40,Down and Out,61oeoAAPUXdhZZjq9F93g0,0.293,0.0391,6,-26.342,0,0.0383,0.961,0.825,0.111,0.0818,92.119
41,Good Morning Heartache,1ho1wV4HROG8ZzJwLrMe3E,0.471,0.288,7,-14.23,0,0.0334,0.866,0.179,0.106,0.0818,114.904
42,Alba,0S2mPQyeW7ivA6HIyxR7pB,0.477,0.149,2,-20.117,0,0.0428,0.764,0.745,0.0943,0.121,121.811
43,(It Will Have To Do) Until The Real Thing Comes Along - Remastered,37MsN9jkHraBoRU0rbl64A,0.487,0.228,10,-9.211,1,0.0438,0.954,0.000408,0.0737,0.197,61.598
44,Ain't Misbehavin,4TndToxlz7Qdvpb2O9s9HM,0.494,0.124,8,-15.862,1,0.0414,0.91,0.000164,0.0938,0.221,61.261
45,Anything Goes,7G7aecTWvlnJoLUJi7tn7f,0.427,0.15,5,-16.863,1,0.0321,0.94,0.00784,0.101,0.441,84.63
46,It Never Entered My Mind,14ahpcc73FbLDHBOJvWk1m,0.461,0.0129,5,-23.877,1,0.0405,0.944,0.92,0.128,0.135,119.594
47,A Fine Romance,191Pkd7ZYqI2zgQ3QbCbfM,0.685,0.0279,7,-22.666,1,0.0461,0.988,0.208,0.138,0.37,112.8
48,My Old Flame,5yZSSjUOsrp36P5uKdvuj8,0.418,0.0587,7,-25.888,0,0.0442,0.966,0.912,0.106,0.16,105.943
49,'Tis Autumn,4Gv9rfzkqUZp3iE3JBTcd6,0.591,0.151,0,-18.003,0,0.0383,0.953,0.81,0.166,0.183,72.21
50,Words Can't Describe,2ZVo4KkwzAWImTGirpOt6P,0.457,0.0854,1,-17.41,1,0.0339,0.954,9.32e-05,0.115,0.149,66.314
51,What Are You Doing The Rest Of Your Life,4cZS6Zsn3H7Srg42UX7v5W,0.478,0.139,5,-14.184,0,0.0371,0.97,4.12e-05,0.0641,0.142,129.565
52,That Old Feeling,6PmKatJs99z0fDXi9624pk,0.743,0.21,4,-16.784,0,0.0953,0.411,0.0,0.091,0.326,111.048
53,Stream,16w6mm1Wg1dD9Nqkl720O0,0.449,0.017,8,-33.711,1,0.0361,0.916,0.906,0.105,0.114,92.168
54,Avidity,3FIZziHP2yndFDt2JdZ4Mg,0.392,0.0349,7,-25.75,0,0.0356,0.795,0.938,0.0961,0.0813,39.862
55,Please Send Me Someone To Love,6j0mXItB7viXXjB98l3Kwy,0.459,0.135,0,-15.909,0,0.0482,0.944,0.903,0.098,0.139,66.641
56,I Should Care,7tDQECVWJrDYkwzdJMWkEK,0.615,0.141,5,-12.893,0,0.0402,0.967,0.0719,0.179,0.256,105.628
57,If The Moon Turns Green,3VVfyUGLBWKkTbGIuoLd1l,0.611,0.0743,9,-15.375,0,0.0766,0.934,1.09e-06,0.0756,0.357,76.48
58,Sunday,6LkPWM2a6mHTjhw2ejgIYs,0.621,0.0678,2,-16.558,0,0.0548,0.96,0.286,0.194,0.182,114.456
59,What's The Rush,2GIqdPK9c8npWf07kU6bqH,0.405,0.0277,3,-21.897,1,0.033,0.97,0.535,0.114,0.279,51.059
60,Dear Old Stockholm,0g13WtzfAwcHPSdcZnMbxH,0.502,0.116,0,-22.353,1,0.0343,0.852,0.147,0.1,0.222,124.316
61,In The Night,7AUmSRVIpO8u7yk8mBZs4E,0.304,0.118,11,-24.303,0,0.041,0.853,0.855,0.0877,0.0679,77.539
62,Over The Rainbow,69XmGDda7Gd8UITZ80n1HD,0.56,0.0464,9,-23.44,1,0.0539,0.989,0.719,0.0995,0.334,118.413
63,The Wind In The Night,2IiD9iXyz8OWmRkHcfHdnN,0.427,0.0787,10,-25.917,1,0.0413,0.98,0.933,0.0867,0.0398,140.156
64,Don't Explain,2JncPNDwT04u0FhWxfJbi5,0.343,0.0568,10,-19.323,0,0.045,0.944,0.000667,0.117,0.14,172.374
65,For All We Know,4bt0QV5XmTnW3GIH7TkTN7,0.542,0.0867,6,-18.712,1,0.0404,0.87,0.000894,0.0942,0.304,98.725
66,I Didn't Know What Time It Was,4xmNWf3u3LM9hu2noChFzA,0.558,0.175,0,-15.574,1,0.037,0.824,0.000835,0.123,0.354,128.621
67,A Foggy Day,7b579YfrUOFI8jwCd8ZeZm,0.47,0.27,9,-16.368,0,0.0433,0.94,0.924,0.115,0.0968,122.884
68,Manha De Carnaval,5dn2ogDHiTDFMwW597ip2T,0.359,0.106,7,-21.187,0,0.0332,0.966,0.871,0.0985,0.158,87.496
69,Willow Weep For Me,4W6g5kfwp0LVBFauBSdx08,0.539,0.151,2,-12.906,0,0.0387,0.935,0.0,0.103,0.33,130.731
70,Almost Like Being In Love,2vGJACJBCVyEHk6lCcqiSO,0.776,0.0848,0,-17.069,1,0.109,0.944,0.922,0.158,0.481,129.272
71,Goor Katan,6GwG8n60P79HgFdGmZMBH3,0.471,0.205,8,-19.81,1,0.0348,0.892,0.901,0.122,0.164,60.356
72,Solar - Rudy Van Gelder Remaster,2Cd9dn9WV2QWsgKO2PwBUY,0.615,0.336,5,-10.56,0,0.0423,0.915,0.0127,0.0933,0.686,84.736
73,We kiss In A Shadow,3HXe31FkbH5MHNyNoUI222,0.504,0.0347,3,-25.836,1,0.0411,0.986,0.854,0.143,0.0667,116.686
74,Soulville,5nB5mhjWHeUNtoWnTDISOb,0.621,0.101,3,-19.696,1,0.052,0.906,0.0369,0.112,0.35,120.509
75,Why Are We Afraid?,3yRb1s9m2BcKr0m5ktUDTQ,0.574,0.00774,0,-22.847,1,0.0422,0.971,0.0164,0.0839,0.33,61.976
76,"No, No, Nanette: Tea for Two",58GXcqIVvW76uwM7EVOy5X,0.395,0.146,1,-12.955,1,0.036,0.947,2.12e-05,0.105,0.269,87.488
77,Tis Autumn,6g82W4awZ4ZqSs2jUT5goS,0.56,0.0641,0,-19.546,0,0.0374,0.97,0.898,0.0694,0.257,107.802
78,It Never Entered My Mind - Remastered,47zglRNpxJfxadAe3C6xQe,0.284,0.0811,8,-19.99,1,0.0351,0.937,0.105,0.0857,0.366,83.836
79,In A Mellow Tone,6PtMY654POS9nizEBvrdPD,0.618,0.125,0,-16.878,1,0.0446,0.763,0.0,0.0976,0.507,106.739
80,Since I Fell for You,0HY29tHnnKozsXwdqfWey8,0.583,0.0639,5,-17.748,0,0.0407,0.914,0.789,0.101,0.0711,54.13
81,Time On My Hands,0k0hexhhae8c7wrgr9d42v,0.685,0.127,9,-14.578,0,0.0467,0.913,0.9,0.171,0.482,62.103
82,Willow Weep For Me,53I0rp6820Z8aksKz7FeXt,0.547,0.101,2,-15.633,0,0.0379,0.925,0.795,0.167,0.231,91.862
83,My Romance,1MuKiBMhJ1vuK2HGGyQkDS,0.457,0.037,10,-23.08,1,0.0403,0.976,0.806,0.119,0.313,97.961
84,Mood Indigo,2Z7ktNuO2YsY2wS5FC62k4,0.348,0.107,0,-22.793,0,0.0306,0.933,0.887,0.1,0.115,58.801
85,Social Call,2BiFCCFFXt9iIzEo4hnuoy,0.676,0.16,10,-14.157,0,0.0476,0.867,0.0384,0.183,0.392,112.951
86,I'll Never Smile Again,3Sqv7KrLRowdwRwgpT4FAh,0.279,0.129,9,-14.595,1,0.0326,0.939,0.000229,0.204,0.0796,59.991
87,The Touch Of Your Lips,5LLWrf6UdvgH9o1PGkNeYP,0.383,0.0594,9,-17.529,0,0.035,0.871,0.000131,0.122,0.0639,109.213
