setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994
2,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,0.724,0.573,7,-4.113,1,0.0549,0.118,0.0,0.538,0.438,113.088
3,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028
4,Nonstop,0TlLq3lA83rQOYtrqBqSct,0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983
5,Ni**as In Paris,4Li2WHPkuyCdtmokzW2007,0.789,0.858,1,-5.542,1,0.311,0.127,0.0,0.349,0.775,140.022
6,Money Trees,2HbKqm4o0w5wEeEFXm2sD4,0.716,0.531,7,-7.355,1,0.122,0.0703,0.0,0.224,0.344,71.994
7,See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558
8,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,0.728,0.607,1,-8.417,0,0.132,0.133,0.0,0.0864,0.445,129.938
9,This Is America,0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0.117,0.0,0.354,0.549,120.024
10,All Of The Lights,22L7bfCiAkJo5xGSQgmiIO,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
11,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,0.703,0.757,1,-3.612,1,0.05,0.617,0.0,0.106,0.696,82.008
12,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372
13,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,0.963,0.346,5,-9.309,0,0.53,0.0355,0.0,0.108,0.562,119.957
14,Alright,3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034
15,New Freezer (feat. Kendrick Lamar),2EgB4n6XyBsuNUbuarr4eG,0.884,0.698,0,-9.101,1,0.364,0.0405,0.0,0.195,0.575,140.068
16,G.O.M.D,0Thqjtu54vKMP06pwZkAWp,0.889,0.4,4,-10.586,0,0.26,0.322,1.32e-05,0.331,0.336,128.073
17,Mask Off (feat. Kendrick Lamar) - Remix,6dVZCbi9CYtD9LjAHXRjIG,0.72,0.424,2,-11.964,1,0.387,0.0122,0.0126,0.453,0.228,150.01
18,Transportin',1WIZiOuNO3woKfdlSK2gNn,0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053
19,Love Sosa,01Lr5YepbgjXAWR9iOEyH1,0.772,0.413,0,-8.193,0,0.089,0.0361,0.0,0.111,0.211,131.965
20,No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497
21,Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745
22,Moment 4 Life,1ia019RqDK2o4QiANR1Dyn,0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001
23,6 Foot 7 Foot,6BCs8vxnGgKL9eMCOrG2wm,0.365,0.751,2,-5.429,1,0.304,0.000707,0.0,0.318,0.604,79.119
24,Poetic Justice,2P3SLxeQHPqh8qKB6gtJY2,0.779,0.572,6,-9.985,0,0.378,0.157,0.0,0.246,0.647,135.956
25,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146
26,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075
27,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984
28,March Madness,3WcC6NH9J77xPEvj1SOL7z,0.5,0.69,8,-4.448,1,0.312,0.159,0.0,0.104,0.371,180.206
29,It's A Vibe,6H0AwSQ20mo62jGlPGB8S6,0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003
30,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511
31,No Flockin',34oWbFBfGEElvgO0a5c9V4,0.943,0.595,5,-8.372,0,0.191,0.0673,0.0,0.0839,0.815,117.532
32,Make No Sense,6klLvorLoo1sxvZcjJIY8I,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904
33,"Bitch, Don’t Kill My Vibe",712uvW1Vezq8WpQi38v2L9,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954
34,Baby (Lil Baby feat. DaBaby),5MPPttjfGap2C6j6eKcO6J,0.97,0.463,10,-7.259,1,0.366,0.0957,0.0,0.151,0.46,108.003
35,Want Her,4zrwPfq5ENLzjq41Txs2HR,0.828,0.607,1,-6.241,1,0.0432,0.0769,0.000683,0.108,0.409,101.012
36,Mercy,4qikXelSRKvoCqFcHLB2H2,0.563,0.496,6,-9.381,0,0.406,0.0685,5.8e-05,0.173,0.426,139.993
37,Childs Play,3NxAG2ni1lLa8RKL6a0INc,0.746,0.475,10,-11.243,0,0.113,0.0175,1.1e-05,0.197,0.292,80.006
38,m.A.A.d city,439TlnnznSiBbQbgXiBqAd,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048
39,Dark Knight Dummo,4apiNNK0jp9uqn3JDG9My1,0.28,0.821,8,-2.864,0,0.111,0.167,0.0,0.139,0.254,181.444
40,First Day Out,3muBQDekYAg7jm6hDu6R0Z,0.587,0.711,1,-6.33,1,0.42,0.171,0.0,0.125,0.381,98.008
41,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991
42,Grove St. Party (feat. Kebo Gotti),2e9EZ2V5QGGZPMJacO3y0Y,0.705,0.702,0,-4.783,0,0.108,0.138,0.0,0.364,0.771,140.059
43,Trophies,6HfOzLLjsaXsehIFEsrxTk,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931
44,Hussle & Motivate,2hVtGnJeHOo0EqjzYXNFg5,0.836,0.779,7,-3.829,1,0.0519,0.00369,0.000173,0.58,0.555,119.908
45,Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,0.749,0.865,3,-5.228,1,0.0413,0.00536,0.0,0.198,0.371,111.914
