setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Kids,1jJci4qxiYcOHhQR247rEU,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961
2,Two Weeks,0iTpQYzJnYgh7kIxyq8A2O,0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871
3,Lisztomania,7hwcojGiRqYm100tSmpZE3,0.486,0.784,0,-6.68,1,0.0852,0.0339,0.00452,0.53,0.315,195.154
4,Black & Blue,2cOCunrzyHVpTrTwSIKRbt,0.665,0.793,5,-3.888,0,0.0302,0.0166,0.000215,0.113,0.475,135.011
5,Walking On A Dream,5r5cp9IpziiIsR6b93vcnQ,0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975
6,40 Day Dream - 2019 - Remaster,4ek3pPdfvIbPxynmlisI0k,0.56,0.681,2,-4.875,1,0.0485,0.102,0.0,0.0573,0.645,81.991
7,Heart It Races - Cover Version,2vupkXhwL4sNCRgNu72HCZ,0.705,0.474,10,-13.081,1,0.0391,0.443,0.0553,0.338,0.756,98.612
8,Rawnald Gregory Erickson the Second,4j4pPKE3xAblPIbhxScC1j,0.9,0.538,7,-7.879,1,0.0343,0.229,0.843,0.287,0.713,95.508
9,Let Go,3xKTpGCsafXzV4muM1Hpl3,0.524,0.559,5,-8.319,1,0.0298,0.185,5.94e-05,0.14,0.202,140.043
10,Australia,47TQjzeG4KI0XWWb0wkbri,0.416,0.827,4,-5.177,1,0.0384,0.00428,0.000242,0.277,0.87,169.902
11,Float On,2lwwrWVKdf3LR9lbbhnr6R,0.649,0.888,6,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975
12,Hang Me Up To Dry,3IXRdLsQib8m0hBbQpe7T8,0.509,0.922,9,-2.823,0,0.031,0.0219,0.00117,0.496,0.645,92.5
13,White Winter Hymnal,0GegHVxeozw3rdjte45Bfx,0.628,0.5,6,-9.66,0,0.0268,0.44,0.0,0.244,0.68,124.932
14,Such Great Heights - Remastered,4G21jWo0Cm6lOIUNnZ2mUI,0.644,0.808,5,-7.268,1,0.0513,0.0467,0.187,0.0652,0.175,174.98
15,Oxford Comma,0ful4PHfTIxzXiZSZsXQ0H,0.692,0.717,0,-4.226,1,0.0498,0.111,0.00123,0.044,0.973,119.902
16,1901,3FM33HqRlV7J1QJoPOnd2u,0.591,0.831,0,-5.647,1,0.0415,0.0605,4.67e-05,0.19,0.705,144.084
17,Dance Yrself Clean,2cmRpmO04TLaKPzmAzySYZ,0.739,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.004
18,People Say,0WTq8iUzSlGDAbowEdRKKD,0.543,0.768,0,-5.914,1,0.0288,0.0322,6.72e-06,0.779,0.681,79.965
19,Dog Days Are Over,1YLJVmuzeM2YSUkCCaTNUB,0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954
20,New Slang - 2021 Remaster,0NslHuacjxQYfUTOW3HCIV,0.67,0.403,0,-10.623,1,0.031,0.753,0.0903,0.0858,0.622,129.984
21,Maps,0hDQV9X1Da5JrwhK8gu86p,0.502,0.941,7,-5.194,1,0.0716,0.000346,0.319,0.553,0.124,119.783
22,Soul Meets Body,5yc59J3MR3tVDPTOgwgRI5,0.621,0.853,2,-5.735,0,0.0253,0.0767,3.26e-06,0.0893,0.714,128.142
23,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04
24,Wraith Pinned to the Mist and Other Games,24HPkbkXJsIFC4eyg63zgQ,0.873,0.582,5,-9.901,1,0.047,0.0282,0.0699,0.182,0.77,122.005
25,Daylight,57i3M29DWoo7RDk0Tf0LZG,0.57,0.798,9,-4.92,1,0.0323,0.102,0.000128,0.178,0.671,103.303
26,House Fire,6qPnHotmUk3Z4JPkwXBqJj,0.638,0.43,4,-8.997,0,0.0288,0.0358,0.17,0.275,0.316,87.589
27,Sleepyhead,4prEPl61C8qZpeo3IkYSMl,0.568,0.719,8,-5.406,1,0.0354,0.0892,1.84e-06,0.233,0.539,106.036
28,Sweet Disposition,5RoIXwyTCdyUjpMMkk4uPd,0.531,0.821,2,-6.812,1,0.0439,0.0701,0.171,0.124,0.34,129.139
29,My Girls,2gE0khQ948RYQOeTgCUL2a,0.508,0.953,4,-6.031,0,0.0806,0.256,0.0445,0.929,0.555,119.973
30,Eyes,1a9czdo8IX5InOiSOg6xpv,0.642,0.462,1,-8.026,1,0.0294,0.821,2.51e-06,0.106,0.484,130.015
31,Rill Rill,3GbjOImkNo5nFT2GQxVr11,0.468,0.812,1,-3.44,0,0.0491,0.0372,1.46e-06,0.0688,0.789,72.987
32,Home,7w5cxTEzp1rfV3KCy0Bd5N,0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665
33,A-Punk,3AydAydLzyyZutA0375XIz,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917
34,Dashboard,0Fe3WxeO6lZZxj7ytvbDUh,0.639,0.903,11,-5.013,0,0.0371,0.00963,7.06e-05,0.174,0.96,135.938
35,Girl,3DgNj1aYbSRVoVO8yX7DRt,0.685,0.677,3,-6.552,1,0.11,0.0549,0.00332,0.285,0.855,149.421
36,Your Ex-Lover Is Dead,5oSSFX46m6u3UFLoouLlTw,0.395,0.5,0,-6.794,1,0.031,0.00268,0.0284,0.207,0.333,153.306
37,Good To Sea,29Lr5wv6Oiv5Ihc89BIvCT,0.774,0.776,7,-7.846,1,0.0285,0.501,0.000539,0.513,0.928,100.006
38,The Sound of Settling,0PTYTZvNNtlvdOwWRYrbfC,0.423,0.761,6,-6.593,1,0.0278,0.00559,0.000535,0.215,0.781,175.349
39,Always Like This,73M2Vb5MfZh8iGKudkMtlw,0.659,0.591,1,-6.713,1,0.0313,0.441,0.000861,0.0862,0.707,121.14
