setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Where Is My Mind?,1XfJ4VvulKXjwxIEQURE8R,0.457,0.00924,4,-29.358,1,0.0505,0.991,0.917,0.0957,0.0642,64.974
2,Halo,4lu6zYkghmAlCnDcgKqJcY,0.407,0.114,9,-25.778,1,0.0499,0.989,0.943,0.0985,0.0614,114.752
3,Wrecking Ball - Solo Piano Version,3sSESwCLq4g7WiXk6LJKbI,0.515,0.0695,5,-22.837,1,0.0342,0.992,0.934,0.0943,0.109,112.81
4,Fields of gold,0XQKhaXCmkXURkz92za8pX,0.706,0.101,2,-21.626,1,0.0725,0.995,0.941,0.105,0.516,120.156
5,Samson,2YehhUUNcwZCW9CcTpAYU9,0.445,0.114,11,-19.335,1,0.0504,0.995,0.953,0.157,0.247,163.602
6,Holy,39iUn2KhFa7aKiI0mJrrv5,0.538,0.0351,6,-30.079,1,0.0508,0.994,0.933,0.104,0.221,73.024
7,Someone You Loved,00utEhrTFR6V4HEuLh2ncI,0.481,0.0686,1,-24.577,1,0.0655,0.993,0.95,0.101,0.0799,73.739
8,Your Power,3BYzUvWqRbMqgAFJ0RKOit,0.339,0.0651,9,-21.35,0,0.0502,0.995,0.914,0.146,0.243,66.494
9,Fake a smile,2JI53ZVCxMucM68UpCtZ5C,0.731,0.191,0,-11.359,1,0.122,0.735,0.671,0.131,0.274,149.91
10,Songbird,0x3AueQ6AKh6xjMMuUrt0s,0.511,0.0167,5,-24.3,1,0.0378,0.99,0.962,0.121,0.173,92.184
11,Forever Young,4SSCgMiOi06l74FrQhaHwC,0.276,0.113,0,-21.566,1,0.0506,0.987,0.942,0.141,0.144,175.413
12,The Joke,3Sq6BHPQVRWE9WHvFDQzNz,0.338,0.0431,7,-23.863,1,0.0535,0.985,0.94,0.111,0.159,131.514
13,This City,0QVfPQkh2Ivm9C2WlmD0xT,0.56,0.152,11,-21.615,1,0.056,0.991,0.953,0.112,0.343,131.81
14,Bad Habits,35MPKqnvJFDaXYmvJJ7DoZ,0.352,0.0132,7,-35.287,1,0.0447,0.991,0.944,0.0641,0.076,60.754
15,Wonderwall,5YO7hivGzpGctGedUVRmFv,0.421,0.0412,6,-24.627,0,0.0509,0.992,0.94,0.0935,0.102,119.996
16,I Can't Make You Love Me,6gLTYTjk3Mip3RvCe0OgdF,0.576,0.0562,10,-18.5,1,0.0558,0.995,0.922,0.117,0.271,118.078
17,Easy On Me,3BKfE41CiiGnSOpmiLU18M,0.533,0.127,5,-20.641,1,0.0596,0.995,0.946,0.0906,0.14,62.239
18,When You Believe,2EfjVCYTSVGWtBFh75r99F,0.557,0.0413,6,-24.976,0,0.0653,0.993,0.957,0.0981,0.158,115.275
19,Happier Than Ever,4SKDQlj3g2vIS9AD1C5No9,0.353,0.0212,0,-25.192,1,0.0471,0.992,0.941,0.0999,0.101,81.309
20,Cold Heart,2JR1wrR7VqWbVHjwuXl6uG,0.694,0.0311,10,-25.084,0,0.0528,0.996,0.958,0.102,0.309,91.985
21,Wicked Game,2xdZFU10kxBAZSyImawWkf,0.28,0.0289,9,-24.919,1,0.0515,0.993,0.874,0.111,0.135,202.085
22,Let Her Go,2GeoxQFm8rYWTk0wAuEFdV,0.333,0.154,7,-20.734,1,0.0441,0.992,0.941,0.109,0.244,141.413
23,I Can't Make You Love Me - Piano Version,5jkFEHWraBRMHSlEQ7pU4g,0.442,0.0405,0,-25.777,1,0.057,0.992,0.962,0.115,0.191,111.388
24,Svag,3pzJXr8awfVqc6QoQbFm3o,0.379,0.0524,8,-23.893,1,0.0582,0.996,0.948,0.111,0.383,180.713
25,Dreams,7pdumwOPFHj0SvHNNShtxc,0.523,0.0513,0,-24.611,1,0.0582,0.995,0.96,0.0812,0.354,69.355
26,Beneath your beautiful,2man3BqdNICmahlzaSfybW,0.605,0.135,3,-16.15,1,0.0362,0.823,0.932,0.122,0.147,117.013
27,Vincent,3hLwdzukhUxAB8epGFKIkf,0.318,0.116,7,-19.053,1,0.0531,0.993,0.89,0.106,0.341,67.64
28,Everglow,0vu0tbVqCICerh2HG2LKJG,0.515,0.051,4,-22.461,1,0.0476,0.995,0.937,0.0943,0.224,135.88
29,"Love theme from ""The Godfather""",3Blqcm6DphSHU4fog2Vojc,0.572,0.0251,1,-27.229,1,0.0543,0.995,0.959,0.107,0.152,120.55
30,If You Leave Me Now,0k3eB65qL3T1GQyJmGNUgV,0.326,0.0804,11,-23.622,1,0.0704,0.995,0.917,0.108,0.09,188.227
31,Love Theme from Superman,3fs3lFHsucASo54NhBenhY,0.426,0.0136,10,-24.137,1,0.0465,0.994,0.944,0.142,0.172,126.983
32,(Everything I Do) I Do It For You,29JCk63RvjjlQxQCCZSuYf,0.647,0.00807,1,-30.861,1,0.0505,0.995,0.965,0.0953,0.0865,59.958
33,Sailing,06cOOxoGCN55Py9ypH6m3t,0.496,0.0379,7,-24.942,1,0.0556,0.989,0.967,0.108,0.27,71.515
34,Nothing Compares 2 U,0rPLpzCJKIwMkM5GHZNm4F,0.714,0.0915,5,-17.968,1,0.0496,0.989,0.931,0.127,0.162,106.106
35,Greatest Love Of All,61EhAlUIqBXsgHqbdY7VT9,0.676,0.283,9,-9.13,1,0.0459,0.746,0.619,0.114,0.288,112.942
36,Sweet Child of Mine,2VXu2KAwVH5CIRqQPEADQw,0.317,0.0422,7,-28.573,1,0.036,0.993,0.899,0.0725,0.225,112.958
