setnumber,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1,Restfulness,1eWEJ1JVoyt0nozyAoUPZW,0.234,0.0121,1,-34.604,1,0.0464,0.991,0.785,0.11,0.185,71.632
2,acsenzion,2sSVwEbmFuGwXOMyW5dKi8,0.143,0.255,0,-20.684,0,0.0339,0.978,0.937,0.0959,0.0801,63.517
3,Wake Up Bliss,0xcodadlWJxKIj8REEN3GK,0.17,0.0698,10,-26.61,1,0.0548,0.904,0.731,0.107,0.0748,127.01
4,Gentle Soul,6yn3OXDVIbX3nT1rBZgOjM,0.172,0.0374,0,-32.109,1,0.0614,0.993,0.962,0.118,0.067,125.981
5,Agape,1RM8shXinDriSL1trnsh9H,0.229,0.0128,3,-17.951,1,0.0359,0.973,0.947,0.115,0.192,80.226
6,Gan Duille,1Xs8qLgBD1IeblneE69YsV,0.196,0.0464,6,-29.211,1,0.0414,0.981,0.977,0.116,0.0385,71.031
7,Halcyon Spirits,76IpsCUVJAHvFfwI9Y0Pa9,0.101,0.0606,7,-30.691,0,0.0436,0.924,0.972,0.105,0.0344,83.234
8,Stillness,6oVsQtNZKr5LjNRPSOprTr,0.168,0.0639,2,-27.717,1,0.0533,0.982,0.94,0.11,0.0386,126.078
9,The Last Raindrop,122nfGTV3hCL0xchNbtbgH,0.108,0.0793,2,-28.751,1,0.0403,0.947,0.912,0.0765,0.0603,74.554
10,Inner Universe,1XOc1T0peSL0F5UF6J5xJJ,0.18,0.0819,1,-24.317,1,0.0498,0.984,0.884,0.128,0.251,65.361
11,Kundalini,0X3UQtDjoY8QaJOJMr0HN4,0.209,0.0748,7,-22.053,1,0.0322,0.893,0.868,0.0941,0.0544,65.746
12,Huzurlu,5AE2Q5ecdUUPxjNbIknTNW,0.151,0.0285,11,-30.539,0,0.038,0.96,0.916,0.12,0.0871,73.187
13,Overview,6bJS4c8xM5nGOtxqndR0G7,0.145,0.0268,4,-32.383,1,0.0491,0.973,0.8,0.102,0.046,140.078
14,Love Is My Cure,4kqekA8aWuYbvbn2WGecPW,0.233,0.0601,9,-17.526,1,0.0419,0.989,0.816,0.103,0.134,75.573
15,Solemn,7dpLnCTFu2Neq5wXJTb47o,0.261,0.00866,9,-23.813,1,0.0307,0.991,0.92,0.0841,0.0752,82.488
16,Fly Among Clouds,6Kf6iSevn3QqANd6SHHHOk,0.0983,0.0308,10,-31.415,0,0.0397,0.921,0.95,0.112,0.0361,86.504
17,Paisible,4Z0o3Ye8znaAPUyfVmLSE5,0.193,0.131,3,-25.534,1,0.0444,0.979,0.91,0.106,0.0379,76.125
18,Rêver,1yYjkMdQyOvwqiwfeGP5fK,0.113,0.0291,11,-27.806,1,0.0401,0.958,0.944,0.112,0.0753,80.802
19,Ritual,4OQ4Hhvd1fKTFiqhYHnUeR,0.168,0.0231,0,-26.72,1,0.052,0.888,0.956,0.12,0.0356,114.182
20,It’s Never Too Late,5j7Jg9bruInMqk96DOCxjH,0.0677,0.0937,0,-22.331,1,0.0401,0.988,0.97,0.115,0.0358,74.887
21,Secret Message,6hF7fW0UptdNRovONZT3JJ,0.134,0.0362,0,-32.634,1,0.0451,0.98,0.834,0.107,0.0385,67.515
22,Innervate,2ZUsvuyl43t1oqiwGaHMt7,0.148,0.00389,7,-37.419,1,0.0425,0.993,0.829,0.108,0.0395,138.012
23,Caelum,3IhzOZvoIivYAzzUEZhIyv,0.174,0.00823,2,-34.099,1,0.0416,0.993,0.944,0.0893,0.0693,66.939
24,Going Back,0QCWhIYVGx3ousdsUZgy84,0.065,0.0034,9,-37.097,1,0.0489,0.984,0.847,0.101,0.0719,72.496
25,Macromedas,4r2XXfxvEHvQoSz1FVsrVu,0.163,0.0471,5,-28.089,1,0.0461,0.951,0.944,0.105,0.0271,129.341
26,Electron,0KkNeFOoAKW0NkhaleFeGk,0.25,0.201,0,-21.141,1,0.0377,0.895,0.969,0.227,0.0663,59.005
27,Hope Street,2GW2FdCD7NePDJ4GFaEnpP,0.0953,0.00488,11,-34.542,1,0.0516,0.883,0.901,0.112,0.0847,74.807
28,In jouw armen,27U2vAXaXKEFo3oaqYFqq3,0.15,0.0635,9,-27.237,1,0.0511,0.986,0.988,0.0765,0.0361,137.097
29,Healing,3S6xG02IfUIGy1iaG5iRuk,0.186,0.0219,7,-34.602,1,0.0409,0.991,0.919,0.108,0.1,74.874
30,Dykhtau,6Dzybyg4sWgI3lDNsflTqn,0.195,0.00482,7,-37.852,0,0.05,0.988,0.791,0.119,0.0376,70.946
31,Aún,45o1tTvcokwroBi9TR5qfv,0.186,0.0976,5,-23.754,1,0.0439,0.921,0.953,0.116,0.0368,69.495
32,Senses,40btANYJL2hwYW0C5b28pb,0.209,0.109,9,-26.985,0,0.0354,0.901,0.949,0.0983,0.0733,66.421
33,Everyday Peace,7CGtdNBijQGEvkZeLU4699,0.194,0.0795,2,-21.832,1,0.04,0.925,0.898,0.104,0.0378,76.547
34,Imaginary Worlds,69q6xPYxLjv79PfJXUVJ3a,0.0747,0.169,4,-25.637,1,0.0403,0.928,0.782,0.149,0.0492,177.974
35,All We Can Do,3vr2MU6TzGcU94Ozgaw6BG,0.15,0.0844,5,-31.229,1,0.0455,0.928,0.95,0.1,0.0646,136.912
36,Carpe Noctem,027030DBi749hu0tVBAFgX,0.166,0.0139,1,-31.95,1,0.0373,0.92,0.893,0.11,0.0353,110.921
37,Terrestrial,27oha8wgBjsfI6cAeG3YMl,0.211,0.174,10,-23.025,0,0.0384,0.916,0.967,0.122,0.0372,66.087
38,Empire of Life,6lDGxIv3i5M1SYwbXCXqjR,0.157,0.0737,8,-27.649,1,0.0423,0.846,0.976,0.103,0.032,74.854
39,Levitation,0zQ2Qbxic7cXWOVv9Qy98n,0.152,0.0191,1,-28.133,1,0.0386,0.912,0.959,0.104,0.148,136.724
40,Leuchten,4KNuwSHlzgZIRuT9Ur1JCZ,0.072,0.0383,2,-29.584,1,0.053,0.849,0.895,0.108,0.0738,76.019
41,Lost Love,7tA9WVX94fVUUu4IJIY89u,0.148,0.00183,0,-37.139,1,0.0401,0.982,0.926,0.11,0.038,69.439
42,Many Worlds,3ZLa3mv9jM0CzuhKMqsOgE,0.0933,0.0833,0,-20.836,1,0.0363,0.981,0.967,0.15,0.0381,86.912
43,Volta,2UGetJCnNKXnVmWCD5nRM2,0.172,0.0747,4,-30.84,1,0.0377,0.931,0.943,0.108,0.0809,69.302
44,Celestial Visions,3A9nqhgcN0F7S1AHfeBLxp,0.136,0.0601,3,-31.007,1,0.0468,0.861,0.963,0.113,0.0649,73.992
45,Transpiration,3Koh8Xr3jVE6CpvScHeoa0,0.174,0.119,2,-23.553,0,0.0452,0.985,0.859,0.0766,0.0811,138.048
46,Circle of Life,5ZES0TpHFfczYU6OgoBYA4,0.121,0.1,9,-27.003,0,0.034,0.962,0.987,0.0886,0.115,64.936
47,Nära,0cUjV0txDAMZ2g49rHdX80,0.23,0.0624,6,-30.398,1,0.0432,0.934,0.88,0.111,0.051,64.718
48,Are We Still Here,5rjIqwdOptcSeam8iWsYfJ,0.0953,0.0394,7,-30.378,1,0.0522,0.968,0.948,0.0919,0.0433,89.173
49,Finally at Ease,0flbHtYjcLkCTekTMcTbPZ,0.141,0.0155,10,-26.799,1,0.0382,0.972,0.898,0.111,0.105,69.578
50,Sol River,3tWTB2s3i76kUkfLeAMV34,0.143,0.0987,9,-23.219,0,0.0567,0.988,0.87,0.104,0.0357,76.218
